brain_region,region_location
medial nucleus posterior division dorsal part, medial nucleus posterior division dorsal part <  medial nucleus posterior division  <  medial nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
medial nucleus posterior division ventral part, medial nucleus posterior division ventral part <  medial nucleus posterior division  <  medial nucleus  <  cortico medial group  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
lateral nucleus dorsal lateral division comb like part, lateral nucleus dorsal lateral division comb like part <  lateral nucleus dorsal lateral division  <  lateral nucleus dorsal division  <  lateral nucleus  <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter 
body of caudate nucleus, body of caudate nucleus <  body of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
head of caudate nucleus, head of caudate nucleus <  head of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
tail of caudate nucleus, tail of caudate nucleus <  tail of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter 
paraventricular nucleus of the hypothalamus magnocellular division posterior magnocellular part lateral zone, paraventricular nucleus of the hypothalamus magnocellular division posterior magnocellular part lateral zone <  paraventricular nucleus of the hypothalamus magnocellular division posterior magnocellular part  <  paraventricular nucleus of the hypothalamus magnocellular division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
paraventricular nucleus of the hypothalamus magnocellular division posterior magnocellular part medial zone, paraventricular nucleus of the hypothalamus magnocellular division posterior magnocellular part medial zone <  paraventricular nucleus of the hypothalamus magnocellular division posterior magnocellular part  <  paraventricular nucleus of the hypothalamus magnocellular division  <  paraventricular nucleus of the hypothalamus  <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter 
inferior nucleus of the pulvinar lateral division, inferior nucleus of the pulvinar lateral division <  inferior nucleus of the pulvinar  <  lateral group of nuclei dorsal division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
inferior nucleus of the pulvinar medial division, inferior nucleus of the pulvinar medial division <  inferior nucleus of the pulvinar  <  lateral group of nuclei dorsal division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral anterior nucleus of the thalamus magnocellular division, ventral anterior nucleus of the thalamus magnocellular division <  ventral anterior nucleus of the thalamus  <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral anterior nucleus of the thalamus principal division, ventral anterior nucleus of the thalamus principal division <  ventral anterior nucleus of the thalamus  <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral posterior lateral nucleus of the thalamus anterior division, ventral posterior lateral nucleus of the thalamus anterior division <  ventral posterior lateral nucleus of the thalamus  <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
ventral posterior lateral nucleus of the thalamus posterior division, ventral posterior lateral nucleus of the thalamus posterior division <  ventral posterior lateral nucleus of the thalamus  <  lateral group of nuclei ventral division  <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter 
I II paravermis, I II paravermis <  I II  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
I II lateral hemisphere, I II lateral hemisphere <  I II  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
III paravermis, III paravermis <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
III lateral hemisphere, III lateral hemisphere <  III  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
IV paravermis, IV paravermis <  IV  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
IV lateral hemisphere, IV lateral hemisphere <  IV  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
V paravermis, V paravermis <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
V lateral hemisphere, V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VI paravermis, VI paravermis <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VI lateral hemisphere, VI lateral hemisphere <  VI  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
Crus I paravermis, Crus I paravermis <  crus I  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
Crus I lateral hemisphere, Crus I lateral hemisphere <  crus I  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
Crus II paravermis, Crus II paravermis <  crus II  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
Crus II lateral hemisphere, Crus II lateral hemisphere <  crus II  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIB paravermis, VIIB paravermis <  VIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIB lateral hemisphere, VIIB lateral hemisphere <  VIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIIA paravermis, VIIIA paravermis <  VIIIA  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
VIIIA lateral hemisphere, VIIIA lateral hemisphere <  VIIIA  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter 
