gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
NDST2,+--+--,1.25281e-4,0.9451958921977188,1.1340418085164599e-8,-1,2.2680836170329197e-8
AGA,------,2.84925e-4,0.9998279150549567,4.393249075045041e-8,-1,8.786498150090082e-8
PM20D2,++++++,3.32678e-4,3.799863326973738e-7,0.9999967079258161,1,7.599726653947476e-7
GGNBP2,++++-+,0.001093165,1.2700857615223754e-6,0.9982998341944181,1,2.540171523044751e-6
RHEB,------,9.05e-5,0.9999956581250365,2.2077663516030467e-6,-1,4.415532703206093e-6
FAM69B,-+-+--,2.81e-7,0.8251545857812473,5.220047095640045e-6,-1,1.044009419128009e-5
MPP3,++++++,6.30618e-4,6.992664696364845e-6,0.9999957839355346,1,1.398532939272969e-5
FBXO32,-+++++,1.6339e-4,8.729730573661038e-6,0.9262581155188301,1,1.7459461147322077e-5
C1orf115,+++--+,1.26498e-4,8.895420197097725e-6,0.763092148433008,1,1.779084039419545e-5
SLCO1A2,---+++,3.41573e-4,0.20046561535821672,9.280012027316655e-6,-1,1.856002405463331e-5
QKI,---+--,0.001551404,0.9643885560129524,1.1105595493211173e-5,-1,2.2211190986422347e-5
NSDHL,------,2.56835e-4,0.9997839655975661,1.244079612942075e-5,-1,2.48815922588415e-5
ZMYM6,-----+,3.34551e-4,0.9592268565181543,1.5382283500407895e-5,-1,3.076456700081579e-5
DNAJB12,+-----,0.006455243,0.9835128598407404,1.731590493291841e-5,-1,3.463180986583682e-5
PLA2G5,------,8.33895e-4,0.99998427099583,2.0433881998760352e-5,-1,4.0867763997520704e-5
SYNGR1,------,0.008564888,0.9999983355407138,2.0476026623343546e-5,-1,4.095205324668709e-5
CLCN4,------,0.001162734,0.9998210759498427,2.0875961312393088e-5,-1,4.1751922624786175e-5
SEL1L,+-----,6.01311e-4,0.9667559950538447,2.1938713881519917e-5,-1,4.3877427763039834e-5
NUDT1,------,0.001228745,0.9999859855439046,2.27223249177288e-5,-1,4.54446498354576e-5
LRRFIP1,+++++-,0.001119382,2.8401803812067256e-5,0.7862478271808734,1,5.680360762413451e-5
ATF4,------,0.002634363,0.9994154234754674,3.070117416773612e-5,-1,6.140234833547223e-5
TMEM116,-----+,9.82678e-4,0.9064083541287414,3.180182740712575e-5,-1,6.36036548142515e-5
DDX58,+--++-,9.5e-5,0.24122668084658264,3.28891073167484e-5,-1,6.57782146334968e-5
EXOC7,+++--+,7.08895e-4,3.319299714602725e-5,0.6310560088224347,1,6.63859942920545e-5
CALN1,++++++,0.006168633,3.424455586708376e-5,0.9999844565228323,1,6.848911173416752e-5
SLC9A1,+++-+-,0.002194476,3.500846027745074e-5,0.4515714241352533,1,7.001692055490147e-5
CRH,+-----,0.004652528,0.9995286170030229,3.773433682927531e-5,-1,7.546867365855062e-5
OSBPL3,------,0.004191948,0.9999845831712217,4.110907827294983e-5,-1,8.221815654589966e-5
