gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
NDST2,+--+--,1.25281e-4,0.9451958921977188,1.1340418085164599e-8,-1,2.2680836170329197e-8,1.0169836265636123e-4,1.017087062652563e-4,2.0339672531272246e-4
AGA,------,2.84925e-4,0.9998279150549567,4.393249075045041e-8,-1,8.786498150090082e-8,1.0169836265636123e-4,2.034174125305126e-4,2.0339672531272246e-4
PM20D2,++++++,3.32678e-4,3.799863326973738e-7,0.9999967079258161,1,7.599726653947476e-7,1.017087062652563e-4,3.050950879690837e-4,2.034174125305126e-4
GGNBP2,++++-+,0.001093165,1.2700857615223754e-6,0.9982998341944181,1,2.540171523044751e-6,2.034174125305126e-4,3.050950879690837e-4,4.068348250610252e-4
RHEB,------,9.05e-5,0.9999956581250365,2.2077663516030467e-6,-1,4.415532703206093e-6,3.050950879690837e-4,3.051261187957689e-4,6.101901759381674e-4
FAM69B,-+-+--,2.81e-7,0.8251545857812473,5.220047095640045e-6,-1,1.044009419128009e-5,3.050950879690837e-4,4.068348250610252e-4,6.101901759381674e-4
MPP3,++++++,6.30618e-4,6.992664696364845e-6,0.9999957839355346,1,1.398532939272969e-5,3.051261187957689e-4,5.084918132818062e-4,6.102522375915378e-4
FBXO32,-+++++,1.6339e-4,8.729730573661038e-6,0.9262581155188301,1,1.7459461147322077e-5,4.068348250610252e-4,5.084918132818062e-4,8.136696501220504e-4
C1orf115,+++--+,1.26498e-4,8.895420197097725e-6,0.763092148433008,1,1.779084039419545e-5,5.085435313262816e-4,5.084918132818062e-4,0.0010169836265636124
SLCO1A2,---+++,3.41573e-4,0.20046561535821672,9.280012027316655e-6,-1,1.856002405463331e-5,6.101901759381674e-4,5.085435313262816e-4,0.0010170870626525631
QKI,---+--,0.001551404,0.9643885560129524,1.1105595493211173e-5,-1,2.2211190986422347e-5,6.101901759381674e-4,6.102522375915378e-4,0.0012203803518763348
ZMYM6,-----+,3.34551e-4,0.9592268565181543,1.5382283500407895e-5,-1,3.076456700081579e-5,6.101901759381674e-4,7.119609438567941e-4,0.0012203803518763348
