gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
NDST2,+--+--,1.25281e-4,6.066612816654037e-4,0.0010795619482620639,1,0.0012133225633308073,0.016885362628420303,0.024206672091131,0.033770725256840606
AGA,------,2.84925e-4,0.5391082943291637,2.0029290059522653e-6,-1,4.005858011904531e-6,5.085435313262816e-4,4.0687620791374224e-4,8.137524158274845e-4
PM20D2,++++++,3.32678e-4,5.793837765058038e-4,0.07607903353699894,1,0.0011587675530116076,0.016173329264571254,0.023901545972335233,0.03234665852914251
GGNBP2,++++-+,0.001093165,0.005224510293969064,0.017230480351076063,1,0.010449020587938129,0.062353778862781,0.0782139951179821,0.124707557725562
RHEB,------,9.05e-5,0.05302410444695263,0.004143717643126227,-1,0.008287435286252453,0.054922701383238404,0.0683552029295087,0.10984540276647681
FAM69B,-+-+--,2.81e-7,0.30882422443407387,6.38500989974165e-5,-1,1.27700197994833e-4,0.004170056956875509,0.007120333638490489,0.008340113913751017
MPP3,++++++,6.30618e-4,0.057841843244828904,0.009844777207027705,-1,0.01968955441405541,0.08950366151342555,0.10680500457735734,0.1790073230268511
FBXO32,-+++++,1.6339e-4,0.15504287543586137,5.931505304816457e-4,-1,0.0011863010609632913,0.016578519121236777,0.024005696266910792,0.033157038242473555
C1orf115,+++--+,1.26498e-4,3.433784191204327e-6,0.9217837151891582,1,6.867568382408654e-6,9.1547146780592e-4,0.0010170870626525631,0.00183094293561184
SLCO1A2,---+++,3.41573e-4,0.9999742296374825,2.3015968671165206e-8,-1,4.603193734233041e-8,2.034174125305126e-4,1.0171905197843556e-4,2.0343810395687112e-4
QKI,---+--,0.001551404,0.13937006068182375,0.001231132571676691,-1,0.002462265143353382,0.02644426362896664,0.03773776828399959,0.05288852725793328
ZMYM6,-----+,3.34551e-4,0.4805689179988265,1.9446294042360572e-4,-1,3.8892588084721145e-4,0.008340113913751017,0.013121757705218187,0.016680227827502035
DNAJB12,+-----,0.006455243,0.003621437743143792,0.10327256538889669,1,0.007242875486287584,0.05045264978130404,0.06336452400325468,0.10090529956260808
PLA2G5,------,8.33895e-4,0.2339729020561332,0.0037597349713646916,-1,0.007519469942729383,0.05176973148901546,0.0655070694741125,0.10353946297803092
SYNGR1,------,0.008564888,0.006284439498571702,0.1772424532975768,1,0.012568878997143405,0.06937239344929305,0.08523189585028479,0.1387447868985861
SEL1L,+-----,6.01311e-4,0.002378048748909727,0.13762404207284212,1,0.004756097497819454,0.038144644491913335,0.05054922701383238,0.07628928898382667
NUDT1,------,0.001228745,0.10447299159924561,0.01223665658710414,-1,0.02447331317420828,0.09926769731489016,0.11738378598311464,0.19853539462978032
LRRFIP1,+++++-,0.001119382,4.6498651277700214e-4,0.22147349139728234,1,9.299730255540043e-4,0.014037229173024107,0.020850284784377542,0.028074458346048214
