gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
NDST2,+--+--,1.25281e-4,6.066612816654037e-4,0.0010795619482620639,1,0.0012133225633308073
AGA,------,2.84925e-4,0.5391082943291637,2.0029290059522653e-6,-1,4.005858011904531e-6
PM20D2,++++++,3.32678e-4,5.793837765058038e-4,0.07607903353699894,1,0.0011587675530116076
GGNBP2,++++-+,0.001093165,0.005224510293969064,0.017230480351076063,1,0.010449020587938129
RHEB,------,9.05e-5,0.05302410444695263,0.004143717643126227,-1,0.008287435286252453
FAM69B,-+-+--,2.81e-7,0.30882422443407387,6.38500989974165e-5,-1,1.27700197994833e-4
MPP3,++++++,6.30618e-4,0.057841843244828904,0.009844777207027705,-1,0.01968955441405541
FBXO32,-+++++,1.6339e-4,0.15504287543586137,5.931505304816457e-4,-1,0.0011863010609632913
C1orf115,+++--+,1.26498e-4,3.433784191204327e-6,0.9217837151891582,1,6.867568382408654e-6
SLCO1A2,---+++,3.41573e-4,0.9999742296374825,2.3015968671165206e-8,-1,4.603193734233041e-8
QKI,---+--,0.001551404,0.13937006068182375,0.001231132571676691,-1,0.002462265143353382
NSDHL,------,2.56835e-4,0.43410829572872445,6.683479939082464e-4,-1,0.0013366959878164928
ZMYM6,-----+,3.34551e-4,0.4805689179988265,1.9446294042360572e-4,-1,3.8892588084721145e-4
DNAJB12,+-----,0.006455243,0.003621437743143792,0.10327256538889669,1,0.007242875486287584
PLA2G5,------,8.33895e-4,0.2339729020561332,0.0037597349713646916,-1,0.007519469942729383
SYNGR1,------,0.008564888,0.006284439498571702,0.1772424532975768,1,0.012568878997143405
CLCN4,------,0.001162734,0.05702316890079232,0.01897790866828591,-1,0.03795581733657182
SEL1L,+-----,6.01311e-4,0.002378048748909727,0.13762404207284212,1,0.004756097497819454
NUDT1,------,0.001228745,0.10447299159924561,0.01223665658710414,-1,0.02447331317420828
LRRFIP1,+++++-,0.001119382,4.6498651277700214e-4,0.22147349139728234,1,9.299730255540043e-4
ATF4,------,0.002634363,0.01832311781102173,0.06956059971545564,1,0.03664623562204346
TMEM116,-----+,9.82678e-4,0.14642629164328078,0.0018231945064621142,-1,0.0036463890129242284
DDX58,+--++-,9.5e-5,0.29064381731797606,2.3689795383728965e-5,-1,4.737959076745793e-5
EXOC7,+++--+,7.08895e-4,2.0654598000094802e-6,0.9967695455350978,1,4.1309196000189605e-6
CALN1,++++++,0.006168633,0.2837026642080277,0.004404224593729972,-1,0.008808449187459945
SLC9A1,+++-+-,0.002194476,7.11919477563941e-6,0.7957451474683682,1,1.423838955127882e-5
CRH,+-----,0.004652528,0.05936976398884244,0.026401716292639103,-1,0.052803432585278205
OSBPL3,------,0.004191948,0.04473884250251132,0.04944045364297998,1,0.08947768500502264
C9orf64,++++++,1.20693e-4,0.005750786372353776,0.2567829291198896,1,0.011501572744707552
VGF,------,0.004039232,0.036457307309576505,0.061715201979172594,1,0.07291461461915301
NRXN1,+++-++,6.23315e-4,0.013024545230191727,0.05540256920767432,1,0.026049090460383454
FBXL18,--+---,0.00826264,0.004227922458698495,0.1386469917052675,1,0.00845584491739699
SLC39A8,---+--,0.007589607,0.11196156979090742,0.015092659398575469,-1,0.030185318797150938
TPMT,+++-++,2.40824e-4,0.09499150827149644,0.008494551796033695,-1,0.01698910359206739
PRDM2,+-----,0.002031554,0.02429063471421603,0.027860048771876842,1,0.04858126942843206
ZFP106,+++-++,3.28e-6,2.625115649323328e-5,0.9857485833456535,1,5.250231298646656e-5
APTX,------,0.001219476,0.20797712822518083,0.008897586005794907,-1,0.017795172011589814
FBXO38,-+----,0.001160674,0.031339773838356455,0.04434908156000672,1,0.06267954767671291
TNPO2,+++++-,6.41854e-4,0.018704429584201775,0.0709193102541871,1,0.03740885916840355
LIX1L,---+--,0.007870787,0.24097285711744862,0.00641888819136495,-1,0.0128377763827299
UGCG,+--+-+,1.49e-5,0.006620142008447527,0.0105793210930288,1,0.013240284016895055
U2AF1L4,------,0.004311049,0.0896746673947996,0.022866629413330456,-1,0.04573325882666091
RIOK3,-+++++,5.96536e-4,0.058616856013013474,0.0029002275554993137,-1,0.005800455110998627
PIPOX,-----+,2.47566e-4,0.02986083862471874,0.05121389826811215,1,0.05972167724943748
PDE4DIP,----+-,0.001728745,0.5704032094651279,1.0142934077851886e-4,-1,2.028586815570377e-4
MACROD1,++++++,0.006461049,0.0012569984162303536,0.6382059971932246,1,0.0025139968324607073
ELOVL5,------,0.00106573,0.006477439355407519,0.3202880068007183,1,0.012954878710815038
PIK3R1,++++++,0.028847191,0.024209109832013135,0.16061960244005724,1,0.04841821966402627
VSTM2L,+++---,1.43539e-4,7.0140113586080404e-9,0.9999999670991406,1,1.4028022717216081e-8
VEGFA,-----+,0.001792509,0.031015143676667085,0.021433915808147904,-1,0.04286783161629581
PDSS1,------,3.94e-5,0.264484816947139,0.0073975786365090635,-1,0.014795157273018127
SLC4A4,+----+,0.002032491,0.05873614864190499,0.021072203014780678,-1,0.042144406029561356
SQLE,---+-+,5.82e-5,0.9839077875437333,3.054091124212063e-6,-1,6.108182248424126e-6
DHFRL1,+-++++,3.63296e-4,0.07927923176364259,0.011225365193224115,-1,0.02245073038644823
NOL3,------,0.004336049,0.33101557722612357,0.008676329643667807,-1,0.017352659287335613
ARHGEF10L,+++-++,0.011266292,0.009360367441861342,0.24559976428010105,1,0.018720734883722685
PCDH9,-+++++,0.004988764,0.08020555485796674,0.021493471014509515,-1,0.04298694202901903
KCTD1,-+----,0.003428933,0.006588020874600019,0.16309846798933986,1,0.013176041749200038
TDRD3,+-++++,3.85768e-4,0.02546677845479943,0.06353012741976555,1,0.05093355690959886
NAP1L1,++++++,0.02640412,0.20254853168727646,0.019084640418716582,-1,0.038169280837433164
XRCC2,++++++,0.001595318,0.0013358290561733966,0.7417157974057121,1,0.0026716581123467933
ZC3H7B,+++++-,0.0024309930000000002,0.0011088738540981345,0.4594176168431188,1,0.002217747708196269
ATM,-+++++,0.001474719,0.10882140237774991,0.01342306136727905,-1,0.0268461227345581
LBH,------,0.058894569,0.048651395394917175,0.11414983337871479,1,0.09730279078983435
RNASE1,---+-+,0.003926311,0.7319272168372488,5.7240829911339365e-5,-1,1.1448165982267873e-4
NAB2,++----,0.001542884,3.587616855133384e-5,0.6450184508481737,1,7.175233710266768e-5
NEUROD6,----+-,2.46816e-4,0.4743994339617855,1.1730372783644529e-4,-1,2.3460745567289057e-4
ZHX2,--++-+,6.04213e-4,0.0504926894835241,0.012790457585377508,-1,0.025580915170755017
CMPK1,++-+++,0.004968258,0.21690642532316254,0.0018948802067807974,-1,0.0037897604135615948
LRP8,------,0.007779026,0.5219040915920831,0.004813866703747725,-1,0.00962773340749545
CAMK1G,+-----,0.003465169,1.729791397168994e-4,0.784394841611051,1,3.459582794337988e-4
LINGO2,+++--+,1.42322e-4,1.238016219371649e-5,0.9983673740131412,1,2.476032438743298e-5
HLA-DPA1,----+-,0.0069072100000000004,0.22715566746175592,0.009758965265770895,-1,0.01951793053154179
DBT,++++++,0.004911891,0.0537452724608564,0.10441618198790151,1,0.1074905449217128
KCNIP3,--+---,0.012039419,0.0133135811930596,0.16448564724584147,1,0.0266271623861192
EMG1,-+----,0.001649438,0.30676372780781014,0.003230715272945113,-1,0.006461430545890226
STAM2,------,0.008732772,0.24150498078903637,0.02139512901656619,-1,0.04279025803313238
CLCC1,+--+++,0.002747566,0.8427284867456163,1.2085545332546957e-5,-1,2.4171090665093915e-5
FBXO9,----++,9.29213e-4,0.9461851783141827,7.083377166200752e-6,-1,1.4166754332401504e-5
MAST2,------,0.021258989,0.04072750743546354,0.15492896352050609,1,0.08145501487092709
DGCR2,+++-++,7.42416e-4,0.0017714853496578551,0.6225252683457001,1,0.0035429706993157103
ZNF24,---+--,0.001666948,0.11444088634748543,0.005817622373479231,-1,0.011635244746958462
PLXNA2,++----,5.01217e-4,7.090235655482902e-5,0.8800889032030661,1,1.4180471310965803e-4
SFT2D1,------,0.010585487,0.06007435490269696,0.09537990526202247,1,0.12014870980539392
POLR1E,+++-++,0.00473324,0.011337191010684344,0.2988126077390113,1,0.022674382021368688
DAB2IP,------,0.002135581,0.014054279000294078,0.32640190722927603,1,0.028108558000588157
MAN1A1,-----+,9.38764e-4,0.09062848114647386,0.02931267085926061,-1,0.05862534171852122
