gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SLCO1A2,----,3.41573e-4,0.9999999999921819,1.2037924163224012e-9,-1,2.4075848326448024e-9
AGA,----,2.84925e-4,0.9999999284088643,6.060763144200773e-9,-1,1.2121526288401545e-8
C1orf115,++++,1.26498e-4,4.658220873527864e-8,0.9999999944414756,1,9.316441747055729e-8
ZFP106,++++,3.28e-6,7.102687418260348e-8,0.9999766301481715,1,1.4205374836520696e-7
LINGO2,++++,1.42322e-4,8.023803322383238e-8,0.9999997201063645,1,1.6047606644766476e-7
NSDHL,----,2.56835e-4,0.9999491477904325,1.431237523126326e-7,-1,2.862475046252652e-7
MRPS12,----,8.02e-5,0.9996699236781834,1.654734763618982e-7,-1,3.309469527237964e-7
VSTM2L,++++,1.43539e-4,1.7567336157756498e-7,0.9999993565219727,1,3.5134672315512996e-7
EXOC7,++++,7.08895e-4,2.2118839488816665e-7,0.9999999162601699,1,4.423767897763333e-7
DGCR2,++++,6.76404e-4,5.824107026712626e-7,0.999995989053863,1,1.1648214053425252e-6
ZNF394,++++,8.10112e-4,8.723476470160555e-7,0.999997163208484,1,1.744695294032111e-6
FBXO9,----,9.29213e-4,0.9999983302832118,1.4514890788101828e-6,-1,2.9029781576203655e-6
SCO1,----,3.4073e-4,0.9999593293181401,2.4724043987543297e-6,-1,4.9448087975086595e-6
ATPIF1,++++,7.26311e-4,2.609707440243615e-6,0.9999969335374795,1,5.21941488048723e-6
LRP8,----,0.002573783,0.9999995918421165,2.6745044194159597e-6,-1,5.349008838831919e-6
SQLE,----,5.82e-5,0.9999750819705703,3.0380989247647357e-6,-1,6.0761978495294715e-6
RPAP1,++++,0.001111704,3.507646824181318e-6,0.9996062000961992,1,7.015293648362636e-6
SET,----,9.95131e-4,0.9999266038853867,5.492273119562283e-6,-1,1.0984546239124566e-5
MLL,++++,0.001785206,6.222434168241625e-6,0.9999460919584771,1,1.244486833648325e-5
NUDCD3,++++,0.003626404,6.638650065087132e-6,0.999999818232515,1,1.3277300130174264e-5
SARM1,++++,2.78558e-4,6.673336898218089e-6,0.9999699009080074,1,1.3346673796436178e-5
NTRK3,++++,0.003217697,8.12191843953685e-6,0.9999993257131515,1,1.62438368790737e-5
LSM5,----,0.001827154,0.9999962714954993,9.792643573854006e-6,-1,1.9585287147708012e-5
NFX1,-+++,3.34363e-4,1.027995189342946e-5,0.7176759068540497,1,2.055990378685892e-5
CRH,+---,0.001538858,0.9932509563898988,1.1259946897932883e-5,-1,2.2519893795865766e-5
LRRFIP1,++++,0.001119382,1.1397140321887374e-5,0.9999953903800098,1,2.279428064377475e-5
PPAP2C,----,4.55243e-4,0.996102295129405,1.1416799996014326e-5,-1,2.2833599992028652e-5
AKR1A1,----,0.005248127,0.9996379357852143,1.236568849065969e-5,-1,2.473137698131938e-5
AGPS,+---,5.44e-5,0.9794506869958103,1.4535600550983274e-5,-1,2.9071201101966548e-5
FAM115A,++++,0.002346629,1.5060153559947633e-5,0.9999651975285095,1,3.0120307119895267e-5
NEUROD6,----,2.46816e-4,0.9994893595314639,1.575932693571164e-5,-1,3.151865387142328e-5
SST,----,3.35674e-4,0.9998509103220629,1.5981509275743062e-5,-1,3.1963018551486125e-5
