gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
SLCO1A2,----,3.41573e-4,0.9999999999921819,1.2037924163224012e-9,-1,2.4075848326448024e-9,1.0169836265636123e-4,1.017087062652563e-4,2.0339672531272246e-4
AGA,----,2.84925e-4,0.9999999284088643,6.060763144200773e-9,-1,1.2121526288401545e-8,1.0169836265636123e-4,2.034174125305126e-4,2.0339672531272246e-4
C1orf115,++++,1.26498e-4,4.658220873527864e-8,0.9999999944414756,1,9.316441747055729e-8,1.017087062652563e-4,3.050950879690837e-4,2.034174125305126e-4
ZFP106,++++,3.28e-6,7.102687418260348e-8,0.9999766301481715,1,1.4205374836520696e-7,2.034174125305126e-4,3.050950879690837e-4,4.068348250610252e-4
LINGO2,++++,1.42322e-4,8.023803322383238e-8,0.9999997201063645,1,1.6047606644766476e-7,3.051261187957689e-4,3.050950879690837e-4,6.101901759381674e-4
MRPS12,----,8.02e-5,0.9996699236781834,1.654734763618982e-7,-1,3.309469527237964e-7,4.067934506254449e-4,3.051261187957689e-4,6.102522375915378e-4
VSTM2L,++++,1.43539e-4,1.7567336157756498e-7,0.9999993565219727,1,3.5134672315512996e-7,4.068348250610252e-4,4.067934506254449e-4,8.135869012508898e-4
EXOC7,++++,7.08895e-4,2.2118839488816665e-7,0.9999999162601699,1,4.423767897763333e-7,5.085435313262816e-4,4.067934506254449e-4,8.135869012508898e-4
DGCR2,++++,6.76404e-4,5.824107026712626e-7,0.999995989053863,1,1.1648214053425252e-6,6.102522375915378e-4,4.067934506254449e-4,8.135869012508898e-4
ZNF394,++++,8.10112e-4,8.723476470160555e-7,0.999997163208484,1,1.744695294032111e-6,7.119609438567941e-4,4.067934506254449e-4,8.135869012508898e-4
FBXO9,----,9.29213e-4,0.9999983302832118,1.4514890788101828e-6,-1,2.9029781576203655e-6,8.135869012508898e-4,4.068348250610252e-4,8.136696501220504e-4
SCO1,----,3.4073e-4,0.9999593293181401,2.4724043987543297e-6,-1,4.9448087975086595e-6,8.135869012508898e-4,5.085435313262816e-4,0.0010170870626525631
ATPIF1,++++,7.26311e-4,2.609707440243615e-6,0.9999969335374795,1,5.21941488048723e-6,8.136696501220504e-4,6.101901759381674e-4,0.0012203803518763348
LRP8,----,0.002573783,0.9999995918421165,2.6745044194159597e-6,-1,5.349008838831919e-6,9.152852639072511e-4,6.102522375915378e-4,0.0012205044751830757
SQLE,----,5.82e-5,0.9999750819705703,3.0380989247647357e-6,-1,6.0761978495294715e-6,9.152852639072511e-4,7.119609438567941e-4,0.0014239218877135883
RPAP1,++++,0.001111704,3.507646824181318e-6,0.9996062000961992,1,7.015293648362636e-6,9.153783563873067e-4,8.135869012508898e-4,0.0016271738025017796
SET,----,9.95131e-4,0.9999266038853867,5.492273119562283e-6,-1,1.0984546239124566e-5,0.0010169836265636124,8.136696501220504e-4,0.0016273393002441008
MLL,++++,0.001785206,6.222434168241625e-6,0.9999460919584771,1,1.244486833648325e-5,0.0010170870626525631,9.152852639072511e-4,0.0018305705278145023
NUDCD3,++++,0.003626404,6.638650065087132e-6,0.999999818232515,1,1.3277300130174264e-5,0.0011187957689178193,9.152852639072511e-4,0.0018305705278145023
SARM1,++++,2.78558e-4,6.673336898218089e-6,0.9999699009080074,1,1.3346673796436178e-5,0.0012205044751830757,9.152852639072511e-4,0.0018305705278145023
NTRK3,++++,0.003217697,8.12191843953685e-6,0.9999993257131515,1,1.62438368790737e-5,0.0013222131814483319,9.152852639072511e-4,0.0018305705278145023
LSM5,----,0.001827154,0.9999962714954993,9.792643573854006e-6,-1,1.9585287147708012e-5,0.0014237770771890572,9.153783563873067e-4,0.0018307567127746134
NFX1,-+++,3.34363e-4,1.027995189342946e-5,0.7176759068540497,1,2.055990378685892e-5,0.0014239218877135883,0.0010169836265636124,0.0020339672531272247
CRH,+---,0.001538858,0.9932509563898988,1.1259946897932883e-5,-1,2.2519893795865766e-5,0.0015254754398454184,0.0010170870626525631,0.0020341741253051262
LRRFIP1,++++,0.001119382,1.1397140321887374e-5,0.9999953903800098,1,2.279428064377475e-5,0.0015256305939788447,0.0011186819892199736,0.002237363978439947
PPAP2C,----,4.55243e-4,0.996102295129405,1.1416799996014326e-5,-1,2.2833599992028652e-5,0.0016271738025017796,0.0011187957689178193,0.0022375915378356386
AKR1A1,----,0.005248127,0.9996379357852143,1.236568849065969e-5,-1,2.473137698131938e-5,0.0016271738025017796,0.0012205044751830757,0.0024410089503661514
AGPS,+---,5.44e-5,0.9794506869958103,1.4535600550983274e-5,-1,2.9071201101966548e-5,0.0016271738025017796,0.0013222131814483319,0.0026444263628966637
FAM115A,++++,0.002346629,1.5060153559947633e-5,0.9999651975285095,1,3.0120307119895267e-5,0.0016273393002441008,0.0014237770771890572,0.0028475541543781144
NEUROD6,----,2.46816e-4,0.9994893595314639,1.575932693571164e-5,-1,3.151865387142328e-5,0.0017288721651581409,0.0014239218877135883,0.0028478437754271765
SST,----,3.35674e-4,0.9998509103220629,1.5981509275743062e-5,-1,3.1963018551486125e-5,0.0017288721651581409,0.0015256305939788447,0.0030512611879576893
MRPS6,----,1.16199e-4,0.9962767789652,1.753167189948271e-5,-1,3.506334379896542e-5,0.0017288721651581409,0.0016273393002441008,0.0032546786004882017
FAM69B,-++-,2.81e-7,0.49310029346359285,1.786328575544006e-5,-1,3.572657151088012e-5,0.0017288721651581409,0.0017290480065093572,0.0034577443303162817
COL6A1,++++,0.002037172,1.849792020411188e-5,0.9999932021334881,1,3.699584040822376e-5,0.0017290480065093572,0.0018305705278145023,0.0034580960130187145
RERE,++++,6.1161e-4,1.87964005356465e-5,0.9997772894182577,1,3.7592801071293e-5,0.0018307567127746134,0.0018305705278145023,0.0036611410556290046
ARPP-21,++++,0.005426966,1.9291153406936526e-5,0.9999959821097355,1,3.858230681387305e-5,0.0019324654190398698,0.0018305705278145023,0.0036611410556290046
COX8A,-+--,4.8661e-4,0.9186587635698237,2.001905383956691e-5,-1,4.003810767913382e-5,0.0020339672531272247,0.0018307567127746134,0.003661513425549227
PGAP1,----,0.001316292,0.9995387875907854,2.30854133030502e-5,-1,4.61708266061004e-5,0.0020339672531272247,0.0019324654190398698,0.0038649308380797396
HMGCS1,----,0.001480243,0.9999331838407813,2.3723028363188835e-5,-1,4.744605672637767e-5,0.0020339672531272247,0.0020341741253051262,0.0040679345062544494
MYT1,++++,0.004020974,2.523735637424922e-5,0.9998009765251943,1,5.047471274849844e-5,0.0020341741253051262,0.0021356656157835857,0.0040683482506102524
FTCD,++++,0.005770599,2.5873918471728575e-5,0.999933109091813,1,5.174783694345715e-5,0.0021358828315703824,0.0021356656157835857,0.004271331231567171
AGK,----,0.001906554,0.9991850583001557,2.6342152863638237e-5,-1,5.2684305727276475e-5,0.002237363978439947,0.0021358828315703824,0.004271765663140765
NME5,----,2.82022e-4,0.9998367934199338,2.6929702194284743e-5,-1,5.3859404388569486e-5,0.002237363978439947,0.0022375915378356386,0.004474727956879894
ZMYM6,----,3.34551e-4,0.9990492641856005,2.7011265287129408e-5,-1,5.4022530574258816e-5,0.002237363978439947,0.002339300244100895,0.004474727956879894
EXTL3,++++,0.005214607,2.746654462546915e-5,0.9999991511790811,1,5.49330892509383e-5,0.0022375915378356386,0.0024407607037526696,0.004475183075671277
CHST10,++++,6.14e-5,2.8293944494577846e-5,0.9948361089112521,1,5.658788898915569e-5,0.002339300244100895,0.0024407607037526696,0.00467860048820179
PIGH,----,0.002240824,0.9999404493889982,2.870715158866778e-5,-1,5.741430317733556e-5,0.0024407607037526696,0.0024410089503661514,0.004881521407505339
ATG7,----,1.17509e-4,0.999860726875994,2.9723206827973913e-5,-1,5.9446413655947826e-5,0.0024407607037526696,0.0025427176566314076,0.004881521407505339
APH1A,++++,1.72846e-4,2.972887364573977e-5,0.9997066409964523,1,5.945774729147954e-5,0.0024410089503661514,0.002644157429065392,0.004882017900732303
RQCD1,----,6.95412e-4,0.9954638854143582,3.115536030322013e-5,-1,6.231072060644026e-5,0.002542459066409031,0.0026444263628966637,0.005084918132818062
CORT,----,0.001221536,0.9973397336102017,3.1301218839410274e-5,-1,6.260243767882055e-5,0.002542459066409031,0.0027461350691619204,0.005084918132818062
KLF3,----,0.004518727,0.9999883552597795,3.187710205965473e-5,-1,6.375420411930945e-5,0.002542459066409031,0.0028478437754271765,0.005084918132818062
FDFT1,----,0.005134363,0.9999917638626726,3.255992237567716e-5,-1,6.511984475135431e-5,0.002542459066409031,0.0029495524816924327,0.005084918132818062
