gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
AGA,--------,2.84925e-4,0.999996903932435,3.2067446524268018e-9,-1,6.4134893048536036e-9
NDST2,+---+---,1.25281e-4,0.9852443033675089,2.162259271539466e-8,-1,4.324518543078932e-8
NSDHL,--------,2.56835e-4,0.9999832443366027,2.4433945739288905e-7,-1,4.886789147857781e-7
MRPS12,----+---,8.02e-5,0.9997827041202699,3.1491852818309234e-7,-1,6.298370563661847e-7
SLCO1A2,----++-+,3.41573e-4,0.3955438962835317,3.8277187825076264e-7,-1,7.655437565015253e-7
ATG7,--------,1.17509e-4,0.999999941313585,3.923095855923302e-7,-1,7.846191711846604e-7
PM20D2,++-+++++,3.32678e-4,4.006903626519056e-7,0.9995458606693007,1,8.013807253038112e-7
LRP8,--------,0.002573783,0.9999990573249598,4.7444027477022505e-7,-1,9.488805495404501e-7
SYNGR1,--------,0.0049147,0.9999999644605836,6.037370460390295e-7,-1,1.207474092078059e-6
CRH,+-------,0.001538858,0.9999677567579849,6.95733239924525e-7,-1,1.39146647984905e-6
C1orf115,++++--++,1.26498e-4,1.1755678315279447e-6,0.9120703850669617,1,2.3511356630558895e-6
TROVE2,--++++++,3.95693e-4,1.612382693772786e-6,0.9750974599515548,1,3.224765387545572e-6
GALNTL2,--++++-+,2.81e-5,1.948230404891337e-6,0.9784948011288951,1,3.896460809782674e-6
LRRFIP1,+++++++-,0.001119382,2.1390105239421924e-6,0.9403732385144941,1,4.278021047884385e-6
CALN1,++++++++,0.006168633,2.426168897647342e-6,0.9999998344436515,1,4.852337795294684e-6
NRF1,---+----,0.004883989,0.9696307501747147,2.622401191245771e-6,-1,5.244802382491542e-6
FBXO38,-+------,0.001160674,0.9989748514318069,2.729942293243591e-6,-1,5.459884586487182e-6
