gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
AGA,--------,2.84925e-4,0.999996903932435,3.2067446524268018e-9,-1,6.4134893048536036e-9,1.0169836265636123e-4,1.017087062652563e-4,2.0339672531272246e-4
NDST2,+---+---,1.25281e-4,0.9852443033675089,2.162259271539466e-8,-1,4.324518543078932e-8,1.0169836265636123e-4,2.034174125305126e-4,2.0339672531272246e-4
MRPS12,----+---,8.02e-5,0.9997827041202699,3.1491852818309234e-7,-1,6.298370563661847e-7,1.0169836265636123e-4,3.051261187957689e-4,2.0339672531272246e-4
SLCO1A2,----++-+,3.41573e-4,0.3955438962835317,3.8277187825076264e-7,-1,7.655437565015253e-7,1.0169836265636123e-4,4.068348250610252e-4,2.0339672531272246e-4
ATG7,--------,1.17509e-4,0.999999941313585,3.923095855923302e-7,-1,7.846191711846604e-7,1.0169836265636123e-4,5.085435313262816e-4,2.0339672531272246e-4
PM20D2,++-+++++,3.32678e-4,4.006903626519056e-7,0.9995458606693007,1,8.013807253038112e-7,1.017087062652563e-4,6.101901759381674e-4,2.034174125305126e-4
LRP8,--------,0.002573783,0.9999990573249598,4.7444027477022505e-7,-1,9.488805495404501e-7,2.0339672531272246e-4,6.102522375915378e-4,4.067934506254449e-4
SYNGR1,--------,0.0049147,0.9999999644605836,6.037370460390295e-7,-1,1.207474092078059e-6,2.0339672531272246e-4,7.119609438567941e-4,4.067934506254449e-4
CRH,+-------,0.001538858,0.9999677567579849,6.95733239924525e-7,-1,1.39146647984905e-6,2.0339672531272246e-4,8.136696501220504e-4,4.067934506254449e-4
C1orf115,++++--++,1.26498e-4,1.1755678315279447e-6,0.9120703850669617,1,2.3511356630558895e-6,2.034174125305126e-4,9.152852639072511e-4,4.068348250610252e-4
TROVE2,--++++++,3.95693e-4,1.612382693772786e-6,0.9750974599515548,1,3.224765387545572e-6,3.051261187957689e-4,9.152852639072511e-4,6.102522375915378e-4
GALNTL2,--++++-+,2.81e-5,1.948230404891337e-6,0.9784948011288951,1,3.896460809782674e-6,4.068348250610252e-4,9.152852639072511e-4,8.136696501220504e-4
LRRFIP1,+++++++-,0.001119382,2.1390105239421924e-6,0.9403732385144941,1,4.278021047884385e-6,5.085435313262816e-4,9.152852639072511e-4,0.0010170870626525631
CALN1,++++++++,0.006168633,2.426168897647342e-6,0.9999998344436515,1,4.852337795294684e-6,6.102522375915378e-4,9.152852639072511e-4,0.0012205044751830757
NRF1,---+----,0.004883989,0.9696307501747147,2.622401191245771e-6,-1,5.244802382491542e-6,7.118885385945286e-4,9.153783563873067e-4,0.0014237770771890572
FBXO38,-+------,0.001160674,0.9989748514318069,2.729942293243591e-6,-1,5.459884586487182e-6,7.118885385945286e-4,0.0010170870626525631,0.0014237770771890572
COL6A1,++++-++-,0.002037172,2.7638742287264138e-6,0.9910111096714475,1,5.5277484574528276e-6,7.119609438567941e-4,0.0011186819892199736,0.0014239218877135883
DGCR2,++++-+++,6.76404e-4,3.0933652742324236e-6,0.997208320558598,1,6.186730548464847e-6,8.136696501220504e-4,0.0011186819892199736,0.0016273393002441008
VGF,--------,0.004039232,0.9999975815251457,3.333027364646258e-6,-1,6.666054729292516e-6,9.152852639072511e-4,0.0011187957689178193,0.0018305705278145023
BIN1,--++++++,2.08146e-4,5.0186164863077436e-6,0.7436136304893644,1,1.0037232972615487e-5,9.153783563873067e-4,0.0012203803518763348,0.0018307567127746134
RHEB,------+-,9.05e-5,0.9958856287016095,5.341382890994915e-6,-1,1.068276578198983e-5,0.0010169836265636124,0.0012205044751830757,0.0020339672531272247
PLXNA2,++------,5.01217e-4,0.9087209082970699,5.57733915186139e-6,-1,1.115467830372278e-5,0.0010169836265636124,0.0013222131814483319,0.0020339672531272247
PCSK1,--------,0.004344663,0.9999911527612758,5.721268880877908e-6,-1,1.1442537761755815e-5,0.0010169836265636124,0.0014239218877135883,0.0020339672531272247
SET,-------+,9.95131e-4,0.9999017357651594,6.5300810277820285e-6,-1,1.3060162055564057e-5,0.0010169836265636124,0.0015256305939788447,0.0020339672531272247
EXOC7,++++--++,7.08895e-4,6.863935839555016e-6,0.8592652716134338,1,1.3727871679110033e-5,0.0010170870626525631,0.0016271738025017796,0.0020341741253051262
GGNBP2,+++++--+,0.001093165,7.094295496905693e-6,0.9478445550406597,1,1.4188590993811386e-5,0.0011187957689178193,0.0016271738025017796,0.0022375915378356386
FBXO32,-+++++-+,1.6339e-4,7.34855895996816e-6,0.7181211195634418,1,1.469711791993632e-5,0.0012205044751830757,0.0016271738025017796,0.0024410089503661514
NEUROD6,-----+--,2.46816e-4,0.7308848719033069,7.525595034027625e-6,-1,1.505119006805525e-5,0.001322078714532696,0.0016273393002441008,0.002644157429065392
ZFP106,++++-+-+,3.28e-6,8.474121892902077e-6,0.9012314316516875,1,1.6948243785804153e-5,0.0013222131814483319,0.0017288721651581409,0.0026444263628966637
FBXO9,-----+-+,9.29213e-4,0.6235866318320564,8.538554481329778e-6,-1,1.7077108962659556e-5,0.0014237770771890572,0.0017290480065093572,0.0028475541543781144
SH3PXD2A,--++++-+,5.74625e-4,8.634077473612653e-6,0.693096066698009,1,1.7268154947225306e-5,0.0014239218877135883,0.0018305705278145023,0.0028478437754271765
MPP3,++-+++++,6.30618e-4,9.337742830740777e-6,0.9999664712402307,1,1.8675485661481554e-5,0.0015256305939788447,0.0018305705278145023,0.0030512611879576893
