gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
AGA,--------,2.84925e-4,0.29083624284704657,2.5165887542875468e-6,-1,5.0331775085750935e-6,0.48860862489829127,3.051261187957689e-4,6.102522375915378e-4
NDST2,+---+---,1.25281e-4,0.0015519435166900983,0.0025478607458539267,1,0.0031038870333801967,0.03692026037428804,0.05441415785191212,0.07384052074857608
MRPS12,----+---,8.02e-5,0.516247147015381,2.956867562903652e-5,-1,5.913735125807304e-5,0.6421887713588283,0.0033563873067534583,0.006712774613506917
SLCO1A2,----++-+,3.41573e-4,0.9998595915642584,1.4570407957219582e-9,-1,2.9140815914439163e-9,0.9967453213995118,1.017087062652563e-4,2.034174125305126e-4
ATG7,--------,1.17509e-4,0.047386289928351026,0.0036912016801328488,-1,0.0073824033602656975,0.21165581773799838,0.065805532953620835,0.13161106590724167
PM20D2,++-+++++,3.32678e-4,0.0038478308663808434,0.02347777299668276,1,0.007695661732761687,0.06041497152156224,0.1629373474369406,0.12082994304312449
LRP8,--------,0.002573783,0.2226875837364819,4.304268679123248e-4,-1,8.608537358246495e-4,0.4332790886899919,0.020036615134255493,0.040073230268510986
SYNGR1,--------,0.0049147,0.010033747729615334,0.026990478010767066,1,0.02006749545923067,0.09835231895850285,0.1766680227827502,0.1967046379170057
CRH,+-------,0.001538858,0.0967365099341385,0.0015442597904745561,-1,0.0030885195809491122,0.2954637917005696,0.04403986981285598,0.08807973962571196
C1orf115,++++--++,1.26498e-4,8.658918516902746e-7,0.9414650954578042,1,1.7317837033805492e-6,5.085435313262816e-4,0.8938161106590724,0.0010170870626525631
TROVE2,--++++++,3.95693e-4,0.06231039733098446,0.0012693074843068734,-1,0.0025386149686137467,0.24176159479251425,0.038649308380797394,0.07729861676159479
GALNTL2,--++++-+,2.81e-5,0.015750352369322207,0.007783438713946685,-1,0.01556687742789337,0.12276240846216437,0.0975386493083808,0.1950772986167616
LRRFIP1,+++++++-,0.001119382,1.346889766534696e-4,0.24236405065232894,1,2.693779533069392e-4,0.00935720097640358,0.4481285598047193,0.01871440195280716
CALN1,++++++++,0.006168633,0.17787160223150347,0.0027753571130600557,-1,0.005550714226120111,0.3922904800650936,0.05665174938974776,0.11330349877949553
NRF1,---+----,0.004883989,0.0025060048619673513,0.04694686405311386,1,0.0050120097239347025,0.04831163547599675,0.2241659886086249,0.0966232709519935
FBXO38,-+------,0.001160674,0.04297127656989109,0.007886392148849987,-1,0.015772784297699974,0.20270545158665582,0.09835231895850285,0.1967046379170057
COL6A1,++++-++-,0.002037172,4.934532367051566e-4,0.21932862646374696,1,9.869064734103132e-4,0.020748576078112285,0.42961757526444266,0.04149715215622457
DGCR2,++++-+++,6.76404e-4,4.1060070839802425e-5,0.7694310636312107,1,8.212014167960485e-5,0.004882017900732303,0.7703417412530512,0.009764035801464606
VGF,--------,0.004039232,0.07099704394911201,0.010384651494509603,-1,0.020769302989019207,0.25793327908869,0.1119812855980472,0.2239625711960944
BIN1,--++++++,2.08146e-4,0.010178501622781534,0.005183450892912771,-1,0.010366901785825541,0.0991659886086249,0.07709519934906428,0.15419039869812856
RHEB,------+-,9.05e-5,0.16676700010522635,0.001736086882007815,-1,0.00347217376401563,0.37978030919446704,0.047294548413344184,0.09458909682668837
PLXNA2,++------,5.01217e-4,8.846561417292823e-5,0.4086165169550502,1,1.7693122834585646e-4,0.007526444263628967,0.557160292921074,0.015052888527257934
PCSK1,--------,0.004344663,0.02491551293204752,0.04329432802910606,1,0.04983102586409504,0.15602115541090317,0.21704637917005695,0.31204231082180633
SET,-------+,9.95131e-4,0.519266718790857,5.405063233451297e-4,-1,0.0010810126466902594,0.6436126932465419,0.022986167615947926,0.04597233523189585
EXOC7,++++--++,7.08895e-4,2.231638131228097e-6,0.9699624011881891,1,4.463276262456194e-6,0.0010170870626525631,0.9258543531326282,0.0020341741253051262
GGNBP2,+++++--+,0.001093165,0.002969008388010395,0.06504779440581537,1,0.00593801677602079,0.05299023596419854,0.25294955248169243,0.10598047192839707
FBXO32,-+++++-+,1.6339e-4,0.013600402520812887,0.0046829500391446345,-1,0.009365900078289269,0.11411716842961757,0.07384052074857608,0.14768104149715217
