gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
AGA,--------,2.84925e-4,0.29083624284704657,2.5165887542875468e-6,-1,5.0331775085750935e-6
NDST2,+---+---,1.25281e-4,0.0015519435166900983,0.0025478607458539267,1,0.0031038870333801967
NSDHL,--------,2.56835e-4,0.5110140638020121,3.411804842932603e-5,-1,6.823609685865206e-5
MRPS12,----+---,8.02e-5,0.516247147015381,2.956867562903652e-5,-1,5.913735125807304e-5
SLCO1A2,----++-+,3.41573e-4,0.9998595915642584,1.4570407957219582e-9,-1,2.9140815914439163e-9
ATG7,--------,1.17509e-4,0.047386289928351026,0.0036912016801328488,-1,0.0073824033602656975
PM20D2,++-+++++,3.32678e-4,0.0038478308663808434,0.02347777299668276,1,0.007695661732761687
LRP8,--------,0.002573783,0.2226875837364819,4.304268679123248e-4,-1,8.608537358246495e-4
SYNGR1,--------,0.0049147,0.010033747729615334,0.026990478010767066,1,0.02006749545923067
CRH,+-------,0.001538858,0.0967365099341385,0.0015442597904745561,-1,0.0030885195809491122
C1orf115,++++--++,1.26498e-4,8.658918516902746e-7,0.9414650954578042,1,1.7317837033805492e-6
TROVE2,--++++++,3.95693e-4,0.06231039733098446,0.0012693074843068734,-1,0.0025386149686137467
GALNTL2,--++++-+,2.81e-5,0.015750352369322207,0.007783438713946685,-1,0.01556687742789337
LRRFIP1,+++++++-,0.001119382,1.346889766534696e-4,0.24236405065232894,1,2.693779533069392e-4
CALN1,++++++++,0.006168633,0.17787160223150347,0.0027753571130600557,-1,0.005550714226120111
NRF1,---+----,0.004883989,0.0025060048619673513,0.04694686405311386,1,0.0050120097239347025
FBXO38,-+------,0.001160674,0.04297127656989109,0.007886392148849987,-1,0.015772784297699974
COL6A1,++++-++-,0.002037172,4.934532367051566e-4,0.21932862646374696,1,9.869064734103132e-4
DGCR2,++++-+++,6.76404e-4,4.1060070839802425e-5,0.7694310636312107,1,8.212014167960485e-5
VGF,--------,0.004039232,0.07099704394911201,0.010384651494509603,-1,0.020769302989019207
BIN1,--++++++,2.08146e-4,0.010178501622781534,0.005183450892912771,-1,0.010366901785825541
RHEB,------+-,9.05e-5,0.16676700010522635,0.001736086882007815,-1,0.00347217376401563
PLXNA2,++------,5.01217e-4,8.846561417292823e-5,0.4086165169550502,1,1.7693122834585646e-4
PCSK1,--------,0.004344663,0.02491551293204752,0.04329432802910606,1,0.04983102586409504
SET,-------+,9.95131e-4,0.519266718790857,5.405063233451297e-4,-1,0.0010810126466902594
EXOC7,++++--++,7.08895e-4,2.231638131228097e-6,0.9699624011881891,1,4.463276262456194e-6
GGNBP2,+++++--+,0.001093165,0.002969008388010395,0.06504779440581537,1,0.00593801677602079
FBXO32,-+++++-+,1.6339e-4,0.013600402520812887,0.0046829500391446345,-1,0.009365900078289269
NEUROD6,-----+--,2.46816e-4,0.35615251417312116,5.234927015222581e-5,-1,1.0469854030445162e-4
ZFP106,++++-+-+,3.28e-6,1.263477150543982e-6,0.9983827190440484,1,2.526954301087964e-6
FBXO9,-----+-+,9.29213e-4,0.810031794042277,3.122201473922377e-6,-1,6.244402947844754e-6
SH3PXD2A,--++++-+,5.74625e-4,0.006067081574511593,0.010885239359078796,1,0.012134163149023186
MPP3,++-+++++,6.30618e-4,0.14114601250015293,0.008019052725338753,-1,0.016038105450677506
RPAP1,+++++---,0.001111704,1.1615042704055411e-4,0.697384486509727,1,2.3230085408110823e-4
NGEF,-+------,0.001766479,0.016265315007767362,0.02283079196292059,1,0.032530630015534724
SEL1L,+-------,6.01311e-4,0.004394203087392745,0.13695551028331873,1,0.00878840617478549
PDCD7,+++++-++,5.95506e-4,0.002813942607453999,0.23001710885259788,1,0.005627885214907998
LINGO2,++++---+,1.42322e-4,3.3377831617679356e-7,0.9999040436254081,1,6.675566323535871e-7
SLC13A3,+++++++-,0.004557491,0.033029842418446496,0.01966342496320686,-1,0.03932684992641372
P4HA1,+------+,7.94288e-4,0.009032298265852685,0.004027375900699194,-1,0.008054751801398388
PCDH9,-+++++++,0.004988764,0.06552211532620159,0.017350466372306406,-1,0.03470093274461281
RIOK3,-+++++++,5.96536e-4,0.05742126520685507,0.0036701098743281953,-1,0.007340219748656391
SLC25A42,++------,9.60861e-4,8.88415742393713e-5,0.2936621082273656,1,1.776831484787426e-4
MAN1A1,-------+,9.38764e-4,0.19763424622939954,0.0034243781986183705,-1,0.006848756397236741
FAM115A,+++++-++,0.002346629,7.056879608423999e-4,0.5642874619928205,1,0.0014113759216847997
ELOVL5,------+-,0.00106573,0.034564046130394065,0.01945764951807438,-1,0.03891529903614876
PLA2G5,--------,8.33895e-4,0.3522737604442737,0.004676057506472352,-1,0.009352115012944704
STAMBPL1,--------,0.001905805,0.08953946596425433,0.02155784889608343,-1,0.04311569779216686
PGAP1,----+-+-,0.001316292,0.5498013358129936,2.0992686755400933e-4,-1,4.1985373510801865e-4
NPTX2,--------,0.017181461,0.02500844120170743,0.15147938514839646,1,0.05001688240341486
