gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
TBC1D9B,----,0.001624251,0.9999860081697545,7.179065140433481e-6,-1,1.4358130280866961e-5
PLXNA2,----,5.01217e-4,0.9999904365555603,9.676481522501927e-6,-1,1.9352963045003855e-5
KIF13B,++++,5.17884e-4,2.0811864786414914e-5,0.997462447776317,1,4.162372957282983e-5
NDST2,+---,1.25281e-4,0.8852170168540112,2.3042600584164643e-5,-1,4.6085201168329285e-5
CALN1,++++,0.006168633,2.4588271517458127e-5,0.9999954786882962,1,4.9176543034916253e-5
ARHGEF3,----,0.006276124,0.9999664050688124,2.7959431959314486e-5,-1,5.591886391862897e-5
HAR1A,---+,4.82e-5,0.9775161329274157,3.143887177027501e-5,-1,6.287774354055001e-5
SHANK2,--+-,5.34925e-4,0.8042402589080466,3.427403190021359e-5,-1,6.854806380042718e-5
FAM155B,----,0.001682116,0.9995588250615793,3.614845707386341e-5,-1,7.229691414772682e-5
SLC25A42,----,9.60861e-4,0.98613714931574,4.4080000354315886e-5,-1,8.816000070863177e-5
SP110,++++,0.01335824,5.042896932474173e-5,0.9999989303933943,1,1.0085793864948346e-4
CAMK1G,----,0.003465169,0.9997260507988087,6.0583703610107595e-5,-1,1.2116740722021519e-4
RPH3A,-+--,6.90169e-4,0.9789954746364173,6.528410974649386e-5,-1,1.305682194929877e-4
MPPE1,----,0.003013764,0.9999904566011428,8.240163895341193e-5,-1,1.6480327790682387e-4
NCAPH2,----,7.81e-5,0.9959334745605206,9.688194822071978e-5,-1,1.9376389644143956e-4
TROVE2,++++,0.004983521,9.848054675361008e-5,0.9999929717624461,1,1.9696109350722017e-4
CLCC1,++-+,0.002747566,1.001399885372024e-4,0.9892684775088498,1,2.002799770744048e-4
TMEM86B,----,6.91199e-4,0.999846206723046,1.095281665894662e-4,-1,2.190563331789324e-4
CD55,++++,0.001054213,1.1200535846899732e-4,0.9992944490959041,1,2.2401071693799464e-4
CPEB4,++++,0.005901966,1.13275670310835e-4,0.9998019938306245,1,2.2655134062167e-4
SYNGR1,----,0.008564888,0.9999759086089773,1.2021394548930089e-4,-1,2.4042789097860178e-4
SCD5,++++,0.003748408,1.2761029468329123e-4,0.9998720070026982,1,2.5522058936658246e-4
ZFYVE9,----,0.002007959,0.9999512672664924,1.3284215446416828e-4,-1,2.6568430892833655e-4
LRRCC1,++--,1.98221e-4,1.331054878468932e-4,0.8880857885261506,1,2.662109756937864e-4
MPP3,++++,6.30618e-4,1.3467460918439818e-4,0.9994235683699526,1,2.6934921836879635e-4
ADAMTSL2,+---,3.1339e-4,0.8548824395533008,1.4024655887741368e-4,-1,2.8049311775482736e-4
RABEP1,++++,0.006704869,1.412994752637286e-4,0.9998982182171433,1,2.825989505274572e-4
ANP32A,++++,8.82022e-4,1.4214799586377902e-4,0.9989179427644863,1,2.8429599172755804e-4
SMAD5,++++,0.003325843,1.55017017694391e-4,0.9999533939164931,1,3.10034035388782e-4
MTERFD2,---+,0.001656367,0.5236172400847887,1.5588729229800246e-4,-1,3.117745845960049e-4
CA12,++++,0.003140449,1.620694568309314e-4,0.999966626039783,1,3.241389136618628e-4
KTN1,++++,0.009738296,1.632822297278163e-4,0.999936530180288,1,3.265644594556326e-4
PNN,++++,0.005205431,1.6630535192991555e-4,0.9993218200478489,1,3.326107038598311e-4
GALNT14,----,0.009527247,0.9999797691335065,1.727205054290422e-4,-1,3.454410108580844e-4
SLC35A3,++++,0.009109831,1.7926630687174687e-4,0.9998815665145129,1,3.5853261374349375e-4
