gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
TBC1D9B,----,0.001624251,0.9999860081697545,7.179065140433481e-6,-1,1.4358130280866961e-5,1.017087062652563e-4,1.0171905197843556e-4,2.034174125305126e-4
PLXNA2,----,5.01217e-4,0.9999904365555603,9.676481522501927e-6,-1,1.9352963045003855e-5,1.017087062652563e-4,2.0343810395687112e-4,2.034174125305126e-4
KIF13B,++++,5.17884e-4,2.0811864786414914e-5,0.997462447776317,1,4.162372957282983e-5,1.0171905197843556e-4,3.051261187957689e-4,2.0343810395687112e-4
NDST2,+---,1.25281e-4,0.8852170168540112,2.3042600584164643e-5,-1,4.6085201168329285e-5,2.034174125305126e-4,3.051571559353067e-4,4.068348250610252e-4
CALN1,++++,0.006168633,2.4588271517458127e-5,0.9999954786882962,1,4.9176543034916253e-5,2.0343810395687112e-4,4.068348250610252e-4,4.0687620791374224e-4
ARHGEF3,----,0.006276124,0.9999664050688124,2.7959431959314486e-5,-1,5.591886391862897e-5,3.051261187957689e-4,4.0687620791374224e-4,6.102522375915378e-4
SHANK2,--+-,5.34925e-4,0.8042402589080466,3.427403190021359e-5,-1,6.854806380042718e-5,3.051261187957689e-4,5.085952598921778e-4,6.102522375915378e-4
SLC25A42,----,9.60861e-4,0.98613714931574,4.4080000354315886e-5,-1,8.816000070863177e-5,3.051261187957689e-4,6.103143118706134e-4,6.102522375915378e-4
SP110,++++,0.01335824,5.042896932474173e-5,0.9999989303933943,1,1.0085793864948346e-4,3.051571559353067e-4,7.119609438567941e-4,6.103143118706134e-4
CAMK1G,----,0.003465169,0.9997260507988087,6.0583703610107595e-5,-1,1.2116740722021519e-4,4.068348250610252e-4,7.120333638490489e-4,8.136696501220504e-4
RPH3A,-+--,6.90169e-4,0.9789954746364173,6.528410974649386e-5,-1,1.305682194929877e-4,4.068348250610252e-4,8.137524158274845e-4,8.136696501220504e-4
MPPE1,----,0.003013764,0.9999904566011428,8.240163895341193e-5,-1,1.6480327790682387e-4,4.068348250610252e-4,9.1547146780592e-4,8.136696501220504e-4
NCAPH2,----,7.81e-5,0.9959334745605206,9.688194822071978e-5,-1,1.9376389644143956e-4,4.068348250610252e-4,0.0010171905197843556,8.136696501220504e-4
TROVE2,++++,0.004983521,9.848054675361008e-5,0.9999929717624461,1,1.9696109350722017e-4,4.0687620791374224e-4,0.0011187957689178193,8.137524158274845e-4
CLCC1,++-+,0.002747566,1.001399885372024e-4,0.9892684775088498,1,2.002799770744048e-4,5.085952598921778e-4,0.0011187957689178193,0.0010171905197843556
TMEM86B,----,6.91199e-4,0.999846206723046,1.095281665894662e-4,-1,2.190563331789324e-4,6.102522375915378e-4,0.0011189095717627912,0.0012205044751830757
CD55,++++,0.001054213,1.1200535846899732e-4,0.9992944490959041,1,2.2401071693799464e-4,6.103143118706134e-4,0.0012205044751830757,0.0012206286237412267
CPEB4,++++,0.005901966,1.13275670310835e-4,0.9998019938306245,1,2.2655134062167e-4,7.120333638490489e-4,0.0012205044751830757,0.0014240667276980978
