gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
HES4,-+,0.158381461,0.7582516210352459,0.18627168807332287,-1,0.37254337614664573,0.2639072510932574,0.310313262815297,0.5278145021865148
ISG15,-+,0.789064607,0.5280310618320619,0.6522462572622209,1,1.0560621236641239,0.4584011391375102,0.518865046272755,0.9168022782750204
AGRN,+-,0.148303839,0.23934740649799435,0.39398247367759853,1,0.4786948129959887,0.3052278275020342,0.35645276111054613,0.6104556550040684
C1orf159,+-,0.144165543,0.20236650768404293,0.6276290628994164,1,0.40473301536808587,0.27654597233523187,0.3242143801484796,0.5530919446704637
TTLL5,-+,0.029891386,0.20154515206458815,0.0745210953905686,-1,0.1490421907811372,0.15285263907251093,0.17493897477624085,0.30570527814502185
SDF4,++,0.177436985,0.10459935682758928,0.9456549767464093,1,0.20919871365517856,0.18897477624084622,0.21529543374351673,0.37794955248169243
B3GALT6,+-,0.09360824,0.17476129883751448,0.33093475780957504,1,0.34952259767502897,0.2525427176566314,0.2974677107698566,0.5050854353132628
UBE2J2,+-,0.326078839,0.517851999064934,0.3840271550656186,-1,0.7680543101312372,0.4017085324926269,0.45311228641171686,0.8034170649852538
SCNN1D,+-,0.308169663,0.4359233266176944,0.3883128017892802,-1,0.7766256035785604,0.40435268992169227,0.4557567127746135,0.8087053798433845
PUSL1,+-,0.597615918,0.5799646437786296,0.5175094194602012,-1,1.0350188389204025,0.4552018712498729,0.5169853539462979,0.9104037424997458
CPSF3L,+-,0.030702341,0.6751641851410716,0.058296989600782445,-1,0.11659397920156489,0.131190887826706,0.14879983726606996,0.262381775653412
GLTPD1,-+,0.090690449,0.7547361544625,0.12432597268852698,-1,0.24865194537705396,0.20837994508288415,0.24074450772986167,0.4167598901657683
DVL1,-+,0.167533333,0.24880842678250878,0.48959720259453793,1,0.49761685356501756,0.31204231082180633,0.36346994813383504,0.6240846216436127
