gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
HES4,-+,0.158381461,0.8663075465122738,0.14772843686292433,-1,0.29545687372584867,0.24336418183667244,0.2395240032546786,0.4790480065093572
ISG15,-+,0.789064607,0.6763592936538998,0.5066875370379168,-1,1.0133750740758336,0.47605003559442693,0.48759153783563874,0.9521000711888539
AGRN,+-,0.148303839,0.057716589946865175,0.9777166618077698,1,0.11543317989373035,0.13466232709519935,0.12895352384826606,0.2579070476965321
C1orf159,+-,0.144165543,0.102973208089203,0.9320441274008303,1,0.205946416178406,0.19375508543531325,0.18976914471677006,0.3795382894335401
TTLL5,-+,0.029891386,0.9978041486103277,0.006272630503369234,-1,0.012545261006738468,0.029187430082375673,0.02674938974776241,0.05349877949552482
SDF4,++,0.177436985,0.2483112231179262,0.5565797674398172,1,0.4966224462358524,0.33462164361269325,0.3404861181734974,0.6692432872253865
B3GALT6,+-,0.09360824,0.031091847223305484,0.9886077720122868,1,0.06218369444661097,0.08818144833197722,0.08613851316993797,0.17227702633987593
UBE2J2,+-,0.326078839,0.1638113476384542,0.9253817618516393,1,0.3276226952769084,0.2604759967453214,0.2556696837180921,0.5113393674361842
SCNN1D,+-,0.308169663,0.12615436269749383,0.947943874147786,1,0.25230872539498767,0.21999593165174938,0.21732940099664397,0.43465880199328794
PUSL1,+-,0.597615918,0.33373965806582906,0.8194996040515696,1,0.6674793161316581,0.39554515866558176,0.4047594833723177,0.7910903173311635
CPSF3L,+-,0.030702341,0.030753414840228102,0.9394566678204131,1,0.061506829680456204,0.08726606997558992,0.08583341808196888,0.17166683616393777
GLTPD1,-+,0.090690449,0.8888785283937103,0.09191315001390768,-1,0.18382630002781536,0.18234516424285568,0.17697314890154597,0.35394629780309195
DVL1,-+,0.167533333,0.9615069641155145,0.08424845308161243,-1,0.16849690616322485,0.17268381979050137,0.16720911310008138,0.33441822620016276
AURKAIP1,-+,0.348399625,0.8982090893441881,0.20267378128143135,-1,0.4053475625628627,0.2977728058578257,0.2989218877135883,0.5955456117156513
CCNL2,-+,0.035114794,0.9386858639116318,0.034466595628006365,-1,0.06893319125601273,0.09518966744635411,0.09214808787632221,0.18429617575264443
MRPL20,-+,0.126728371,0.9514119245959365,0.08081708972289904,-1,0.16163417944579808,0.16719210820705788,0.16212367778681855,0.3242473555736371
VWA1,+-,0.006559738,0.0057586074917340795,0.9750515557357585,1,0.011517214983468159,0.02725793327908869,0.025933082477372114,0.05186616495474423
ATAD3B,+-,0.442184176,0.22039528886329693,0.8948296602775819,1,0.44079057772659386,0.31366965012205045,0.3154683209600325,0.6273393002441009
ATAD3A,-+,0.575049625,0.7279421843071414,0.41953614112259596,-1,0.8390722822451919,0.44187938574188956,0.4524003254678601,0.8837587714837791
SSU72,--,0.031716292,0.2541365583302235,0.07691131002541066,-1,0.1538226200508213,0.16302247533814707,0.157139951179821,0.314279902359642
NADK,+-,0.006610581,0.009302574889118693,0.9226453596077312,1,0.018605149778237386,0.03895443449959317,0.036713108918946406,0.07342621783789281
GNB1,--,0.065089888,0.49617289053707436,0.12213499161913631,-1,0.24426998323827262,0.21529543374351673,0.2113506916192026,0.4227013832384052
C1orf222,++,0.151135861,0.2346984566665237,0.46168230375819497,1,0.4693969133330474,0.32485760781122863,0.32889250483067223,0.6497152156224573
KIAA1751,++,0.021650375,0.049734634752846056,0.5200336803535793,1,0.09946926950569211,0.1226606997558991,0.11817349740669175,0.2363469948133835
PRKCZ,--,0.002231273,0.45146973766838105,0.0074774838440858854,-1,0.014954967688171771,0.0330519678633174,0.030105777054515868,0.060211554109031735
C1orf86,+-,0.201419757,0.08580656861929951,0.9653276911729316,1,0.17161313723859903,0.17402359641985354,0.16861588528424692,0.33723177056849385
SKI,++,0.193426124,0.2675415038814314,0.5362027883761522,1,0.5350830077628628,0.3505899104963385,0.3562493643852334,0.701179820992677
RER1,--,0.405540356,0.5686794731339079,0.42336961699784553,-1,0.8467392339956911,0.4443201464456422,0.45433279088689993,0.8886402928912844
PEX10,--,0.017576498,0.4692076016895656,0.04317140735394268,-1,0.08634281470788537,0.11196989728465372,0.10811635475996745,0.2162327095199349
PLCH2,-+,0.901169195,0.6580617510174732,0.5325190993324731,-1,1.0650381986649462,0.48489779314553033,0.4950162733930024,0.9697955862910607
PANK4,-+,0.041804401,0.9532585007678498,0.0353558609338819,-1,0.0707117218677638,0.09722363469948134,0.09347030105777054,0.1869406021155411
HES5,++,0.126251404,0.6574071057606294,0.1786883395050776,-1,0.3573766790101552,0.2728567070070172,0.27502034174125306,0.5457134140140344
TNFRSF14,-+,0.07538118,0.9573087919512608,0.05325301448554987,-1,0.10650602897109974,0.1282416353096715,0.1224572823433686,0.2449145646867372
ARHGEF16,-+,0.347769569,0.9269646257861077,0.16402420329336714,-1,0.3280484065867343,0.2607546018509102,0.25589910496338486,0.5117982099267697
TPRG1L,--,0.010444663,0.8246926849851561,0.019000487303610064,-1,0.03800097460722013,0.06203600122038035,0.06133034987794955,0.1226606997558991
WDR8,-+,0.201778558,0.8234033922036025,0.19486619173372585,-1,0.3897323834674517,0.2890267466693786,0.29058177379983724,0.5780534933387572
LRRC47,-+,0.205764139,0.8210414726841565,0.19846102984678463,-1,0.39692205969356925,0.29370487135157125,0.29434499593165175,0.5874097427031425
KIAA0562,-+,0.308605337,0.9144223383132284,0.17489874937861263,-1,0.34979749875722527,0.2688904708634191,0.26993490642799023,0.5377809417268382
DFFB,++,0.040601685,0.09093691631606095,0.3383305261921933,1,0.1818738326321219,0.18114320585842147,0.17583646903284858,0.35167293806569716
AJAP1,-+,0.003712828,0.9984738080201205,0.0010058357776843191,-1,0.0020116715553686383,0.007729075561883454,0.0052888527257933275,0.010577705451586655
NPHP4,-+,0.221789513,0.8860876994057717,0.17115607739313793,-1,0.34231215478627586,0.2659412183463846,0.2648494711147274,0.5296989422294548
KCNAB2,--,0.033098502,0.06528659837513169,0.6202180337447122,1,0.13057319675026338,0.14574857607811229,0.14095393064171666,0.2819078612834333
CHD5,-+,0.465072285,0.899837060776375,0.21338649403580315,-1,0.4267729880716063,0.30895962575002545,0.3093978844589097,0.6179192515000509
RPL22,--,0.013133708,0.6288104193953327,0.030188574798111645,-1,0.06037714959622329,0.08624021153259433,0.084519934906428,0.169039869812856
ICMT,+-,0.266144944,0.1810621100724393,0.8965192633178838,1,0.3621242201448786,0.2754271765663141,0.27733143496389706,0.5508543531326282
GPR153,--,0.336207303,0.4106578585447639,0.4357066846683565,1,0.8213157170895278,0.4367371847030106,0.4469643038747076,0.8734743694060212
ACOT7,--,1.70599e-4,0.8162021752998052,5.070750533539961e-4,-1,0.0010141501067079922,0.004271331231567171,0.0030512611879576893,0.006102522375915379
TNFRSF25,+-,0.178584457,0.05804372042632306,0.9794592406349384,1,0.11608744085264612,0.13567941415785192,0.12966541238686058,0.25933082477372116
PLEKHG5,--,0.128546442,0.7262673972067407,0.1676204112738504,-1,0.3352408225477008,0.2630936641920065,0.2611879576891782,0.5223759153783564
NOL9,+-,0.005388764,0.0011494422682766187,0.9989762399128489,1,0.0022988845365532373,0.00854353132628153,0.006203600122038035,0.01240720024407607
ZBTB48,++,0.813738483,0.5862495500002842,0.5831230830173205,-1,1.166246166034641,0.49435574087257195,0.5038649308380797,0.9887114817451439
KLHL21,+-,0.078445131,0.06179509261666307,0.9441091197546319,1,0.12359018523332614,0.14076484947111473,0.1358690125088986,0.2717380250177972
PHF13,--,0.545364326,0.48053289773228786,0.609914637415789,1,0.9610657954645757,0.46796175752644426,0.4779823044848978,0.9359235150528885
THAP3,--,0.29602706,0.4541533022971894,0.3747027498866486,-1,0.7494054997732972,0.41930234923217735,0.427379983726607,0.8386046984643547
DNAJC11,+-,0.114713951,0.0830046924987372,0.9408277718938167,1,0.1660093849974744,0.17097233523189584,0.1657683311298688,0.3315366622597376
CAMTA1,+-,0.017947472,0.007347997699027125,0.9936550084187936,1,0.01469599539805425,0.03285191212367779,0.02979762025831384,0.05959524051662768
VAMP3,++,0.003750468,0.009800274792005542,0.6815040218127194,1,0.019600549584011084,0.04037835638730675,0.03793348927082274,0.07586697854164548
PER3,++,0.207042884,0.232297314863849,0.7339734203348465,1,0.464594629727698,0.32343368592351507,0.3265534424895759,0.6468673718470301
PARK7,-+,0.308760674,0.8929597872894686,0.1982371030264123,-1,0.3964742060528246,0.29350147462625853,0.29403986981285596,0.5870029492525171
ERRFI1,--,0.183984738,0.24787882986987175,0.5931131333499889,1,0.4957576597397435,0.33441822620016276,0.3398759279975592,0.6688364524003255
SLC45A1,--,4.10955e-4,0.5165465882567231,0.001602531840048207,-1,0.003205063680096414,0.011288518254856097,0.008340113913751017,0.016680227827502035
RERE,+-,0.057444288,0.01636141324612204,0.9940599972936286,1,0.03272282649224408,0.056244914564686735,0.054815417471778705,0.10963083494355741
ENO1,-+,0.340972753,0.9266864091704023,0.16376299849515286,-1,0.3275259969903057,0.26014441167497204,0.2555939788445891,0.5111879576891782
SLC2A5,--,0.111581554,0.15180556015752567,0.7221669607607485,1,0.30361112031505133,0.24806753458096012,0.2444828638258924,0.4889657276517848
SPSB1,+-,0.063028184,0.028496007524200787,0.9850262680320007,1,0.056992015048401574,0.0830960130187144,0.08135869012508899,0.16271738025017798
SLC25A33,++,0.603492603,0.636724116258291,0.4897706150851301,-1,0.9795412301702602,0.47015153056035797,0.4823026851098454,0.9403030611207159
PIK3CD,+-,0.024789888,0.018112123030613707,0.9737889859594036,1,0.036224246061227414,0.06041497152156224,0.05979863724194041,0.11959727448388081
CLSTN1,--,0.535163764,0.5109400114105963,0.5273422159616353,1,1.0218800228211926,0.47762408462164363,0.48916912437709753,0.9552481692432873
CTNNBIP1,+-,0.533187172,0.2800142291938559,0.8571101216749393,1,0.5600284583877118,0.3598454027664768,0.36662259737618225,0.7196908055329536
LZIC,--,0.025052715,0.585181532454206,0.05354104399644971,-1,0.10708208799289942,0.12854673039764059,0.12296582587469487,0.24593165174938975
RBP7,+-,0.159784082,0.11787947268153881,0.9211428441945431,1,0.23575894536307762,0.2113506916192026,0.20624427946710058,0.41248855893420117
UBE4B,+-,0.096763951,0.038036806991717013,0.9843591664736885,1,0.07607361398343403,0.100793327908869,0.09773212651276314,0.19546425302552628
KIF1B,++,0.019225468,0.08080698075017771,0.05355291058244064,-1,0.10710582116488128,0.12854673039764059,0.12306753458096013,0.24613506916192027
PGD,++,0.740444288,0.6503332603789078,0.5204376628167946,-1,1.0408753256335892,0.48133835045255774,0.4926769731489015,0.9626767009051155
CORT,-+,0.001221536,0.9627039541416373,0.001547560941132345,-1,0.00309512188226469,0.010983423166887014,0.00823840520748576,0.01647681041497152
DFFA,++,0.022202528,0.2424610850317373,0.05775997680364442,-1,0.11551995360728884,0.13475033051967863,0.12906834825061025,0.2581366965012205
PEX14,--,0.149977715,0.3267065023078374,0.24812328228756575,-1,0.4962465645751315,0.3345876131394285,0.3403173311635476,0.669175226278857
TARDBP,++,0.245801124,0.30727692045455696,0.5726103246271281,1,0.6145538409091139,0.37978030919446704,0.38787755517136174,0.7595606183889341
SRM,-+,0.417146067,0.8644580761975451,0.25544088315155533,-1,0.5108817663031107,0.3404861181734974,0.34611472742066723,0.6809722363469948
EXOSC10,++,0.326289139,0.3467885869887483,0.6446289194724851,1,0.6935771739774966,0.4034784377542718,0.4116749720329503,0.8069568755085436
UBIAD1,--,0.035969663,0.8272266740605626,0.05289421192464671,-1,0.10578842384929342,0.12752974677107698,0.12215215622457282,0.24430431244914563
PTCHD2,++,0.080290543,0.22841584308922272,0.1610926691336552,-1,0.3221853382673104,0.2577036509712194,0.25294955248169243,0.5058991049633849
FBXO2,++,0.359194382,0.5113363400513046,0.40979239179090443,-1,0.8195847835818089,0.436082579070477,0.4459926769731489,0.872165158140954
FBXO44,+-,0.386965075,0.3084975030144374,0.7914422202569444,1,0.6169950060288748,0.3804922701383238,0.3886911420726126,0.7609845402766476
FBXO6,++,0.366872566,0.6775739108372264,0.35922332511602223,-1,0.7184466502320445,0.41014949659310485,0.4181244914564687,0.8202989931862097
MAD2L2,+-,0.031776311,0.023317821758286644,0.9704726663549129,1,0.04663564351657329,0.07231489015459723,0.07190074239804739,0.14380148479609478
AGTRAP,++,0.258667228,0.3841784643002964,0.3546051405432197,-1,0.7092102810864394,0.4076070375266958,0.41537835638730675,0.8152140750533916
MTHFR,+-,0.017135674,0.0019124655909443019,0.999487846131684,1,0.0038249311818886037,0.012611879576891782,0.009661344452354318,0.019322688904708635
CLCN6,+-,0.057697659,0.012330161150096712,0.9962836851455613,1,0.024660322300193424,0.04587062652563059,0.04576426319536255,0.0915285263907251
NPPA,--,0.113530805,0.48405904583351234,0.18792738074974263,-1,0.37585476149948527,0.281806162920777,0.2847843775427177,0.563612325841554
KIAA2013,+-,0.055169101,0.030264440673129337,0.9794592088388203,1,0.060528881346258674,0.08624898291293735,0.08481643445540527,0.16963286891081053
PLOD1,--,0.69198764,0.5231054091833128,0.629412448848463,1,1.0462108183666257,0.4827095199349064,0.49333875724600834,0.9654190398698128
MFN2,++,0.274120787,0.30371590648412755,0.6661172139163185,1,0.6074318129682551,0.3773393002441009,0.3844198108410455,0.7546786004882018
TNFRSF1B,+-,0.5260397,0.3640516054443166,0.7793905095157692,1,0.7281032108886332,0.4129373474369406,0.42133631648530456,0.8258746948738812
VPS13D,-+,0.261114888,0.8894223692106631,0.18525406427928695,-1,0.3705081285585739,0.27946710057968066,0.2819365337672905,0.5589342011593613
DHRS3,++,0.165472097,0.1824186008371011,0.7894817035042607,1,0.3648372016742022,0.2766476810414972,0.2789586087663989,0.5532953620829943
PRDM2,+-,0.121376873,0.04067982650392388,0.9854333537034295,1,0.08135965300784775,0.1073026851098454,0.10261364792026849,0.20522729584053698
EFHD2,--,0.016405805,0.03933704808587555,0.5273508039336431,1,0.0786740961717511,0.10394629780309195,0.1004779823044849,0.2009559646089698
CASP9,+-,0.109418446,0.0717756085425858,0.9536463750272706,1,0.1435512170851716,0.1564279902359642,0.14990338655547647,0.29980677311095294
DNAJC16,--,0.028613577,0.13905886704839449,0.07314327789473474,-1,0.14628655578946947,0.1582426522932981,0.15164768104149715,0.3032953620829943
RSC1A1,--,0.244604307,0.2369353134512198,0.7896764460862953,1,0.4738706269024396,0.32628152969894225,0.33143496389708127,0.6525630593978845
PLEKHM2,+-,0.006764794,0.01228811687804708,0.8516372114569859,1,0.02457623375609416,0.045565500406834825,0.04545916810739347,0.09091833621478694
SLC25A34,+-,0.08169897,0.05351686754235568,0.9619681069789083,1,0.10703373508471135,0.12845809601301872,0.12295332045154073,0.24590664090308145
SPEN,+-,0.043624064,0.03519093702518758,0.9572552229934284,1,0.07038187405037516,0.09672497965825874,0.09315570019322689,0.18631140038645377
ZBTB17,+-,0.090958521,0.07764664281472337,0.9262659874909325,1,0.15529328562944675,0.1636493083807974,0.15783585884267262,0.31567171768534524
C1orf64,--,0.216569007,0.21338929145464525,0.8028768356705971,1,0.4267785829092905,0.30899104963384866,0.3094681175633072,0.6179820992676973
FAM131C,--,0.498730993,0.4868814895302753,0.540732669362396,1,0.9737629790605506,0.4692839707078926,0.481134953727245,0.9385679414157851
FBXO42,+-,0.320526404,0.13168918795809015,0.9451994875858944,1,0.2633783759161803,0.225793327908869,0.2232279060307129,0.4464558120614258
C1orf144,+-,0.593479026,0.3523589945745428,0.8037155790750894,1,0.7047179891490856,0.40622457282343366,0.41442082782467204,0.8124491456468673
NECAP2,++,0.008259925,0.0259918733644208,0.15380831090689223,1,0.0519837467288416,0.07750203417412531,0.07749415234414726,0.15498830468829453
ATP13A2,--,0.34283839,0.6372455498886035,0.3601645440485932,-1,0.7203290880971864,0.41025119495576123,0.41883645240032547,0.8205023899115225
SDHB,-+,0.098073689,0.942437314657168,0.07353685829433158,-1,0.14707371658866317,0.1584460490186108,0.1524613506916192,0.3049227013832384
PADI1,+-,0.156585019,0.060531772893925605,0.9767848033066354,1,0.12106354578785121,0.13913751017087062,0.1335299501678023,0.2670599003356046
RCC2,+-,0.464610955,0.2500933851067507,0.8750964269766741,1,0.5001867702135014,0.33594385679414157,0.34221499033865554,0.6718877135882831
ARHGEF10L,++,0.214871629,0.40221300937951854,0.31001151222631856,-1,0.6200230244526371,0.3816739550493237,0.3896460537021969,0.7633479100986474
IGSF21,-+,0.056904775,0.9679582034221659,0.03802290213164042,-1,0.07604580426328084,0.10068137902979762,0.09764035801464606,0.19528071602929212
ALDH4A1,++,0.064701779,0.3234793020325851,0.13204646355685593,-1,0.26409292711371185,0.2258720634597783,0.22335231895850285,0.4467046379170057
UBR4,+-,0.0855353,0.015376376365904493,0.9957313062669028,1,0.030752752731808986,0.05339707078925956,0.05308654530662056,0.10617309061324112
KIAA0090,--,0.04207809,0.09086245403018202,0.4054103928212141,1,0.18172490806036404,0.18104149715215623,0.17573477067019222,0.35146954134038444
MRTO4,+-,0.472955899,0.22434153371386736,0.8931392282410487,1,0.4486830674277347,0.31631407648494714,0.3192311603783179,0.6326281529698943
AKR7A3,-+,0.160833989,0.9839588046591784,0.04737917521389102,-1,0.09475835042778204,0.1185802908573172,0.11401545972335232,0.22803091944670464
AKR7A2,-+,0.099237734,0.968832834044773,0.05554433096526676,-1,0.11108866193053352,0.1319027763653005,0.12510170870626525,0.2502034174125305
PQLC2,+-,0.074510019,0.06200749671743092,0.9384964564084245,1,0.12401499343486184,0.14127339300244102,0.13607240923421132,0.27214481846842264
CAPZB,++,0.089008146,0.32923726195195396,0.16832675714029086,-1,0.3366535142805817,0.26319536255466286,0.2621033360455655,0.524206672091131
NBL1,++,0.003929026,0.009892360144777733,0.7080432436804275,1,0.019784720289555465,0.04058177379983727,0.03854367944676091,0.07708735889352182
OTUD3,--,0.129223221,0.31443875973864477,0.2236327047528155,-1,0.447265409505631,0.31577341604800163,0.31804312449145644,0.6315468320960033
PLA2G5,--,0.208714326,0.6645145054271526,0.25369407258485865,-1,0.5073881451697173,0.33906234109630834,0.34479251423921886,0.6781246821926167
CAMK2N1,+-,0.025388109,0.008122276262767228,0.9955453849431581,1,0.016244552525534455,0.035699755899104964,0.03284857113800468,0.06569714227600935
FAM43B,--,0.148161517,0.24987578719203454,0.2828128234303293,1,0.4997515743840691,0.3357404393816111,0.3421132919759992,0.6714808787632222
PINK1,--,0.148861985,0.7276003413881422,0.1860856383012014,-1,0.3721712766024028,0.28048408420624427,0.2827502034174125,0.5609681684124885
DDOST,-+,0.11383867,0.9311258243262543,0.08842490596244093,-1,0.17684981192488186,0.17776873792331943,0.17300650935720097,0.34601301871440193
KIF17,--,0.598029026,0.6459842253149661,0.4823523516786289,-1,0.9647047033572578,0.4682192616698871,0.47874288039056145,0.9364385233397742
SH2D5,--,0.156600281,0.5566360083923869,0.2271477317143738,-1,0.4542954634287476,0.3193328587409743,0.32129780309194467,0.6386657174819486
HP1BP3,+-,0.001349906,0.0016796004296350435,0.9633605082852987,1,0.003359200859270087,0.011391375101708706,0.008440964100477982,0.016881928200955965
EIF4G3,++,0.03014279,0.0770275812319763,0.09706821902048085,1,0.1540551624639526,0.16324247355573637,0.15732736702939082,0.31465473405878164
ECE1,--,0.534956273,0.4472118243388179,0.6650997633586065,1,0.8944236486776358,0.4542310821806347,0.4643547238889454,0.9084621643612694
ALPL,-+,0.714245599,0.7028459802559411,0.47171782968702575,-1,0.9434356593740515,0.46394793043831994,0.4751830756712775,0.9278958608766399
RAP1GAP,-+,0.156996816,0.9518563163952105,0.09167791143107767,-1,0.18335582286215535,0.18224346588019932,0.17676973148901545,0.3535394629780309
USP48,+-,0.015556554,0.011120842454606065,0.9792828298744798,1,0.02224168490921213,0.043429617575264444,0.04200142377707719,0.08400284755415438
CDC42,+-,0.157402434,0.05685930752541851,0.9789981325928665,1,0.11371861505083702,0.13334011391375103,0.1277331434963897,0.2554662869927794
ZBTB40,+-,0.296648127,0.1529813235165574,0.9298351309188746,1,0.3059626470331148,0.24969487388120423,0.2452964507271433,0.4905929014542866
EPHA8,--,0.494098783,0.48359413993218675,0.5428893138759546,1,0.9671882798643735,0.46897884458909683,0.47940608156208686,0.9379576891781937
C1QA,++,0.653229682,0.6662537168759065,0.48703797915511343,-1,0.9740759583102269,0.46943964202176347,0.4813873067534581,0.9388792840435269
C1QC,++,0.232743539,0.7933801357253544,0.22786941297850305,-1,0.4557388259570061,0.31963795382894333,0.3221114727420667,0.6392759076578867
C1QB,-+,0.387778184,0.9099471825512698,0.19354530659870803,-1,0.38709061319741606,0.28790806468015867,0.2895646867371847,0.5758161293603173
EPHB2,+-,0.179472659,0.12385641079552061,0.9248399445520422,1,0.24771282159104122,0.21755492270138324,0.21326146649038952,0.42652293298077903
LUZP1,--,0.182452809,0.257218340309907,0.5337231547293652,1,0.514436680619814,0.3421480878763222,0.3481134953727245,0.6842961757526445
ZNF436,--,0.074490918,0.6885262060688707,0.11623392343789933,-1,0.23246784687579866,0.20980372216007323,0.20423108218063465,0.4084621643612693
TCEA3,-+,0.406463015,0.8470380392852026,0.27062958236456897,-1,0.5412591647291379,0.3525882233296044,0.3589300244100895,0.7051764466592088
ID3,++,0.652611423,0.5435957725083146,0.5714371872268427,1,1.0871915450166292,0.4871847030105777,0.4967965015763246,0.9743694060211554
RPL11,++,0.102179026,0.43536141065389333,0.17827340157922564,-1,0.3565468031584513,0.2725516119190481,0.27451179820992677,0.5451032238380962
TCEB3,--,0.523913858,0.43237697988482987,0.6831089327555065,1,0.8647539597696597,0.4481285598047193,0.45764263195362553,0.8962571196094385
C1orf128,--,0.144548408,0.2255805516925738,0.4751415891522356,1,0.4511611033851476,0.3177379983726607,0.3204515407301942,0.6354759967453214
LYPLA2,++,0.165263109,0.32274074476428505,0.266454595693545,-1,0.53290919138709,0.3497406691752263,0.35557363710333606,0.6994813383504526
GALE,-+,0.136612453,0.9667090240475545,0.06979228206232782,-1,0.13958456412465564,0.15356452761110545,0.1473759153783564,0.2947518307567128
HMGCL,--,0.418324345,0.7323037875465961,0.35888923021302377,-1,0.7177784604260475,0.41014949659310485,0.4178193653376729,0.8202989931862097
FUCA1,--,0.248994569,0.6639177362628483,0.2858681166303376,-1,0.5717362332606752,0.3642835350350859,0.3705248169243287,0.7285670700701719
PNRC2,--,0.021720974,0.536008980609328,0.04934392553909931,-1,0.09868785107819862,0.12163124173700804,0.11737184703010578,0.23474369406021156
FUSIP1,+-,0.068464045,0.017578947977188345,0.9942575863036235,1,0.03515789595437669,0.05868592351505289,0.05857825689006407,0.11715651378012815
C1orf201,-+,0.655325281,0.8060909248876944,0.3535076075284363,-1,0.7070152150568726,0.40709854571341403,0.4147681041497152,0.8141970914268281
RCN3,-+,0.137319569,0.9757249533556507,0.058678765980480684,-1,0.11735753196096137,0.1363775043221804,0.13049227013832385,0.2609845402766477
SRRM1,+-,0.112909925,0.11279838700834323,0.876177671245322,1,0.22559677401668646,0.20616354759967453,0.2009559646089698,0.4019119292179396
CLIC4,++,0.07534176,0.11666907622789664,0.6930913145453128,1,0.23333815245579329,0.2102318958502848,0.20471880402725517,0.40943760805451035
SYF2,-+,0.030347285,0.8770642624946665,0.04045973407430064,-1,0.08091946814860128,0.1067832807891793,0.10231895850284785,0.2046379170056957
C1orf63,-+,0.061485393,0.9681454861465855,0.04016920036825948,-1,0.08033840073651896,0.10637648733855384,0.10181041497152156,0.20362082994304312
TMEM50A,++,0.371801217,0.4118009858468956,0.5356708159468463,1,0.8236019716937912,0.43765256305939787,0.4473710973253331,0.8753051261187957
TMEM57,--,0.367341199,0.4144785010097297,0.5151669218887521,1,0.8289570020194594,0.4385679414157852,0.4499135563917421,0.8771358828315704
LDLRAP1,++,0.292168446,0.34698931713229964,0.5624551434483024,1,0.6939786342645993,0.403580146460537,0.4117766703956066,0.807160292921074
MAN1C1,-+,0.441576966,0.7651709967013304,0.34806513635656017,-1,0.6961302727131203,0.4042509915590359,0.4122253864930838,0.8085019831180718
SEPN1,++,0.110220693,0.23648289088067906,0.2041107961698148,-1,0.4082215923396296,0.2996033763856402,0.30014239218877137,0.5992067527712804
PAQR7,++,0.287935581,0.36759459054589977,0.4560732826966755,1,0.7351891810917995,0.41517493897477625,0.42347198210108816,0.8303498779495525
STMN1,--,0.071179307,0.4216469570103159,0.13625616237409668,-1,0.27251232474819337,0.2303467914166582,0.22792921074043937,0.45585842148087874
EXTL1,++,0.037032678,0.06451754485521889,0.7196053879269239,1,0.12903508971043778,0.14493490642799023,0.1395301535645276,0.2790603071290552
PDIK1L,-+,0.166471442,0.8341244892843711,0.16691382510504546,-1,0.3338276502100909,0.2625851723787247,0.2601708706265256,0.5203417412530512
ZNF593,--,0.20447827700000001,0.6295558358272264,0.25870106785137736,-1,0.5174021357027547,0.34353706905318826,0.3488608624898291,0.6870741381063765
CCDC21,--,0.023503933,0.047618673323910524,0.6590012579638822,1,0.09523734664782105,0.11910089503661514,0.1146140547137191,0.2292281094274382
SH3BGRL3,-+,0.027082303,0.9647191430572775,0.022128254114232207,-1,0.044256508228464414,0.06986677514492017,0.06946704637917006,0.13893409275834012
CD52,--,0.060396629,0.13100544137273984,0.18310718792864314,1,0.2620108827454797,0.2243694060211554,0.2222109224041493,0.4444218448082986
ZNF683,-+,0.509747004,0.8752748455768438,0.2528094582345529,-1,0.5056189164691058,0.33835045255771384,0.3442839707078926,0.6767009051154277
DHDDS,+-,0.097979775,0.11055590086832356,0.846874958882508,1,0.22111180173664713,0.20290886899918634,0.19851520390521712,0.39703040781043425
HMGN2,++,0.487336891,0.5860324016560582,0.46328647448477195,-1,0.9265729489695439,0.46028678938269096,0.47172497965825877,0.9205735787653819
RPS6KA1,-+,0.174619944,0.905594782899414,0.1354799552209297,-1,0.2709599104418594,0.22912641106478185,0.22691212367778682,0.45382424735557364
