gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
FLJ45244,++,1e-4,5.434738911856785e-4,0.022914922505954356,1,0.001086947782371357
NAV2,++,7.03745e-4,0.0031329077250404616,0.03731318162919892,1,0.006265815450080923
SH3KBP1,--,0.001499345,0.02683005068220097,0.00612189076791409,-1,0.01224378153582818
ATG7,--,1.17509e-4,0.23007465958428033,5.964351778309676e-4,-1,0.0011928703556619352
AGPS,--,5.44e-5,0.4814596116374952,2.624104107961611e-4,-1,5.248208215923222e-4
IL17RC,++,5.79682e-4,0.0026090791576052143,0.08912054103748052,1,0.005218158315210429
RFTN1,--,1.22378e-4,6.017834836163087e-4,0.30408859578861164,1,0.0012035669672326174
MRPS12,--,8.02e-5,0.4190020214143553,3.8803794481329237e-4,-1,7.760758896265847e-4
PDGFA,--,7.10955e-4,0.0031300649493586565,0.0870846294608107,1,0.006260129898717313
PPP2R2D,--,6.83801e-4,0.09029250408824122,0.003021429890501607,-1,0.006042859781003214
PPAP2C,--,4.55243e-4,0.13010825700055742,0.002082238877336995,-1,0.00416447775467399
TROVE2,++,3.95693e-4,0.0018266525444993688,0.15083772328954922,1,0.0036533050889987376
GALNT10,++,2.24251e-4,0.0010596487792178728,0.25789613830327635,1,0.0021192975584357456
LASP1,--,8.14e-5,0.5293234772016355,3.670227731766752e-4,-1,7.340455463533504e-4
GALNTL2,+-,2.81e-5,7.176972706105593e-5,0.911781000917697,1,1.4353945412211186e-4
ZNF276,++,0.004190543,0.014963635724393212,0.027610615114422005,1,0.029927271448786423
LOC728153,++,8.36891e-4,0.003602946992287449,0.10459412951864404,1,0.007205893984574898
B9D2,--,3.67603e-4,0.19939657405195613,0.0016857073138059177,-1,0.0033714146276118354
NEFH,--,9.50187e-4,0.10385800065894124,0.004032384923649463,-1,0.008064769847298927
ELAVL2,--,5.81273e-4,0.0025692825007994657,0.1594487397247012,1,0.005138565001598931
CHGA,--,6.68914e-4,0.14818962941303143,0.002920502479670659,-1,0.005841004959341318
YARS,--,1.83333e-4,0.442574255854883,8.112968102186585e-4,-1,0.001622593620437317
LRP8,--,0.002573783,0.06460484995109102,0.009749736698329965,-1,0.01949947339665993
DDX23,+-,3.35e-5,1.3473617500319134e-5,0.9985183807728906,1,2.6947235000638267e-5
HAR1A,+-,4.82e-5,9.429677358366548e-5,0.9477910979796544,1,1.8859354716733095e-4
TLR5,++,9.1133e-4,0.0038262939781696288,0.16368435585173574,1,0.0076525879563392575
NGEF,--,0.006384551,0.02143511209674308,0.034670034136039855,1,0.04287022419348616
KIAA0586,--,0.001547472,0.006187945722749407,0.11060893898126578,1,0.012375891445498813
SAPS3,++,6.02715e-4,0.002591227453989812,0.23573483021334937,1,0.005182454907979624
CORO7,++,9.32e-5,3.1880602404621086e-4,0.7707967156696213,1,6.376120480924217e-4
CMTM1,--,2.1573e-4,0.48475243751468505,9.162219022843595e-4,-1,0.001832443804568719
GLTSCR2,++,0.008854682,0.02831596011274075,0.028562567814953078,1,0.0566319202254815
SET,--,9.95131e-4,0.16896188580038374,0.004129841967925666,-1,0.008259683935851332
MVP,+-,5.81e-5,1.0414463360333497e-4,0.9558524603223739,1,2.0828926720666994e-4
PRKAG2,--,0.004585674,0.05189870466349471,0.016101318622948887,-1,0.032202637245897774
C16orf79,++,0.002639326,0.009923185142251274,0.08496863534706209,1,0.01984637028450255
KANK2,++,0.002394195,0.009101128796095264,0.09255406275151133,1,0.01820225759219053
MDH2,-+,6.34e-5,0.9534180168967201,1.1552789221593586e-4,-1,2.3105578443187173e-4
BIN1,++,2.08146e-4,8.320000255485112e-4,0.5738875273094829,1,0.0016640000510970223
SMARCD2,++,1.69288e-4,6.436362039694242e-4,0.6498233995364826,1,0.0012872724079388484
ARHGAP19,++,3.18633e-4,0.0013332363119080567,0.44560395557226723,1,0.0026664726238161134
CDO1,-+,6.13e-5,0.9823122183972816,7.308121200113617e-5,-1,1.4616242400227234e-4
MAP2K2,++,8.40356e-4,0.003488499324903629,0.230193226544082,1,0.006976998649807258
PLD3,--,1.28464e-4,0.7644635442356715,4.3168641667421106e-4,-1,8.633728333484221e-4
VAMP7,--,0.006940075,0.022963826439176015,0.04691911225374352,1,0.04592765287835203
