gene_symbol,Updated_Gene_Names,Ramaker.Gene,Labonte.Gene,Ding.Gene,Match Across Studies?
HIST1H3J,HIST1H3J,HIST1H3J,NA,unused,FALSE
HIST1H1B,HIST1H1B,HIST1H1B,NA,unused,FALSE
OR2B2,OR2B2,OR2B2,NA,unused,FALSE
ZSCAN26,ZSCAN26,ZSCAN26,ZSCAN26,ZNF187,FALSE
HIST1H2AL,HIST1H2AL,HIST1H2AL,NA,NA,FALSE
HIST1H4L,HIST1H4L,HIST1H4L,NA,unused,FALSE
HIST1H3I,HIST1H3I,HIST1H3I,NA,unused,FALSE
PAX5,PAX5,PAX5,UNUSED,unused,FALSE
PROX2,PROX2,PROX2,UNUSED,NA,FALSE
OR12D3,OR12D3,OR12D3,NA,unused,FALSE
ANKK1,ANKK1,ANKK1,UNUSED,unused,FALSE
TYR,TYR,TYR,NA,unused,FALSE
PQLC2L,PQLC2L,PQLC2L,PQLC2L,unused,FALSE
BTN1A1,BTN1A1,BTN1A1,NA,unused,FALSE
PRR34,PRR34,PRR34,PRR34,unused,FALSE
HIST1H2BO,HIST1H2BO,HIST1H2BO,NA,unused,FALSE
SLC17A3,SLC17A3,SLC17A3,NA,unused,FALSE
HSPE1-MOB4,HSPE1-MOB4,HSPE1-MOB4,NA,NA,FALSE
C3orf84,C3orf84,C3orf84,NA,NA,FALSE
PSORS1C2,PSORS1C2,PSORS1C2,NA,unused,FALSE
ACTL8,ACTL8,ACTL8,NA,unused,FALSE
SLC44A4,SLC44A4,SLC44A4,NA,unused,FALSE
C7orf72,SPATA48,C7orf72,NA,NA,FALSE
OTX2,OTX2,OTX2,UNUSED,unused,FALSE
MYBPC3,MYBPC3,MYBPC3,NA,MYBPC3,FALSE
SIM1,SIM1,SIM1,NA,unused,FALSE
ITGB6,ITGB6,ITGB6,UNUSED,unused,FALSE
SORCS3,SORCS3,SORCS3,SORCS3,SORCS3,TRUE
RBFOX1,RBFOX1,RBFOX1,RBFOX1,A2BP1,FALSE
GRM5,GRM5,GRM5,GRM5,unused,FALSE
HIST1H2BN,HIST1H2BN,HIST1H2BN,HIST1H2BN,unused,FALSE
SHISA9,SHISA9,SHISA9,SHISA9,NA,FALSE
TCF4,TCF4,TCF4,TCF4,TCF4,TRUE
NEGR1,NEGR1,NEGR1,NEGR1,NEGR1,TRUE
DENND1A,DENND1A,DENND1A,DENND1A,DENND1A,TRUE
DCC,DCC,DCC,DCC,unused,TRUE
RSRC1,RSRC1,RSRC1,RSRC1,RSRC1,TRUE
TENM2,TENM2,TENM2,TENM2,ODZ2,FALSE
TMEM161B,TMEM161B,TMEM161B,TMEM161B,TMEM161B,TRUE
DRD2,DRD2,DRD2,DRD2,NA,FALSE
PGBD1,PGBD1,PGBD1,PGBD1,PGBD1,TRUE
