gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
DUSP5,--------,2.21995e-4,0.9996459019878005,6.586287708276844e-10,-1,1.3172575416553688e-9
ETV3,--------,1.62732e-4,0.9999999727757974,9.72919264855983e-10,-1,1.945838529711966e-9
NR4A3,--------,0.001118376,0.9999999974813771,1.0847309169024175e-9,-1,2.169461833804835e-9
ZBTB21,--------,0.004106003,0.9999999999744014,2.766963293276255e-9,-1,5.53392658655251e-9
AGBL5,+++-++++,1.31829e-4,2.8696757551804906e-9,0.9983675156477043,1,5.739351510360981e-9
NBPF2P,++++++++,8.59296e-5,8.787880663986936e-9,0.9999999995865366,1,1.757576132797387e-8
GPX4,++++++++,8.7679e-4,1.0007063748233335e-8,0.9999999989714188,1,2.001412749646667e-8
DDT,+-++++++,5.17889e-4,1.0079054254900288e-8,0.999986272260262,1,2.0158108509800576e-8
NEDD9,--------,1.23189e-4,0.9999483733755743,1.0920692053756278e-8,-1,2.1841384107512555e-8
CCN1,--------,9.6745e-4,0.9999997282525531,1.1548535530980338e-8,-1,2.3097071061960676e-8
EGR2,--------,0.001319323,0.9999999501547238,2.0997033316459917e-8,-1,4.199406663291983e-8
RP11-426C22.6,++++++++,0.001143498,2.1171524792741632e-8,0.9999980921543548,1,4.2343049585483265e-8
NDUFA2,++++++++,6.12726e-5,3.093380377820801e-8,0.9998982444041906,1,6.186760755641602e-8
SIK1,--------,0.0058867,0.9999999906239811,3.413947796999737e-8,-1,6.827895593999474e-8
LINC00473,--------,9.24745e-4,0.9999986835787167,5.634057774465492e-8,-1,1.1268115548930985e-7
AC012370.2,--------,0.001005752,0.9998701235474379,6.075435343613721e-8,-1,1.2150870687227442e-7
TRIB1,--------,0.001304623,0.9999852783710794,1.0421728926006095e-7,-1,2.084345785201219e-7
ARC,-----+--,7.60893e-4,0.9996055942118608,1.0970059103704976e-7,-1,2.1940118207409952e-7
NHP2,++++++++,2.40017e-4,1.1888663077553584e-7,0.9999998505806579,1,2.3777326155107168e-7
RPS28,+++-++++,4.3403e-4,1.304590521400648e-7,0.8131113491677535,1,2.609181042801296e-7
EGR1,--------,0.002214409,0.9999978595116612,1.3836612405968402e-7,-1,2.7673224811936803e-7
LAMTOR4,+++-++++,7.60347e-4,2.43916846891738e-7,0.999619991793546,1,4.87833693783476e-7
RPL8,++++++++,2.1357e-5,2.779241956726342e-7,0.9999563377611562,1,5.558483913452684e-7
NPAS4,--------,0.00108715,0.9999107136010212,2.950464822640244e-7,-1,5.900929645280488e-7
PRDX5,++++++++,1.42607e-6,3.100288475591341e-7,0.9999478787942684,1,6.200576951182682e-7
BLVRB,++++++++,0.001006611,3.123720076112197e-7,0.9999873423515317,1,6.247440152224393e-7
ZNF331,--------,0.001591073,0.9999990874835247,3.15438619056139e-7,-1,6.30877238112278e-7
CRIP2,++-+++++,3.67915e-6,3.2791093560856827e-7,0.9992994995053912,1,6.558218712171365e-7
C1orf43,+++-++++,0.001660319,3.37813831363474e-7,0.9990354685016362,1,6.75627662726948e-7
NR4A1,--------,0.00447965,0.9999966165072333,3.395422590432873e-7,-1,6.790845180865746e-7
MRPL36,++++++++,7.38268e-6,3.828528825322037e-7,0.9999658815823381,1,7.657057650644074e-7
YPEL5,++++++++,0.001303795,3.89420188164978e-7,0.9999977679144398,1,7.78840376329956e-7
EGR4,--------,0.002035188,0.999997602920862,4.025613348270762e-7,-1,8.051226696541524e-7
COX6B1,++++++++,1.16734e-4,4.1461581356086366e-7,0.9999332517496174,1,8.292316271217273e-7
MISP3,+++-++++,1.94462e-4,4.318351256293292e-7,0.8880449874056855,1,8.636702512586584e-7
UFC1,++++++++,0.009203424,4.832705167507903e-7,0.9999993641866296,1,9.665410335015806e-7
ANKRD37,-+-+----,0.001004973,0.9221498646254696,4.844706246661973e-7,-1,9.689412493323945e-7
EEF2,-+--++++,8.97529e-5,5.036585287955888e-7,0.8313657508740617,1,1.0073170575911776e-6
PCDHB4,--------,6.68832e-4,0.9999964045338572,5.069493154111368e-7,-1,1.0138986308222736e-6
RPS14,+++-++++,1.74313e-4,5.929513566026426e-7,0.9970797907240145,1,1.1859027132052852e-6
QPRT,++++++++,6.52847e-5,6.034611794718038e-7,0.9999990712955964,1,1.2069223589436077e-6
TMEM161B-AS1,++++++-+,9.8031e-4,6.141135978905476e-7,0.9991771403939553,1,1.2282271957810953e-6
RN7SL278P,++--++++,5.12758e-5,6.292370782047626e-7,0.9947366749978417,1,1.2584741564095251e-6
RPL10A,+++-++++,2.61478e-4,7.274207693865449e-7,0.9984834454682869,1,1.4548415387730899e-6
KLHDC9,-++-++++,4.84111e-6,7.321817614161031e-7,0.9899741343820929,1,1.4643635228322062e-6
SURF1,++++++++,0.007982506,7.781260820917653e-7,0.9999999754517037,1,1.5562521641835306e-6
ATXN7,--------,0.002090582,0.9999997557532283,8.403136882616094e-7,-1,1.6806273765232189e-6
ZNF10,--------,0.003490946,0.9999999968785377,8.851791040971061e-7,-1,1.7703582081942122e-6
FNBP1L,--------,0.001051041,0.9999813023638099,8.857248368476069e-7,-1,1.7714496736952137e-6
LRRC8C,--------,0.002213602,0.9999990651495416,1.0215051214781106e-6,-1,2.0430102429562213e-6
NDUFS6,++++++++,0.002055551,1.073806790381313e-6,0.9999893541232602,1,2.147613580762626e-6
AC092168.2,--------,0.001067823,0.999998697696991,1.0856190100905164e-6,-1,2.171238020181033e-6
MDGA2,--------,0.002616667,0.9999992663849985,1.0991382882669005e-6,-1,2.198276576533801e-6
RPL7A,++++++++,1.14484e-4,1.152843563043814e-6,0.9998293739259267,1,2.305687126087628e-6
