gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
DUSP5,--------,2.21995e-4,0.7789595346551255,1.7925271385312036e-8,-1,3.585054277062407e-8
ETV3,--------,1.62732e-4,0.15455980566481703,3.6113740042184083e-6,-1,7.2227480084368166e-6
NR4A3,--------,0.001118376,0.08590471782697527,1.1178622813184171e-5,-1,2.2357245626368342e-5
ZBTB21,--------,0.004106003,0.002927218020033945,0.0017448243994264356,-1,0.003489648798852871
AGBL5,+++-++++,1.31829e-4,0.4668887022366547,2.8761384291797834e-7,-1,5.752276858359567e-7
NBPF2P,++++++++,8.59296e-5,5.52332825668661e-4,0.01895967235606398,1,0.001104665651337322
GPX4,++++++++,8.7679e-4,0.033041083079060785,3.059342703003488e-4,-1,6.118685406006976e-4
DDT,+-++++++,5.17889e-4,0.038110642328749784,1.5189862321838405e-4,-1,3.037972464367681e-4
NEDD9,--------,1.23189e-4,0.7705720203406389,4.0061174056526225e-7,-1,8.012234811305245e-7
CCN1,--------,9.6745e-4,0.4519942751021839,3.776984862340182e-6,-1,7.553969724680364e-6
EGR2,--------,0.001319323,0.21721764027927853,3.2399678220255286e-5,-1,6.479935644051057e-5
RP11-426C22.6,++++++++,0.001143498,0.508311745326563,4.312289319764827e-6,-1,8.624578639529654e-6
NDUFA2,++++++++,6.12726e-5,0.5624039923382974,2.9713830824542666e-6,-1,5.942766164908533e-6
SIK1,--------,0.0058867,0.10481324696451894,1.7332730256501628e-4,-1,3.4665460513003257e-4
LINC00473,--------,9.24745e-4,0.3021657322435011,3.550103904086639e-5,-1,7.100207808173278e-5
AC012370.2,--------,0.001005752,0.8628695114823647,1.010300481332249e-6,-1,2.020600962664498e-6
TRIB1,--------,0.001304623,0.6501742403689219,7.773569095686049e-6,-1,1.5547138191372098e-5
ARC,-----+--,7.60893e-4,0.8954667825291966,1.1374494559452668e-6,-1,2.2748989118905336e-6
NHP2,++++++++,2.40017e-4,0.14141466506921174,2.936314411630258e-4,-1,5.872628823260516e-4
RPS28,+++-++++,4.3403e-4,0.9123241544236587,6.119037765862497e-8,-1,1.2238075531724994e-7
EGR1,--------,0.002214409,0.47471821302950606,2.937812406231696e-5,-1,5.875624812463392e-5
LAMTOR4,+++-++++,7.60347e-4,0.49475094695391675,2.3453924021854092e-5,-1,4.6907848043708184e-5
RPL8,++++++++,2.1357e-5,0.599651005673536,2.2127732460444334e-5,-1,4.425546492088867e-5
NPAS4,--------,0.00108715,0.8220582256460024,6.477873917989274e-6,-1,1.2955747835978548e-5
PRDX5,++++++++,1.42607e-6,0.5012121810772447,3.8973559854917655e-5,-1,7.794711970983531e-5
BLVRB,++++++++,0.001006611,0.02713720358667439,0.004186591216980579,-1,0.008373182433961159
ZNF331,--------,0.001591073,0.5001134743062051,5.9039167088727316e-5,-1,1.1807833417745463e-4
CRIP2,++-+++++,3.67915e-6,0.766691562923066,6.8373380401588565e-6,-1,1.3674676080317713e-5
C1orf43,+++-++++,0.001660319,0.10460449706681221,4.386585784331906e-4,-1,8.773171568663812e-4
NR4A1,--------,0.00447965,0.519342343238284,5.1908354004193294e-5,-1,1.0381670800838659e-4
MRPL36,++++++++,7.38268e-6,0.28191183885834425,1.6975419678953797e-4,-1,3.3950839357907594e-4
YPEL5,++++++++,0.001303795,0.0018127175226063284,0.07104612383179208,1,0.0036254350452126567
EGR4,--------,0.002035188,0.5371193940563364,5.7302917692312537e-5,-1,1.1460583538462507e-4
COX6B1,++++++++,1.16734e-4,0.6568213944798591,2.295078420816392e-5,-1,4.590156841632784e-5
MISP3,+++-++++,1.94462e-4,0.7132132723812405,1.307419211329185e-6,-1,2.61483842265837e-6
UFC1,++++++++,0.009203424,0.083855933225649,0.0019000116921120264,-1,0.0038000233842240528
ANKRD37,-+-+----,0.001004973,8.359211415682401e-8,0.998283395086301,1,1.6718422831364802e-7
EEF2,-+--++++,8.97529e-5,0.9997399860030526,2.6845599460616883e-8,-1,5.3691198921233766e-8
PCDHB4,--------,6.68832e-4,4.6274884425061947e-4,0.20805282431866987,1,9.254976885012389e-4
RPS14,+++-++++,1.74313e-4,0.41653538603024215,5.032719198610563e-5,-1,1.0065438397221126e-4
QPRT,++++++++,6.52847e-5,0.11353502237047772,0.0014831471780467162,-1,0.0029662943560934325
TMEM161B-AS1,++++++-+,9.8031e-4,1.0835389736772381e-4,0.3411436382812456,1,2.1670779473544763e-4
RN7SL278P,++--++++,5.12758e-5,0.889184577179853,3.3401896881770325e-6,-1,6.680379376354065e-6
RPL10A,+++-++++,2.61478e-4,0.9437101569301793,3.302321961927459e-6,-1,6.604643923854918e-6
KLHDC9,-++-++++,4.84111e-6,0.009021644193334117,0.008332385734086454,-1,0.01666477146817291
SURF1,++++++++,0.007982506,0.027033915762295684,0.012338615898264625,-1,0.02467723179652925
ATXN7,--------,0.002090582,0.12863469823862705,0.0017795274377625009,-1,0.0035590548755250018
ZNF10,--------,0.003490946,0.0159108930121674,0.024688482568164194,1,0.0318217860243348
FNBP1L,--------,0.001051041,0.0012831780752995646,0.1332890722285071,1,0.002566356150599129
LRRC8C,--------,0.002213602,0.0010313213492049807,0.19659571742553933,1,0.0020626426984099613
NDUFS6,++++++++,0.002055551,0.19894788984629608,8.727474848726725e-4,-1,0.001745494969745345
AC092168.2,--------,0.001067823,0.13830247706419163,0.001805179182988356,-1,0.003610358365976712
MDGA2,--------,0.002616667,1.988303494103979e-4,0.4889113798843827,1,3.976606988207958e-4
RPL7A,++++++++,1.14484e-4,0.824730922704643,2.123422310632882e-5,-1,4.246844621265764e-5
RP11-295P9.3,--+-----,0.00623001,5.625356811165511e-4,0.2363703420446632,1,0.0011250713622331023
COPS9,++++++++,2.72445e-4,0.4073060000524918,2.63791074821549e-4,-1,5.27582149643098e-4
RPL36,+++-++++,2.28312e-4,0.8008819226236614,1.83170282598401e-5,-1,3.66340565196802e-5
FAM118A,--------,0.0042653430000000004,0.07063326324639935,0.007131929092621992,-1,0.014263858185243984
MIF,++-+++++,5.35398e-4,0.06842146089466337,0.0017203726026644053,-1,0.0034407452053288106
REX1BD,++++-+++,1.43341e-5,0.2499198894415098,0.00050577042510440665,-1,0.0010115408502088133
HERC6,++++++++,0.00288934,0.014937063448303946,0.03182488316898113,1,0.029874126896607893
RPS2,++++++++,6.73894e-4,0.7089060660306199,6.532429231492094e-5,-1,1.3064858462984188e-4
SPRED2,------+-,0.002121304,0.8848707288353757,9.020483559620406e-6,-1,1.804096711924081e-5
MRPL4,++-+++++,4.65164e-4,0.4274761022947692,1.5509073337336828e-4,-1,3.1018146674673656e-4
ILF3-DT,++++++++,0.007944985,0.006181580173578875,0.08393915320164635,1,0.01236316034715775
TET3,----+---,0.001737538,0.7780955000827926,4.0802017423334477e-5,-1,8.160403484666895e-5
RPL15,++++++++,0.001276514,0.269599706573206,8.581430824558219e-4,-1,0.0017162861649116438
RNU1-67P,+++-++++,0.002863373,0.594472385990787,1.262519765899598e-4,-1,2.525039531799196e-4
CCDC124,+---++++,9.17799e-7,0.9786361851649675,4.769959679315403e-7,-1,9.539919358630806e-7
SNU13,++++++++,6.21323e-4,0.2704562181685455,0.0010576943490510074,-1,0.0021153886981020147
UBE2M,-+--++++,4.9052e-5,0.970830953240946,1.3589951084606037e-6,-1,2.7179902169212073e-6
SPRY2,--------,0.00653533,0.6143205829087184,1.5408028843101498e-4,-1,3.0816057686202996e-4
DRAP1,++++++++,4.96972e-5,0.8821103007416548,2.240826763953905e-5,-1,4.48165352790781e-5
SDIM1,--------,0.001109434,0.6990069684777206,9.067771925251254e-5,-1,1.8135543850502508e-4
RPL10,-++-++++,5.81313e-6,0.9770195567298332,1.207150771150318e-6,-1,2.414301542300636e-6
NDUFB7,++++++++,7.87668e-5,0.4878655893540288,3.300230684203551e-4,-1,6.600461368407102e-4
RPS21,+++-++++,0.004426264,0.6716793994198322,9.922626217118475e-5,-1,1.984525243423695e-4
LINC01725,--------,0.007077561,0.04681437277653172,0.01730634282863903,-1,0.03461268565727806
C7orf50,-+++++++,1.35065e-4,0.8639334120693426,2.5906555252152446e-5,-1,5.181311050430489e-5
RP11-677M14.7,++++---+,4.04204e-4,2.7767797370853877e-8,0.9998480170658031,1,5.5535594741707753e-8
NLRP1,++-+-+++,3.34038e-4,0.13047552241815805,0.002061487254098866,-1,0.004122974508197732
MICOS13,+++-++++,1.45234e-5,0.153341786821303,0.001406791475297069,-1,0.002813582950594138
NDUFB9,++++++++,0.001398063,0.7168202857109199,1.331594619006663e-4,-1,2.663189238013326e-4
RPL23AP53,++--++++,1.87404e-4,0.9413367005512439,1.0920121841118612e-5,-1,2.1840243682237225e-5
RPL18,+++-++++,0.004467738,0.33216009592653783,4.518455203534386e-4,-1,9.036910407068772e-4
TMEM44-AS1,++++++++,0.007036187,0.022306472941963116,0.04184318714265049,1,0.04461294588392623
RP11-82L18.2,----+-+-,6.06573e-4,0.7797450768259845,6.472114302676536e-5,-1,1.2944228605353073e-4
GPR3,------+-,0.001015085,0.8269888215250005,5.4355068756840496e-5,-1,1.0871013751368099e-4
SCAND1,+-++-+++,7.81571e-7,0.38892127285598915,8.452894168751798e-5,-1,1.6905788337503595e-4
MTCO1P12,++++++++,0.002870475,6.886173543259731e-4,0.4588906044548848,1,0.0013772347086519461
COA3,++++++++,0.001297349,0.09018330082999615,0.007825069626377664,-1,0.015650139252755327
ELOF1,++--++++,9.19193e-5,0.9314568872496574,1.0729484452648773e-5,-1,2.1458968905297547e-5
DEAF1,++--++++,0.001223482,0.9325451623501552,5.045958841351516e-6,-1,1.0091917682703032e-5
OST4,++++++++,5.97486e-4,0.2684620609279905,0.0020990160492930115,-1,0.004198032098586023
GADD45GIP1,++++++++,1.26471e-6,0.6058998905402345,2.5111813425675387e-4,-1,5.022362685135077e-4
AC083799.1,--------,0.004333211,0.002483310244652306,0.22014333614001855,1,0.004966620489304612
LONRF1,--------,0.004010672,0.01190333168135934,0.09149574068956429,1,0.02380666336271868
PTCHD1,--------,0.002725473,5.0620006683547894e-5,0.8880405770921336,1,1.0124001336709579e-4
AC006946.17,----+--+,5.35026e-4,0.0656352296554301,0.0024814191189125572,-1,0.0049628382378251144
NPIPB13,----+---,1.36492e-4,0.785790680533286,1.1184812028987812e-4,-1,2.2369624057975624e-4
FAM43B,--+-----,0.003739818,0.10492648116877187,0.00526700268067965,-1,0.0105340053613593
CCDC85B,++++-+++,1.76488e-5,0.07706498675042273,0.00580958840373702,-1,0.01161917680747404
NDUFB4,+++-++++,4.69955e-5,0.7950544229279213,7.69976643939165e-5,-1,1.53995328787833e-4
KLF4,--------,2.45318e-4,0.5164125623582553,5.711173571868328e-4,-1,0.0011422347143736657
RP11-344A5.1,--------,0.00265749,0.016151713527476273,0.08052076154370538,1,0.032303427054952545
IMP4,-++-++++,4.99604e-4,0.9852761647634826,5.017565762968748e-6,-1,1.0035131525937497e-5
DCTN3,++-+++++,5.09701e-4,0.348429742424217,8.207105354279822e-4,-1,0.0016414210708559644
LINC00343,------+-,0.012981825,0.05817895335422754,0.020106336764206575,-1,0.04021267352841315
HECW1-IT1,----+---,0.00102506,0.5216518315305244,5.741478335519905e-4,-1,0.001148295667103981
LINC00269,++++++++,0.001913277,0.184250292353789,0.003757633898609939,-1,0.007515267797219878
SPTY2D1,--------,0.002723638,0.7711185304034149,1.687650170356174e-4,-1,3.375300340712348e-4
LSP1P4,--------,0.023440137,0.14211288411139358,0.009282433490315626,-1,0.018564866980631253
RP11-867G23.10,--------,7.61855e-5,0.4370246696482102,0.00111916113690077,-1,0.00223832227380154
RP11-397O4.1,----+---,0.004264672,0.16152263877234735,0.0052237695794592025,-1,0.010447539158918405
ERP44,-+------,7.58422e-4,6.393249841840477e-5,0.7385344748523406,1,1.2786499683680954e-4
RP11-667K14.3,----+---,0.002520926,0.9676804683312756,1.9827442079387263e-5,-1,3.9654884158774525e-5
MMAB,++++++++,0.004444297,0.03516458941127683,0.05008328754564624,1,0.07032917882255366
STAT6,-----+++,4.06613e-5,0.9995273180796425,9.151867618334893e-8,-1,1.8303735236669785e-7
