gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RP11-677M14.7,++++++,3.33182e-4,7.355001134354969e-13,0.9999999999993462,1,1.4710002268709937e-12
DUSP5,------,2.21995e-4,0.9999999999647893,1.1938916912867125e-12,-1,2.387783382573425e-12
NPAS4,------,2.11793e-4,0.999999999979924,3.029676534098652e-11,-1,6.059353068197304e-11
RP11-667K14.3,------,2.20278e-4,0.99999999999994,3.2254334002262183e-11,-1,6.450866800452437e-11
NEDD9,------,1.23189e-4,0.9999999767850083,4.942118173326212e-11,-1,9.884236346652424e-11
TMEM161B-AS1,++++++,6.41068e-4,8.681432227617106e-11,0.9999999978085349,1,1.7362864455234212e-10
ETV3,------,1.62732e-4,0.9999999999950855,2.0310770250453997e-10,-1,4.0621540500907993e-10
NR4A1,------,7.75511e-5,0.9999999957224751,2.126219588473835e-10,-1,4.25243917694767e-10
ARC,------,7.60893e-4,0.9999999984185914,3.8956493094187074e-10,-1,7.791298618837415e-10
GBP3,++++++,0.002975392,6.503644398697638e-10,0.9999999999996564,1,1.3007288797395275e-9
LINC00471,++++++,3.19741e-4,7.894857694694323e-10,0.999999997361961,1,1.5789715389388646e-9
HCG22,------,0.001276075,0.9999995067405878,1.7547949003277668e-9,-1,3.5095898006555336e-9
TCFL5,++++++,0.003414279,1.8592961561340726e-9,0.999999999998064,1,3.718592312268145e-9
CCN1,----+-,9.6745e-4,0.9995024944647998,2.005497895176913e-9,-1,4.010995790353826e-9
RP11-298D21.1,++++++,2.84568e-4,2.1079067812996725e-9,0.9999999850450797,1,4.215813562599345e-9
EGR2,------,0.001319323,0.9999997416937816,2.2741497970614438e-9,-1,4.5482995941228875e-9
KCTD21-AS1,++++++,6.52656e-4,2.3279093920697606e-9,0.9999999998433056,1,4.655818784139521e-9
LINC00473,------,9.24745e-4,0.9999996198733656,3.134163631118148e-9,-1,6.268327262236296e-9
ZNF331,------,0.001591073,0.9999999999883562,3.2604940661725e-9,-1,6.520988132345e-9
EGR1,----+-,0.001833689,0.9998989784784651,6.079915209665399e-9,-1,1.2159830419330797e-8
ASB4,++++++,0.001065553,8.173644214386065e-9,0.9999995238074261,1,1.634728842877213e-8
RP4-564F22.5,++++++,0.002343153,9.2677287715506e-9,0.9999999995772305,1,1.85354575431012e-8
RP4-630C24.3,++++++,0.002103501,1.1038494983299323e-8,0.9999999999755922,1,2.2076989966598645e-8
NR4A3,------,0.001118376,0.9999999529453265,1.3343852744206853e-8,-1,2.6687705488413705e-8
AC012370.2,----+-,0.001005752,0.9775832090496567,1.3860996079274988e-8,-1,2.7721992158549975e-8
SPRED2,------,0.002121304,0.9999978693639162,1.7342673282736097e-8,-1,3.4685346565472195e-8
SIK1,------,0.001941142,0.9999995550255308,1.833475875707084e-8,-1,3.666951751414168e-8
SMG1P5,------,0.001556786,0.9999999999643848,2.239210973338079e-8,-1,4.478421946676158e-8
SDIM1,------,0.001109434,0.9999993740187907,2.6876592351903225e-8,-1,5.375318470380645e-8
XPOT,++++++,3.48571e-4,2.7430529440632284e-8,0.999999994914063,1,5.486105888126457e-8
EGR4,------,0.002035188,0.9999999070313574,2.8412109215370404e-8,-1,5.682421843074081e-8
TRIB1,------,0.001304623,0.9999993951201078,3.305780008507073e-8,-1,6.611560017014146e-8
RP11-726G1.1,------,0.005159632,0.9999999997927592,3.630133037242993e-8,-1,7.260266074485987e-8
XRRA1,------,0.005265531,0.9999999999364617,3.767975328853843e-8,-1,7.535950657707687e-8
HLA-A,++++++,0.00774014,4.286039683380734e-8,0.99999999992343,1,8.572079366761467e-8
CITED2,------,0.004709407,0.9999999998712324,5.603257245528889e-8,-1,1.1206514491057778e-7
PCCB,++++++,5.58917e-4,6.228459157526997e-8,0.9999999957442787,1,1.2456918315053995e-7
GABPB1-AS1,++++++,0.001669497,6.295107297962264e-8,0.9999999891575039,1,1.2590214595924529e-7
CCDC18-AS1,++++++,0.002335536,6.33053661762553e-8,0.9999864907246778,1,1.266107323525106e-7
STAT6,------,4.06613e-5,0.999981998400248,6.348282475902244e-8,-1,1.2696564951804487e-7
SPTY2D1,------,0.002723638,0.9999999938266384,7.279478437559606e-8,-1,1.455895687511921e-7
RGS2,------,0.005417929,0.9999999990972304,7.421713559644371e-8,-1,1.4843427119288742e-7
TET3,------,0.001737538,0.9999998791683995,8.58805064258084e-8,-1,1.717610128516168e-7
PRPSAP2,++++++,2.27577e-4,1.317390706309759e-7,0.9999818532239496,1,2.634781412619518e-7
DNAJB5,------,4.07769e-4,0.9999963662752465,1.3841863171241768e-7,-1,2.7683726342483536e-7
LINC02268,++++++,0.004579694,1.6185983463954013e-7,0.9999999995141193,1,3.2371966927908026e-7
BHLHE41,++++++,0.005542234,1.6234283617877348e-7,0.9999999997061333,1,3.2468567235754695e-7
RP11-667K14.4,------,0.00110034,0.9999988576843601,1.7974919346191588e-7,-1,3.5949838692383176e-7
CHURC1,++++++,0.004305976,1.8065555209977399e-7,0.9999999994177919,1,3.6131110419954797e-7
ZBTB21,------,0.004106003,0.9999999920423042,1.9647968219222376e-7,-1,3.929593643844475e-7
NPIPB13,------,1.36492e-4,0.9999925805600085,1.9874259619507578e-7,-1,3.9748519239015155e-7
HK2,++++++,0.001113167,2.0851774699602463e-7,0.9999999844071028,1,4.1703549399204927e-7
GRASP,------,0.00157049,0.9999985416200099,2.27637511839719e-7,-1,4.55275023679438e-7
MTCO1P12,++++++,0.002870475,2.3377747093267388e-7,0.9999996185665714,1,4.6755494186534776e-7
AC016747.3,++++++,0.005676415,2.3852108986456126e-7,0.9999999969931541,1,4.770421797291225e-7
RP11-597D13.8,++++++,3.32513e-4,3.007245643319209e-7,0.9999540018045676,1,6.014491286638418e-7
SPRY2,------,0.00653533,0.9999999550806229,3.1874502389334947e-7,-1,6.374900477866989e-7
RP11-354P17.15,++++++,8.55922e-4,3.2527750705953437e-7,0.9999994505368555,1,6.505550141190687e-7
LYPLAL1,++++++,8.96139e-4,3.300130694801297e-7,0.9999990325233583,1,6.600261389602594e-7
RAI2,------,0.001165,0.9999997835015559,3.368151302973955e-7,-1,6.73630260594791e-7
NFIL3,------,0.004388214,0.9999999974466949,3.6836012743788907e-7,-1,7.367202548757781e-7
HLA-DRB5,++++++,0.001867568,3.7892939602791397e-7,0.9999999768186217,1,7.578587920558279e-7
CCDC28A,++++-+,2.76058e-4,3.9217835194973115e-7,0.9897019890740314,1,7.843567038994623e-7
PHLDB2,----+-,0.001950897,0.9996146947596163,4.2333058877817545e-7,-1,8.466611775563509e-7
INHBA,------,1.88165e-4,0.9999826000232257,4.2374192302149536e-7,-1,8.474838460429907e-7
R3HDM2,----+-,2.67589e-4,0.9982233422200666,4.376142796489542e-7,-1,8.752285592979084e-7
RP11-82L18.2,----+-,6.06573e-4,0.9997156590378589,4.427803878226378e-7,-1,8.855607756452756e-7
NBPF2P,++++++,8.59296e-5,4.703760435665605e-7,0.9999992597527059,1,9.40752087133121e-7
GPR3,------,0.001015085,0.9999980649304242,5.444249066983195e-7,-1,1.088849813396639e-6
SLC2A3,------,0.00435446,0.9999949801731556,5.497072992213022e-7,-1,1.0994145984426044e-6
AC002480.3,++++++,0.001300163,5.565933114136825e-7,0.9999900581436763,1,1.113186622827365e-6
NOL6,------,4.95106e-4,0.9999998195826997,5.572961760045556e-7,-1,1.1145923520091112e-6
JUNB,------,0.001521794,0.9999863626751726,5.670844720023993e-7,-1,1.1341689440047985e-6
LINC00909,++++++,4.98452e-4,5.76017473076408e-7,0.9999995007031878,1,1.152034946152816e-6
RBBP9,++++++,2.26421e-4,5.959215364122581e-7,0.9999835465364442,1,1.1918430728245162e-6
SCUBE1,------,3.81305e-4,0.9991220329369455,6.564755584537534e-7,-1,1.3129511169075067e-6
AMACR,++++++,0.003676632,6.71970185244357e-7,0.9999994454036775,1,1.343940370488714e-6
PTGS2,------,2.67881e-4,0.9999999095347682,6.737968328949882e-7,-1,1.3475936657899764e-6
TCEANC,++++++,9.60066e-4,7.277474519067689e-7,0.9999994892869728,1,1.4554949038135378e-6
CPSF1P1,------,0.010215886,0.9999999987907441,7.748474430657128e-7,-1,1.5496948861314257e-6
CAPN3,++++++,0.012722892,8.049416101901291e-7,0.999999998115305,1,1.6098832203802582e-6
RP11-118B22.4,++++++,2.00048e-4,8.45912371033964e-7,0.999997257979452,1,1.691824742067928e-6
DUSP6,------,0.00841003,0.9999999986306882,8.625987167101454e-7,-1,1.7251974334202909e-6
RP1-90J20.12,------,0.00463839,0.9999999954079878,8.706259097525592e-7,-1,1.7412518195051183e-6
SMN2,------,0.011814753,0.9999999966146519,8.967762333565304e-7,-1,1.7935524667130607e-6
GCDH,------,1.25616e-4,0.9999872362675479,9.234930177272702e-7,-1,1.8469860354545404e-6
FOSB,------,0.001839652,0.9999988829115495,9.881293448577586e-7,-1,1.976258689715517e-6
IP6K3,++++++,0.005503084,1.0219958734345074e-6,0.9999991315464799,1,2.043991746869015e-6
LMO2,++++++,0.001281322,1.0264222406461657e-6,0.9999957133394037,1,2.0528444812923314e-6
RP11-153M7.3,++++++,4.68644e-4,1.0544870115620462e-6,0.999999837353329,1,2.1089740231240924e-6
HCG4,++++++,0.00252949,1.333641564112295e-6,0.9999999375349066,1,2.66728312822459e-6
