gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
DUSP5,------------,2.21995e-4,0.9999992537666259,1.802764028371886e-12,-1,3.605528056743772e-12
TMEM161B-AS1,++++++++-+++,6.41068e-4,7.663699851073823e-12,0.9999984429183297,1,1.5327399702147647e-11
ZBTB21,------------,0.004106003,0.9999999999999645,1.4197565775195067e-11,-1,2.8395131550390134e-11
NR4A3,------------,0.001118376,0.9999999999960898,1.0087548713983291e-10,-1,2.0175097427966582e-10
NBPF2P,++++++++++++,8.59296e-5,1.4554530353804665e-10,0.9999999999997924,1,2.910906070760933e-10
ETV3,-----------+,1.62732e-4,0.999989097917217,1.8346713119303893e-10,-1,3.6693426238607785e-10
EGR2,------------,0.001319323,0.999999996030362,1.9373609142452364e-10,-1,3.874721828490473e-10
RP11-667K14.3,------+-----,2.20278e-4,0.9999791821838963,2.54031633987956e-10,-1,5.08063267975912e-10
NEDD9,-----------+,1.23189e-4,0.9999911197587446,4.859222693880551e-10,-1,9.718445387761102e-10
NR4A1,------------,7.75511e-5,0.9999998782222462,8.04066361474874e-10,-1,1.608132722949748e-9
NPAS4,-----------+,2.11793e-4,0.9999928766381316,1.1364126018561093e-9,-1,2.2728252037122187e-9
RP11-426C22.6,+++++-++++++,0.001143498,1.6463821914351767e-9,0.9996983206321689,1,3.2927643828703533e-9
SIK1,------------,0.001941142,0.9999999794940462,1.792142625840588e-9,-1,3.584285251681176e-9
RP11-677M14.7,++++++---+--,3.33182e-4,2.312370502169532e-9,0.7352005984713987,1,4.624741004339064e-9
ZNF331,------------,0.001591073,0.9999999992253372,2.5707748975229677e-9,-1,5.141549795045935e-9
CCN1,----+-------,9.6745e-4,0.9999954739009145,2.787476076067572e-9,-1,5.574952152135144e-9
ARC,-------+----,7.60893e-4,0.9999976978002936,3.3964888248769107e-9,-1,6.7929776497538215e-9
FAM118A,------------,0.0042653430000000004,0.9999999999998459,8.63193415911832e-9,-1,1.726386831823664e-8
LINC00473,-----------+,9.24745e-4,0.9999084699622655,9.426595756004842e-9,-1,1.8853191512009683e-8
