gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
DUSP5,------------,2.21995e-4,0.9999992537666259,1.802764028371886e-12,-1,3.605528056743772e-12,7.264802034144569e-5,7.265329845975008e-5,1.4529604068289138e-4
ZBTB21,------------,0.004106003,0.9999999999999645,1.4197565775195067e-11,-1,2.8395131550390134e-11,7.264802034144569e-5,1.4530659691950015e-4,1.4529604068289138e-4
NR4A3,------------,0.001118376,0.9999999999960898,1.0087548713983291e-10,-1,2.0175097427966582e-10,7.264802034144569e-5,2.1795989537925023e-4,1.4529604068289138e-4
ETV3,-----------+,1.62732e-4,0.999989097917217,1.8346713119303893e-10,-1,3.6693426238607785e-10,7.264802034144569e-5,2.906131938390003e-4,1.4529604068289138e-4
EGR2,------------,0.001319323,0.999999996030362,1.9373609142452364e-10,-1,3.874721828490473e-10,7.264802034144569e-5,3.632664922987504e-4,1.4529604068289138e-4
NEDD9,-----------+,1.23189e-4,0.9999911197587446,4.859222693880551e-10,-1,9.718445387761102e-10,7.264802034144569e-5,4.3591979075850045e-4,1.4529604068289138e-4
NR4A1,------------,7.75511e-5,0.9999998782222462,8.04066361474874e-10,-1,1.608132722949748e-9,7.264802034144569e-5,5.085730892182505e-4,1.4529604068289138e-4
NPAS4,-----------+,2.11793e-4,0.9999928766381316,1.1364126018561093e-9,-1,2.2728252037122187e-9,7.264802034144569e-5,5.812263876780006e-4,1.4529604068289138e-4
SIK1,------------,0.001941142,0.9999999794940462,1.792142625840588e-9,-1,3.584285251681176e-9,7.264802034144569e-5,6.538796861377507e-4,1.4529604068289138e-4
ZNF331,------------,0.001591073,0.9999999992253372,2.5707748975229677e-9,-1,5.141549795045935e-9,7.264802034144569e-5,7.265329845975008e-4,1.4529604068289138e-4
CCN1,----+-------,9.6745e-4,0.9999954739009145,2.787476076067572e-9,-1,5.574952152135144e-9,7.264802034144569e-5,7.991862830572508e-4,1.4529604068289138e-4
ARC,-------+----,7.60893e-4,0.9999976978002936,3.3964888248769107e-9,-1,6.7929776497538215e-9,7.264802034144569e-5,8.718395815170009e-4,1.4529604068289138e-4
FAM118A,------------,0.0042653430000000004,0.9999999999998459,8.63193415911832e-9,-1,1.726386831823664e-8,7.264802034144569e-5,9.44492879976751e-4,1.4529604068289138e-4
FRG1,++++++++++++,0.004949529,9.92459838786388e-9,0.9999999999827232,1,1.984919677572776e-8,7.265329845975008e-5,0.0010170722847802397,1.4530659691950015e-4
EGR1,----+-------,0.001833689,0.9999956416493111,1.2106747402649507e-8,-1,2.4213494805299014e-8,1.4529604068289138e-4,0.001017146178436501,2.9059208136578276e-4
