gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
DUSP5,------------,2.21995e-4,0.439355704413893,5.4707137835480075e-9,-1,1.0941427567096015e-8,0.4669088267344715,7.264802034144569e-5,1.4529604068289138e-4
ZBTB21,------------,0.004106003,0.0030131181645663115,2.8036283684328844e-4,-1,5.607256736865769e-4,0.055938975662913185,0.026734471485652014,0.05346894297130403
NR4A3,------------,0.001118376,0.054625167151447614,3.1834734979928156e-5,-1,6.366946995985631e-5,0.1847439157282964,0.008717762440973484,0.017435524881946968
ETV3,-----------+,1.62732e-4,0.4397791217978704,2.69629692234548e-7,-1,5.39259384469096e-7,0.4673447148565202,9.44424264438794e-4,0.001888848528877588
EGR2,------------,0.001319323,0.1752878715043168,5.687582516288594e-6,-1,1.1375165032577189e-5,0.3038140210679259,0.004068289139120959,0.008136578278241918
NEDD9,-----------+,1.23189e-4,0.759997589896052,9.385883236937738e-8,-1,1.8771766473875475e-7,0.6393025790047221,6.538321830730113e-4,0.0013076643661460226
NR4A1,------------,7.75511e-5,0.6491288385736559,5.580105937033357e-7,-1,1.1160211874066714e-6,0.5744278968398111,0.0015982564475118053,0.0031965128950236107
NPAS4,-----------+,2.11793e-4,0.9123007232010811,5.950183994704052e-8,-1,1.1900367989408105e-7,0.7556120595713767,4.3588812204867417e-4,8.717762440973483e-4
SIK1,------------,0.001941142,0.2026949080383052,2.6897156572204183e-5,-1,5.379431314440837e-5,0.321758082092263,0.008063930257900472,0.016127860515800944
ZNF331,------------,0.001591073,0.4621920139317783,7.375385755009569e-6,-1,1.4750771510019138e-5,0.481656374863785,0.004576825281511079,0.009153650563022158
CCN1,----+-------,9.6745e-4,0.43463274535982444,3.95177291969358e-6,-1,7.90354583938716e-6,0.46480203414456955,0.003632401017072285,0.00726480203414457
ARC,-------+----,7.60893e-4,0.7829429081428059,6.26108284151081e-7,-1,1.252216568302162e-6,0.6545586632764258,0.0017435524881946967,0.0034871049763893934
FAM118A,------------,0.0042653430000000004,0.03275768494653656,0.002550642327473947,-1,0.005101284654947894,0.14987286596440247,0.0607337450054486,0.1214674900108972
