gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
DUSP5,------------,2.21995e-4,0.439355704413893,5.4707137835480075e-9,-1,1.0941427567096015e-8
TMEM161B-AS1,++++++++-+++,6.41068e-4,1.9140719449740004e-7,0.16376099938974337,1,3.828143889948001e-7
ZBTB21,------------,0.004106003,0.0030131181645663115,2.8036283684328844e-4,-1,5.607256736865769e-4
NR4A3,------------,0.001118376,0.054625167151447614,3.1834734979928156e-5,-1,6.366946995985631e-5
NBPF2P,++++++++++++,8.59296e-5,5.706802592467914e-4,0.007883835945238317,1,0.0011413605184935828
ETV3,-----------+,1.62732e-4,0.4397791217978704,2.69629692234548e-7,-1,5.39259384469096e-7
EGR2,------------,0.001319323,0.1752878715043168,5.687582516288594e-6,-1,1.1375165032577189e-5
RP11-667K14.3,------+-----,2.20278e-4,0.7379734836038361,5.011391605651856e-8,-1,1.0022783211303712e-7
NEDD9,-----------+,1.23189e-4,0.759997589896052,9.385883236937738e-8,-1,1.8771766473875475e-7
NR4A1,------------,7.75511e-5,0.6491288385736559,5.580105937033357e-7,-1,1.1160211874066714e-6
NPAS4,-----------+,2.11793e-4,0.9123007232010811,5.950183994704052e-8,-1,1.1900367989408105e-7
RP11-426C22.6,+++++-++++++,0.001143498,0.8123192298551086,9.168620319051405e-8,-1,1.833724063810281e-7
SIK1,------------,0.001941142,0.2026949080383052,2.6897156572204183e-5,-1,5.379431314440837e-5
RP11-677M14.7,++++++---+--,3.33182e-4,8.60894137192327e-12,0.9999896827739827,1,1.721788274384654e-11
ZNF331,------------,0.001591073,0.4621920139317783,7.375385755009569e-6,-1,1.4750771510019138e-5
CCN1,----+-------,9.6745e-4,0.43463274535982444,3.95177291969358e-6,-1,7.90354583938716e-6
ARC,-------+----,7.60893e-4,0.7829429081428059,6.26108284151081e-7,-1,1.252216568302162e-6
FAM118A,------------,0.0042653430000000004,0.03275768494653656,0.002550642327473947,-1,0.005101284654947894
LINC00473,-----------+,9.24745e-4,0.6453810758048101,1.964627092833676e-6,-1,3.929254185667352e-6
FRG1,++++++++++++,0.004949529,0.0029662594538933146,0.02812976680554697,1,0.005932518907786629
EGR1,----+-------,0.001833689,0.5387405988082312,8.186290930242578e-6,-1,1.6372581860485156e-5
DDT,+-+++++++++-,5.17889e-4,0.03327908624198342,0.0014874796940144938,-1,0.0029749593880289875
LRRC8C,------------,0.002213602,0.0022965911151815494,0.03940378697804779,1,0.004593182230363099
MMAB,++++++++++++,0.004444297,0.006506446639442265,0.028199058972284027,1,0.01301289327888453
AGBL5,+++---++++-+,1.31829e-4,0.7524759023993486,2.9583722048899875e-7,-1,5.916744409779975e-7
LINC00471,+++++++--+++,3.19741e-4,1.4385225508891872e-7,0.9583193495368931,1,2.8770451017783744e-7
NOL6,------+-+---,4.95106e-4,0.21177087290301586,9.36452317771562e-5,-1,1.872904635543124e-4
EGR4,------------,0.002035188,0.5866607492969291,3.437464810399402e-5,-1,6.874929620798804e-5
GPX4,++++++++++-+,8.7679e-4,0.05598788814231508,0.0022724856200319636,-1,0.004544971240063927
TCFL5,++++++---+++,0.003414279,1.76556772131862e-7,0.9427611552150537,1,3.53113544263724e-7
TMEM44-AS1,++++++++++++,0.007036187,0.04146621778716004,0.0067880384134853125,-1,0.013576076826970625
ANKRD37,-+-++-------,0.001004973,2.758506409341406e-8,0.9981747494650796,1,5.517012818682812e-8
TRIB1,-----------+,0.001304623,0.6650946166711926,1.003519857013199e-5,-1,2.007039714026398e-5
HERC6,++++++++++++,0.00288934,0.01524488441548586,0.023298157997264552,1,0.03048976883097172
PCDHB4,-----+------,6.68832e-4,6.383279704239643e-5,0.46646288987778356,1,1.2766559408479287e-4
PDE4D,-+----------,3.30356e-4,0.0027089321977325203,0.09212920666114931,1,0.005417864395465041
GBP3,++++++++--++,0.002975392,1.1941399887696305e-7,0.9953848302333519,1,2.388279977539261e-7
KCTD21-AS1,+++++++----+,6.52656e-4,3.6799036153962197e-7,0.9770307824593584,1,7.359807230792439e-7
MISP3,+++-+-++++++,1.94462e-4,0.831201378520596,1.0389946663000841e-6,-1,2.0779893326001683e-6
AP003068.23,++++++++++++,0.010226513,0.04489117543378387,0.01286891500739318,-1,0.02573783001478636
LAMTOR4,+++-++++++++,7.60347e-4,0.4315496108209505,1.5389310326602065e-4,-1,3.077862065320413e-4
