gene_symbol,male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RP11-426C22.6,++++++,0.001143498,1.3973288405177923e-10,0.9999999999958473,1,2.7946576810355847e-10
ANKRD37,------,0.001004973,0.9999999999442445,2.4723496109117055e-10,-1,4.944699221823411e-10
RNVU1-13,++++++,0.001172075,1.3572026297528386e-9,0.9999999984689454,1,2.714405259505677e-9
AGBL5,++++-+,1.31829e-4,3.1633782191050963e-9,0.9994874082170495,1,6.3267564382101925e-9
EEF2,++++++,8.97529e-5,3.748075066480928e-9,0.9999926603000213,1,7.496150132961857e-9
RPS28,++++++,4.3403e-4,4.062755785095503e-9,0.9999997917733116,1,8.125511570191006e-9
CPSF1P1,++++++,5.43687e-4,4.728585709677865e-9,0.999999998691984,1,9.45717141935573e-9
VEGFA,------,0.003807741,0.999999998320277,1.032091244309468e-8,-1,2.064182488618936e-8
MISP3,++++++,1.94462e-4,1.8276895815775842e-8,0.9999950427133324,1,3.6553791631551684e-08
CARM1P1,++++++,1.44946e-4,1.9274339266311013e-8,0.999999792326017,1,3.8548678532622026e-8
RPL10A,++++++,2.61478e-4,4.2173702683306086e-8,0.9999977034702148,1,8.434740536661217e-8
NBPF14,++++++,0.009537749,4.271390170487308e-8,0.9999999999758377,1,8.542780340974616e-8
CCDC124,++++++,9.17799e-7,6.713957876914873e-8,0.9998395899667927,1,1.3427915753829745e-7
CCNT1,------,3.6569e-4,0.999999980777707,6.78269690482213e-8,-1,1.356539380964426e-7
RPL23AP53,++++++,1.87404e-4,8.331738071267962e-8,0.9999944508149552,1,1.6663476142535924e-7
UBE2M,++++++,4.9052e-5,1.0604145990052293e-7,0.9999679442905602,1,2.1208291980104587e-7
SNORA73B,++++++,5.04551e-4,1.0812562897936354e-7,0.9999990392199956,1,2.1625125795872708e-7
RP11-700J17.2,------,0.00283464,0.9999993137122711,1.1254775548746961e-7,-1,2.2509551097493923e-7
NDUFA2,+++++-,6.12726e-5,1.2211794629698028e-7,0.9954752541595158,1,2.4423589259396057e-7
RCN1P2,------,0.002682252,0.999999998175391,1.415723156025639e-7,-1,2.831446312051278e-7
PCDHB4,------,6.68832e-4,0.9999995343590276,1.4435717148075032e-7,-1,2.8871434296150063e-7
SLC5A4-AS1,++++++,0.002395309,1.486310427902337e-7,0.999999997675606,1,2.972620855804674e-7
TMEM41B,------,0.001655023,0.9999999903421488,1.5486789877537267e-7,-1,3.0973579755074534e-7
ITPR3,++++++,0.001833984,1.7227656109861028e-7,0.9999999906372579,1,3.4455312219722055e-7
C7orf50,++++++,1.35065e-4,1.813269964166236e-7,0.9999986778933995,1,3.626539928332472e-7
ZNF603P,------,0.001626167,0.9999995544403076,2.0631995448761998e-7,-1,4.1263990897523996e-7
P4HA1,------,0.004772669,0.9999999911082664,2.2836732944875623e-7,-1,4.5673465889751245e-7
B4GALNT4,++++++,1.57781e-4,2.66490157656454e-7,0.9999075093918086,1,5.32980315312908e-7
MYBBP1A,++++++,9.25225e-4,2.7159400756872787e-07,0.9999980214601472,1,5.431880151374557e-7
CRY1,------,0.001297082,0.9999939971783958,2.806021946718188e-7,-1,5.612043893436376e-7
