gene_symbol,male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
ANKRD37,------,0.001004973,0.9999999999442445,2.4723496109117055e-10,-1,4.944699221823411e-10,1,7.264802034144569e-5,1.4529604068289138e-4
AGBL5,++++-+,1.31829e-4,3.1633782191050963e-9,0.9994874082170495,1,6.3267564382101925e-9,7.264802034144569e-5,0.9673810388666909,1.4529604068289138e-4
EEF2,++++++,8.97529e-5,3.748075066480928e-9,0.9999926603000213,1,7.496150132961857e-9,1.4529604068289138e-4,0.9958590628405376,2.9059208136578276e-4
RPS28,++++++,4.3403e-4,4.062755785095503e-9,0.9999997917733116,1,8.125511570191006e-9,2.1794406102433709e-4,0.9988376316745369,4.3588812204867417e-4
VEGFA,------,0.003807741,0.999999998320277,1.032091244309468e-8,-1,2.064182488618936e-8,0.9999273519796585,1.4529604068289138e-4,2.9059208136578276e-4
RPL10A,++++++,2.61478e-4,4.2173702683306086e-8,0.9999977034702148,1,8.434740536661217e-8,2.9059208136578276e-4,0.9974573192880494,5.811841627315655e-4
CCDC124,++++++,9.17799e-7,6.713957876914873e-8,0.9998395899667927,1,1.3427915753829745e-7,3.632401017072285e-4,0.981256810751907,7.26480203414457e-4
CCNT1,------,3.6569e-4,0.999999980777707,6.78269690482213e-8,-1,1.356539380964426e-7,0.9997094079186342,2.1794406102433709e-4,4.3588812204867417e-4
UBE2M,++++++,4.9052e-5,1.0604145990052293e-7,0.9999679442905602,1,2.1208291980104587e-7,4.3588812204867417e-4,0.9912095895386851,8.717762440973483e-4
NDUFA2,+++++-,6.12726e-5,1.2211794629698028e-7,0.9954752541595158,1,2.4423589259396057e-7,5.085361423901198e-4,0.913112967671631,0.0010170722847802397
PCDHB4,------,6.68832e-4,0.9999995343590276,1.4435717148075032e-7,-1,2.8871434296150063e-7,0.9991282237559026,2.9059208136578276e-4,5.811841627315655e-4
TMEM41B,------,0.001655023,0.9999999903421488,1.5486789877537267e-7,-1,3.0973579755074534e-7,0.9997820559389756,3.632401017072285e-4,7.26480203414457e-4
ITPR3,++++++,0.001833984,1.7227656109861028e-7,0.9999999906372579,1,3.4455312219722055e-7,5.811841627315655e-4,1,0.001162368325463131
C7orf50,++++++,1.35065e-4,1.813269964166236e-7,0.9999986778933995,1,3.626539928332472e-7,6.538321830730113e-4,0.9981837994914639,0.0013076643661460226
P4HA1,------,0.004772669,0.9999999911082664,2.2836732944875623e-7,-1,4.5673465889751245e-7,0.9998547039593171,4.3588812204867417e-4,8.717762440973483e-4
B4GALNT4,++++++,1.57781e-4,2.66490157656454e-7,0.9999075093918086,1,5.32980315312908e-7,7.26480203414457e-4,0.9856883399927352,0.001452960406828914
MYBBP1A,++++++,9.25225e-4,2.7159400756872787e-07,0.9999980214601472,1,5.431880151374557e-7,7.991282237559027e-4,0.9977479113694152,0.0015982564475118053
CRY1,------,0.001297082,0.9999939971783958,2.806021946718188e-7,-1,5.612043893436376e-7,0.9968761351253178,5.085361423901198e-4,0.0010170722847802397
CKB,++++++,1.82118e-5,2.810709664733924e-7,0.9998865227720667,1,5.621419329467848e-7,8.717762440973483e-4,0.9839447875045405,0.0017435524881946967
IMP4,++++-+,4.99604e-4,2.889528649649541e-7,0.9965032419720014,1,5.779057299299082e-7,9.44424264438794e-4,0.921758082092263,0.001888848528877588
DDX55,++++++,1.07752e-4,2.963404967486724e-7,0.9999998922483357,1,5.926809934973448e-7,0.0010170722847802397,0.9992735197965855,0.0020341445695604794
RPL8,++++-+,2.1357e-5,3.2979191968117375e-7,0.9961308754888927,1,6.595838393623475e-7,0.0010897203051216855,0.918343625136215,0.002179440610243371
CCBE1,------,2.96795e-4,0.9999622293497945,3.636359084562245e-7,-1,7.27271816912449e-7,0.9936796222302943,5.811841627315655e-4,0.001162368325463131
LAMTOR4,++++++,7.60347e-4,4.103147630029054e-7,0.9999811665151996,1,8.206295260058108e-7,0.001162368325463131,0.9933890301489284,0.002324736650926262
ZNF654,------,1.10049e-4,0.9999947793782602,4.6927755732931207e-7,-1,9.385551146586241e-7,0.9973120232473666,6.538321830730113e-4,0.0013076643661460226
