gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
TMEM161B-AS1,++++,6.41068e-4,6.004177436249806e-7,0.9999933050296043,1,1.2008354872499612e-6
TSGA10,++++,1.63682e-4,1.4055182887940896e-6,0.9995798598959882,1,2.811036577588179e-6
RP11-667K14.3,----,2.20278e-4,0.9996751541184374,1.6881906992013175e-6,-1,3.376381398402635e-6
CLTCL1,++++,0.001117366,5.801261191517183e-6,0.9999955295608289,1,1.1602522383034367e-5
RP11-346C20.3,++++,0.001680454,1.0436233398435395e-5,0.9999571267812667,1,2.087246679687079e-5
FRG1,++++,0.004949529,1.3636425377605906e-5,0.9999991357664839,1,2.7272850755211812e-5
TRPM1,++++,4.30553e-4,2.0407890813258295e-5,0.9777318039642009,1,4.081578162651659e-5
EIF1AY,++++,2.41293e-6,4.1118784285744186e-5,0.9397762640747596,1,8.223756857148837e-5
RDH16,++++,3.24164e-4,4.1607660556077e-5,0.9985983773080744,1,8.3215321112154e-5
AP003068.23,++++,0.010226513,4.4856465068436824e-5,0.9999893117294203,1,8.971293013687365e-5
RP11-677M14.7,++--,3.33182e-4,4.75987187655367e-5,0.8529678798977685,1,9.51974375310734e-5
AHSA2P,++++,0.001588407,4.773626330326107e-5,0.9996733385005543,1,9.547252660652214e-5
ZNF663P,++++,0.002942159,4.818737753547593e-5,0.9999943370654318,1,9.637475507095186e-5
SRPK3,++++,0.006612763,5.528155026795703e-5,0.9985634049452747,1,1.1056310053591406e-4
TCFL5,++++,0.006041642,6.291761364874542e-5,0.9991724326874345,1,1.2583522729749084e-4
TRPV6,++++,0.005795014,6.521810517365854e-5,0.9999407629509474,1,1.304362103473171e-4
SLC13A4,--+-,1.26386e-4,0.9698168495634956,6.831414125937148e-5,-1,1.3662828251874296e-4
RP5-837J1.4,++++,0.003642817,7.124546867378069e-5,0.9991439861585927,1,1.4249093734756139e-4
LINC00471,++++,3.19741e-4,7.309726277887189e-5,0.9972607143318677,1,1.4619452555774377e-4
PDZD9,++++,0.001992335,7.599978042926887e-5,0.9998543354602076,1,1.5199956085853775e-4
CCDC18-AS1,++++,0.00678725,8.072029359832036e-5,0.9953637874767287,1,1.6144058719664073e-4
CLMP,----,8.78953e-4,0.9954871680543963,8.349739108554995e-5,-1,1.669947821710999e-4
PTGS2,----,2.67881e-4,0.9991262473586663,9.306051474496809e-5,-1,1.8612102948993618e-4
LINC01909,++++,2.37637e-4,9.539167408965845e-5,0.9970031389081991,1,1.907833481793169e-4
INAFM2,----,0.006520394,0.9997908286616068,1.0402903732432782e-4,-1,2.0805807464865564e-4
PI16,++++,0.005665047,1.060935397349116e-4,0.9998935720063676,1,2.121870794698232e-4
RANP4,+++-,0.002171759,1.186064719592702e-4,0.9684894439032053,1,2.372129439185404e-4
LINC01992,++++,0.023443111,1.2447606896748956e-4,0.999997837009762,1,2.489521379349791e-4
MIR4712,+++-,1.26071e-4,1.2736399339626943e-4,0.9597080869617484,1,2.5472798679253885e-4
RP1-228P16.1,++++,0.007118629,1.29193601593214e-4,0.9998915767082973,1,2.58387203186428e-4
STK31,++++,0.005098567,1.413284801506973e-4,0.9999803243644904,1,2.826569603013946e-4
RP11-597D13.8,++-+,3.32513e-4,1.529288193242573e-4,0.8841957053264157,1,3.058576386485146e-4
GLRA4,++++,0.005947092,1.726947097333857e-4,0.9997162383931197,1,3.453894194667714e-4
DUSP5,----,0.006162679,0.9999328817857491,1.7737179351973533e-4,-1,3.5474358703947067e-4
NR4A1,----,7.75511e-5,0.9934378607092038,1.7846149583341638e-4,-1,3.5692299166683277e-4
HMGB1P41,++++,0.004135878,1.9170533222370007e-4,0.9991130291662456,1,3.8341066444740014e-4
CRH,----,8.36069e-4,0.9893021955862734,1.9996909781330223e-4,-1,3.9993819562660445e-4
NPTX2,----,0.009780972,0.9998623107755684,2.1969792645438574e-4,-1,4.3939585290877147e-4
RP11-259K15.2,+++-,2.1656e-4,2.332407377560172e-4,0.953138586913299,1,4.664814755120344e-4
GABPB1-AS1,+++-,0.001669497,2.531276170740212e-4,0.9462161729750251,1,5.062552341480424e-4
LINC02226,++++,4.86691e-4,2.5404628394188293e-4,0.9912350567485831,1,5.080925678837659e-4
RNY4P37,++++,0.012813917,2.7286233234500245e-4,0.999978579272549,1,5.457246646900049e-4
DDX55,++++,1.07752e-4,2.819487402103623e-4,0.986821567983494,1,5.638974804207246e-4
