gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
HES4,+-++,0.178248263,0.35809776555405143,0.6281394515058846,1,0.7161955311081029,0.3907737014166364,0.291297399389801,0.582594798779602
ISG15,--++,0.011852393,0.0877772692757434,0.28652264670238503,1,0.1755545385514868,0.11485652015982564,0.06494261223303792,0.12988522446607584
AGRN,+-++,0.02368814,0.009245751872183862,0.33500239193379955,1,0.018491503744367723,0.01264075553941155,0.006973703327037629,0.013947406654075258
C1orf159,+--+,0.365675712,0.617011687040445,0.6049665935325462,-1,1.2099331870650925,0.5437309312799651,0.4350163458045768,0.8700326916091536
TTLL5,+-++,0.024796609,0.026227756553473345,0.9444060377834192,1,0.05245551310694669,0.03697784235379586,0.017506901060584047,0.03501380212116809
SDF4,--++,0.12088940200000001,0.264530984971985,0.5321027072610376,1,0.52906196994397,0.304976389393389,0.21545837570826673,0.43091675141653346
B3GALT6,--++,0.422726511,0.5365520119250752,0.6490607389460277,1,1.0731040238501504,0.517689792953142,0.40832485834665116,0.8166497166933023
UBE2J2,+-+-,0.031080748,0.45335795877275303,0.1969719648296838,-1,0.3939439296593676,0.23543513003050995,0.15873592444605886,0.3174718488921177
SCNN1D,+-++,0.072222004,0.07684970102458008,0.7951945185822176,1,0.15369940204916016,0.10374137304758445,0.05644341130321081,0.11288682260642162
ACAP3,--++,0.174509717,0.5598492835362497,0.3509557944488638,-1,0.7019115888977276,0.3849338951038791,0.2855067199418816,0.5710134398837632
PUSL1,+-++,0.241065459,0.33288656716899173,0.7554798221096621,1,0.6657731343379835,0.36970577551761713,0.27052157489466805,0.5410431497893361
INTS11,+-++,0.266502575,0.33241164266407597,0.6948560695478907,1,0.6648232853281519,0.36941518343625135,0.2697225047217783,0.5394450094435566
CPTP,+--+,0.061836791,0.2674674024682891,0.33408169710661595,1,0.5349348049365782,0.30817290228841265,0.21712915879703618,0.43425831759407235
DVL1,--++,0.126819521,0.6671764815162422,0.35942645992399147,-1,0.7188529198479829,0.39168967020194684,0.29240828187431894,0.5848165637486379
MXRA8,-+--,0.232282246,0.7094685872692477,0.45061155664855995,-1,0.9012231132971199,0.4656399825657417,0.36040682891391207,0.7208136578278241
AURKAIP1,--++,0.154847889,0.4588137684254962,0.44767267663211335,-1,0.8953453532642267,0.4636059857620224,0.3585179803850345,0.717035960770069
CCNL2,++++,0.096108727,0.10913847578365626,0.9666994209843099,1,0.21827695156731253,0.141808935706502,0.08346651169548162,0.16693302339096325
MRPL20,-++-,0.249831572,0.3772640020674102,0.6616222971867716,1,0.7545280041348204,0.4085724664002906,0.3072788028475955,0.614557605695191
ANKRD65,--++,0.39906288,0.6270971304876366,0.5701558278881476,-1,1.1403116557762951,0.5317448786866192,0.4248456229567744,0.8496912459135488
VWA1,++--,0.066131494,0.2188575542883219,0.7779739803256069,1,0.4377151085766438,0.2576098801307664,0.17703036466656982,0.35406072933313965
ATAD3C,+-+-,0.169249368,0.41245713437102144,0.6676656037542033,1,0.8249142687420429,0.43777697057755177,0.3340113322679064,0.6680226645358128
ATAD3B,+-++,0.112907152,0.20403922030459085,0.8426274831597593,1,0.4080784406091817,0.24235379585906283,0.1653348830451838,0.3306697660903676
ATAD3A,--++,0.133964478,0.7055774686287734,0.29481645474021145,-1,0.5896329094804229,0.33451983146883624,0.238794042862332,0.477588085724664
TMEM240,---+,0.045279066,0.716567714172293,0.006401582527853807,-1,0.012803165055707614,0.009588842074676739,0.005158009444242644,0.010316018888485289
SSU72,--++,0.018752107,0.6188484680436263,0.08661559093413865,-1,0.1732311818682773,0.11368589277931135,0.06371231383944788,0.12742462767889576
CDK11A,--++,0.101228902,0.36144887553188676,0.4152501167062769,1,0.7228977510637735,0.393316382128587,0.29456632282434986,0.5891326456486997
SLC35E2A,---+,0.039512918,0.9210810886338876,0.03404426485266067,-1,0.06808852970532134,0.047653639401423795,0.022157646204140936,0.04431529240828187
NADK,+-++,0.402464183,0.6801595292680891,0.5825031208197279,-1,1.1650062416394558,0.5364666569809676,0.4284780239738467,0.8569560479476934
GNB1,+--+,0.211220256,0.563403370615908,0.3810981863763422,-1,0.7621963727526844,0.4120296382391399,0.31013439883763166,0.6202687976752633
CFAP74,+-+-,0.05416475,0.5315978703587781,0.2720747911465572,-1,0.5441495822931144,0.31221850937091383,0.2214311660007265,0.442862332001453
PRKCZ,---+,0.224615421,0.7708800653475579,0.2056787574413527,-1,0.4113575148827054,0.24371640273136713,0.16687250272430076,0.33374500544860153
FAAP20,+--+,0.301481114,0.5533837010523206,0.5472193158877177,-1,1.0944386317754353,0.5229551067848321,0.4148928441699964,0.8297856883399928
SKI,---+,0.060729876,0.8469317195137828,0.17782506048266913,-1,0.35565012096533827,0.2167659450820863,0.1413003995641119,0.2826007991282238
MORN1,--+-,0.110533058,0.5515983025224368,0.26837285421610013,-1,0.5367457084322003,0.3094580851372948,0.2177987649836542,0.4355975299673084
RER1,--+-,0.24958232,0.7660947819590185,0.3782513958396974,-1,0.7565027916793948,0.4094871422344908,0.30795495822738833,0.6159099164547767
PEX10,-+++,0.158381338,0.23926460181804665,0.8769378378905308,1,0.4785292036360933,0.2794769342535416,0.19490047944210373,0.38980095888420746
PLCH2,--+-,0.432893436,0.8291134436247676,0.4181127789025827,-1,0.8362255578051654,0.4419584483510097,0.3376679985470396,0.6753359970940792
PANK4,+-++,0.250397846,0.48526541727883565,0.6072777225258363,1,0.9705308345576713,0.4884126407555394,0.37984890309458086,0.7596978061891617
HES5,---+,0.196428233,0.9073870470959182,0.2211072991761711,-1,0.4422145983523422,0.26020630539009154,0.17893207410098075,0.3578641482019615
TNFRSF14,+-+-,0.022145886,0.20794512453698233,0.21149768550041764,1,0.41589024907396466,0.2456229567744279,0.16903966293767253,0.33807932587534506
PRXL2B,---+,0.388925382,0.8204711610483537,0.46590170841809386,-1,0.9318034168361877,0.47508353915443846,0.37006901561932437,0.7401380312386487
TTC34,+-++,0.233007873,0.6000951138350551,0.5233199633630147,-1,1.0466399267260293,0.5109690541914863,0.40239738467126773,0.8047947693425355
PRDM16,--++,0.416113934,0.5243636042665571,0.6447295792034953,1,1.0487272085331143,0.5117326552851434,0.40280400987941306,0.8056080197588261
ARHGEF16,++++,0.06795607,0.11345524117138564,0.9372031810815993,1,0.22691048234277128,0.14645840900835452,0.08680807787302049,0.17361615574604097
MEGF6,+-++,0.528827932,0.6846715026276851,0.6372118863576395,-1,1.274423772715279,0.5496876362051432,0.4411914275335997,0.8823828550671994
TPRG1L,---+,0.025742489,0.9333629352027796,0.02616522057783743,-1,0.05233044115567486,0.03697515618189743,0.017435524881946968,0.034871049763893935
