gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
HES4,+-++,0.178248263,0.9129638209205287,0.16656394644555206,-1,0.3331278928911041,0.16562545401714368,0.17522702506356702,0.33125090803428736
ISG15,--++,0.011852393,0.9980634816744014,0.004145533197744362,-1,0.008291066395488725,0.0027604242336190616,0.0032691609153650564,0.005520848467238123
AGRN,+-++,0.02368814,0.559479651668302,0.0039158702424170804,-1,0.007831740484834161,0.0025424960046491357,0.002905920813657828,0.005084992009298271
C1orf159,+--+,0.365675712,0.7883456490414658,0.43928474503904696,-1,0.8785694900780939,0.39750108964114483,0.42361060661096983,0.7950021792822897
TTLL5,+-++,0.024796609,0.21338521074103745,0.30719338283471215,1,0.4267704214820749,0.2108245550308754,0.22657271538573295,0.4216491100617508
SDF4,--++,0.12088940200000001,0.9872917179341336,0.05392349767616816,-1,0.10784699535233631,0.04511114339677466,0.05339629495096258,0.09022228679354932
B3GALT6,--++,0.422726511,0.9415462601699603,0.25790681063675625,-1,0.5158136212735125,0.25025424960046494,0.2692335633853977,0.5005084992009299
UBE2J2,+-+-,0.031080748,0.15722600856300079,0.5349208527547712,1,0.31445201712600157,0.15575735561205958,0.16489902658724392,0.31151471122411917
SCNN1D,+-++,0.072222004,0.45677614412469747,0.1977747723559271,-1,0.3955495447118542,0.19628069155891326,0.21046131492916817,0.3925613831178265
ACAP3,--++,0.174509717,0.9868639711240886,0.08447038298005699,-1,0.16894076596011398,0.07801830597123348,0.08528877588085725,0.15603661194246696
PUSL1,+-++,0.241065459,0.7927366594412084,0.3044060372864324,-1,0.6088120745728648,0.2914426848757809,0.3126770795495823,0.5828853697515618
INTS11,+-++,0.266502575,0.862201027580336,0.2163443971290494,-1,0.4326887942580988,0.21313380793258754,0.2284780239738467,0.4262676158651751
CPTP,+--+,0.061836791,0.8344364032868611,0.06275760613588854,-1,0.1255152122717771,0.05455469998547145,0.06284053759535052,0.1091093999709429
DVL1,--++,0.126819521,0.9464056114158208,0.15921033321733136,-1,0.3184206664346627,0.1579979660031963,0.1667998547039593,0.3159959320063926
MXRA8,-+--,0.232282246,0.6944316790821656,0.46425125045800614,-1,0.9285025009160123,0.41246549469707977,0.44148201961496547,0.8249309893941595
AURKAIP1,--++,0.154847889,0.9768737547184349,0.09656111265388345,-1,0.1931222253077669,0.0908760714804591,0.09727569923719578,0.1817521429609182
CCNL2,++++,0.096108727,0.7152726345467484,0.25948937064402994,-1,0.5189787412880599,0.2511259625163446,0.2707591718125681,0.5022519250326892
MRPL20,-++-,0.249831572,0.5783900640525199,0.4479956645985148,-1,0.8959913291970296,0.4035304373093128,0.42978568833999276,0.8070608746186256
ANKRD65,--++,0.39906288,0.9393970445293077,0.2682551991115345,-1,0.536510398223069,0.2594072352172018,0.278241917907737,0.5188144704344037
VWA1,++--,0.066131494,0.14182597346133888,0.914270635486673,1,0.28365194692267776,0.13970214311660006,0.1497166933023391,0.2794042862332001
ATAD3C,+-+-,0.169249368,0.7510512868112007,0.3444282279114062,-1,0.6888564558228124,0.326529129739939,0.3490737377406466,0.653058259479878
ATAD3B,+-++,0.112907152,0.9410411566297194,0.14139923486113296,-1,0.2827984697222659,0.13925613831178266,0.14921903378132945,0.2785122766235653
ATAD3A,--++,0.133964478,0.9664905187861849,0.12351860767264626,-1,0.24703721534529252,0.1191340985035595,0.1272066836178714,0.238268197007119
TMEM240,---+,0.045279066,0.4727371738320945,0.014510034354663137,-1,0.029020068709326274,0.01067848321952637,0.011914275335997095,0.02135696643905274
SSU72,--++,0.018752107,0.9916077167933288,0.017717509984679445,-1,0.03543501996935889,0.013366264710155456,0.015982564475118054,0.026732529420310912
CDK11A,--++,0.101228902,0.9783142109430104,0.061491912583531386,-1,0.12298382516706277,0.0532471306116519,0.06146022520886306,0.1064942612233038
SLC35E2A,---+,0.039512918,0.23834292140948435,0.30582873834559937,1,0.4766858428189687,0.23232836905194335,0.24923725119860526,0.4646567381038867
NADK,+-++,0.402464183,0.7134625886274053,0.5495906822160278,-1,1.0991813644320556,0.4545982856312654,0.48833999273519796,0.9091965712625308
GNB1,+--+,0.211220256,0.7433417174060333,0.25276649736953594,-1,0.5055329947390719,0.2453145430771466,0.2634217217580821,0.4906290861542932
