gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
GALNT15,-+--,-+++++-+,++-+-+,1.2922728634453194e-12,0.9978237915808832,+,2.58e-12,0.004911423,6.95e-10,4.55e-8
GALNT15,-+--,-+++++-+,++-+++,1.2922728634453194e-12,0.9978237915808832,+,2.58e-12,0.004911423,6.95e-10,4.55e-8
GALNT15,-+--,-+++++-+,--++++,1.2922728634453194e-12,0.9978237915808832,+,2.58e-12,0.004911423,6.95e-10,4.55e-8
NR4A3,----,--------,NA,0.9999777295407595,2.0422521341559461e-10,-,4.08e-10,0.001118376,1.1e-7,7.19e-6
ETV3,-+--,--------,NA,0.9939008822321533,2.4142664947361376e-9,-,4.83e-9,1.62732e-4,1.3e-6,8.5e-5
EGR2,----,--------,+-----,0.9999517901299854,4.265906105741533e-9,-,8.53e-9,0.001319323,2.3e-6,1.5e-4
EGR1,----,--------,++----,0.9988408116734192,1.7239545750875234e-8,-,3.45e-8,0.002214409,9.27e-6,6.07e-4
EGR4,+---,--------,++----,0.9975669798701333,2.4367152069183713e-8,-,4.87e-8,0.002035188,1.31e-5,8.58e-4
NR4A1,----,--------,-+----,0.9999659506581962,2.7004278245925515e-8,-,5.4e-8,0.00447965,1.45e-5,9.51e-4
DUSP5,+---,--------,+--++-,0.9808834065009056,4.166506557433e-8,-,8.33e-8,2.21995e-4,2.24e-5,0.00147
AGA,----,++++++-+,------,0.19380520126822795,7.015879753037518e-8,-,1.4e-7,2.84925e-4,3.77e-5,0.00247
ARC,----,-----+--,+++---,0.8596779520454543,9.00997510074316e-8,-,1.8e-7,7.60893e-4,4.85e-5,0.00317
SLC6A2,-+-+,+-+++---,-+++++,9.214873150788636e-8,0.9999402393675493,+,1.84e-7,0.0018157151465647186,4.96e-5,0.00325
SLC6A2,-+-+,++++++++,-+++++,9.214873150788636e-8,0.9999402393675493,+,1.84e-7,0.0018157151465647186,4.96e-5,0.00325
VEGFA,-+--,+-+-----,-----+,0.9885599832800704,1.0720815552256759e-7,-,2.14e-7,0.001792509,5.77e-5,0.00378
AGBL5,+-+-,+++-++++,++----,1.220821163362738e-7,0.08491095185797162,+,2.44e-7,1.31829e-4,6.57e-5,0.0043
RPL5,--+-,++++++++,-+++++,1.3988950255559158e-7,0.9996614658126634,+,2.8e-7,0.002186891,7.53e-5,0.00493
SPRED2,+-+-,------+-,++--+-,0.08284606869405942,2.1585318554854833e-7,-,4.32e-7,6.85e-5,1.16e-4,0.0076
ZBTB21,-+++,--------,+---+-,0.789822777301146,2.1876071101915453e-7,-,4.38e-7,0.004106003,1.18e-4,0.00771
YPEL5,++++,++++++++,-+---+,2.7853234323710657e-7,0.6892782007978466,+,5.57e-7,0.001303795,1.5e-4,0.00981
TRIB1,----,--------,++++-+,0.08904283785928864,2.964799450836215e-7,-,5.93e-7,0.001304623,1.6e-4,0.0104
STAT6,+-+-,-----+++,+-----,0.5115956343324309,3.4761548767988304e-7,-,6.95e-7,4.06613e-5,1.87e-4,0.0122
NEDD9,++--,--------,+++-+-,0.13512836056469157,3.551620499772873e-7,-,7.1e-7,1.23189e-4,1.91e-4,0.0125
C1orf115,+-++,++-+++++,+++--+,4.1665022590422936e-7,0.9867755273873164,+,8.33e-7,1.26498e-4,2.24e-4,0.0147
DNAJB5,----,--------,-+----,0.9999801097242748,4.330054756244946e-7,-,8.66e-7,4.07769e-4,2.33e-4,0.0153
SIK1,++++,--------,NA,0.6136711168429669,5.317073727148382e-7,-,1.06e-6,0.0058867,2.86e-4,0.0187
NPAS4,+---,--------,++-+--,0.8242921239625982,6.517174485446959e-7,-,1.3e-6,0.00108715,3.51e-4,0.023
DDT,+-++,+-++++++,-+---+,7.795224386751957e-7,0.16659353601405036,+,1.56e-6,5.17889e-4,4.19e-4,0.0275
NARS2,++++,++++++++,++-+-+,8.160437113115981e-7,0.997475872988062,+,1.63e-6,2.1685687228460747e-4,4.39e-4,0.0287
NDUFA2,+-+-,++++++++,+----+,9.519070945922329e-7,0.6789873574700735,+,1.9e-6,6.12726e-5,5.12e-4,0.0335
NHP2,+-+-,++++++++,NA,9.796830411130227e-7,0.955094361598162,+,1.96e-6,2.40017e-4,5.27e-4,0.0345
NDST2,++++,+-+-++--,+--+--,0.49418869658049686,1.0466696129022207e-6,-,2.09e-6,1.25281e-4,5.63e-4,0.0369
ATXN7,++-+,--------,+-++--,0.7460011067100211,1.1534635563509408e-6,-,2.31e-6,0.002090582,6.21e-4,0.0406
DDTL,--++,+-++++++,-+---+,1.1646277091204227e-6,0.13771965572848,+,2.33e-6,5.17889e-4,6.27e-4,0.041
LRRC8C,--+-,--------,---++-,0.997002481356136,1.1785642699755426e-6,-,2.36e-6,0.002213602,6.34e-4,0.0415
GPX4,--+-,++++++++,-+---+,1.1877892317552752e-6,0.327193065377378,+,2.38e-6,8.7679e-4,6.39e-4,0.0418
C1orf43,-+++,+++-++++,----++,1.3087263068732484e-6,0.1945468944301227,+,2.62e-6,0.001660319,7.04e-4,0.0461
TRIB2,--+-,------+-,+-----,0.9999971688345044,1.3155455582432823e-6,-,2.63e-6,0.011204588,7.08e-4,0.0463
CYR61,+-+-,--------,++-+++,0.34760651008085064,1.393952131387169e-6,-,2.79e-6,9.6745e-4,7.5e-4,0.0491
TEF,++++,++-+++++,++++-+,1.4053193084908588e-6,0.9999821739618417,+,2.81e-6,0.004226779,7.56e-4,0.0495
KLHDC9,+-+-,-++-++++,+++---,1.4555667238205714e-6,0.8590511164035788,+,2.91e-6,4.84111e-6,7.83e-4,0.0513
SOCS4,+++-,-++-----,++++--,0.9330986851714131,1.6791017220178631e-6,-,3.36e-6,5.17462e-4,9.03e-4,0.0591
SOCS4,+++-,-++-----,---+--,0.9330986851714131,1.6791017220178631e-6,-,3.36e-6,5.17462e-4,9.03e-4,0.0591
TET3,----,----+---,-++---,0.8722708872022558,1.7232834383790353e-6,-,3.45e-6,0.001737538,9.27e-4,0.0607
LDLRAD4,-+--,--------,---+-+,0.904841266586603,1.7346926890191499e-6,-,3.47e-6,0.003274262,9.33e-4,0.0611
FAM220A,++++,++++-+++,NA,2.1312689777582366e-6,0.9999871152450984,+,4.26e-6,0.014461234,0.00115,0.0751
GPR3,+---,------+-,NA,0.9989967671823653,2.137995240248621e-6,-,4.28e-6,0.001015085,0.00115,0.0753
NR1D1,++++,++++++++,NA,2.540137395910168e-6,0.9999995566318575,+,5.08e-6,0.004231461879892729,0.00137,0.0895
LAMTOR4,--+-,+++-++++,NA,3.13245637005547e-6,0.5893431802546307,+,6.26e-6,7.60347e-4,0.00169,0.11
DUSP4,----,--------,-+----,0.999999090551446,3.1442222745063474e-6,-,6.29e-6,0.012085206,0.00169,0.111
GPR6,++++,+++++-++,++++++,3.425922613002413e-6,0.9999997872068336,+,6.85e-6,0.004299997,0.00184,0.121
CCNH,++--,--------,-+----,0.9996239381185111,3.573343186150305e-6,-,7.15e-6,0.005131359,0.00192,0.126
STARD10,+-+-,+++-++++,++++-+,3.6060578776156545e-6,0.9197807313953759,+,7.21e-6,0.013598689,0.00194,0.127
OSBPL3,-++-,----+-+-,------,0.9962643379970005,4.023163284899883e-6,-,8.05e-6,0.004191948,0.00216,0.142
NOL6,++--,----+-+-,++----,0.9271355532225067,4.180579975944806e-6,-,8.36e-6,4.95106e-4,0.00225,0.147
IRF2BP2,----,-+------,---++-,0.9713227611386333,4.335063393246332e-6,-,8.67e-6,0.012098605,0.00233,0.153
RPS14,+-+-,+++-++++,+++-+-,4.546137197081652e-6,0.9931834250538835,+,9.09e-6,1.74313e-4,0.00245,0.16
MPP3,++++,-+--++++,++++++,4.926969717212202e-6,0.9990686447516386,+,9.85e-6,6.30618e-4,0.00265,0.174
PM20D2,++-+,+++-+---,++++++,5.183572840313294e-6,0.08849487042964883,+,1.04e-5,3.32678e-4,0.00279,0.183
DGAT2,++++,++++++++,-++---,5.922728165814796e-6,0.9872128292494732,+,1.18e-5,6.49260820012746e-4,0.00319,0.209
