gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
GALNT15,-+--,-+++++-+,++-+-+,5.502249663185882e-6,0.9990780216658217,+,1.1e-5,0.004911423,0.00296,0.194
GALNT15,-+--,-+++++-+,++-+++,5.502249663185882e-6,0.9990780216658217,+,1.1e-5,0.004911423,0.00296,0.194
GALNT15,-+--,-+++++-+,--++++,5.502249663185882e-6,0.9990780216658217,+,1.1e-5,0.004911423,0.00296,0.194
NR4A3,----,--------,NA,0.9999284831589169,2.3498395395647536e-5,-,4.7e-5,0.001118376,0.0126,0.828
SLC6A2,-+-+,+-+++---,-+++++,7.521266842294781e-5,0.9995854493755272,+,1.5e-4,0.0018157151465647186,0.0405,1
SLC6A2,-+-+,++++++++,-+++++,7.521266842294781e-5,0.9995854493755272,+,1.5e-4,0.0018157151465647186,0.0405,1
TEF,++++,++-+++++,++++-+,9.753208455607693e-5,0.9999048648952349,+,1.95e-4,0.004226779,0.0525,1
NARS2,++++,++++++++,++-+-+,1.0414303360053766e-4,0.9989519097422697,+,2.08e-4,2.1685687228460747e-4,0.056,1
NR1D1,++++,++++++++,NA,1.1202533429465146e-4,0.9999680350888527,+,2.24e-4,0.004231461879892729,0.0603,1
PRF1,----,NA,NA,0.9999429614419347,1.1407711613050422e-4,-,2.28e-4,0.0015866476679406987,0.0614,1
AGA,----,++++++-+,------,0.6170034395963635,1.2727667729947302e-4,-,2.55e-4,2.84925e-4,0.0685,1
EGR2,----,--------,+-----,0.9998531447959723,1.3277950784984036e-4,-,2.66e-4,0.001319323,0.0714,1
ETV3,-+--,--------,NA,0.9912736689470599,1.630169018268415e-4,-,3.26e-4,1.62732e-4,0.0877,1
NKG7,----,NA,NA,0.9998288843258042,1.7111567419575633e-4,-,3.42e-4,0.001449290958212355,0.0921,1
EGR4,+---,--------,++----,0.9976222609613639,1.8579605514192565e-4,-,3.72e-4,0.002035188,0.1,1
RPL5,--+-,++++++++,-+++++,1.9103669625644e-4,0.9996309451017207,+,3.82e-4,0.002186891,0.103,1
EGR1,----,--------,++----,0.998395409665688,2.0219259552326754e-4,-,4.04e-4,0.002214409,0.109,1
DGAT2,++++,++++++++,-++---,2.2587650932354874e-4,0.9976473508404201,+,4.52e-4,6.49260820012746e-4,0.122,1
NR4A1,----,--------,-+----,0.9998332299729027,2.5195902278176286e-4,-,5.04e-4,0.00447965,0.136,1
VEGFA,-+--,+-+-----,-----+,0.9819942797480008,2.54001771780188e-4,-,5.08e-4,0.001792509,0.137,1
C1orf115,+-++,++-+++++,+++--+,2.6795581329351175e-4,0.989775444279665,+,5.36e-4,1.26498e-4,0.144,1
DNAJB5,----,--------,-+----,0.9998698664932,2.829945207530008e-4,-,5.66e-4,4.07769e-4,0.152,1
CXCL9,----,NA,NA,0.9998859228838695,2.851927903262606e-4,-,5.7e-4,0.004999976709937132,0.153,1
MPP3,++++,-+--++++,++++++,3.0436362502275457e-4,0.9926330217032913,+,6.09e-4,6.30618e-4,0.164,1
YPEL5,++++,++++++++,-+---+,3.0667292512530505e-4,0.9211995499755663,+,6.13e-4,0.001303795,0.165,1
FAM220A,++++,++++-+++,NA,3.1230135308408515e-4,0.999942922022581,+,6.25e-4,0.014461234,0.168,1
ANKRD66,----,NA,NA,0.994581336983801,3.992699064567648e-4,-,7.99e-4,9.523103651428343e-4,0.215,1
QKI,-+--,++++----,---+--,0.9381093696638965,4.184720794439122e-4,-,8.37e-4,0.001551404,0.225,1
TBX21,----,NA,NA,0.9997148072096738,4.563084645220169e-4,-,9.13e-4,0.0075923941685593875,0.245,1
OPRL1,++++,++++++++,++-+-+,4.586719660220891e-4,0.9993884132945048,+,9.17e-4,0.006934969314549328,0.247,1
USH1C,----,-++++--+,NA,0.8441188915958335,4.681591670037938e-4,-,9.36e-4,0.001131392492242034,0.252,1
ARC,----,-----+--,+++---,0.93097749364078,4.725260486498249e-4,-,9.45e-4,7.60893e-4,0.254,1
GPR6,++++,+++++-++,++++++,4.8380993709640875e-4,0.9999751795902673,+,9.68e-4,0.004299997,0.26,1
CRH,--+-,------+-,+-----,0.9991564956006639,4.9715465493355e-4,-,9.94e-4,0.004652528,0.267,1
TAS2R40,-+--,NA,NA,0.998631074606434,5.13347022587269e-4,-,0.00103,0.002546524250991674,0.276,1
SHISA2,----,-++-----,NA,0.9978691748277467,5.14115934692509e-4,-,0.00103,8.74334580696121e-4,0.277,1
PM20D2,++-+,+++-+---,++++++,5.659761585354482e-4,0.30670836527774215,+,0.00113,3.32678e-4,0.304,1
DPYSL5,----,+-+----+,------,0.9968739094237492,5.850381776070568e-4,-,0.00117,0.001886142,0.315,1
TRIB2,--+-,------+-,+-----,0.9999603337328097,5.8951311955835e-4,-,0.00118,0.011204588,0.317,1
CYP7B1,-+--,++++----,NA,0.9011300107180977,6.039905996748296e-4,-,0.00121,9.527686770611453e-4,0.325,1
MYO1A,----,NA,NA,0.999543691535478,6.274241387177732e-4,-,0.00125,0.005593706731801689,0.338,1
TRIM25,++++,--+-++++,++++++,6.359469679728366e-4,0.9581491823614402,+,0.00127,0.0022377394028226653,0.342,1
TRIB1,----,--------,++++-+,0.3123994351997102,6.762025398270643e-4,-,0.00135,0.001304623,0.364,1
GPR3,+---,------+-,NA,0.997267006721999,6.798233240199817e-4,-,0.00136,0.001015085,0.366,1
OSBPL3,-++-,----+-+-,------,0.9933655082842427,7.124015242028737e-4,-,0.00142,0.004191948,0.383,1
FAM101B,-+++,------++,+++-+-,7.479528213649501e-4,0.21857241524950094,+,0.0015,0.0014725456488414162,0.402,1
NRG4,++++,----++++,NA,7.537506991988847e-4,0.7296904803449795,+,0.00151,0.011336815688881272,0.406,1
SPRED2,+-+-,------+-,++--+-,0.2880595111652769,7.542663394651027e-4,-,0.00151,6.85e-5,0.406,1
NIM1K,++++,+++++-++,NA,7.635534875964742e-4,0.9941035219160378,+,0.00153,0.0018970683856248073,0.411,1
NEDD8-MDP1,+-++,NA,NA,7.985398129135296e-4,0.9865389002966005,+,0.0016,0.0010753289968932949,0.43,1
LBH,--+-,----++++,------,0.9822797692642655,8.064358763814767e-4,-,0.00161,0.004919487,0.434,1
ETV5,--+-,------+-,------,0.9999401022472194,8.177179377551942e-4,-,0.00164,0.001538202,0.44,1
SNRNP25,+-++,++++++++,NA,8.17801545253231e-4,0.9983113463849977,+,0.00164,0.005229586,0.44,1
SESN1,++++,+++++---,+++---,8.421681455273475e-4,0.9656942909323946,+,0.00168,0.005077528,0.453,1
STAT6,+-+-,-----+++,+-----,0.47750459948531554,8.435873888756947e-4,-,0.00169,4.06613e-5,0.454,1
GGNBP2,+++-,++--+---,++++-+,8.463356080280495e-4,0.9627132054422409,+,0.00169,0.001093165,0.455,1
DUSP4,----,--------,-+----,0.9999863518189228,8.511612374318668e-4,-,0.0017,0.012085206,0.458,1
CCL3,----,NA,NA,0.9983458818161077,8.555783709787816e-4,-,0.00171,0.004349433999018483,0.46,1
ZAP70,----,NA,NA,0.9996007300935432,9.126169290440338e-4,-,0.00183,0.017624603595640484,0.491,1
PIAS1,++++,++++++++,++++++,9.154153618460769e-4,0.9999851633678023,+,0.00183,0.020192228,0.492,1
SLC39A11,----,--+-----,---+--,0.9999527651891132,9.761109192898892e-4,-,0.00195,0.028178464,0.525,1
TRAF5,++++,+++-++++,++++--,0.001010991279050208,0.9954587507020174,+,0.00202,0.010535908388249457,0.544,1
IL17REL,----,NA,NA,0.9984029203741729,0.001026694045174538,-,0.00205,0.006190629106736321,0.552,1
STARD10,+-+-,+++-++++,++++-+,0.0010302211659106485,0.9611362485679216,+,0.00206,0.013598689,0.554,1
LDLRAD4,-+--,--------,---+-+,0.9522184082615631,0.0010459366782489988,-,0.00209,0.003274262,0.563,1
AGBL5,+-+-,+++-++++,++----,0.0011404330979577046,0.27403584620400434,+,0.00228,1.31829e-4,0.614,1
GPR155,++++,++++----,-+++++,0.001163693487853599,0.9376131069924456,+,0.00233,0.009650281,0.626,1
SLC22A15,-+--,++++----,---+-+,0.9222341346963382,0.0011826588542860332,-,0.00237,0.0077971148081937575,0.636,1
CIART,++++,++++++++,++++++,0.001234488776651222,0.9999835613019301,+,0.00247,0.01088352204942458,0.664,1
TET3,----,----+---,-++---,0.9366769395562144,0.0012387637792427863,-,0.00248,0.001737538,0.666,1
PPARG,++++,+++-++++,NA,0.0012556217910468296,0.9991744082049367,+,0.00251,0.002468306,0.676,1
DUSP5,+---,--------,+--++-,0.9805578670303854,0.00127052659065811,-,0.00254,2.21995e-4,0.684,1
DPH3P1,++++,NA,NA,0.0013118868355007985,0.9991444216290212,+,0.00262,0.008938813308488489,0.706,1
NPTX2,+---,-----++-,------,0.9996727681571339,0.0013349463380934112,-,0.00267,0.02481676,0.718,1
TMEM61,++++,NA,NA,0.0013689253935660506,0.9844855122062515,+,0.00274,0.002025589546986586,0.736,1
TAS2R13,-+-+,-+------,NA,0.9110834782488293,0.001369356760396814,-,0.00274,0.001434035800403535,0.737,1
SHC4,----,+++-----,---++-,0.8701924261570433,0.0013723903736917536,-,0.00274,0.0028635117175997834,0.738,1
FBXO7,-+--,+++-----,---++-,0.9167137264170488,0.0014091697601757817,-,0.00282,0.002501404,0.758,1
IRF2BP2,----,-+------,---++-,0.9823612443433305,0.0014143000672512545,-,0.00283,0.012098605,0.761,1
PAQR8,-+--,+++-----,------,0.9964568010811238,0.0014216967197444369,-,0.00284,0.011591105,0.765,1
FAM160A1,---+,----+---,NA,0.9968818404431308,0.0014261627178679729,-,0.00285,0.011835372862052797,0.767,1
CCNO,--++,++++++++,-++-+-,0.0014661709806113503,0.9868241222565403,+,0.00293,0.0028241197892151684,0.789,1
XKR3,++++,NA,NA,0.001483002509696555,0.9795801962126397,+,0.00297,0.0020229436356858817,0.798,1
ASUN,-+--,++++----,NA,0.9764837700720072,0.001511989026975936,-,0.00302,0.008160615,0.813,1
NHP2,+-+-,++++++++,NA,0.001516096706836996,0.9500565541167689,+,0.00303,2.40017e-4,0.816,1
EFHB,--++,++++++-+,NA,0.0015302628273584377,0.9834060147742414,+,0.00306,0.006576444913512092,0.823,1
SEL1L,-+++,++++----,+-----,0.6052200217670164,0.0015450166631896295,-,0.00309,6.01311e-4,0.831,1
SNUPN,+-++,+-++-+++,++-+-+,0.0016246437749231665,0.9872339119115758,+,0.00325,0.001078206,0.874,1
MOB3B,-+--,--++----,---+++,0.9738119747290339,0.0016605551292282223,-,0.00332,0.006183146,0.893,1
PCYOX1,++++,++++-+--,++-+-+,0.001692805947170437,0.9948110890168167,+,0.00339,3.21724e-4,0.911,1
SFPQ,----,----+---,+--+-+,0.9743387807096828,0.0017032490311044925,-,0.00341,0.001122515,0.916,1
NPAS4,+---,--------,++-+--,0.9084091938408109,0.001753682690138624,-,0.00351,0.00108715,0.943,1
SLCO1A2,----,++++---+,---+++,0.5330866806711154,0.001775834994069473,-,0.00355,3.41573e-4,0.955,1
CPS1,-+--,++++---+,NA,0.9352313513918269,0.0018045736165707333,-,0.00361,0.002091841702186697,0.971,1
C5orf52,----,NA,NA,0.9929272187999088,0.0018252338580880675,-,0.00365,0.005147077292282307,0.982,1
KLHDC9,+-+-,-++-++++,+++---,0.001856096235561921,0.9307629776295543,+,0.00371,4.84111e-6,0.999,1
SMIM2,-+--,NA,NA,0.9781542322610084,0.0018822724161533196,-,0.00376,0.00315248840383835,1.01,1
ELOVL5,-+--,+--+----,------,0.9957479933014015,0.0019160429695508235,-,0.00383,0.00106573,1.03,1
CD7,----,NA,NA,0.9957221081451061,0.0019393109742185718,-,0.00388,0.0073968039995964295,1.04,1
CCNH,++--,--------,-+----,0.9990994909493294,0.0019413133536824504,-,0.00388,0.005131359,1.04,1
AGPAT4,----,++++----,--++-+,0.8362891058418708,0.0019932086126844997,-,0.00399,0.004595961762418068,1.07,1
SCUBE1,-+--,-------+,NA,0.9920952167881713,0.0020477317934877305,-,0.0041,3.81305e-4,1.1,1
SAMD5,----,--------,--+---,0.9995719679209257,0.0021030444962929465,-,0.00421,0.001158159,1.13,1
SPHAR,++++,NA,NA,0.002110426648414328,0.9992584987451517,+,0.00422,0.04002969746613276,1.14,1
TPMT,+-++,++-++-++,+++-++,0.002117884148512764,0.9960748784817541,+,0.00424,2.40824e-4,1.14,1
CLDN1,----,--------,NA,0.9997268673476656,0.00213661264342874,-,0.00427,0.002607686,1.15,1
LRRC8C,--+-,--------,---++-,0.9964699240637892,0.0021505943326567863,-,0.0043,0.002213602,1.16,1
PRDM2,----,----+-++,+-----,0.9828201165719453,0.0021597824902872364,-,0.00432,0.002031554,1.16,1
RNASE1,----,++++-+-+,---+-+,0.5851958901113483,0.0021671980968628844,-,0.00433,0.003926311,1.17,1
TMEM116,----,+++-+---,-----+,0.7958409058281103,0.0022060602907469666,-,0.00441,9.82678e-4,1.19,1
RIOK2,-+++,++++++--,-+++++,0.002259965132055278,0.9941271411952357,+,0.00452,0.001211681,1.22,1
PLA2G12B,--++,NA,NA,0.0022815423226100846,0.9990303445128907,+,0.00456,0.04087114986356365,1.23,1
ZMYM6,-+-+,++---+--,-----+,0.9069031446769537,0.0022967155558601257,-,0.00459,3.34551e-4,1.24,1
C16orf92,+-++,NA,NA,0.0023956194387405884,0.9982888432580425,+,0.00479,0.02052635240472806,1.29,1
