gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
NR4A1,---,------,-++-,0.9692235785730798,4.064994127507939e-12,-,8.13e-12,11.089910081808819,7.75511e-5,2.19e-9,1.43e-7
NPAS4,+--,------,+++-,0.6383879503417906,6.272676915624689e-12,-,1.25e-11,10.901517085262716,2.11793e-4,3.37e-9,2.21e-7
DUSP5,++-,------,+-+-,0.4562711954886879,2.7255709826006197e-10,-,5.45e-10,9.263512507405311,2.21995e-4,1.47e-7,9.6e-6
EGR2,---,------,+-+-,0.9819650577587864,5.916687283047845e-10,-,1.18e-9,8.926891388385979,3.649272842769828e-4,3.18e-7,2.08e-5
SST,---,+-----,----,0.9999999740399995,8.813831282285797e-10,-,1.76e-9,8.753805271512878,3.35674e-4,4.74e-7,3.1e-5
KLK1,-++,++++++,--+-,9.901683985011063e-10,0.02116009392627034,+,1.98e-9,8.703260942748143,0.009705337,5.33e-7,3.49e-5
KLK1,-++,++++++,++++,9.901683985011063e-10,0.02116009392627034,+,1.98e-9,8.703260942748143,0.009705337,5.33e-7,3.49e-5
KLK1,-++,+--+-+,--+-,9.901683985011063e-10,0.02116009392627034,+,1.98e-9,8.703260942748143,0.009705337,5.33e-7,3.49e-5
KLK1,-++,+--+-+,++++,9.901683985011063e-10,0.02116009392627034,+,1.98e-9,8.703260942748143,0.009705337,5.33e-7,3.49e-5
ARC,-+-,------,++++,0.3807723520713353,1.9362531808893527e-9,-,3.87e-9,8.412007860106364,7.60893e-4,1.04e-6,6.82e-5
EGR1,---,----+-,+++-,0.9199812777005673,2.39629914384895e-9,-,4.79e-9,8.31942897174836,0.001833689,1.29e-6,8.44e-5
CITED2,---,------,+---,0.9981815058372338,2.6437689510247373e-9,-,5.29e-9,8.276746506502585,0.004697846,1.42e-6,9.31e-5
NR4A3,---,------,NA,0.9999939800140635,2.661712066469384e-9,-,5.32e-9,8.273808930923453,0.001118376,1.43e-6,9.37e-5
LBH,---,------,----,0.9999999999876885,2.802752384529689e-9,-,5.61e-9,8.251385273604843,0.0010815023559854458,1.51e-6,9.87e-5
ETV3,-++,------,NA,0.7207190729565918,4.03559430907143e-9,-,8.07e-9,8.093062503408246,1.62732e-4,2.17e-6,1.42e-4
SLCO1A2,---,++++++,----,0.11515511058047166,1.119798133616972e-8,-,2.24e-8,7.649830265021067,3.41573e-4,6.02e-6,3.94e-4
GBP3,---,++++++,NA,1.3661770860351753e-8,0.32053990231244384,+,2.73e-8,7.563463007403939,0.002975392,7.35e-6,4.81e-4
NEDD9,+++,------,++-+,0.04881592443728582,1.4158406719330209e-8,-,2.83e-8,7.547955620469214,1.23189e-4,7.62e-6,4.99e-4
CRH,-+-,------,+---,0.9984706060594875,2.4000294203943174e-8,-,4.8e-8,7.318753438859165,8.937893252404273e-4,1.29e-5,8.45e-4
TCFL5,---,++++++,++++,2.591528456654626e-8,0.8575574499595002,+,5.18e-8,7.285414022300649,0.003414279,1.39e-5,9.13e-4
EGR4,++-,------,+++-,0.6924211033639529,3.609659816715517e-8,-,7.22e-8,7.141503729489847,4.34036144487673e-4,1.94e-5,0.00127
PITRM1,+++,++++++,-+++,3.853358190721484e-8,0.9999982033417352,+,7.71e-8,7.113130623398933,0.003733333,2.07e-5,0.00136
C1orf115,++-,++-+--,++++,3.992900426377603e-8,0.9679930135574778,+,7.99e-8,7.0976815242979425,1.26498e-4,2.15e-5,0.00141
ASB4,+++,++++++,NA,4.413400012151156e-8,0.9907821871051079,+,8.83e-8,7.054196712466226,0.001065553,2.37e-5,0.00155
SPRED2,+--,------,++--,0.8955474857932844,4.520792167125174e-8,-,9.04e-8,7.043755462518585,0.002121304,2.43e-5,0.00159
PHLDB2,---,----+-,NA,0.9999971648361067,5.911007865780733e-8,-,1.18e-7,6.927308467070891,0.001950897,3.18e-5,0.00208
TRIB1,---,------,++++,0.0671332972124296,6.321217408119185e-8,-,1.26e-7,6.898169276890274,0.001304623,3.4e-5,0.00223
HK2,-++,++++++,NA,6.543528669873493e-8,0.9833663976226626,+,1.31e-7,6.883157994761543,0.001113167,3.52e-5,0.0023
