gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
SST,---,+-----,----,0.9999208166156665,9.72564057696649e-6,-,1.95e-5,3.35674e-4,0.00523,0.343
NR4A1,---,------,-++-,0.9793215251676836,4.376556016567303e-5,-,8.75e-5,7.75511e-5,0.0235,1
NPAS4,+--,------,+++-,0.7892799691904852,5.250582024682684e-5,-,1.05e-4,2.11793e-4,0.0282,1
CCDC103,+++,NA,NA,5.703855806525211e-5,1,+,1.14e-4,0.004062170867761208,0.0307,1
CRH,-+-,------,+---,0.9951450992489301,7.023052185056066e-5,-,1.4e-4,8.937893252404273e-4,0.0378,1
LBH,---,------,----,0.9999995926155187,7.244539442580304e-5,-,1.45e-4,0.0010815023559854458,0.039,1
PITRM1,+++,++++++,-+++,1.0905294578044296e-4,0.9998944451890426,+,2.18e-4,0.003733333,0.0587,1
INS-IGF2,---,NA,NA,0.9897900981063199,1.1407711613050422e-4,-,2.28e-4,2.458261293222708e-4,0.0614,1
AMACR,+++,++++++,NA,1.4862743655395507e-4,0.9999795333054666,+,2.97e-4,0.003676632,0.08,1
SELE,+++,NA,NA,1.7111567419575633e-4,0.9992584987451517,+,3.42e-4,0.003438083148316652,0.0921,1
CCL4,---,NA,NA,0.9997148072096738,1.7111567419575633e-4,-,3.42e-4,0.001416200743312395,0.0921,1
TLR2,+++,++++++,NA,1.80510639256799e-4,0.9999570333713065,+,3.61e-4,0.00311095554286188,0.0971,1
PRSS21,---,NA,NA,0.9958932238193019,2.2815423226100844e-4,-,4.56e-4,5.6063175910272834e-5,0.123,1
HK2,-++,++++++,NA,2.5352535381167716e-4,0.9540639386899151,+,5.07e-4,0.001113167,0.136,1
EGR2,---,------,+-+-,0.9803002883608699,2.64442522566773e-4,-,5.29e-4,3.649272842769828e-4,0.142,1
RPS26,---,--+--+,----,0.9992876861816201,2.7106795725232363e-4,-,5.42e-4,0.0034940048758907616,0.146,1
C1orf115,++-,++-+--,++++,2.8309342704841496e-4,0.9030806444474566,+,5.66e-4,1.26498e-4,0.152,1
NR4A3,---,------,NA,0.999799966551362,2.8436898066461626e-4,-,5.69e-4,0.001118376,0.153,1
DUSP4,-+-,------,-++-,0.9569837318448393,3.22941419803277e-4,-,6.46e-4,8.034939396388231e-6,0.174,1
FZD4,+++,++++++,++++,3.291487461208302e-4,0.9997502031197564,+,6.58e-4,9.01498e-4,0.177,1
GRIN3B,---,NA,NA,0.999771845767739,3.4223134839151266e-4,-,6.84e-4,7.075803806206362e-4,0.184,1
MCM6,+++,++++++,++--,3.7949431864990396e-4,0.9944186005036215,+,7.59e-4,0.010518411,0.204,1
SERPINA3,+++,NA,+-++,4.404224163725011e-4,0.9746494585987282,+,8.81e-4,4.510173652574362e-4,0.237,1
EGR1,---,----+-,+++-,0.9492166659771216,4.48496705313923e-4,-,8.97e-4,0.001833689,0.241,1
SPRY4,---,------,+++-,0.4295551038557677,4.776614040067939e-4,-,9.55e-4,1.7407994055434223e-4,0.257,1
CITED2,---,------,+---,0.9953936120779892,5.039200517837631e-4,-,0.00101,0.004697846,0.271,1
FOXL2,---,NA,NA,0.9993725758612823,5.13347022587269e-4,-,0.00103,0.0023274191562202475,0.276,1
PPAP2C,---,++++++,----,0.043602705929772584,5.1604152107969e-4,-,0.00103,4.55243e-4,0.278,1
SLCO1A2,---,++++++,----,0.5068975404154574,5.589749041515976e-4,-,0.00112,3.41573e-4,0.301,1
NEUROD6,+--,-+----,----,0.9891252474521317,5.668170998193492e-4,-,0.00113,2.46816e-4,0.305,1
PHLDB2,---,----+-,NA,0.9993053679816736,5.773097043165963e-4,-,0.00115,0.001950897,0.311,1
HYAL2,+++,-++++-,++++,5.882943894033547e-4,0.9594654452368743,+,0.00118,0.002921920745203559,0.317,1
SESN1,+++,++++-+,++++,5.934133543359e-4,0.997461639855116,+,0.00119,0.005077528,0.319,1
MRPS6,---,------,----,0.9998043914907566,5.943580656089753e-4,-,0.00119,1.16199e-4,0.32,1
MAF,---,--+--+,----,0.9899189449233727,6.22115492744569e-4,-,0.00124,0.001806367,0.335,1
DGAT2,+++,++++++,-+++,6.25466997285501e-4,0.9991602733246165,+,0.00125,0.017785166,0.337,1
CRISPLD1,+++,++++++,NA,6.569623235545762e-4,0.999374112258885,+,0.00131,0.002387417835603364,0.353,1
GBP3,---,++++++,NA,6.92299453771265e-4,0.435562603603032,+,0.00138,0.002975392,0.372,1
LRP8,---,------,----,0.9985585729689371,7.310707655783564e-4,-,0.00146,0.002573783,0.393,1
ASB4,+++,++++++,NA,7.781121877379222e-4,0.96774682281944,+,0.00156,0.001065553,0.419,1
GALK2,+++,++++++,+-+-,7.799452426819235e-4,0.9053109643979629,+,0.00156,0.001603277,0.42,1
WNT9A,+++,NA,NA,7.985398129135296e-4,0.9991444216290212,+,0.0016,0.0063504956382596355,0.43,1
TMEM171,---,NA,NA,0.9989733059548255,7.985398129135296e-4,-,0.0016,7.905890022530246e-4,0.43,1
RGS10,---,+++--+,----,0.8033146052492263,8.007239624388083e-4,-,0.0016,4.305647467464804e-4,0.431,1
ITIH5,---,+++-+-,----,0.9878864113523418,8.21505168273447e-4,-,0.00164,0.008163561944948572,0.442,1
SERPINA5,+++,NA,NA,8.555783709787816e-4,0.9993725758612823,+,0.00171,0.0037290565012853324,0.46,1
TOMM34,+++,++++-+,++-+,8.917627492094389e-4,0.9957007269664542,+,0.00178,0.0024112383560317653,0.48,1
P2RY12,---,+++--+,----,0.8994836271070106,9.315776697253188e-4,-,0.0018600000000000001,0.005457428713355311,0.501,1
CORT,---,+---+-,----,0.9616435538514903,9.917021035956398e-4,-,0.00198,0.001221536,0.534,1
TRIB2,---,------,+-+-,0.9972992323355325,0.00100720246704759,-,0.00201,0.0023563972179960774,0.542,1
XPOT,+++,++++++,----,0.0010170859063751935,0.7348892585841311,+,0.00203,3.48571e-4,0.547,1
RRAD,---,--+-++,+-++,0.42262433929515963,0.0010256649749258201,-,0.00205,0.0031164116770845546,0.552,1
SCUBE1,-++,------,NA,0.9315608646790281,0.0010708934309903463,-,0.00214,3.81305e-4,0.576,1
OCLN,---,------,NA,0.9923229002849695,0.0010942754627004175,-,0.00219,0.0013843454768411678,0.589,1
NLN,+++,++++++,++++,0.0011317703948470767,0.9988232316029952,+,0.00226,0.002119382,0.609,1
GPR3,+--,------,NA,0.9782768953740351,0.0011580143710992748,-,0.00232,0.001015085,0.623,1
ALOX5,+++,++++-+,NA,0.0011785144918045514,0.9911164405795074,+,0.00236,0.001271125023997629,0.634,1
SFPQ,---,----+-,+---,0.9964300730323862,0.001212671225943306,-,0.00243,0.001122515,0.652,1
ARC,-+-,------,++++,0.6784806117113378,0.0012271171866151292,-,0.00245,7.60893e-4,0.66,1
ZNF30,+-+,++++++,++-+,0.0012817212628173146,0.97203234279484,+,0.00256,0.00207997,0.69,1
BHLHE41,-++,++++++,NA,0.0012933615719527964,0.79766320515631,+,0.00259,0.005542234,0.696,1
SLC13A4,---,------,NA,0.995198860183942,0.001359522859426379,-,0.00272,1.26386e-4,0.731,1
GPRC5D,---,NA,NA,0.9998288843258042,0.0013689253935660506,-,0.00274,0.011104410010607213,0.736,1
EGR4,++-,------,+++-,0.8162610746463985,0.0013842649870683943,-,0.00277,4.34036144487673e-4,0.745,1
HAP1,+++,-----+,+++-,0.0014207046535706538,0.6356083154342127,+,0.00284,5.094659661746408e-4,0.764,1
FAM160B1,+++,++++-+,NA,0.0014379139213477076,0.9931632135461412,+,0.00288,3.98538e-4,0.774,1
PCBP3,+++,+-+-+-,++++,0.00152098131618308,0.71358157675216,+,0.00304,0.005912523479135502,0.818,1
TCFL5,---,++++++,++++,0.0015530436791376537,0.868310569275832,+,0.00311,0.003414279,0.836,1
DUSP6,+--,------,++-+,0.7573094426848165,0.0016486565283207867,-,0.0033,4.978697421824598e-4,0.887,1
KLK1,-++,++++++,--+-,0.0016513361423066415,0.5291181712345081,+,0.0033,0.009705337,0.888,1
KLK1,-++,++++++,++++,0.0016513361423066415,0.5291181712345081,+,0.0033,0.009705337,0.888,1
KLK1,-++,+--+-+,--+-,0.0016513361423066415,0.5291181712345081,+,0.0033,0.009705337,0.888,1
KLK1,-++,+--+-+,++++,0.0016513361423066415,0.5291181712345081,+,0.0033,0.009705337,0.888,1
TEF,+++,++-+--,++++,0.0018575744667656013,0.9921165267862355,+,0.0037200000000000002,0.004226779,0.999,1
WNT7A,---,------,+---,0.9964413263234754,0.0018764723586514275,-,0.00375,0.005204522693047276,1.01,1
TRIB1,---,------,++++,0.36833196124438927,0.001904554189925831,-,0.00381,0.001304623,1.02,1
MMEL1,+++,NA,NA,0.0019393109742185718,0.994581336983801,+,0.00388,0.006657342168118565,1.04,1
