gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
GALNT15,-++-+-,-+++++++-++-,++--+-++,4.944191756718968e-27,0.9999999758487451,+,9.89e-27,2.81e-5,2.6599999999999998e-24,1.74e-22
GALNT15,-++-+-,-+++++++-++-,+++-++++,4.944191756718968e-27,0.9999999758487451,+,9.89e-27,2.81e-5,2.6599999999999998e-24,1.74e-22
GALNT15,-++-+-,-+++++++-++-,--++++++,4.944191756718968e-27,0.9999999758487451,+,9.89e-27,2.81e-5,2.6599999999999998e-24,1.74e-22
GALNT15,-++-+-,-+++++++-++-,--++++-+,4.944191756718968e-27,0.9999999758487451,+,9.89e-27,2.81e-5,2.6599999999999998e-24,1.74e-22
NR4A3,------,------------,NA,0.9999998240538361,6.5506502233917475e-12,-,1.31e-11,0.001118376,3.52e-9,2.31e-7
EGR2,------,------------,+-+-----,0.9999899458516275,2.3531408666803175e-11,-,4.71e-11,0.001319323,1.27e-8,8.29e-7
NR4A1,------,------------,-++-----,0.9999642655233717,4.29893713058355e-11,-,8.6e-11,7.75511e-5,2.31e-8,1.51e-6
DUSP5,++----,------------,+-+-++--,0.9973411215165506,9.459652049465383e-11,-,1.89e-10,2.21995e-4,5.09e-8,3.33e-6
ETV3,-++---,-----------+,NA,0.9997068445999574,1.6444966381246316e-10,-,3.29e-10,1.62732e-4,8.85e-8,5.79e-6
EGR1,------,----+-------,+++-----,0.9998341642240482,5.48280284325e-10,-,1.1e-9,0.001833689,2.95e-7,1.93e-5
SLC6A2,--+-++,+-++-++---++,-+++++-+,5.772828814471282e-10,0.9999982342082755,+,1.15e-9,0.0018157151465647186,3.11e-7,2.03e-5
SLC6A2,--+-++,+++++-++++++,-+++++-+,5.772828814471282e-10,0.9999982342082755,+,1.15e-9,0.0018157151465647186,3.11e-7,2.03e-5
ZBTB21,-+++-+,------------,+-+--+--,0.9180211519327125,1.025778064828141e-9,-,2.05e-9,0.004106003,5.52e-7,3.61e-5
CRH,-+-++-,--------+---,+-------,0.9999961041201274,1.9109790486674977e-9,-,3.82e-9,8.36069e-4,1.03e-6,6.73e-5
NPAS4,+-----,-----------+,+++-+-+-,0.7437475889214251,2.3569991265021072e-9,-,4.71e-9,2.11793e-4,1.27e-6,8.3e-5
EGR4,++----,------------,+++-----,0.9989532643393058,2.4239780260674207e-9,-,4.85e-9,0.002035188,1.3e-6,8.54e-5
ARC,-+----,-------+----,++++--+-,0.8217881100691897,4.855691454823106e-9,-,9.71e-9,7.60893e-4,2.61e-6,1.71e-4
AGA,------,++++++++-++-,--------,0.13193928936726596,5.748175150540734e-9,-,1.15e-8,2.84925e-4,3.09e-6,2.02e-4
VEGFA,--+---,+-+-+-------,--+----+,0.996715180657556,7.331101710315185e-9,-,1.47e-8,0.001792509,3.94e-6,2.58e-4
DNAJB5,------,------------,-++-----,0.9997466610236826,8.291854669532573e-9,-,1.66e-8,4.07769e-4,4.46e-6,2.92e-4
NPTX2,+-----,-------++---,--------,0.9999999876603394,9.715082787957898e-9,-,1.94e-8,0.009780972,5.23e-6,3.42e-4
LRRC8C,---+--,------------,--+-++--,0.9913778138046008,1.4732391370132483e-8,-,2.95e-8,0.002213602,7.93e-6,5.19e-4
SPRED2,+--+--,--------+--+,++---+--,0.2604465925291942,2.1066340856498028e-8,-,4.21e-8,6.85e-5,1.13e-5,7.42e-4
CCNH,+++---,----------+-,-+------,0.9999959622391749,2.984610322410373e-8,-,5.97e-8,0.005014495254431051,1.61e-5,0.00105
SIK1,++++-+,------------,NA,0.6830944608138316,3.3372373225964825e-8,-,6.67e-8,0.001941142,1.8e-5,0.00118
NEDD9,+++-+-,-----------+,++-+-+--,0.23328751817035281,3.515144131302073e-8,-,7.03e-8,1.23189e-4,1.89e-5,0.00124
TRIB1,------,-----------+,+++++-++,0.1315854143142497,8.365928944086915e-8,-,1.67e-7,0.001304623,4.5e-5,0.00295
