gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
GALNT15,-++-+-,-+++++++-++-,++--+-++,5.657357826997538e-12,1.0792633971103693e-10,+,1.13e-11,2.81e-5,3.04e-9,1.99e-7
GALNT15,-++-+-,-+++++++-++-,+++-++++,5.657357826997538e-12,1.0792633971103693e-10,+,1.13e-11,2.81e-5,3.04e-9,1.99e-7
GALNT15,-++-+-,-+++++++-++-,--++++++,5.657357826997538e-12,1.0792633971103693e-10,+,1.13e-11,2.81e-5,3.04e-9,1.99e-7
GALNT15,-++-+-,-+++++++-++-,--++++-+,5.657357826997538e-12,1.0792633971103693e-10,+,1.13e-11,2.81e-5,3.04e-9,1.99e-7
NR4A3,------,------------,NA,2.8178623772800985e-6,6.808200394088493e-6,+,5.64e-6,0.001118376,0.00152,0.0993
AGA,------,++++++++-++-,--------,6.149263876179216e-6,3.6236048419207545e-6,-,7.25e-6,2.84925e-4,0.00195,0.128
NR4A1,------,------------,-++-----,6.794782325840272e-6,6.890628218793903e-5,+,1.36e-5,7.75511e-5,0.00366,0.239
EGR2,------,------------,+-+-----,8.439082912275226e-6,5.692114505626123e-5,+,1.69e-5,0.001319323,0.00454,0.297
MRPS12,+--++-,++-+++-+++++,----+---,1.120087198072309e-5,2.7791647479741957e-5,+,2.24e-5,8.02e-5,0.00603,0.395
EGR1,------,----+-------,+++-----,1.15202275890805e-5,1.1001133529852315e-4,+,2.3e-5,0.001833689,0.0062,0.406
CRH,-+-++-,--------+---,+-------,1.2363109533712079e-5,4.005566926963946e-5,+,2.47e-5,8.36069e-4,0.00665,0.435
TRIB1,------,-----------+,+++++-++,1.4587737052298864e-5,5.117379818005473e-5,+,2.92e-5,0.001304623,0.00785,0.514
SLC6A2,--+-++,+-++-++---++,-+++++-+,1.8262181208147485e-5,1.5244866844731087e-5,-,3.05e-5,0.0018157151465647186,0.0082,0.537
SLC6A2,--+-++,+++++-++++++,-+++++-+,1.8262181208147485e-5,1.5244866844731087e-5,-,3.05e-5,0.0018157151465647186,0.0082,0.537
FAM101B,-+++++,--------++--,++++-+--,2.3952445653709208e-5,2.2574611058414305e-5,-,4.51e-5,0.0014725456488414162,0.0121,0.795
ETV3,-++---,-----------+,NA,2.5256391665964272e-5,1.2067162884940115e-4,+,5.05e-5,1.62732e-4,0.0136,0.89
DNAJB5,------,------------,-++-----,2.757722109595269e-5,7.68898395815668e-5,+,5.52e-5,4.07769e-4,0.0148,0.971
ARC,-+----,-------+----,++++--+-,2.919803594377318e-5,4.221025251672334e-4,+,5.84e-5,7.60893e-4,0.0157,1
NPTX2,+-----,-------++---,--------,3.596654899888961e-5,5.0632956639941e-5,+,7.19e-5,0.009780972,0.0194,1
EGR4,++----,------------,+++-----,3.7761109160328264e-5,1.9137991587674243e-4,+,7.55e-5,0.002035188,0.0203,1
CCNH,+++---,----------+-,-+------,4.664971276846128e-5,7.803539446943863e-5,+,9.33e-5,0.005014495254431051,0.0251,1
NPAS4,+-----,-----------+,+++-+-+-,5.179339780212966e-5,5.260841392986982e-4,+,1.04e-4,2.11793e-4,0.0279,1
NR1D1,++++++,++++++++++++,NA,6.0871283495621686e-5,5.188924079815761e-5,-,1.04e-4,0.004231461879892729,0.0279,1
RWDD2B,+++---,+-+--+++++++,+--+---+,1.5651774431811268e-4,7.898228764499732e-5,-,1.58e-4,0.003980618,0.0425,1
PM20D2,+++--+,+++--++-----,++-+++++,1.0413522181827484e-4,2.6798480746182806e-4,+,2.08e-4,3.32678e-4,0.056,1
LRRC8C,---+--,------------,--+-++--,1.1093389703974353e-4,7.788994323745257e-4,+,2.22e-4,0.002213602,0.0597,1
TET3,------,------+-----,-+-+----,1.1271955899196913e-4,3.214785281028009e-4,+,2.25e-4,0.001737538,0.0606,1
PPAP2C,----+-,++++++---+++,----++--,1.1844616560514113e-4,1.827240726122217e-4,+,2.37e-4,4.55243e-4,0.0637,1
SPRED2,+--+--,--------+--+,++---+--,1.2272248739508525e-4,4.068266849612847e-4,+,2.45e-4,6.85e-5,0.066,1
MMAB,+++-+-,++++++++++++,-++---+-,1.3115938403822e-4,8.76571632102965e-4,+,2.62e-4,0.004268914,0.0706,1
ADH1B,++++++,++++++++++++,NA,2.603717181364758e-4,1.3517616915189435e-4,-,2.7e-4,0.006151594766357454,0.0727,1
ADGRD1,++++++,+-+++++--++-,NA,4.3106276365376887e-4,1.3631217554248e-4,-,2.73e-4,0.012421616,0.0733,1
NRG4,+-++++,------++++++,NA,3.27210037189049e-4,1.4860972699659415e-4,-,2.97e-4,0.003636789,0.08,1
VEGFA,--+---,+-+-+-------,--+----+,1.518282834518851e-4,3.2932657104461135e-4,+,3.04e-4,0.001792509,0.0817,1
DUSP4,-+----,------------,-++---+-,1.655574235363888e-4,6.183455010476946e-4,+,3.31e-4,0.007261581,0.0891,1
SLCO1A2,----+-,++++++---+++,----++-+,1.8334820402331997e-4,3.3627339151099566e-4,+,3.67e-4,3.41573e-4,0.0986,1
DDT,+--+++,+-+++++++++-,-+----++,1.9725478132199902e-4,0.0014868470017405312,+,3.95e-4,5.17889e-4,0.106,1
TEF,++++-+,++-+--++++++,+++++-++,2.373060179406879e-4,1.9947793243399784e-4,-,3.99e-4,0.004226779,0.107,1
AMH,------,++-++-+++++-,-+----+-,1.9966618839807563e-4,3.2842954731234034e-4,+,3.99e-4,5.35398e-4,0.107,1
ATM,--+--+,+++++++---+-,-+++++++,2.411013950590574e-4,2.013180305830218e-4,-,4.03e-4,0.001474719,0.108,1
STARD10,++-++-,+++-+-++++++,+++++--+,2.063763054855896e-4,2.7516991202352866e-4,+,4.13e-4,0.013598689,0.111,1
PRF1,------,NA,NA,3.992471339759311e-4,2.2815423226100844e-4,-,4.56e-4,0.0015866476679406987,0.123,1
ETV5,---+--,--------+---,------+-,2.3221907910590226e-4,2.9823449660827607e-4,+,4.64e-4,0.001538202,0.125,1
NARS2,++++-+,++++++++++++,+++-+-++,3.2516973001830393e-4,2.3793947320839285e-4,-,4.76e-4,2.1685687228460747e-4,0.128,1
SIK1,++++-+,------------,NA,2.3868485809683398e-4,0.0017198883822469226,+,4.77e-4,0.001941142,0.128,1
NEDD9,+++-+-,-----------+,++-+-+--,2.4333885118337404e-4,0.0015482959314875712,+,4.87e-4,1.23189e-4,0.131,1
HLA-C,---++-,++++++++++++,--+-+++-,2.5297659101478526e-4,5.728523121867522e-4,+,5.06e-4,0.00113221,0.136,1
ATP2C2,------,+------+++-+,NA,7.079347603988207e-4,2.5543887552500956e-4,-,5.11e-4,3.868869875375475e-4,0.137,1
ANKRD37,+-++-+,-+-++-------,+++----+,2.6332536750633994e-4,8.679654864985476e-4,+,5.27e-4,6.06648e-4,0.142,1
HECTD2,+-++-+,------------,-+------,2.698442708145562e-4,4.233305040902359e-4,+,5.4e-4,0.001753933,0.145,1
USH1C,----+-,-++++++--++-,NA,8.113306361694832e-4,2.8500993822904726e-4,-,5.7e-4,0.001131392492242034,0.153,1
CYP7B1,-++---,++++++------,NA,7.05025838959688e-4,0.00028555665185123744,-,5.71e-4,9.527686770611453e-4,0.154,1
DDTL,---+-+,+-+++++++++-,-+----++,2.9667785351976275e-4,0.0021844357648824393,+,5.93e-4,5.17889e-4,0.16,1
A4GALT,+++++-,+++-++++++++,+-----+-,5.335904548735047e-4,3.05539967174356e-4,-,6.11e-4,2.2121928894690718e-4,0.164,1
BIN1,----+-,+++++++-++++,--++++++,4.0605369917340014e-4,3.108375911013786e-4,-,6.22e-4,2.08146e-4,0.167,1
CPEB4,++++-+,------------,+-++++++,3.1471846486630037e-4,3.770896635598262e-4,+,6.29e-4,0.001845536,0.169,1
SNRNP25,++-+++,++++-+++++++,NA,4.887674131599655e-4,3.3232638173966064e-4,-,6.65e-4,0.005229586,0.179,1
PGAP1,-++--+,-----+------,----+-+-,4.904914421891507e-4,3.552761854482677e-4,-,7.11e-4,0.001316292,0.191,1
