gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
GALNT15,-+-,++-++-,+-++,2.6101300266069815e-15,0.9999999927636009,+,5.22e-15,0.005797004,1.4e-12,9.19e-11
GALNT15,-+-,++-++-,++++,2.6101300266069815e-15,0.9999999927636009,+,5.22e-15,0.005797004,1.4e-12,9.19e-11
GALNT15,-+-,++-++-,++-+,2.6101300266069815e-15,0.9999999927636009,+,5.22e-15,0.005797004,1.4e-12,9.19e-11
VEGFA,---,------,---+,0.9760897166839861,6.814963048879319e-10,-,1.36e-9,0.001792509,3.67e-7,2.4e-5
P4HA1,---,------,---+,0.8243410516297492,1.8414232492401662e-9,-,3.68e-9,7.94288e-4,9.91e-7,6.48e-5
ANKRD37,+-+,------,---+,0.18259955506236542,3.3486748552571564e-9,-,6.7e-9,6.06648e-4,1.8e-6,1.18e-4
RPS28,++-,++++++,--+-,1.4296677921482496e-8,0.39298106000896116,+,2.86e-8,4.3403e-4,7.69e-6,5.03e-4
SLC6A2,-++,+---++,++-+,1.7795545743148707e-8,0.9999916051613171,+,3.56e-8,7.644242388104408e-4,9.57e-6,6.27e-4
SLC6A2,-++,++++++,++-+,1.7795545743148707e-8,0.9999916051613171,+,3.56e-8,7.644242388104408e-4,9.57e-6,6.27e-4
NRG4,+++,++++++,NA,6.205950329076098e-8,0.9999998255332307,+,1.24e-7,0.003636789,3.34e-5,0.00219
EEF2,++-,++++++,-++-,1.1291619900871415e-7,0.9702505133741486,+,2.26e-7,8.97529e-5,6.07e-5,0.00398
AGBL5,+--,++++-+,----,2.9569930028753426e-7,0.23963996988933245,+,5.91e-7,1.31829e-4,1.59e-4,0.0104
CCDC124,++-,++++++,++--,4.2675359376439164e-7,0.9423288237406526,+,8.54e-7,9.17799e-7,2.3e-4,0.015
AP1G1,+-+,------,----,0.9918510946020165,5.166588479416568e-7,-,1.03e-6,0.001502811,2.78e-4,0.0182
ELOF1,++-,++++++,+-+-,5.959141609771027e-7,0.09198276325151003,+,1.19e-6,9.19193e-5,3.21e-4,0.021
RPS2,+++,++++++,-+++,6.302932751383739e-7,0.9985075986106347,+,1.26e-6,6.73894e-4,3.39e-4,0.0222
CHCHD10,++-,++++-+,NA,6.516287982282649e-7,0.9764584746584241,+,1.3e-6,7.98659e-4,3.51e-4,0.0229
ALS2CL,++-,++++++,NA,6.5508297473601e-7,0.9918457665775748,+,1.31e-6,7.092032401843758e-4,3.52e-4,0.0231
NDUFA2,++-,+++++-,---+,6.568371363543402e-7,0.6955370762636288,+,1.31e-6,6.12726e-5,3.53e-4,0.0231
TIE1,+++,++++++,NA,7.848048999402134e-7,0.9999956085403571,+,1.57e-6,0.002398653419051088,4.22e-4,0.0276
ST6GALNAC1,+++,++++++,NA,8.478909608035853e-7,0.9999999780973068,+,1.7e-6,0.015975231,4.56e-4,0.0299
SEL1L,+-+,------,----,0.9890466258401436,8.524144111397001e-7,-,1.7e-6,6.01311e-4,4.59e-4,0.03
NR1D1,+++,++++++,NA,8.758735072435548e-7,0.9999954265146079,+,1.75e-6,0.007710126,4.71e-4,0.0308
RPL10A,++-,++++++,--+-,1.271397032755822e-6,0.5398010534880926,+,2.54e-6,2.61478e-4,6.84e-4,0.0448
LAMTOR4,++-,++++++,NA,1.2788498891483713e-6,0.8325928870869053,+,2.56e-6,7.60347e-4,6.88e-4,0.045
UBE2M,++-,++++++,-+-+,1.4268608830280496e-6,0.9031836675752867,+,2.85e-6,4.9052e-5,7.68e-4,0.0502
CKB,++-,++++++,-++-,1.4706546705816212e-6,0.910718654228104,+,2.94e-6,1.82118e-5,7.91e-4,0.0518
RPL13,++-,++++++,++++,1.4795885902797721e-6,0.9967747269386673,+,2.96e-6,0.001804768,7.96e-4,0.0521
CCNT1,--+,------,++-+,0.803053021613682,1.538630811022319e-6,-,3.08e-6,3.6569e-4,8.28e-4,0.0542
RPL27A,++-,++++++,++++,1.6119485833228709e-6,0.9977976025407216,+,3.22e-6,0.001389884,8.67e-4,0.0568
PILRB,-++,++++++,-+++,1.6642116263577453e-6,0.9972734890634399,+,3.33e-6,0.002967031,8.95e-4,0.0586
CRY1,---,------,-+--,0.9990599049991205,1.7907938250852105e-6,-,3.58e-6,0.001297082,9.63e-4,0.0631
STK17A,+-+,-----+,NA,0.922965855922573,1.9032100028700588e-6,-,3.81e-6,0.002774788,0.00102,0.067
ITPR3,-+-,++++++,NA,1.9753908989145173e-6,0.9104165352256242,+,3.95e-6,0.001833984,0.00106,0.0696
NOS3,+++,++++++,NA,2.1293767071804098e-6,0.9983196801383236,+,4.26e-6,8.2228e-4,0.00115,0.075
INAFM2,NA,---+--,NA,0.9937548993776635,2.2453651918547665e-6,-,4.49e-6,0.001927182,0.00121,0.0791
NUFIP2,--+,------,+--+,0.9735103908001457,2.4258206606363455e-6,-,4.85e-6,0.006423197,0.00131,0.0854
RPL8,++-,++++-+,-+-+,2.52148405344942e-6,0.9698460178530964,+,5.04e-6,2.1357e-5,0.00136,0.0888
RPL31,++-,++++++,+-++,2.832060986115204e-6,0.9975934465890113,+,5.66e-6,0.006640981,0.00152,0.0997
IMP4,++-,++++-+,----,3.1320218621570985e-6,0.6928582471539609,+,6.26e-6,4.99604e-4,0.00169,0.11
NDUFB9,++-,++++++,NA,3.202316614900529e-6,0.9490275501118473,+,6.4e-6,0.001398063,0.00172,0.113
SNRNP25,+++,++++++,NA,3.5755015744716283e-6,0.9996249770992847,+,7.15e-6,0.005229586,0.00192,0.126
C7orf50,++-,++++++,-+--,3.663621817406223e-6,0.4397563072743133,+,7.33e-6,1.35065e-4,0.00197,0.129
CLCN3,+--,------,+--+,0.46945853359706335,3.7893197499075258e-6,-,7.58e-6,8.88109e-4,0.00204,0.133
MARCH2,+++,++++-+,NA,4.145226227183606e-6,0.9983408460688779,+,8.29e-6,1.74212e-4,0.00223,0.146
RPS14,++-,++++++,-++-,4.496581766027829e-6,0.9886718273206976,+,8.99e-6,1.74313e-4,0.00242,0.158
RPL36,++-,++++++,--+-,4.562053858791425e-6,0.5879035777083922,+,9.12e-6,2.28312e-4,0.00245,0.161
USHBP1,+++,++++++,NA,4.822001490587321e-6,0.9999853041844585,+,9.64e-6,5.07620858896974e-4,0.00259,0.17
TMED5,+-+,------,--+-,0.9529180523149335,5.123858008397557e-6,-,1.02e-5,8.06631e-4,0.00276,0.18
EHBP1L1,-+-,++++++,NA,5.167537852706327e-6,0.9043894472513738,+,1.03e-5,0.006129588,0.00278,0.182
GPNMB,---,++++++,+-++,5.474743956120184e-6,0.44705137349981133,+,1.09e-5,0.014694136,0.00295,0.193
AK4,+-+,------,-+++,0.059586815611027646,5.756669772181037e-6,-,1.15e-5,0.006559644,0.0031,0.203
AK4,+-+,------,---+,0.059586815611027646,5.756669772181037e-6,-,1.15e-5,0.006559644,0.0031,0.203
ZNF654,--+,------,++-+,0.2591080688022127,6.11530254288647e-6,-,1.22e-5,1.10049e-4,0.00329,0.215
RPS26,+++,++++++,----,6.5666348108586e-6,0.7860012006213741,+,1.31e-5,0.0022078621270659442,0.00353,0.231
ELOVL5,---,------,--+-,0.9904403147655201,6.591195899503122e-6,-,1.32e-5,0.00106573,0.00355,0.232
RPL29,++-,++++++,--++,6.717270161867854e-6,0.9484086860367573,+,1.34e-5,0.00166316,0.00361,0.237
DDX55,-+-,++++++,++++,6.859000834940217e-6,0.9464238125404131,+,1.37e-5,1.07752e-4,0.00369,0.242
NET1,+++,++++++,++-+,7.363038174747747e-6,0.9992484109222316,+,1.47e-5,0.00744961549949834,0.00396,0.259
MYBBP1A,+--,++++++,---+,7.53891156276202e-6,0.8653610495861703,+,1.51e-5,9.25225e-4,0.00406,0.265
SAMD8,+-+,------,NA,0.9652832007056419,7.737872219475342e-6,-,1.55e-5,5.94461e-4,0.00416,0.272
PCDH17,---,-----+,----,0.9999925919846684,7.93574741556794e-6,-,1.59e-5,0.001403492,0.00427,0.279
PCDHB4,---,------,++++,0.11979059608399215,8.256155666769939e-6,-,1.65e-5,6.68832e-4,0.00444,0.291
C19orf60,++-,-+++-+,NA,8.331072908323349e-6,0.8614603313013474,+,1.67e-5,1.43341e-5,0.00448,0.293
C1orf43,+-+,++++-+,-+++,8.64917731861592e-6,0.9681980325737064,+,1.73e-5,0.001660319,0.00465,0.305
ASUN,---,------,NA,0.9999944142285772,8.797799293488618e-6,-,1.76e-5,0.008160615,0.00473,0.31
DEAF1,+++,++++++,--++,9.551199260223685e-6,0.4468143249586463,+,1.91e-5,0.001223482,0.00514,0.336
SLURP1,+--,------,NA,0.9088616701300948,9.632949741354816e-6,-,1.93e-5,0.0012349109060917098,0.00518,0.339
SPTLC1,+-+,------,-+-+,0.5895583458266772,9.64114191940029e-6,-,1.93e-5,0.001247492,0.00519,0.34
FAU,-+-,++++++,--+-,9.90575126333903e-6,0.5042601053336708,+,1.98e-5,1.41275e-4,0.00533,0.349
TMEM41B,--+,------,-+-+,0.19433782056670507,1.0020994427723893e-5,-,2e-5,0.001655023,0.00539,0.353
INO80E,-+-,++++++,NA,1.0484218351627703e-5,0.8619118671132259,+,2.1e-5,0.003972043,0.00564,0.369
EIF1,+--,++++++,-+++,1.1606445930933266e-5,0.891765011044432,+,2.32e-5,8.09082e-4,0.00624,0.409
FKBP8,++-,-+++++,+-+-,1.2168794465495148e-5,0.7834751293209544,+,2.43e-5,4.35437e-6,0.00655,0.429
RPL7A,++-,++++++,--+-,1.2215687814989481e-5,0.6404411106106228,+,2.44e-5,1.14484e-4,0.00657,0.43
RPLP2,++-,++++++,NA,1.2345098091731538e-5,0.9774433221394311,+,2.47e-5,0.005080981,0.00664,0.435
QPRT,-+-,++++++,+-++,1.2456095088234288e-5,0.8737673538569131,+,2.49e-5,6.52847e-5,0.0067,0.439
FOXF2,+++,++++++,+++-,1.2849132362868414e-5,0.9994963217026793,+,2.57e-5,1.97753e-4,0.00691,0.452
B4GALNT4,-+-,++++++,+-++,1.2850845094477732e-5,0.9090619102418993,+,2.57e-5,1.57781e-4,0.00691,0.453
GADD45GIP1,++-,++++++,--++,1.311800578196332e-5,0.744679316133135,+,2.62e-5,1.26471e-6,0.00706,0.462
AIP,++-,++++++,+-+-,1.346430309361431e-5,0.9114965981051414,+,2.69e-5,8.51329e-4,0.00724,0.474
POGLUT1,---,------,+---,0.9978875974778377,1.4498567493122147e-5,-,2.9e-5,3.16374e-4,0.0078,0.511
LRRC8C,+--,------,++--,0.9538782020684221,1.535431049435418e-5,-,3.07e-5,0.002213602,0.00826,0.541
MPP3,+++,+++++-,++++,1.5380724394042792e-5,0.9998507208485781,+,3.08e-5,6.30618e-4,0.00827,0.542
CFH,++-,++++++,+--+,1.5546005377677134e-5,0.9994412383669812,+,3.11e-5,0.013264419,0.00836,0.547
CFH,++-,++++++,-+++,1.5546005377677134e-5,0.9994412383669812,+,3.11e-5,0.013264419,0.00836,0.547
PRDX5,++-,++++++,---+,1.5582248811831755e-5,0.6481657719237811,+,3.12e-5,1.42607e-6,0.00838,0.549
RPH3AL,+++,++++++,NA,1.5920117810677467e-5,0.9989625888093989,+,3.18e-5,6.508400741202351e-4,0.00857,0.561
ARL5B,+-+,------,NA,0.968569459982023,1.6325364081043204e-5,-,3.27e-5,0.002460311,0.00878,0.575
NMRAL1,++-,+++++-,++-+,1.772433051777934e-5,0.9559581108032841,+,3.54e-5,0.003247795,0.00954,0.624
NSFL1C,++-,++++-+,-+-+,1.7746997556858162e-5,0.9860614715525579,+,3.55e-5,0.00296874,0.00955,0.625
SAMD14,++-,++++++,-+++,1.8620653058595463e-5,0.9955813155557712,+,3.72e-5,7.85112e-4,0.01,0.656
PRPF31,+++,++++++,--++,1.9024923656930152e-5,0.6387382282977739,+,3.8e-5,0.003767644,0.0102,0.67
TBX2,-+-,++++++,NA,1.9210673895345303e-5,0.9771916525930624,+,3.84e-5,0.015074619208082474,0.0103,0.677
ADCY4,+++,++++++,+-+-,1.9755184930772965e-5,0.9976347630316804,+,3.95e-5,0.024461555,0.0106,0.696
USP37,--+,------,----,0.9979816305567262,1.997152834096517e-5,-,3.99e-5,0.004584095,0.0107,0.703
CCBE1,+++,------,+--+,0.2937289287244137,2.0876049559865104e-5,-,4.18e-5,2.96795e-4,0.0112,0.735
SUGT1,+-+,------,+--+,0.8451439199637276,2.2035131760815795e-5,-,4.41e-5,0.007355833,0.0119,0.776
TBC1D4,+-+,++++++,+-+-,2.2189985894347928e-5,0.9656493191074349,+,4.44e-5,0.015892978,0.0119,0.781
RPS21,++-,++++-+,--+-,2.248789532369306e-5,0.5176952257992147,+,4.5e-5,0.004426264,0.0121,0.792
RPL14,++-,++++++,-+--,2.3264242941286235e-5,0.6651974088023236,+,4.65e-5,0.001688182,0.0125,0.819
FAM101B,+++,--++--,-+--,2.396656919084097e-5,0.7175359132414143,+,4.79e-5,1.3169669318966625e-4,0.0129,0.844
TAS2R13,--+,----++,NA,0.8042440563011133,2.5043541703082778e-5,-,5.01e-5,0.0012403682132721846,0.0135,0.882
TMEM87B,+-+,++++++,++++,2.522505878583286e-5,0.9895949315637963,+,5.05e-5,0.004725869,0.0136,0.888
IPO4,+--,++++-+,+---,2.5370553432704378e-5,0.24375862012140231,+,5.07e-5,4.99604e-4,0.0136,0.893
TTC16,-+-,++++++,NA,2.5839782183881922e-5,0.8974018981988813,+,5.17e-5,0.001186609,0.0139,0.91
RPS8,++-,++++++,NA,2.6920346485194817e-5,0.992508848659858,+,5.38e-5,0.007266848,0.0145,0.948
TINAGL1,+++,++++++,NA,2.8424565257143824e-5,0.9989777373284547,+,5.68e-5,0.012516564,0.0153,1
CASQ1,+++,++++-+,-+++,2.9671258041415927e-5,0.9776609149619853,+,5.93e-5,0.003184041,0.016,1
ZBTB21,+-+,------,-+--,0.9264812222088339,3.0228506937683887e-5,-,6.05e-5,0.00525223,0.0163,1
ZNF514,+++,++++++,++++,3.064861826840858e-5,0.999999641583005,+,6.13e-5,0.006364232,0.0165,1
SEMA3G,++-,++++++,+++-,3.1692417800627476e-5,0.979495201912103,+,6.34e-5,0.01806958,0.0171,1
ERP44,+--,------,NA,0.9400908464874904,3.180538490655423e-5,-,6.36e-5,7.58422e-4,0.0171,1
RAMP2,++-,++++++,++--,3.27666561072541e-5,0.6996242678604707,+,6.55e-5,0.001559395,0.0176,1
NR2F1,+++,++++++,++++,3.286065913900396e-5,0.9999953207060317,+,6.57e-5,0.004436142,0.0177,1
LONRF1,+-+,------,----,0.9980847181499629,3.4069860075774376e-5,-,6.81e-5,0.004010672,0.0183,1
SLC9A3R2,++-,++++++,+--+,3.4382254981106654e-5,0.9584411516279332,+,6.88e-5,0.003973199,0.0185,1
HSPA12B,+++,++++++,++-+,3.547823209956377e-5,0.9915469529350519,+,7.1e-5,0.009108716468139263,0.0191,1
DZIP1,+-+,++++++,++++,3.5692973787425224e-5,0.9996334428846042,+,7.14e-5,0.016185010768806195,0.0192,1
COX6B1,++-,++++-+,--+-,3.5804540291676204e-5,0.5475652159742603,+,7.16e-5,1.16734e-4,0.0193,1
RGPD8,--+,++++++,NA,3.593495264066881e-5,0.7212657281242498,+,7.19e-5,0.011761116,0.0193,1
MRPL21,++-,++++++,----,3.609215856684426e-5,0.10676688434818672,+,7.22e-5,6.72138e-4,0.0194,1
ZFP14,---,------,---+,0.9972282193820519,3.637339402823981e-5,-,7.27e-5,1.79024e-4,0.0196,1
MPND,++-,++++++,----,3.638463262438442e-5,0.4339993646532268,+,7.28e-5,4.67658e-4,0.0196,1
RPL26,+++,++++++,NA,3.7381485011572307e-5,0.9967477236488882,+,7.48e-5,0.001198507,0.0201,1
RPL32,++-,++++++,----,3.8167538658298815e-5,0.6981310656808677,+,7.63e-5,8.79551e-4,0.0205,1
IPMK,+-+,------,NA,0.6861767065645831,3.8745361520726904e-5,-,7.75e-5,0.003786006,0.0208,1
SPRED1,--+,------,----,0.99356987753187,3.921501331630652e-5,-,7.84e-5,0.002482216,0.0211,1
ADH1B,+++,++++++,NA,4.0010894391884635e-5,0.9999071654532843,+,8e-5,0.012310725,0.0215,1
RPL6,++-,++++++,-+++,4.0975884016833226e-5,0.9818221493654389,+,8.2e-5,0.00453247,0.022,1
FAM98C,-+-,++++++,----,4.177967455763474e-5,0.43029894622184073,+,8.36e-5,0.00700334,0.0225,1
ERCC1,++-,+++++-,+-+-,4.2253500545457205e-5,0.5950788582654847,+,8.45e-5,2.64684e-4,0.0227,1
TMEM33,+-+,------,++-+,0.23558856478850512,4.2932945966747854e-5,-,8.59e-5,0.001588586,0.0231,1
YPEL3,++-,++++++,+---,4.4209807957541545e-5,0.9400502486011566,+,8.84e-5,2.52184e-4,0.0238,1
RNF217,--+,------,NA,0.9714154526243295,4.4471778675132696e-5,-,8.89e-5,0.007448689,0.0239,1
ADAMTS1,---,------,+--+,0.971813420515354,4.573684930185904e-5,-,9.15e-5,0.001457023,0.0246,1
SPATC1L,-++,++++++,--++,4.592212545800915e-5,0.9809183385835344,+,9.18e-5,0.001343689,0.0247,1
HSPA1A,---,------,-+-+,0.9955846689951192,4.635307089769573e-5,-,9.27e-5,0.052021844,0.0249,1
SLC2A4RG,++-,++++++,+-++,4.6553350908292624e-5,0.9657797550188556,+,9.31e-5,0.010668071,0.025,1
HSD17B6,---,------,-+-+,0.7032825272622978,4.6648584162917133e-05,-,9.33e-5,1.4783e-4,0.0251,1
AES,++-,++++-+,+--+,4.7621920397433626e-5,0.9709535493709364,+,9.52e-5,2.76229e-4,0.0256,1
ZNF358,++-,++++++,-++-,4.9932637143803357e-5,0.8578326387963755,+,9.99e-5,5.27303e-4,0.0269,1
MRPL4,++-,++++-+,----,5.160862522393056e-5,0.12173901081931635,+,1.03e-4,4.65164e-4,0.0278,1
