gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
GALNT15,-+-,++-++-,+-++,3.021314082961387e-9,0.99999970606017,+,6.04e-9,0.005797004,1.63e-6,1.06e-4
GALNT15,-+-,++-++-,++++,3.021314082961387e-9,0.99999970606017,+,6.04e-9,0.005797004,1.63e-6,1.06e-4
GALNT15,-+-,++-++-,++-+,3.021314082961387e-9,0.99999970606017,+,6.04e-9,0.005797004,1.63e-6,1.06e-4
P4HA1,---,------,---+,0.8991831743266046,7.309643597887998e-6,-,1.46e-5,7.94288e-4,0.00393,0.257
VEGFA,---,------,---+,0.9760717173608136,2.7136478280930634e-5,-,5.43e-5,0.001792509,0.0146,0.956
TAS2R13,--+,----++,NA,0.8391911864300042,5.349474619730975e-5,-,1.07e-4,0.0012403682132721846,0.0288,1
SLC6A2,-++,+---++,++-+,6.991584182756851e-5,0.9998241171753868,+,1.4e-4,7.644242388104408e-4,0.0376,1
SLC6A2,-++,++++++,++-+,6.991584182756851e-5,0.9998241171753868,+,1.4e-4,7.644242388104408e-4,0.0376,1
NRG4,+++,++++++,NA,7.454929382749583e-5,0.9999994566863343,+,1.49e-4,0.003636789,0.0401,1
TIE1,+++,++++++,NA,9.169443683027548e-5,0.9999918626574253,+,1.83e-4,0.002398653419051088,0.0493,1
ASUN,---,------,NA,0.9999568858220367,1.1038525446657134e-4,-,2.21e-4,0.008160615,0.0594,1
SEL1L,+-+,------,----,0.9893515119671425,1.298851606244766e-4,-,2.6e-4,6.01311e-4,0.0699,1
USHBP1,+++,++++++,NA,1.3897593568965028e-4,0.9999012758773413,+,2.78e-4,5.07620858896974e-4,0.0748,1
ZNF17,---,+---+-,----,0.9920617782008455,1.4161736701596007e-4,-,2.83e-4,0.0012584407809455805,0.0762,1
MYO1A,---,NA,NA,0.9997148072096738,1.7111567419575633e-4,-,3.42e-4,0.006336057791227615,0.0921,1
ST6GALNAC1,+++,++++++,NA,1.7220195359481683e-4,0.9999887896881875,+,3.44e-4,0.015975231,0.0926,1
PCDH17,---,-----+,----,0.9997146603317645,1.7292260156293415e-4,-,3.46e-4,0.001403492,0.093,1
ALS2CL,++-,++++++,NA,1.9537335265316976e-4,0.9944779047815658,+,3.91e-4,7.092032401843758e-4,0.105,1
CYP7B1,---,------,NA,0.9991305463273042,1.9583026387081498e-4,-,3.92e-4,0.012500121340474499,0.105,1
SLURP1,+--,------,NA,0.9148093453628271,2.26305596233017e-4,-,4.53e-4,0.0012349109060917098,0.122,1
RPS28,++-,++++++,--+-,2.6327716957656256e-4,0.7010255000756063,+,5.27e-4,4.3403e-4,0.142,1
NR1D1,+++,++++++,NA,2.7082817074669974e-4,0.999995537276508,+,5.42e-4,0.007710126,0.146,1
SNRNP25,+++,++++++,NA,3.2043840406343775e-4,0.9991992014975719,+,6.41e-4,0.005229586,0.172,1
RWDD2B,---,++++++,---+,0.2826267113524947,3.554061219398652e-4,-,7.11e-4,0.003980618,0.191,1
AP1G1,+-+,------,----,0.9926463043932443,3.660571462953204e-4,-,7.32e-4,0.001502811,0.197,1
MARCH2,+++,++++-+,NA,3.6681501008458675e-4,0.9766257977583342,+,7.34e-4,1.74212e-4,0.197,1
ELOF1,++-,++++++,+-+-,4.6619888829016974e-4,0.2922685609156557,+,9.32e-4,9.19193e-5,0.251,1
RPH3AL,+++,++++++,NA,4.787876653840698e-4,0.9955846699567995,+,9.58e-4,6.508400741202351e-4,0.258,1
HSPA1A,---,------,-+-+,0.9922627641015695,4.865070980780304e-4,-,9.73e-4,0.052021844,0.262,1
C18orf54,---,----+-,NA,0.9915493435791798,4.8660704485050933e-4,-,9.73e-4,0.0012623854899758377,0.262,1
ART5,+++,NA,NA,5.13347022587269e-4,0.9985740360483687,+,0.00103,7.425945297457628e-4,0.276,1
ELOVL5,---,------,--+-,0.9871006724921516,5.313302965016541e-4,-,0.00106,0.00106573,0.286,1
MPP3,+++,+++++-,++++,6.036739181024232e-4,0.9975440969836986,+,0.00121,6.30618e-4,0.325,1
TAS2R40,-+-,NA,NA,0.9453570613734885,6.274241387177732e-4,-,0.00125,0.005933609469661311,0.338,1
NR4A3,---,------,NA,0.9999842901059576,6.284396244590494e-4,-,0.00126,0.022915986,0.338,1
NUFIP2,--+,------,+--+,0.9700305654262278,6.310936537925239e-4,-,0.00126,0.006423197,0.34,1
ZNF708,---,------,+--+,0.9720010289236453,6.329767655352017e-4,-,0.00127,1.147e-4,0.341,1
CHCHD10,++-,++++-+,NA,6.422354727334827e-4,0.9774020195922867,+,0.00128,7.98659e-4,0.346,1
NR2F1,+++,++++++,++++,6.573459776872977e-4,0.9998433096090199,+,0.00131,0.004436142,0.354,1
CCDC110,---,------,NA,0.9931505220427929,6.601762866825877e-4,-,0.00132,0.007740715513755094,0.355,1
CCDC124,++-,++++++,++--,6.642665750786858e-4,0.9629599379946674,+,0.00133,9.17799e-7,0.357,1
CD79B,+++,NA,NA,6.844626967830253e-4,0.9758156513803331,+,0.00137,4.7147967022066376e-4,0.368,1
RPS26,+++,++++++,----,7.008714855790432e-4,0.9213933699894645,+,0.0014,0.0022078621270659442,0.377,1
STK17A,+-+,-----+,NA,0.9088217834924013,7.232989803119567e-4,-,0.00145,0.002774788,0.389,1
RPS2,+++,++++++,-+++,7.263441269142262e-4,0.99826959366563806,+,0.00145,6.73894e-4,0.391,1
ZFP69,---,------,NA,0.9999531352361851,7.398116418325338e-4,-,0.00148,0.006090375,0.398,1
NET1,+++,++++++,++-+,7.427986566084268e-4,0.9992938946672948,+,0.00149,0.00744961549949834,0.4,1
ANKRD37,+-+,------,---+,0.338986746676445,7.72828402626855e-4,-,0.00155,6.06648e-4,0.416,1
ADAMTS1,---,------,+--+,0.9711535751219351,8.097846001236696e-4,-,0.00162,0.001457023,0.436,1
ARL5B,+-+,------,NA,0.974321567443185,8.20191330493561e-4,-,0.00164,0.002460311,0.441,1
RNF217,--+,------,NA,0.9765359528892066,8.324800213114125e-4,-,0.00166,0.007448689,0.448,1
CLCN3,+--,------,+--+,0.6727271583334523,8.490370873208169e-4,-,0.0017,8.88109e-4,0.457,1
LDAH,---,----+-,---+,0.9886840640900929,8.537477231351056e-4,-,0.00171,0.009952434,0.459,1
TPSB2,+++,NA,NA,8.555783709787816e-4,0.9996007300935432,+,0.00171,0.006228541983341123,0.46,1
ATP2C2,---,-+++-+,NA,0.7238393357185406,8.576175463027216e-4,-,0.00172,0.004532410032157394,0.461,1
INAFM2,NA,---+--,NA,0.935779150018162,8.717762440973483e-4,-,0.00174,0.001927182,0.469,1
SHISA2,---,----+-,NA,0.9963416987237161,8.835229609773063e-4,-,0.00177,0.002683791029221813,0.475,1
CALN1,+-+,----+-,++++,8.846035190624747e-4,0.3048290359787941,+,0.00177,0.006168633,0.476,1
ZNF229,---,----+-,NA,0.9990985956920494,8.888018680910706e-4,-,0.00178,0.016708739,0.478,1
PCDHA12,+++,----++,NA,9.013632123596588e-4,0.42751180402475936,+,0.0018,0.008800711906672622,0.485,1
DPYSL5,---,---+++,----,0.9820025997186272,9.149732908971109e-4,-,0.00183,0.001886142,0.492,1
PTGDR2,+++,++++++,NA,9.312876848437873e-4,0.9998387908547899,+,0.0018600000000000001,0.012136759,0.501,1
IPMK,+-+,------,NA,0.6749836475401616,9.609060123575313e-4,-,0.00192,0.003786006,0.517,1
IFIT1B,---,NA,NA,0.9991444216290212,9.696554871092859e-4,-,0.00194,0.010476244408348163,0.522,1
RPL13,++-,++++++,++++,9.896631287520138e-4,0.9969494561870247,+,0.00198,0.001804768,0.532,1
ZNF514,+++,++++++,++++,0.0010073784341747699,0.9999806403972078,+,0.00201,0.006364232,0.542,1
MLN,---,NA,NA,0.9996577686516085,0.001026694045174538,-,0.00205,0.024148565190912814,0.552,1
NAALADL1,+++,NA,NA,0.001026694045174538,0.9842573579739904,+,0.00205,0.003747923490938021,0.552,1
CXCL9,-+-,NA,NA,0.4645220168834132,0.0010837326032397902,-,0.00217,0.013751424125641403,0.583,1
RPL31,++-,++++++,+-++,0.0011042815992403244,0.9981533145990977,+,0.00221,0.006640981,0.594,1
NDUFA2,++-,+++++-,---+,0.0011505102031857323,0.8460324999581363,+,0.0023,6.12726e-5,0.619,1
BMP4,+++,++-+--,NA,0.0011838013520952637,0.6150295625489284,+,0.00237,8.611995940077596e-4,0.637,1
IFNB1,+++,NA,NA,0.0011978097193702942,0.999315537303217,+,0.0024,0.019544928737364672,0.644,1
ERRFI1,+--,-+----,----,0.9988658645962981,0.0012027669729734896,-,0.00241,0.010008088670738158,0.647,1
NCBP1,--+,------,NA,0.9964361733858534,0.0012162467786376923,-,0.00243,0.003438202,0.654,1
CRY1,---,------,-+--,0.9971615183388229,0.0012495063071381602,-,0.0025,0.001297082,0.672,1
SAMD8,+-+,------,NA,0.9717948098243441,0.001289133863212408,-,0.00258,5.94461e-4,0.694,1
NPTX2,---,-++---,----,0.9955039463515363,0.0012969230710854472,-,0.00259,0.017181461,0.698,1
ENHO,+++,++++-+,NA,0.0013408618343269648,0.9934637482300614,+,0.00268,0.0032484891364441023,0.721,1
