gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_Correction
GALNT15,-+--,-+++++-+,++-+-+,0.9941076514559538,4.055154487535533e-12,-,8.110308975071066e-12,0.004911423,2.1816731142941166e-9,1.4283065135997656e-7
GALNT15,-+--,-+++++-+,++-+++,0.9941076514559538,4.055154487535533e-12,-,8.110308975071066e-12,0.004911423,2.1816731142941166e-9,1.4283065135997656e-7
GALNT15,-+--,-+++++-+,--++++,0.9941076514559538,4.055154487535533e-12,-,8.110308975071066e-12,0.004911423,2.1816731142941166e-9,1.4283065135997656e-7
RPS26,--++,--+-++++,------,0.9944788493597108,4.902347629118485e-10,-,9.80469525823697e-10,0.0022078621270659442,2.637463024465745e-7,1.726704881928113e-5
PILRB,---+,----++++,+-+-++,0.9480569907404223,2.908980039078571e-8,-,5.817960078157142e-8,0.002967031,1.5650312610242713e-5,0.0010246009493642544
CA4,--+-,----++++,-----+,0.9029662266169128,6.464389101609285e-8,-,1.292877820321857e-7,0.005919834512648399,3.477841336665795e-5,0.0022768871293688225
TMED5,-+++,++++----,-+----,7.866986412622383e-8,0.8601258227992366,+,1.5733972825244766e-7,8.06631e-4,4.232438689990842e-5,0.002770909954253856
KLK1,-++-,++++---+,---+++,9.278943932519112e-8,7.529977029225211e-5,+,1.8557887865038224e-7,0.009705337,4.9920718356952824e-5,0.0032682296319118814
KLK1,-++-,++++---+,+++---,9.278943932519112e-8,7.529977029225211e-5,+,1.8557887865038224e-7,0.009705337,4.9920718356952824e-5,0.0032682296319118814
KLK1,-++-,+--+++++,---+++,9.278943932519112e-8,7.529977029225211e-5,+,1.8557887865038224e-7,0.009705337,4.9920718356952824e-5,0.0032682296319118814
KLK1,-++-,+--+++++,+++---,9.278943932519112e-8,7.529977029225211e-5,+,1.8557887865038224e-7,0.009705337,4.9920718356952824e-5,0.0032682296319118814
SEL1L,-+++,++++----,+-----,9.580259238000394e-8,0.5813654075194687,+,1.916051847600079e-7,6.01311e-4,5.1541794700442124e-5,0.003374358908808499
RPS28,--+-,+++-++++,++----,0.3057572854006247,1.5074226995001798e-7,-,3.0148453990003595e-7,4.3403e-4,8.109934123310967e-5,0.005309444232179533
FAM101B,-+++,------++,+++-+-,0.24282805987970577,1.6622511789370284e-7,-,3.324502357874057e-7,1.3169669318966625e-4,8.942911342681213e-5,0.005854781102452002
IP6K3,-+--,++++----,NA,2.7797528427407884e-7,0.7718086283713379,+,5.559505685481577e-7,0.004055764,1.4955070293945442e-4,0.009790845462701606
PHLDB2,--++,----++++,NA,0.9999975038634991,3.089421754438799e-7,-,6.178843508877598e-7,0.001950897,1.6621089038880738e-4,0.010881561303484338
RPL13,--+-,-++-++++,--++++,0.9984786177003867,3.5420890576047713e-7,-,7.084178115209543e-7,0.001804768,1.905643912991367e-4,0.012475946078695526
SLCO1A2,----,++++---+,---+++,0.240732450990846,5.529154190176846e-7,-,1.1058308380353693e-6,3.41573e-4,2.9746849543151434e-4,0.019474786888640887
PM20D2,++-+,+++-+---,++++++,6.225624375039957e-7,0.5159191186995639,+,1.2451248750079914e-6,3.32678e-4,3.349385913771497e-4,0.021927894173765738
VSTM2L,+-+-,---+-+++,+++---,6.486679650262488e-7,0.5023140449930639,+,1.2973359300524976e-6,1.43539e-4,3.4898336518412185e-4,0.022847383064154535
RPH3AL,--++,----++++,NA,0.9999838839090565,7.689543353008139e-7,-,1.5379086706016278e-6,6.508400741202351e-4,4.1369743239183786e-4,0.027084109597965266
