gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
KLK1,-++-,++++---+,---+++,1.9628293906630762e-7,1.8279836470744114e-6,+,3.93e-7,0.009705337,1.06e-4,0.00691
KLK1,-++-,++++---+,+++---,1.9628293906630762e-7,1.8279836470744114e-6,+,3.93e-7,0.009705337,1.06e-4,0.00691
KLK1,-++-,+--+++++,---+++,1.9628293906630762e-7,1.8279836470744114e-6,+,3.93e-7,0.009705337,1.06e-4,0.00691
KLK1,-++-,+--+++++,+++---,1.9628293906630762e-7,1.8279836470744114e-6,+,3.93e-7,0.009705337,1.06e-4,0.00691
FAM101B,-+++,------++,+++-+-,2.0619865363942647e-5,3.526361032436643e-5,+,4.12e-5,1.3169669318966625e-4,0.0111,0.726
RPS26,--++,--+-++++,------,3.509319066973964e-5,3.600661379799482e-5,+,7.02e-5,0.003046322,0.0189,1
GALNT15,-+--,-+++++-+,++-+-+,4.4419447418836094e-5,1.885451660370275e-4,+,8.88e-5,0.004911423,0.0239,1
GALNT15,-+--,-+++++-+,++-+++,4.4419447418836094e-5,1.885451660370275e-4,+,8.88e-5,0.004911423,0.0239,1
GALNT15,-+--,-+++++-+,--++++,4.4419447418836094e-5,1.885451660370275e-4,+,8.88e-5,0.004911423,0.0239,1
LZTS2,----,++++----,---+++,6.20112644944743e-5,7.689808502988245e-5,+,1.24e-4,0.004275579558707603,0.0334,1
ALCAM,-+--,++++----,---+++,8.81362211806579e-5,1.9928352960218358e-4,+,1.76e-4,6.600838066980823e-4,0.0474,1
FOLH1,----,++++---+,---+++,9.69221626194118e-5,2.4320898203667937e-4,+,1.94e-4,0.002427807386375163,0.0521,1
MANEA,-+-+,++++----,---+-+,1.1259199926607072e-4,3.483746593266881e-4,+,2.25e-4,7.71466e-4,0.0606,1
SERPINA5,++--,NA,NA,1.7111567419575633e-4,1.1407060970740888e-4,-,2.28e-4,0.0037290565012853324,0.0614,1
UGT8,-+--,++++---+,---+++,1.1795568054074431e-4,3.645884282890786e-4,+,2.36e-4,1.0200605864689112e-4,0.0635,1
IP6K3,-+--,++++----,NA,1.2992567726366637e-4,2.3876196594106695e-4,+,2.6e-4,0.004055764,0.0699,1
SPP1,-+--,++++----,---+-+,1.3449679069216634e-4,3.906581082013796e-4,+,2.69e-4,0.004142228,0.0724,1
FA2H,----,++++---+,---+++,1.3592207400589762e-4,2.2893262620705422e-4,+,2.72e-4,1.9055863334777843e-4,0.0731,1
CLCA4,----,++++---+,---+++,1.616650220451389e-4,2.7489839047648994e-4,+,3.23e-4,0.002883052,0.087,1
RPS28,--+-,+++-++++,++----,1.7563455003229456e-4,2.980359738503985e-4,+,3.51e-4,4.3403e-4,0.0945,1
SLURP1,+++-,-+-+----,NA,1.8547780437198344e-4,4.535162568064073e-4,+,3.71e-4,0.0012349109060917098,0.0998,1
RPL13,--+-,-++-++++,--++++,2.1696083381881988e-4,6.319532275671005e-4,+,4.34e-4,0.001804768,0.117,1
SHANK3,--+-,----++++,+++---,2.1743614773769827e-4,3.635630480103909e-4,+,4.35e-4,0.002997285,0.117,1
EPHB3,+-+-,-----+++,+++-+-,2.244405363555744e-4,5.382151390834522e-4,+,4.49e-4,0.0014442643637351503,0.121,1
INS-IGF2,--+-,NA,NA,2.851765242685222e-4,2.2815423226100844e-4,-,4.56e-4,2.458261293222708e-4,0.123,1
CNDP1,-+--,++++---+,---++-,2.3030800943432683e-4,6.294495666437567e-4,+,4.61e-4,0.008086068,0.124,1
