gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p
GALNT15,-++-+-,-+++++++-++-,++--+-++,0.124432511773269,1.730783379149132e-12,-,3.46e-12,11.460727288353864,2.81e-5,9.31e-10,6.1e-8
GALNT15,-++-+-,-+++++++-++-,+++-++++,0.124432511773269,1.730783379149132e-12,-,3.46e-12,11.460727288353864,2.81e-5,9.31e-10,6.1e-8
GALNT15,-++-+-,-+++++++-++-,--++++++,0.124432511773269,1.730783379149132e-12,-,3.46e-12,11.460727288353864,2.81e-5,9.31e-10,6.1e-8
GALNT15,-++-+-,-+++++++-++-,--++++-+,0.124432511773269,1.730783379149132e-12,-,3.46e-12,11.460727288353864,2.81e-5,9.31e-10,6.1e-8
RPS26,---+++,--+--+++++++,--------,0.9983623518959066,3.570104153926486e-10,-,7.14e-10,9.146289117967322,0.0022078621270659442,1.92e-7,1.26e-5
KLK1,-++++-,++++++---++-,--+-++-+,1.083389062750492e-9,0.00910122420999073,+,2.17e-9,8.664185557440645,0.009705337,5.83e-7,3.82e-5
KLK1,-++++-,++++++---++-,++++----,1.083389062750492e-9,0.00910122420999073,+,2.17e-9,8.664185557440645,0.009705337,5.83e-7,3.82e-5
KLK1,-++++-,+--+-+++++--,--+-++-+,1.083389062750492e-9,0.00910122420999073,+,2.17e-9,8.664185557440645,0.009705337,5.83e-7,3.82e-5
KLK1,-++++-,+--+-+++++--,++++----,1.083389062750492e-9,0.00910122420999073,+,2.17e-9,8.664185557440645,0.009705337,5.83e-7,3.82e-5
PILRB,----++,------++++++,+-++-+++,0.8788144723283073,3.732406430332964e-9,-,7.46e-9,8.126981075360105,0.002967031,2.01e-6,1.31e-4
TMED5,--++-+,++++++------,-+----+-,1.9876579158725208e-8,0.7905953112829162,+,3.98e-8,7.400628361715632,8.06631e-4,1.07e-5,7e-4
RPS28,-+-++-,+++---++++++,+++---+-,0.3175616116758566,2.1007770589678988e-8,-,4.2e-8,7.376590038173465,4.3403e-4,1.13e-5,7.4e-4
ANKRD37,+-++-+,-+-++-------,+++----+,4.086673915538544e-8,0.6026288975837955,+,8.17e-8,7.087600018528522,6.06648e-4,2.2e-5,0.00144
PHLDB2,---+++,----+-++++++,NA,0.9999975800326151,4.3545482575212437e-8,-,8.71e-8,7.060026896528912,0.001950897,2.34e-5,0.00153
SLCO1A2,----+-,++++++---+++,----++-+,0.2713347076181536,4.4156659536727466e-8,-,8.83e-8,7.053973792867582,3.41573e-4,2.38e-5,0.00156
IP6K3,--+---,++++++----+-,NA,4.9314336960741405e-8,0.7717999906517707,+,9.86e-8,7.005996805996879,0.004055764,2.65e-5,0.00174
P4HA1,--+---,++++++------,+------+,5.3721675421991585e-8,0.04157829673241696,+,1.07e-7,6.9688204557529785,7.94288e-4,2.89e-5,0.00189
RPL13,---++-,-++---++++++,---+++++,0.9999528254357666,7.945600368343354e-8,-,1.59e-7,6.7988432863284585,0.001804768,4.27e-5,0.0028
NPAS4,+-----,-----------+,+++-+-+-,0.136014263444204,1.1082745949961386e-7,-,2.22e-7,6.654322626329382,2.11793e-4,5.96e-5,0.0039
ASB4,+++-++,++++++----+-,NA,1.335890883525938e-7,0.9751483892772009,+,2.67e-7,6.573199018215869,0.001065553,7.19e-5,0.00471
CCDC144A,+-+-+-,++++++------,NA,1.5470466230078203e-7,0.9770143396990151,+,3.09e-7,6.509466602201023,0.001349185,8.32e-5,0.00545
NRG4,+-++++,------++++++,NA,0.9712998452448003,1.568355978050282e-7,-,3.14e-7,6.503525360683723,0.003636789,8.44e-5,0.00552
ENHO,+--+++,-+----++++-+,NA,0.9999723715526525,1.9564818615799136e-7,-,3.91e-7,6.407494178397439,8.0034e-4,1.05e-4,0.00689
CITED2,---+--,-------+++-+,+----++-,0.9924205117650876,1.9724816072962523e-7,-,3.94e-7,6.4039570420804095,0.004697846,1.06e-4,0.00695
VSTM2L,++-++-,---+-+-+++--,++++----,2.2696209689781368e-7,0.6380312015340811,+,4.54e-7,6.343016669092536,1.43539e-4,1.22e-4,0.00799
CFH,--+++-,-+++--++++++,-+--+--+,0.9999596869957579,2.381942547836124e-7,-,4.76e-7,6.322038722192892,0.002341199,1.28e-4,0.00839
CFH,--+++-,-+++--++++++,-+---+++,0.9999596869957579,2.381942547836124e-7,-,4.76e-7,6.322038722192892,0.002341199,1.28e-4,0.00839
RPH3AL,---+++,----+-++++++,NA,0.9999828934582837,2.515547954110988e-7,-,5.03e-7,6.2983374036015904,6.508400741202351e-4,1.35e-4,0.00886
HK2,-++-+-,++++++------,NA,2.6761221720366896e-7,0.9994863672552506,+,5.35e-7,6.271464068098894,0.001113167,1.44e-4,0.00943
LBH,---++-,------++++-+,--------,0.5990309476224266,3.213973239614375e-7,-,6.43e-7,6.191927747943601,0.0010815023559854458,1.73e-4,0.0113
SLC9A3R2,+--++-,+-+++-++++++,----+--+,0.999682084311542,3.566605035813456e-7,-,7.13e-7,6.146714985904318,7.81086e-4,1.92e-4,0.0126
FAM101B,-+++++,--------++--,++++-+--,0.29632027039365483,4.1227061140545807e-7,-,8.25e-7,6.0837876269912305,1.3169669318966625e-4,2.22e-4,0.0145
SEL1L,-+++-+,++++-+------,+-------,4.5800001714107906e-7,0.5800828799686284,+,9.16e-7,6.038104510078272,6.01311e-4,2.46e-4,0.0161
SPRED2,+--+--,--------+--+,++---+--,0.2171488349174542,4.676356473222764e-7,-,9.35e-7,6.029062394820386,6.85e-5,2.52e-4,0.0165
CPSF2,+++---,++++++------,--++++++,5.271064760662852e-7,0.5204799933967631,+,1.05e-6,5.977071652316519,0.016079405,2.84e-4,0.0186
NR4A1,------,------------,-++-----,0.18640996534265242,6.419116013174813e-7,-,1.28e-6,5.891494779543414,7.75511e-5,3.45e-4,0.0226
EEF2,++-++-,-+----++++++,++-+-++-,0.6220644328893075,6.786335155421775e-7,-,1.36e-6,5.867334700079687,8.97529e-5,3.65e-4,0.0239
SST,----+-,+-----++++--,-------+,0.9427554965598828,6.844217236862916e-7,-,1.37e-6,5.863646218652001,3.35674e-4,3.68e-4,0.0241
PRRX1,+++-++,++++++------,+-+--+--,7.20978714890083e-7,0.8882567314921623,+,1.44e-6,5.841047560895696,0.005571028,3.88e-4,0.0254
SAMD14,+--++-,------++++++,+-++-+++,0.9188718210099807,7.218199257844646e-7,-,1.44e-6,5.840541137780725,7.85112e-4,3.88e-4,0.0254
SLC5A4,---+++,------++++++,NA,0.9999946224838653,8.023797750280703e-7,-,1.6e-6,5.794590031113794,0.00147793,4.32e-4,0.0283
PRKD2,---+++,------++++++,--+-++++,0.999993123169129,8.431386879068104e-7,-,1.69e-6,5.773070986723576,0.017864344080784647,4.54e-4,0.0297
CHST6,+++-+-,++++++---++-,--+++--+,8.54851751228668e-7,0.6570736459332774,+,1.71e-6,5.767079198620401,2.58333e-4,4.6e-4,0.0301
ECT2,+++--+,++++++------,++--++--,8.676193073614381e-7,0.9971126757423681,+,1.74e-6,5.760640796416599,1.74409e-4,4.67e-4,0.0306
MANEA,-++--+,++++++------,----+-++,9.050178270743794e-7,0.03485649086412637,+,1.81e-6,5.742312870297912,7.71466e-4,4.87e-4,0.0319
CCNT1,-++--+,++++-+------,--++++-+,9.070361224175717e-7,0.9639959639421849,+,1.81e-6,5.741345421295504,3.6569e-4,4.88e-4,0.0319
DUSP5,++----,------------,+-+-++--,0.16536749715543542,9.487403551493785e-7,-,1.9e-6,5.721822630427681,2.21995e-4,5.1e-4,0.0334
HSD17B6,--+---,++++++------,+----+-+,9.929524111002674e-7,0.4158558309040409,+,1.99e-6,5.702041569628967,1.4783e-4,5.34e-4,0.035
ABHD11,+--++-,------++++++,+--+--+-,0.8908849503315528,1.0323586649970442e-6,-,2.06e-6,5.685139396998741,0.002229753,5.55e-4,0.0364
CA4,---++-,----+-++++--,-------+,0.6260816081308915,1.0474362489221122e-6,-,2.09e-6,5.678842404758676,0.005919834512648399,5.64e-4,0.0369
CCDC124,+--++-,+-----++++++,+++-++--,0.8345845661121256,1.0489923277016303e-6,-,2.1e-6,5.678197692547638,9.17799e-7,5.64e-4,0.0369
XRRA1,------,------+++++-,NA,0.871799425348303,1.06270994196226e-6,-,2.13e-6,5.672555260786367,0.005265531,5.72e-4,0.0374
FAM98C,----+-,------++++++,+-------,0.8815497884090923,1.1340323315257274e-6,-,2.27e-6,5.644344567765859,0.00700334,6.1e-4,0.0399
UBE2M,++-++-,-+----++++++,+----+-+,0.9672029474371096,1.245164751226114e-6,-,2.49e-6,5.60374318638647,4.9052e-5,6.7e-4,0.0439
TIE1,---+++,++++++++++++,NA,0.9557994528185748,1.3078833988757466e-6,-,2.62e-6,5.582400977077195,0.002398653419051088,7.04e-4,0.0461
XPOT,++++-+,++++++-+----,----++-+,1.32753706915236e-6,0.1539277241796108,+,2.66e-6,5.575923347498859,3.48571e-4,7.14e-4,0.0468
SESN1,++++-+,++++-++---+-,++++----,1.4272517004826904e-6,0.9530798999286882,+,2.85e-6,5.544469435221804,0.005077528,7.68e-4,0.0503
MRPL21,---++-,-++--+++++++,+-------,0.18974481825501052,1.5139561947125914e-6,-,3.03e-6,5.518856695004082,6.72138e-4,8.15e-4,0.0533
VEGFA,--+---,+-+-+-------,--+----+,1.7849792551118442e-6,0.4364197195447958,+,3.57e-6,5.4473368311947015,0.001792509,9.6e-4,0.0629
GBP3,----+-,++++++++--++,NA,1.8080526724609839e-6,0.5855158132954668,+,3.62e-6,5.441758926080554,0.002975392,9.73e-4,0.0637
PITRM1,++++-+,+++++++++++-,-+++----,1.9389358194451846e-6,0.9999867503984605,+,3.88e-6,5.411406570565262,0.003733333,0.00104,0.0683
PLEKHM2,++-++-,-+----++++-+,+-+-----,0.07897539838619941,2.1260346903875403e-6,-,4.25e-6,5.371399657732481,0.003242619,0.00114,0.0749
CHCHD10,++-++-,+-----++++-+,NA,0.43913065400584395,2.2446391092553287e-6,-,4.49e-6,5.347823478799786,7.98659e-4,0.00121,0.0791
PDE4C,+---++,------+-+++-,-+++++--,0.042570473057973054,2.5673712345102398e-6,-,5.13e-6,5.2894813333886175,3.73783e-4,0.00138,0.0904
PIGF,--++-+,++++++------,----++++,2.584714384608484e-6,0.01172497814887186,+,5.17e-6,5.286557444543044,0.010831869,0.00139,0.091
TMEM41B,-++--+,-+++++------,--+--+-+,3.065012963317875e-6,0.11766087165564032,+,6.13e-6,5.212537688651074,0.001655023,0.00165,0.108
CPSF1,-+-++-,------++++++,--++---+,0.8676660641040292,3.3418507761332636e-6,-,6.68e-6,5.174982950923706,0.006458765,0.0018,0.118
MAF,---+++,--+--+++++--,------++,0.9177716416875082,3.4248653444899523e-6,-,6.85e-6,5.164326503338112,0.001806367,0.00184,0.121
MEGF9,+++---,-+++++----+-,+-+-+--+,3.428608264856375e-6,0.5976178908861172,+,6.86e-6,5.16385213664011,0.007617522141769065,0.00184,0.121
C18orf54,-++---,++++++----+-,NA,3.662896717103219e-6,0.9999550303900653,+,7.33e-6,5.135145331323817,0.0012623854899758377,0.00197,0.129
PM20D2,+++--+,+++--++-----,++-+++++,3.885355296825811e-6,0.27048706588161353,+,7.77e-6,5.109539265267162,3.32678e-4,0.00209,0.137
PPAT,+++--+,++++-+--+-+-,++-++---,3.974087742202984e-6,0.9999041961603804,+,7.95e-6,5.099732552852127,4.28602e-4,0.00214,0.14
MPND,++-++-,----+-++++++,-+------,0.7965966212460326,3.976075596844645e-6,-,7.95e-6,5.099515371321918,4.67658e-4,0.00214,0.14
HLA-DRB5,+-++++,++++++------,NA,4.054293090029713e-6,0.783119307812292,+,8.11e-6,5.091054863140941,0.001867568,0.00218,0.143
