gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
KLK1,-++++-,++++++---++-,--+-++-+,4.047299828802919e-6,1.1283564994422946e-5,+,8.09e-6,0.009705337,0.00218,0.143
KLK1,-++++-,++++++---++-,++++----,4.047299828802919e-6,1.1283564994422946e-5,+,8.09e-6,0.009705337,0.00218,0.143
KLK1,-++++-,+--+-+++++--,--+-++-+,4.047299828802919e-6,1.1283564994422946e-5,+,8.09e-6,0.009705337,0.00218,0.143
KLK1,-++++-,+--+-+++++--,++++----,4.047299828802919e-6,1.1283564994422946e-5,+,8.09e-6,0.009705337,0.00218,0.143
RPS26,---+++,--+--+++++++,--------,1.2850510174317985e-5,2.0272247074055177e-5,+,2.57e-5,0.0022078621270659442,0.00691,0.453
ARPP21,++++--,------+---++,++++----,3.085703572519233e-5,3.550134182130998e-5,+,6.17e-5,0.001519169,0.0166,1
FAM101B,-+++++,--------++--,++++-+--,5.093143267356113e-5,1.2038274661539906e-4,+,1.02e-4,1.3169669318966625e-4,0.0274,1
SELE,+++---,NA,NA,5.703855806525211e-5,3.4221182912222664e-4,+,1.14e-4,0.003438083148316652,0.0307,1
TIE1,---+++,++++++++++++,NA,7.032711962452489e-5,2.826525521750714e-4,+,1.41e-4,0.002398653419051088,0.0378,1
RPH3AL,---+++,----+-++++++,NA,8.221032400077928e-5,2.7467238863059147e-4,+,1.64e-4,6.508400741202351e-4,0.0442,1
PPAP2C,----+-,++++++---+++,----++--,8.535158646551996e-5,1.7139629312125842e-4,+,1.71e-4,4.55243e-4,0.0459,1
PILRB,----++,------++++++,+-++-+++,9.760485834260322e-5,9.694832204137887e-5,-,1.94e-4,0.002967031,0.0522,1
C7orf50,++-++-,-++++-++++++,++++-+--,1.012969964855702e-4,2.2013529439058726e-4,+,2.03e-4,1.35065e-4,0.0545,1
GALNT15,-++-+-,-+++++++-++-,++--+-++,1.0572847274920479e-4,1.428374707159602e-4,+,2.11e-4,2.81e-5,0.0569,1
GALNT15,-++-+-,-+++++++-++-,+++-++++,1.0572847274920479e-4,1.428374707159602e-4,+,2.11e-4,2.81e-5,0.0569,1
