gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
GALNT15,++,+++-,-+,1.7040931520727432e-5,0.7355538777378032,+,3.41e-5,4.46747667310403,2.81e-5,0.00917,0.6
GALNT15,++,+++-,++,1.7040931520727432e-5,0.7355538777378032,+,3.41e-5,4.46747667310403,2.81e-5,0.00917,0.6
GALNT15,++,+++-,+-,1.7040931520727432e-5,0.7355538777378032,+,3.41e-5,4.46747667310403,2.81e-5,0.00917,0.6
CHST6,++,+++-,+-,2.1079913123775115e-5,0.9785820740803969,+,4.22e-5,4.375101187640995,2.58333e-4,0.0113,0.742
REXO4,-+,--++,-+,0.9990114774800186,5.061698918783541e-5,-,1.01e-4,3.9946736955563997,0.00127912,0.0272,1
CCDC144A,-+,++--,NA,8.601614066846576e-5,0.5832988777472938,+,1.72e-4,3.764390051400316,0.001349185,0.0463,1
ZNF708,--,++--,+-,1.1376779564591394e-4,0.9914496116157281,+,2.28e-4,3.6429506610170854,1.147e-4,0.0612,1
CCBE1,-+,++--,+-,1.1778800673014006e-4,0.49583217330118046,+,2.36e-4,3.6278689318482944,2.96795e-4,0.0634,1
ENHO,-+,---+,NA,0.999296092592872,1.4889724502403556e-4,-,2.98e-4,3.5260833420568307,0.0032484891364441023,0.0801,1
DDX23,+-,+++-,+-,1.5168769457669023e-4,0.990081777706131,+,3.03e-4,3.518019653570409,3.35e-5,0.0816,1
CCAR2,+-,+-++,--,1.5405503488978895e-4,0.5829297114065743,+,3.08e-4,3.5112941076608597,1.18352e-4,0.0829,1
CCAR2,+-,+-++,+-,1.5405503488978895e-4,0.5829297114065743,+,3.08e-4,3.5112941076608597,1.18352e-4,0.0829,1
COX4I2,-+,NA,NA,0.9998808200810783,1.547789301212458e-4,-,3.1e-4,3.509258163976708,0.0017328605021389005,0.0833,1
KRBA2,++,+++-,+-,1.7915585674013146e-4,0.9701289527550512,+,3.58e-4,3.44573899418753,6.9e-5,0.0964,1
FBLN5,+-,-++-,++,2.0467686338450033e-4,0.9682118888315985,+,4.09e-4,3.3879012514260167,8.41479e-4,0.11,1
ISY1-RAB43,+-,+-++,++,2.136987611567119e-4,0.7035758338190682,+,4.27e-4,3.3691679998339215,0.002089667276589625,0.115,1
TCF25,++,+-++,-+,0.9796327202109598,2.9432559013330926e-4,-,5.89e-4,3.2301419808686362,3.10861e-4,0.158,1
NUFIP2,+-,++--,+-,3.041833921911008e-4,0.9999905519325458,+,6.08e-4,3.215834505587668,0.013799632794198182,0.164,1
ELMO1,+-,+-++,+-,3.128560307345339e-4,0.7315934244521229,+,6.26e-4,3.2036254733124383,2.79026e-4,0.168,1
USHBP1,-+,+-++,NA,0.9798073163656447,3.2115218786745706e-4,-,6.42e-4,3.192259119320082,5.07620858896974e-4,0.173,1
SST,-+,----,--,0.5595113018402484,0.00034566738062152905,-,6.91e-4,3.160311605656987,3.35674e-4,0.186,1
KIAA1429,+-,++--,+-,3.5099512510306506e-4,0.9995619372630674,+,7.02e-4,3.1536689196523624,0.001028652,0.189,1
ACOT11,-+,+++-,-+,0.9582009227779276,3.59453094527002e-4,-,7.19e-4,3.1433277775368413,4.77996e-4,0.193,1
SMG7,+-,+-++,+-,3.7560265048410766e-4,0.773488246658279,+,7.51e-4,3.12424135608124,3.32022e-4,0.202,1
BCAM,-+,--++,NA,0.9995879232282165,3.999767431448168e-4,-,8e-4,3.096935264551834,7.310047236850101e-4,0.215,1
KCNC4,-+,--++,-+,0.9999419432083625,4.1429131450840647e-4,-,8.29e-4,3.0816641757942094,0.001577154,0.223,1
CDO1,--,--+-,-+,0.6967234951371364,4.7649664054121656e-4,-,9.53e-4,3.0209101612704985,6.13e-5,0.256,1
NKX2-1,-+,+-++,-+,0.9999263518778445,4.8774252870861237e-4,-,9.75e-4,3.0107793787870927,0.010872378,0.262,1
