gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
COX4I2,-+,NA,NA,0.9999429614419347,5.703855806525211e-5,-,1.14e-4,0.0017328605021389005,0.0307,1
CHST6,++,+++-,+-,7.387577175795012e-5,0.9685313003105085,+,1.48e-4,2.58333e-4,0.0397,1
ENHO,-+,---+,NA,0.9985977580622881,9.713058319192147e-5,-,1.94e-4,0.0032484891364441023,0.0523,1
REXO4,-+,--++,-+,0.9974499932530384,1.1913893951501728e-4,-,2.38e-4,0.00127912,0.0641,1
USHBP1,-+,+-++,NA,0.9681593520610252,1.7589943539584818e-4,-,3.52e-4,5.07620858896974e-4,0.0946,1
BCAM,-+,--++,NA,0.9991324498162323,2.1913403285174623e-4,-,4.38e-4,7.310047236850101e-4,0.118,1
SELE,+-,NA,NA,2.2815423226100844e-4,0.9998859228838695,+,4.56e-4,0.003438083148316652,0.123,1
MTRNR2L2,-+,NA,NA,0.9998859228838695,2.851927903262606e-4,-,5.7e-4,0.006100964225848988,0.153,1
GALNT15,++,+++-,-+,2.972527892495939e-4,0.9007229010550133,+,5.95e-4,2.81e-5,0.16,1
GALNT15,++,+++-,++,2.972527892495939e-4,0.9007229010550133,+,5.95e-4,2.81e-5,0.16,1
GALNT15,++,+++-,+-,2.972527892495939e-4,0.9007229010550133,+,5.95e-4,2.81e-5,0.16,1
FBLN5,+-,-++-,++,3.345877196519389e-4,0.9680023164302349,+,6.69e-4,8.41479e-4,0.18,1
ISY1-RAB43,+-,+-++,++,3.3522365414822766e-4,0.7156265932186672,+,6.7e-4,0.002089667276589625,0.18,1
NPFFR1,+-,-+--,NA,3.538093005923882e-4,0.9559736755907344,+,7.08e-4,0.0020832439481307035,0.19,1
SLC13A4,-+,--+-,NA,0.8264957770640828,4.522295323295235e-4,-,9.04e-4,1.26386e-4,0.243,1
RPH3AL,-+,+-++,NA,0.948857144137171,4.545746784982426e-4,-,9.09e-4,6.508400741202351e-4,0.245,1
TBX2,-+,+-++,NA,0.9929290737867432,5.004651477241871e-4,-,0.001,0.015074619208082474,0.269,1
NUFIP2,+-,++--,+-,5.196403418295666e-4,0.9999467485482938,+,0.00104,0.013799632794198182,0.28,1
ZNF708,--,++--,+-,5.768017294122641e-4,0.9809200524604558,+,0.00115,1.147e-4,0.31,1
CDO1,--,--+-,-+,0.6854593657888228,6.127017021254844e-4,-,0.00123,6.13e-5,0.33,1
TNF,+-,NA,NA,6.274241387177732e-4,0.9881359799224275,+,0.00125,0.0027757855713231995,0.338,1
CCDC144A,-+,++--,NA,6.582882996287065e-4,0.6036903293223647,+,0.00132,0.001349185,0.354,1
TIE1,-+,++++,NA,0.6367873636178616,7.11682434257566e-4,-,0.00142,0.002398653419051088,0.383,1
SMG7,+-,+-++,+-,7.312775353406533e-4,0.7744512334253434,+,0.00146,3.32022e-4,0.393,1
OR51E1,-+,NA,NA,0.999771845767739,7.415012548482775e-4,-,0.00148,0.005956076524072994,0.399,1
NRG4,-+,--++,NA,0.9983804834350963,7.573889302312171e-4,-,0.00151,0.003636789,0.407,1
CCBE1,-+,++--,+-,7.915684486555272e-4,0.5208078585175213,+,0.00158,2.96795e-4,0.426,1
OPN1SW,+-,NA,NA,7.985398129135296e-4,0.9997148072096738,+,0.0016,0.022305537024094917,0.43,1
IPMK,+-,++--,NA,8.239506559048303e-4,0.9982576030910317,+,0.00165,0.003877364934843776,0.443,1
SPHAR,-+,NA,NA,0.9998288843258042,8.555783709787816e-4,-,0.00171,0.010101116740885182,0.46,1
DDX23,+-,+++-,+-,8.626290651713559e-4,0.9819689356270547,+,0.00173,3.35e-5,0.464,1
CDK11A,-+,--++,NA,0.9994342167946653,8.74509149462314e-4,-,0.00175,0.007131600333936872,0.47,1
ALS2CL,-+,++++,NA,0.6340018822475996,8.775408731590284e-4,-,0.00176,7.092032401843758e-4,0.472,1
CD79B,-+,NA,NA,0.8532397900981064,9.126169290440338e-4,-,0.00183,4.7147967022066376e-4,0.491,1
ADAMTS17,--,--++,NA,0.9730033264341427,9.284316782250732e-4,-,0.0018600000000000001,0.005394062,0.499,1
WBSCR27,++,--++,NA,0.8539551550958087,9.665552930397838e-4,-,0.00193,0.010620272,0.52,1
HLA-DOB,-+,NA,NA,0.95134610997034,9.696554871092859e-4,-,0.00194,8.739610401742689e-4,0.522,1
ACOT11,-+,+++-,-+,0.9508519408305103,9.915118135550695e-4,-,0.00198,4.77996e-4,0.533,1
GCDH,-+,--++,+-,0.9236613438015824,0.001069334431060065,-,0.00214,1.25616e-4,0.575,1
ISG15,-+,--++,-+,0.9929261292410327,0.0010826139180285714,-,0.00217,0.011852393,0.582,1
ZNF236,++,--++,-+,0.8891443986271304,0.0011146674303495717,-,0.00223,0.001233989,0.6,1
ZNF138,+-,+++-,NA,0.001119974892861601,0.9915249970325176,+,0.00224,0.007583355,0.603,1
HK2,++,++--,NA,0.001144586430624876,0.8987159991560576,+,0.00229,0.001113167,0.616,1
CHAD,+-,+-++,-+,0.0011972287518008293,0.43893050886453194,+,0.00239,6.755943732043269e-4,0.644,1
TCF25,++,+-++,-+,0.9701314517987351,0.0012050349370693032,-,0.00241,3.10861e-4,0.648,1
RHCG,-+,--++,NA,0.999727598939369,0.0012063786048162784,-,0.00241,0.019026442,0.649,1
PRRX1,++,++--,+-,0.0012110056808728356,0.9913105814947601,+,0.00242,0.011591752,0.652,1
PHLDB2,-+,+-++,NA,0.9979787094724509,0.0012350587262780581,-,0.00247,0.02233184,0.664,1
KRBA2,++,+++-,+-,0.0012819123978024304,0.9593967072227831,+,0.00256,6.9e-5,0.69,1
SNAI2,+-,-+--,NA,0.001303293646755231,0.7524948259896977,+,0.00261,0.0019101378994718194,0.701,1
CCM2L,-+,--++,+-,0.9610026439091175,0.0013275852137129027,-,0.00266,0.0015444009438538085,0.714,1
ZNF728,+-,-+--,NA,0.00134263343693254,0.9817418769515631,+,0.00269,0.016039519,0.722,1
LSP1,++,---+,NA,0.9444979951256585,0.0013510445704570375,-,0.0027,0.004623823,0.727,1
DDX55,-+,++++,-+,0.9588823749726039,0.0013610961929916188,-,0.00272,1.07752e-4,0.732,1
NPAS4,--,---+,++,0.5491322694463889,0.0014040184173013859,-,0.00281,2.11793e-4,0.755,1
ST6GALNAC1,-+,++++,NA,0.906641973635882,0.001412529223791492,-,0.00283,0.015975231,0.76,1
ART5,-+,NA,NA,0.8272302076203514,0.0014259639516313028,-,0.00285,7.425945297457628e-4,0.767,1
RPS26,-+,-+++,--,0.9876937288229461,0.0014632821110123855,-,0.00293,0.0022078621270659442,0.787,1
ITIH5,-+,+-++,-+,0.9904186375035027,0.0014828124976477598,-,0.00297,0.02252397,0.798,1
KLK2,++,++--,NA,0.0014842522309627564,0.6816742915828922,+,0.00297,0.001113167,0.799,1
SST,-+,----,--,0.5335551163596212,0.001489164061758493,-,0.00298,3.35674e-4,0.801,1
EGFL8,-+,-+++,NA,0.986823474911605,0.00149437898108939,-,0.00299,0.010767683,0.804,1
TMCO2,-+,NA,NA,0.9997148072096738,0.001540041067761807,-,0.00308,0.019629442768117088,0.829,1
MGAM2,+-,--+-,NA,0.0015542346320210683,0.4957541951640291,+,0.00311,0.005425927562086598,0.836,1
GJD3,--,+-++,-+,0.9378419613084144,0.001570591887301875,-,0.00314,0.007817516,0.845,1
CLEC14A,-+,+-++,++,0.9717391540964357,0.001572186085554315,-,0.00314,0.002500655,0.846,1
TMEM33,+-,++--,+-,0.0016100077569483953,0.9987926690375044,+,0.00322,0.011924821098349667,0.866,1
ADAM12,-+,+-++,NA,0.9740135925373024,0.0016403076380668428,-,0.00328,0.004116908,0.882,1
TEX43,-+,NA,NA,0.9385124344056582,0.001654118183892311,-,0.00331,0.0016849197325320064,0.89,1
ELMO1,+-,+-++,+-,0.0016627511331423414,0.7353668396166341,+,0.00333,2.79026e-4,0.895,1
OR52B6,+-,NA,NA,0.0017681953000228154,0.9805498516997491,+,0.00354,0.007726954774983776,0.951,1
CEACAM4,++,NA,NA,0.5756901665525895,0.0017681953000228154,-,0.00354,6.704937778527911e-4,0.951,1
PITRM1,+-,+++-,+-,0.0017861590823907514,0.9952393646642559,+,0.00357,0.007315918,0.961,1
AQP1,+-,++--,++,0.0017943968303139317,0.9960360620429487,+,0.00359,0.012965398,0.965,1
LATS2,++,+++-,NA,0.0018749787077549135,0.8295151070929001,+,0.00375,6.73417e-4,1.01,1
VPREB3,-+,NA,NA,0.9963495322838238,0.0018822724161533196,-,0.00376,0.006885523362166615,1.01,1
C8orf44-SGK3,+-,+--+,NA,0.0018857602991241877,0.848364250335909,+,0.00377,5.510731252920803e-4,1.01,1
