gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
GALNT15,++,+++-,-+,1.3481045683863386e-9,0.9999998358064706,+,2.7e-9,8.569246423923193,2.81e-5,7.25e-7,4.75e-5
GALNT15,++,+++-,++,1.3481045683863386e-9,0.9999998358064706,+,2.7e-9,8.569246423923193,2.81e-5,7.25e-7,4.75e-5
GALNT15,++,+++-,+-,1.3481045683863386e-9,0.9999998358064706,+,2.7e-9,8.569246423923193,2.81e-5,7.25e-7,4.75e-5
TSGA10,-+,++++,NA,2.747301452694065e-6,0.992745112374656,+,5.49e-6,5.260063688541723,1.63682e-4,0.00148,0.0967
CRH,++,----,--,0.9956845683800587,1.1318754660426698e-5,-,2.26e-5,4.645171357859802,8.36069e-4,0.00609,0.398
MMAB,++,++++,++,2.2675568515345365e-5,0.9998250887431366,+,4.54e-5,4.34341181996079,0.008506461,0.0122,0.798
SST,-+,----,--,0.9751049251949242,2.3160643726622068e-5,-,4.63e-5,4.334219378337846,3.35674e-4,0.0125,0.815
NPTX2,--,----,--,0.9998173934858193,2.332926113123418e-5,-,4.67e-5,4.331069020009015,0.009780972,0.0126,0.821
MVP,++,+++-,+-,4.956598874276496e-5,0.9828463532678808,+,9.91e-5,4.0037862304252485,5.81e-5,0.0267,1
ZNF184,+-,----,--,0.9999577375874584,8.495366662980791e-5,-,1.7e-4,3.7697878764255033,0.029233708,0.0457,1
MYO1C,-+,+-++,++,8.500381697199086e-5,0.9771286302433295,+,1.7e-4,3.76953157682579,0.002695037,0.0457,1
CDO1,--,--+-,-+,0.9243093195019825,8.973309964819859e-5,-,1.79e-4,3.7460173345025907,6.13e-5,0.0483,1
KANK2,-+,+-++,++,9.108467331070173e-5,0.9996120906632756,+,1.82e-4,3.7395246993342552,0.002394195,0.049,1
INAFM2,NA,----,NA,0.9997908286616068,1.0402903732432782e-4,-,2.08e-4,3.6818154247530077,0.006520394,0.056,1
HECTD2,--,----,--,0.9999573705457497,1.1465525510262027e-4,-,2.29e-4,3.639576039384614,0.001753933,0.0617,1
RDH16,-+,++++,NA,1.1514005587920086e-4,0.9736352469433482,+,2.3e-4,3.6377435684472084,3.24164e-4,0.0619,1
TCFL5,-+,++++,++,1.1736482022902687e-4,0.9746253292871006,+,2.35e-4,3.6294320664534268,0.006041642,0.0631,1
TLR5,++,-+--,++,1.4450069850247127e-4,0.9523051724267386,+,2.89e-4,3.5391000579006446,9.1133e-4,0.0777,1
SH3RF1,+-,----,--,0.9999960843432953,1.654732896019057e-4,-,3.31e-4,3.4802421035940174,0.031335984,0.089,1
CHST6,++,+++-,+-,1.713854897094255e-4,0.7520305813464144,+,3.43e-4,3.4649959545778186,2.58333e-4,0.0922,1
STK31,-+,++++,NA,1.744602646737346e-4,0.9946537646527784,+,3.49e-4,3.4572734773273837,0.005098567,0.0939,1
BIN1,-+,++++,++,2.0201573645660755e-4,0.872306734581768,+,4.04e-4,3.3935848032553464,2.08146e-4,0.109,1
NR4A1,--,----,+-,0.9465210711536589,2.0691590305217046e-4,-,4.14e-4,3.3831761335717645,7.75511e-5,0.111,1
NAV2,+-,+-++,++,2.1690539242518947e-4,0.9499405275311105,+,4.34e-4,3.362699655312176,7.03745e-4,0.117,1
AGPS,+-,++--,--,0.9079737708056113,2.276379075673998e-4,-,4.55e-4,3.3417254193875565,5.44e-5,0.122,1
IL17RC,-+,--+-,++,2.5708268007589567e-4,0.8520935967802159,+,5.14e-4,3.28889718557274,5.79682e-4,0.138,1
WWTR1,++,++++,++,2.695146675344104e-4,0.999485053821243,+,5.39e-4,3.268387598984247,2.1985e-4,0.145,1
CLTCL1,--,++++,--,2.8618264101629956e-4,0.654218683167507,+,5.72e-4,3.2423267171186616,0.001117366,0.154,1
SLC6A2,-+,-+++,+-,2.935783655070315e-4,0.9980368945829067,+,5.87e-4,3.2312459561134568,0.006251498,0.158,1
SLC6A2,-+,+-++,+-,2.935783655070315e-4,0.9980368945829067,+,5.87e-4,3.2312459561134568,0.006251498,0.158,1
PID1,+-,---+,--,0.9975390643034616,3.073137159288533e-4,-,6.15e-4,3.2113880603527183,0.016930831,0.165,1
PDZD9,-+,++++,NA,3.1259281522615166e-4,0.9268179076891325,+,6.25e-4,3.2039910125578253,0.001992335,0.168,1
FOSL2,+-,----,--,0.995801582062041,3.5121231579033865e-4,-,7.02e-4,3.153400267642946,0.023749959,0.189,1
DCST1,++,NA,NA,3.552650180343763e-4,0.9996447349819656,+,7.11e-4,3.148417558520185,7.105300360687526e-4,0.191,1
FRG1,++,++++,-+,3.640059481634229e-4,0.7525682907707595,+,7.28e-4,3.1378615238917824,0.004949529,0.196,1
PFN2,+-,-+--,-+,0.9709799977212275,3.714671674399337e-4,-,7.43e-4,3.1290495701688843,0.001871723,0.2,1
MLLT11,+-,-+--,--,0.932981226892653,3.840547738883368e-4,-,7.68e-4,3.1145768364761586,0.002535393,0.207,1
SLC13A4,-+,--+-,NA,0.8357056462229264,3.856241341308473e-4,-,7.71e-4,3.1128057981097355,1.26386e-4,0.207,1
LRRFIP2,-+,++++,++,3.887621334606374e-4,0.9065255183681588,+,7.78e-4,3.1092860475415915,0.003901368,0.209,1
ATG7,--,+-++,--,0.8431965648125416,3.933983476290607e-4,-,7.87e-4,3.1041374728937483,1.17509e-4,0.212,1
FIGNL1,+-,--+-,--,0.9992269667802242,4.0242665045349754e-4,-,8.05e-4,3.0942832704550454,0.014239232,0.217,1
PCDH17,+-,---+,--,0.9993082407726481,4.041438240438417e-4,-,8.08e-4,3.092434057856587,0.001403492,0.217,1
PTGS2,--,----,NA,0.9097269835812258,4.1028109372556526e-4,-,8.21e-4,3.0858884997499048,2.67881e-4,0.221,1
ARNTL,+-,--++,--,0.901869719090268,4.373709394931656e-4,-,8.75e-4,3.0581200807716584,0.002862079,0.235,1
RWDD2B,+-,-+++,--,0.8578884583289219,4.4500137938603473e-4,-,8.9e-4,3.0506086471555034,0.007305337,0.239,1
CITED2,--,---+,-+,0.9940337637723251,4.4681646293492824e-4,-,8.94e-4,3.0488408380346197,0.004697846,0.24,1
FUOM,++,+-++,NA,4.767960621581173e-4,0.9789200550963465,+,9.54e-4,3.0206373444118557,3.8102104452755715e-4,0.257,1
STK24,+-,----,-+,0.9563755505813885,4.803093808961404e-4,-,9.61e-4,3.0174489354325478,0.001455899,0.258,1
A4GALT,++,++++,-+,4.8045774342864357e-4,0.8481365683954576,+,9.61e-4,3.0173148071342992,2.2121928894690718e-4,0.258,1
ADGRD1,++,+++-,NA,4.877820683874757e-4,0.9991814869658039,+,9.76e-4,3.010744173392155,0.012421616,0.262,1
LAIR1,++,+++-,++,4.884832511385194e-4,0.999923266895847,+,9.77e-4,3.0101203268908896,0.012012778,0.263,1
LRP8,-+,---+,--,0.9842342049748678,5.005135484576902e-4,-,0.001,2.999554166395257,0.002573783,0.269,1
ELAVL2,-+,-+--,--,0.910448197264438,5.140554261190766e-4,-,0.00103,2.9879600566249365,5.81273e-4,0.277,1
UBE2W,+-,-+--,--,0.9993786552290905,5.238753618769595e-4,-,0.00105,2.979742030496767,0.001360768,0.282,1
DUSP5,+-,----,+-,0.9905896357925001,5.267217419552562e-4,-,0.00105,2.9773887588543504,0.006162679,0.283,1
LASP1,+-,--++,--,0.9651841282720153,5.39993782630181e-4,-,0.00108,2.966581244855548,8.14e-5,0.291,1
SFTPD,++,--+-,--,0.9293096404622657,5.476512038340157e-4,-,0.0011,2.9604659576736294,0.004603362,0.295,1
CCNH,+-,--+-,--,0.9995873853099252,5.481228538504834e-4,-,0.0011,2.9600920940823996,0.005014495254431051,0.295,1
ATHL1,++,++++,++,5.534357734439941e-4,0.9998209208098863,+,0.00111,2.9559027763341335,0.006369944,0.298,1
CLMP,-+,----,NA,0.7406938357182377,5.67155361890575e-4,-,0.00113,2.9452679620754645,8.78953e-4,0.305,1
ZNFX1,++,+-++,+-,5.705871861236107e-4,0.9556338480644451,+,0.00114,2.942647990008818,1.18352e-4,0.307,1
TRPV6,-+,++++,+-,5.883944627733478e-4,0.6215402745430416,+,0.00118,2.929301427293265,0.005795014,0.317,1
MBL2,++,+-++,+-,5.944303456624651e-4,0.8862401088227523,+,0.00119,2.924869032289153,4.00562e-4,0.32,1
RNF139,+-,-+--,--,0.9928172042723358,6.471611444241111e-4,-,0.00129,2.8879575700036977,0.005257022,0.348,1
GLIPR1,+-,-+--,-+,0.5165897909010804,6.644299004696403e-4,-,0.00133,2.8765208361304437,0.011704831965092853,0.357,1
UBE2E3,+-,-++-,--,0.9803390582075069,6.737504576164912e-4,-,0.00135,2.8704709311649723,0.001145225,0.362,1
TBC1D4,--,+-++,++,6.78427319634255e-4,0.8100433439041924,+,0.00136,2.867466676102235,0.015892978,0.365,1
NPAS4,--,---+,++,0.7401845662700903,6.795411692419924e-4,-,0.00136,2.866754231224822,2.11793e-4,0.366,1
HLA-B,-+,++++,++,7.114633168758804e-4,0.9999963286314251,+,0.00142,2.8468174916080367,0.008847156703502926,0.383,1
CHST14,++,++++,++,7.175355047679486e-4,0.999077714265888,+,0.00144,2.8431266088347917,0.027856453,0.386,1
HLA-A,++,++-+,++,7.219374366516012e-4,0.998151533182351,+,0.00144,2.8404704412459716,0.027566429,0.388,1
PIEZO2,-+,++++,+-,7.238863958157889e-4,0.5116394554877246,+,0.00145,2.8392995894393716,0.00352397,0.389,1
APOL3,-+,++++,+-,7.287464118369116e-4,0.9890329731379295,+,0.00146,2.8363935749199136,0.003018446,0.392,1
AHSA2,-+,++++,++,7.492176142702678e-4,0.8925971928009576,+,0.0015,2.824362025154368,0.001588407,0.403,1
EGR2,--,----,+-,0.9922108233819759,7.615151139747879e-4,-,0.00152,2.817291477030718,0.001711179,0.41,1
TRAPPC8,+-,-++-,--,0.99226130274776,7.651975806583243e-4,-,0.00153,2.8151964160968093,0.008611323649165644,0.412,1
WDFY2,--,++++,++,7.688261090900433e-4,0.8000870897106832,+,0.00154,2.8131418809226734,0.002454213,0.414,1
GPR19,+-,----,--,0.9989662458638181,8.387967666478332e-4,-,0.00168,2.7753132566363115,0.003563828,0.451,1
YTHDF2,+-,-+--,--,0.9988145479831392,8.41930470361831e-4,-,0.00168,2.7736937769515855,0.003796432,0.453,1
ADH1B,++,++++,NA,8.528907070980264e-4,0.9996218640709045,+,0.00171,2.7680766218734285,0.006151594766357454,0.459,1
ATP2C2,--,---+,NA,0.9100273033444592,8.708407892448754e-4,-,0.00174,2.759031241604653,3.868869875375475e-4,0.469,1
LYSMD2,++,-+--,--,0.9777757402290368,8.804768297067737e-4,-,0.00176,2.754252072610684,0.005744476,0.474,1
WASF2,-+,++-+,+-,8.806740745354985e-4,0.9690331991598218,+,0.00176,2.754154792654888,1.8015e-4,0.474,1
GJC1,-+,+-++,++,8.896845749405678e-4,0.6768599837038451,+,0.00178,2.749733943357803,0.003109925,0.479,1
SLC25A19,++,----,-+,0.5274246604922745,9.260880875990793e-4,-,0.00185,2.732317706489147,1.74906e-4,0.498,1
REXO4,-+,--++,-+,0.5819567891574915,9.444925729071945e-4,-,0.00189,2.7237714571740947,0.00127912,0.508,1
KBTBD4,+-,NA,--,0.9998596434749457,9.541314165912668e-4,-,0.00191,2.7193618082799857,0.020824487320168995,0.513,1
PECAM1,++,NA,++,9.613079918817002e-4,0.998459332883366,+,0.00192,2.716107451480206,0.005553839,0.517,1
BRICD5,-+,--++,++,9.618492088953324e-4,0.9869968731087315,+,0.00192,2.7158630122126906,0.002639326,0.517,1
ZFP1,--,-+--,NA,0.998565596817501,9.716421351919023e-4,-,0.00194,2.711463664645328,0.004475093750938356,0.523,1
ZNF17,+-,-++-,--,0.9762917644403486,9.772532924175591e-4,-,0.00195,2.708962862068399,0.005122659,0.526,1
LCTL,-+,++++,NA,0.0010026882082489444,0.9961639762575517,+,0.00201,2.6978040967273476,0.010340479,0.539,1
USP15,--,-+--,--,0.9933333435600107,0.0010051242302319262,-,0.00201,2.6967502618134485,0.03548867,0.541,1
KLK2,++,++--,NA,0.0010083164524069142,0.8993118549586763,+,0.00202,2.6953731508320486,0.001113167,0.542,1
ILDR2,--,---+,NA,0.9990056498960225,0.0010104931379452075,-,0.00202,2.6944366356807867,0.004015474562284408,0.544,1
ADRB2,++,++--,NA,0.0010292329635902965,0.9750287761762244,+,0.00206,2.686456317279524,0.002083575684562695,0.554,1
ZC3H12C,+-,-+--,NA,0.9776263612741706,0.0010361072415356956,-,0.00207,2.683565295261964,0.005997572253047239,0.557,1
PRPF38B,-+,++++,++,0.0010535430407138282,0.9870254730088175,+,0.00211,2.676317721665098,0.002738174,0.567,1
CALD1,++,+-++,++,0.0010623933982351484,0.9995717582257332,+,0.00212,2.6726846410309717,0.018295974,0.572,1
LGI4,++,++-+,++,0.0010643756886422732,0.9996301706344144,+,0.00213,2.6718750580443116,0.005505243,0.573,1
RARRES3,++,++++,++,0.0010656781038646118,0.999944814550006,+,0.00213,2.671343961771824,0.026713856,0.573,1
