gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
GALNT15,++,+++-,-+,8.220261056582893e-7,1.1054811820917436e-6,+,1.64e-6,2.81e-5,4.42e-4,0.0289
GALNT15,++,+++-,++,8.220261056582893e-7,1.1054811820917436e-6,+,1.64e-6,2.81e-5,4.42e-4,0.0289
GALNT15,++,+++-,+-,8.220261056582893e-7,1.1054811820917436e-6,+,1.64e-6,2.81e-5,4.42e-4,0.0289
PPAP2C,-+,++++,--,1.74016551198493e-5,1.5732893725132045e-5,-,3.15e-5,4.55243e-4,0.00846,0.554
ALS2CL,-+,++++,NA,2.108507241877611e-4,2.498193488773888e-5,-,5e-5,7.092032401843758e-4,0.0134,0.88
NPAS4,--,---+,++,8.645410543147603e-5,3.158153192938523e-5,-,6.32e-5,2.11793e-4,0.017,1
RPH3AL,-+,+-++,NA,2.125733899708684e-4,3.371002530220741e-5,-,6.74e-5,6.508400741202351e-4,0.0181,1
USHBP1,-+,+-++,NA,3.4657649337036694e-4,5.3024508071980815e-5,-,1.06e-4,5.07620858896974e-4,0.0285,1
CD79B,-+,NA,NA,1.1407711613050422e-4,5.703530485370444e-5,-,1.14e-4,4.7147967022066376e-4,0.0307,1
CEACAM4,++,NA,NA,5.703855806525211e-5,5.703530485370444e-5,-,1.14e-4,6.704937778527911e-4,0.0307,1
KANK2,-+,+-++,++,1.5059484099159233e-4,7.910375071778246e-5,-,1.58e-4,0.002394195,0.0426,1
SST,-+,----,--,8.769984028482131e-5,8.681944712272284e-5,-,1.74e-4,3.35674e-4,0.0467,1
TIE1,-+,++++,NA,3.406233479990562e-4,8.725462188976197e-5,-,1.75e-4,0.002398653419051088,0.0469,1
PGBD3,++,NA,NA,7.415012548482775e-4,1.1407060970740888e-4,-,2.28e-4,0.01942669448816644,0.0614,1
ART5,-+,NA,NA,3.4223134839151266e-4,1.1407060970740888e-4,-,2.28e-4,7.425945297457628e-4,0.0614,1
GPR19,+-,----,--,4.682721243635316e-4,1.3125878616038862e-4,-,2.63e-4,0.003563828,0.0706,1
NR4A1,--,----,+-,3.54964962116934e-4,1.4674322103105212e-4,-,2.93e-4,7.75511e-5,0.0789,1
ZFP1,--,-+--,NA,7.963594926607473e-4,1.614346757469614e-4,-,3.23e-4,0.0024753968202982403,0.0869,1
DCST1,++,NA,NA,9.696554871092859e-4,1.7110591456111332e-4,-,3.42e-4,0.0026450715311294136,0.0921,1
GCGR,++,NA,NA,7.985398129135296e-4,1.7110591456111332e-4,-,3.42e-4,0.01608056283745097,0.0921,1
HLA-DOB,-+,NA,NA,0.0010836707922203845,1.7111567419575633e-4,-,3.42e-4,8.739610401742689e-4,0.0921,1
SLC6A2,-+,-+++,+-,8.763594770042308e-4,1.7309758465629962e-4,-,3.46e-4,0.006251498,0.0931,1
SLC6A2,-+,+-++,+-,8.763594770042308e-4,1.7309758465629962e-4,-,3.46e-4,0.006251498,0.0931,1
CRH,++,----,--,2.5340856389958116e-4,1.8120808504420673e-4,-,3.62e-4,8.36069e-4,0.0975,1
TSGA10,-+,++++,NA,1.9583026387081498e-4,1.8228418020151734e-4,-,3.65e-4,1.63682e-4,0.0981,1
CHAD,+-,+-++,-+,0.0015005026836619978,1.9448295828990926e-4,-,3.89e-4,6.755943732043269e-4,0.105,1
SVEP1,-+,++++,NA,3.1885700014460376e-4,1.9663934151851797e-4,-,3.93e-4,0.010835117,0.106,1
MRPS12,-+,++++,--,2.8713786950088874e-4,2.001223728909836e-4,-,4e-4,8.02e-5,0.108,1
FRA10AC1,++,++++,--,3.5306820350164306e-4,2.1470605252376033e-4,-,4.29e-4,8.73034e-4,0.116,1
ZNF184,+-,----,--,3.2916402477184306e-4,2.2445856968093234e-4,-,4.49e-4,0.02641683793734062,0.121,1
ALDH8A1,--,++++,--,4.250334822183713e-4,2.2517972406562977e-4,-,4.5e-4,0.004927793,0.121,1
OLFML2A,-+,--++,++,6.901557728240912e-4,2.2576221933116232e-4,-,4.52e-4,4.050295480158358e-4,0.121,1
XIRP1,--,NA,NA,0.0012547767067814977,2.2815423226100844e-4,-,4.56e-4,0.012762789349620326,0.123,1
MMAB,++,++++,++,2.622988229957159e-4,2.3160387084822766e-4,-,4.63e-4,0.008506461,0.125,1
PTGS2,--,----,NA,7.070582438325361e-4,2.4192344744519784e-4,-,4.84e-4,2.67881e-4,0.13,1
CPEB4,+-,----,++,5.80524415426899e-4,2.4560560977829045e-4,-,4.91e-4,0.006332491,0.132,1
FUOM,++,+-++,NA,0.0014860742328414568,2.4672012721871063e-4,-,4.93e-4,0.0011428162466805953,0.133,1
GGT5,++,--++,++,0.001280413872766323,2.49367602800236e-4,-,4.99e-4,0.0013037403471632728,0.134,1
ERRFI1,--,----,--,5.416502858015636e-4,2.56379649187511e-4,-,5.13e-4,0.010008088670738158,0.138,1
A4GALT,++,++++,-+,0.0016084256527937792,2.6625316787860965e-4,-,5.33e-4,0.0016713028811693239,0.143,1
TRPV6,-+,++++,+-,0.0013031760958673953,2.702812546820383e-4,-,5.41e-4,0.005795014,0.145,1
ZNF17,+-,-++-,--,9.677610714969145e-4,2.809630877564221e-4,-,5.62e-4,0.0012584407809455805,0.151,1
SLC13A4,-+,--+-,NA,0.0020980902413521036,2.8665589344408984e-4,-,5.73e-4,1.26386e-4,0.154,1
INAFM2,NA,----,NA,6.537846869097777e-4,2.9059208136578276e-4,-,5.81e-4,0.006520394,0.156,1
C8orf44-SGK3,+-,+--+,NA,0.0018032020082806577,2.9234557911576056e-4,-,5.85e-4,5.510731252920803e-4,0.157,1
TCFL5,-+,++++,++,0.0013442771428756053,2.930954840653729e-4,-,5.86e-4,0.006041642,0.158,1
HLA-A,++,++-+,++,9.523583166305353e-4,2.9551703184109e-4,-,5.91e-4,0.008004519526971142,0.159,1
CHMP1A,++,----,++,5.39617842277427e-4,3.1094485367830964e-4,-,6.22e-4,3.67697e-4,0.167,1
RDH16,-+,++++,NA,0.0012857290131814182,3.244556038930165e-4,-,0.00064899999999999995,3.24164e-4,0.175,1
NPFFR1,+-,-+--,NA,0.0014805107991406135,3.4246165751806746e-4,-,6.85e-4,0.0020832439481307035,0.184,1
ARL5B,+-,----,NA,7.952983070314125e-4,3.598247187590313e-4,-,7.2e-4,0.011660212872246976,0.194,1
AHSA2,-+,++++,++,0.0013880832620603437,3.757730059797276e-4,-,7.52e-4,0.001588407,0.202,1
MVP,++,+++-,+-,5.321311054731731e-4,3.801876764045002e-4,-,7.6e-4,5.81e-5,0.205,1
