gene_symbol,t,P.Value,target_region
PERM1,1.638960210322697,0.14957557096170102,AnCg
PERM1,-1.2229234141625132,0.27575004188226676,DLPFC
PERM1,-1.015626018912898,0.3511473077707407,nAcc
HES4,-2.9054245996744865,0.033500690521058994,DLPFC
HES4,-2.4941515537967027,0.04917541664255589,nAcc
HES4,-1.589996200764264,0.1601908354706576,AnCg
ISG15,-5.898797834285863,0.00197878300514643,DLPFC
ISG15,-2.022212409561334,0.09235420509552479,nAcc
ISG15,-1.7474404967231372,0.1283956516242774,AnCg
AGRN,-2.8506587458405965,0.03571653392393626,DLPFC
AGRN,-2.0255380561118983,0.09193999217675239,nAcc
AGRN,-1.6072532731092466,0.15637076783723658,AnCg
RNF223,-2.3057279803615804,0.06917389183551903,DLPFC
RNF223,-0.2582245954341324,0.8053443054388232,nAcc
RNF223,0.08451737227016543,0.9352457552461002,AnCg
C1orf159,-2.546015011479425,0.0514230145469979,DLPFC
C1orf159,-1.3901289168576023,0.2165752247935354,nAcc
C1orf159,-0.5761915859418747,0.5843064079551007,AnCg
TTLL10,-1.9208858537434785,0.1126881888042738,DLPFC
TTLL10,-0.219681041516115,0.8338091788916645,nAcc
TTLL10,-0.11753446938237795,0.9100647210834532,AnCg
TNFRSF18,-4.290072317184487,0.007754561014578013,DLPFC
TNFRSF18,0.14755389338193753,0.8872668128340682,AnCg
TNFRSF18,0.07366443478817836,0.9438055178384589,nAcc
TNFRSF4,-2.981462139054986,0.030673896629046536,DLPFC
TNFRSF4,-1.578969521985446,0.16824929227977803,nAcc
TNFRSF4,-0.026826663359345235,0.9794208933105124,AnCg
SDF4,-2.2621678734217987,0.07304963817721019,DLPFC
SDF4,-0.8524356743211008,0.4284848704993896,nAcc
SDF4,0.6754367002599955,0.523208620958334,AnCg
B3GALT6,-2.430182839796981,0.05927043446228122,DLPFC
B3GALT6,1.353366370767415,0.22210600355595456,AnCg
B3GALT6,0.7052763772947903,0.5085438596322843,nAcc
FAM132A,2.8603620237390706,0.02702189941331958,AnCg
FAM132A,1.7896897555224367,0.1265446558697314,nAcc
FAM132A,0.5052443692101146,0.6348245314607108,DLPFC
UBE2J2,1.054184387613101,0.330227682125299,AnCg
UBE2J2,-1.0695342164669461,0.3336304905397499,DLPFC
UBE2J2,-0.4616596119999403,0.6614945216754928,nAcc
SCNN1D,-2.447164282931202,0.058042654657449434,DLPFC
SCNN1D,-1.4620934284775189,0.19679811726406285,nAcc
SCNN1D,-0.08281084682342003,0.9365497463556411,AnCg
ACAP3,-2.433377582508774,0.05903731559903336,DLPFC
ACAP3,-1.0866183408161671,0.32120379695024703,nAcc
ACAP3,-0.13946238223557383,0.893401337354053,AnCg
PUSL1,-3.307547447464283,0.02123611191063063,DLPFC
PUSL1,-0.8548406953990536,0.4272576880116748,nAcc
PUSL1,-0.7813051388395944,0.4627347895123949,AnCg
CPSF3L,-1.7750768086878963,0.13594108563208662,DLPFC
CPSF3L,-0.5051108531735231,0.6324951873493387,nAcc
CPSF3L,0.22471424744779933,0.8292554656537328,AnCg
CPTP,1.462213622244193,0.1913141324474119,AnCg
CPTP,-1.3250311646430268,0.24237687142160677,DLPFC
CPTP,0.4584708396477782,0.6636494954599107,nAcc
TAS1R3,-1.2060626369908292,0.2756715726186231,nAcc
TAS1R3,0.1424353098536926,0.8911464796655091,AnCg
TAS1R3,0.12931207446235796,0.9021421207131433,DLPFC
DVL1,-2.472859442147571,0.05623706619201616,DLPFC
DVL1,0.4816914634895934,0.6461696841187946,AnCg
DVL1,0.48012275729254966,0.6490882860003879,nAcc
MXRA8,-2.568561138493768,0.05003149964835406,DLPFC
MXRA8,-0.8713671360568331,0.41526192294165293,AnCg
MXRA8,0.09716649770217915,0.9259353122881709,nAcc
AURKAIP1,-4.466096878267889,0.006572571191632131,DLPFC
AURKAIP1,1.0249363124037332,0.34282255932495626,AnCg
AURKAIP1,0.8777757991895325,0.415686794226008,nAcc
CCNL2,-1.4921046225706869,0.1957685477661136,DLPFC
CCNL2,-1.256341908327173,0.2582465919006861,nAcc
CCNL2,0.11832046956222256,0.9094665141285843,AnCg
MRPL20,-2.3469251485259823,0.06571107248303235,DLPFC
MRPL20,0.9290008108976554,0.38682236759718425,AnCg
MRPL20,-0.06129423134014326,0.9532267675124535,nAcc
ANKRD65,-2.3250984549950244,0.06149581796606111,nAcc
ANKRD65,-2.2151824371669564,0.07749220191041657,DLPFC
ANKRD65,-1.9763018861791268,0.09284532620692919,AnCg
TMEM88B,-4.4625941063287256,0.0037138134058313913,AnCg
TMEM88B,-2.8201992184358566,0.032254073389402116,nAcc
TMEM88B,-1.2632565550977428,0.26209642763873503,DLPFC
VWA1,-2.313309146698761,0.06246875056861426,nAcc
VWA1,-1.631830127048758,0.1510787813032902,AnCg
VWA1,-0.14248741077365565,0.8922483638626938,DLPFC
ATAD3C,-2.033415841220747,0.09096637248859533,nAcc
ATAD3C,-2.0600843515818035,0.09431375619122585,DLPFC
ATAD3C,-0.92231201730493,0.3900453483602599,AnCg
ATAD3B,-1.778532517252406,0.1353368546877072,DLPFC
ATAD3B,1.2759422089658605,0.24663558367784869,AnCg
ATAD3B,-1.0809166945218038,0.32352776992691273,nAcc
ATAD3A,2.381690069705063,0.05233802832159298,AnCg
ATAD3A,-1.8737701451406708,0.11971873759684995,DLPFC
ATAD3A,-0.19733108377421882,0.8504472198433172,nAcc
TMEM240,-2.731042048219083,0.041144584328227464,DLPFC
TMEM240,0.9936482362394439,0.36086618729796255,nAcc
TMEM240,0.7509111184919214,0.47958547329963375,AnCg
SSU72,-2.321524377943051,0.06782345920121881,DLPFC
SSU72,2.0529797785067667,0.0832732753943158,AnCg
SSU72,0.42244111075394275,0.6882427089510189,nAcc
