gene_symbol,AnCg_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
A1BG,--,0.10066483369015872,0.9844827256280883,0.03868301213113821,-1,0.07736602426227641
A1CF,+-,0.6486635305463038,0.6847113482816402,0.47244972292144527,-1,0.9448994458428905
A2M,--,0.0777456154085378,0.99331399518408,0.020507044180446007,-1,0.041014088360892015
A2ML1,+-,0.8943375149412978,0.6314387753520113,0.5588883206192091,-1,1.1177766412384182
A2MP1,--,0.08175750042939385,0.8434555837225417,0.0972951029351336,-1,0.1945902058702672
A3GALT2,--,0.009518561035702875,0.9912144043785431,0.005028632469992931,-1,0.010057264939985862
A4GALT,++,0.14082819689625597,0.037409532078590955,0.9879009492898511,1,0.07481906415718191
A4GNT,-+,0.1519587486399753,0.17281660849149671,0.7862025310114126,1,0.34563321698299343
AAAS,+-,0.7256544807375879,0.6680708117728287,0.5034052867847556,-1,1.0068105735695112
AACS,+-,0.25453260781734727,0.31016119423423594,0.5905874757477265,1,0.6203223884684719
AACSP1,--,0.1721570846890784,0.8957045920658258,0.140390922688156,-1,0.280781845376312
AADAC,+-,0.3775988056831214,0.6597110220016374,0.3728666405071946,-1,0.7457332810143892
AADACL2,+-,0.05557492857680782,0.8036537619244264,0.07852777108105136,-1,0.1570555421621027
AADACL3,++,0.13625424780508288,0.07624542763798295,0.9604832273478188,1,0.1524908552759659
AADACL4,++,0.22434338404388462,0.21029426829215653,0.8202890136182797,1,0.42058853658431306
AADACP1,+-,0.1423249270109752,0.5986524654106833,0.20542417993952408,-1,0.41084835987904816
AADAT,-+,0.45848297808192207,0.6431431155167308,0.4238051363716862,-1,0.8476102727433724
AAED1,++,0.8298463886606661,0.5310051552573026,0.6551310387754864,1,1.0620103105146053
AAGAB,++,0.11520422112791052,0.033317017335604916,0.9889268695327018,1,0.06663403467120983
AAK1,++,0.11953219981995265,0.03734976092645989,0.9871155522914101,1,0.07469952185291978
AAMDC,--,0.3286375686400359,0.9368672042234605,0.14654615866910056,-1,0.2930923173382011
AAMP,+-,0.12625877872340874,0.18627161384219318,0.6113016617355251,1,0.37254322768438636
AANAT,--,0.2018433821694146,0.9612550118273796,0.09204529370070968,-1,0.18409058740141937
AAR2,-+,0.16584399064275077,0.21069442929001506,0.6884108148455185,1,0.4213888585800301
AARD,+-,0.059532245735365516,0.8210781490644923,0.08008493946529575,-1,0.1601698789305915
AARS,++,0.24199036802088478,0.17285809824983214,0.8954546264276115,1,0.3457161964996643
AARS2,+-,0.5342942711329517,0.5127537019097619,0.521298414295893,1,1.0255074038195238
AARSD1,+-,0.027161014079523527,0.06658799159959831,0.30637637848580396,1,0.13317598319919663
AARSP1,++,0.20779585477328655,0.19174077147012455,0.8379794244402491,1,0.3834815429402491
AASDH,++,0.13163137376889922,0.060226751184432784,0.9736134623005228,1,0.12045350236886557
AASDHPPT,++,0.036645754937477223,0.033021274928136383,0.9490433659865198,1,0.06604254985627277
AASS,-+,0.025309691629701984,0.0465365672370705,0.7324943325424965,1,0.093073134474141
AATF,++,0.5191339011314656,0.34505961760234677,0.7984119412483733,1,0.6901192352046935
AATK,--,0.0043628304862595325,0.9883369759372578,0.0028992206828950947,-1,0.0057984413657901895
AATK-AS1,--,0.11671182678845812,0.9930129221288487,0.023651782386570824,-1,0.04730356477314165
AB019438.66,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
AB019441.29,-+,0.199961912996361,0.25703307160890104,0.6194268867458552,1,0.5140661432178021
ABAT,++,0.6316565230184308,0.3755484814841528,0.7870075455568317,1,0.7510969629683056
ABBA01000934.1,-+,0.017469137461539355,0.8020404573819518,0.030688166071927286,-1,0.06137633214385457
ABC12-47043100G14.2,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
ABC12-47964100C23.1,+-,0.11871145145331097,0.7917058432007602,0.14321659078664276,-1,0.2864331815732855
ABC13-47488600E17.1,+-,0.054031163780338225,0.8051799478521418,0.07658170711067588,-1,0.15316341422135177
ABC13-47656900H15.1,-+,0.03402433268901478,0.7743304455259239,0.05577610725382294,-1,0.11155221450764588
ABC13-48559800H2.1,-+,0.005923301808804403,0.7638386896871889,0.013062837289251427,-1,0.026125674578502855
ABC13-48559800H2.2,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
ABC14-864958H18.2,++,0.010436851841758157,0.006771060963994901,0.9855945874093642,1,0.013542121927989802
ABC7-42391500H16.4,-+,0.8723514221818436,0.6121795679516833,0.573757004765398,-1,1.147514009530796
ABC7-42404400C24.1,++,0.08265121499673532,0.07847950582806047,0.9105427025818134,1,0.15695901165612094
ABC7-42418200C9.1,++,0.43936905244027435,0.2920598860729566,0.8337348344406442,1,0.5841197721459132
ABC7-481722F1.1,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
ABC8-43014700C16.1,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
ABC9-43961700F1.1,+-,0.6461493516843224,0.6712156570757264,0.48154139566131476,-1,0.9630827913226295
ABCA1,-+,0.17793463795522796,0.2933688066995997,0.2838552271251263,-1,0.5677104542502526
ABCA10,+-,0.14047505261125862,0.6830271731022665,0.18815909672379236,-1,0.3763181934475847
ABCA11P,++,0.33727322433498474,0.23250506869355267,0.8658874013678808,1,0.46501013738710534
ABCA12,+-,0.4151961543725329,0.3961055964657945,0.6545803873998793,1,0.792211192931589
ABCA13,+-,0.36987873120382375,0.6746830241141974,0.36217781423409073,-1,0.7243556284681815
ABCA17P,--,0.2152754821986042,0.9475318272379238,0.11320818532190893,-1,0.22641637064381787
ABCA2,--,0.0030324997120167673,0.9721393854339656,0.0030694670357231846,-1,0.006138934071446369
ABCA3,++,0.2413897022829105,0.19131815639060745,0.8699098161348872,1,0.3826363127812149
ABCA4,-+,0.8152776998598232,0.5553096213218802,0.6242399086830682,1,1.1106192426437604
ABCA5,-+,0.2841076506852828,0.6001413856373634,0.3307936821369017,-1,0.6615873642738034
