gene_symbol,AnCg_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
A1BG,--,0.10066483369015872,0.9844827256280883,0.03868301213113821,-1,0.07736602426227641
A1CF,+-,0.6486635305463038,0.6847113482816402,0.47244972292144527,-1,0.9448994458428905
A3GALT2,--,0.009518561035702875,0.9912144043785431,0.005028632469992931,-1,0.010057264939985862
A4GALT,++,0.14082819689625597,0.037409532078590955,0.9879009492898511,1,0.07481906415718191
A4GNT,-+,0.1519587486399753,0.17281660849149671,0.7862025310114126,1,0.34563321698299343
AAAS,+-,0.7256544807375879,0.6680708117728287,0.5034052867847556,-1,1.0068105735695112
AACS,+-,0.25453260781734727,0.31016119423423594,0.5905874757477265,1,0.6203223884684719
AADAC,+-,0.3775988056831214,0.6597110220016374,0.3728666405071946,-1,0.7457332810143892
AADACL2,+-,0.05557492857680782,0.8036537619244264,0.07852777108105136,-1,0.1570555421621027
AADACL3,++,0.13625424780508288,0.07624542763798295,0.9604832273478188,1,0.1524908552759659
AADACL4,++,0.22434338404388462,0.21029426829215653,0.8202890136182797,1,0.42058853658431306
AADAT,-+,0.45848297808192207,0.6431431155167308,0.4238051363716862,-1,0.8476102727433724
AAED1,++,0.8298463886606661,0.5310051552573026,0.6551310387754864,1,1.0620103105146053
AAGAB,++,0.11520422112791052,0.033317017335604916,0.9889268695327018,1,0.06663403467120983
AAK1,++,0.11953219981995265,0.03734976092645989,0.9871155522914101,1,0.07469952185291978
AAMDC,--,0.3286375686400359,0.9368672042234605,0.14654615866910056,-1,0.2930923173382011
AAMP,+-,0.12625877872340874,0.18627161384219318,0.6113016617355251,1,0.37254322768438636
AANAT,--,0.2018433821694146,0.9612550118273796,0.09204529370070968,-1,0.18409058740141937
AAR2,-+,0.16584399064275077,0.21069442929001506,0.6884108148455185,1,0.4213888585800301
AARD,+-,0.059532245735365516,0.8210781490644923,0.08008493946529575,-1,0.1601698789305915
AARS,++,0.24199036802088478,0.17285809824983214,0.8954546264276115,1,0.3457161964996643
AARS2,+-,0.5342942711329517,0.5127537019097619,0.521298414295893,1,1.0255074038195238
AARSD1,+-,0.027161014079523527,0.06658799159959831,0.30637637848580396,1,0.13317598319919663
AASDH,++,0.13163137376889922,0.060226751184432784,0.9736134623005228,1,0.12045350236886557
AASDHPPT,++,0.036645754937477223,0.033021274928136383,0.9490433659865198,1,0.06604254985627277
AASS,-+,0.025309691629701984,0.0465365672370705,0.7324943325424965,1,0.093073134474141
AATF,++,0.5191339011314656,0.34505961760234677,0.7984119412483733,1,0.6901192352046935
AATK,--,0.0043628304862595325,0.9883369759372578,0.0028992206828950947,-1,0.0057984413657901895
ABAT,++,0.6316565230184308,0.3755484814841528,0.7870075455568317,1,0.7510969629683056
ABCA1,-+,0.17793463795522796,0.2933688066995997,0.2838552271251263,-1,0.5677104542502526
ABCA10,+-,0.14047505261125862,0.6830271731022665,0.18815909672379236,-1,0.3763181934475847
ABCA12,+-,0.4151961543725329,0.3961055964657945,0.6545803873998793,1,0.792211192931589
ABCA13,+-,0.36987873120382375,0.6746830241141974,0.36217781423409073,-1,0.7243556284681815
ABCA3,++,0.2413897022829105,0.19131815639060745,0.8699098161348872,1,0.3826363127812149
ABCA4,-+,0.8152776998598232,0.5553096213218802,0.6242399086830682,1,1.1106192426437604
ABCA5,-+,0.2841076506852828,0.6001413856373634,0.3307936821369017,-1,0.6615873642738034
ABCA6,--,0.06560212714968731,0.9957012142364481,0.014324632160777026,-1,0.02864926432155405
ABCA7,+-,0.06943758117568734,0.4860417142286869,0.12918467936824027,-1,0.25836935873648054
ABCA8,-+,0.0022769000998255537,0.769678755471547,0.005629302162394746,-1,0.011258604324789492
ABCA9,--,0.15594463332149075,0.9872969846037977,0.03934623046100761,-1,0.07869246092201522
ABCB1,--,0.07720941656881042,0.9736328922230084,0.04326846963024173,-1,0.08653693926048346
ABCB10,++,0.8367741304152401,0.529902480366277,0.6570911231578659,1,1.059804960732554
ABCB11,+-,0.19306562156617918,0.5740632842435401,0.2601642595812894,-1,0.5203285191625788
ABCB4,-+,0.08266176620245705,0.47130716664095673,0.14896708016914312,-1,0.29793416033828624
ABCB5,+-,0.6948316809360946,0.4875277368514984,0.6797089338499129,1,0.9750554737029968
ABCB6,++,0.04539715335841739,0.03400090274162471,0.9632535558130152,1,0.06800180548324943
ABCB8,+-,0.37866943178031126,0.6333282022832287,0.3839032611376962,-1,0.7678065222753924
ABCB9,--,0.06104945717305788,0.8408936656949245,0.0781501961103484,-1,0.1563003922206968
ABCC1,++,0.749087745337564,0.4874014585758656,0.6915109925432507,1,0.9748029171517312
ABCC10,+-,0.4487426513161985,0.4707058543490315,0.5038478054969805,1,0.941411708698063
ABCC11,++,0.012156159759854717,0.007525514059024771,0.9863534811936693,1,0.015051028118049542
ABCC12,+-,0.02121557569198715,0.5563541403920403,0.04771451836622984,-1,0.09542903673245968
ABCC2,--,0.22772946502124808,0.9680480104981948,0.08402580684241136,-1,0.16805161368482271
ABCC3,--,0.13591953908928342,0.9502926328194736,0.08541843623662217,-1,0.17083687247324433
ABCC4,++,0.11851422628139031,0.13229486908891291,0.8305086536274136,1,0.26458973817782583
ABCC5,++,0.2144542852609397,0.15540689188699483,0.903245033964496,1,0.31081378377398966
ABCC6,+-,0.22351400987601647,0.511298555940064,0.30044774859355916,-1,0.6008954971871183
ABCC8,++,0.22015140749620607,0.12774177021819108,0.9360531411930089,1,0.25548354043638216
ABCC9,++,0.03621607444544264,0.02253380310662723,0.9783712104616451,1,0.04506760621325446
ABCD2,-+,0.030188058001159025,0.05264893195127261,0.7478913379276122,1,0.10529786390254522
ABCD3,-+,0.010249558875799978,0.025971730158966557,0.5566749785932713,1,0.051943460317933114
ABCD4,--,0.8675441903519756,0.6425511332666967,0.546344941797399,-1,1.092689883594798
ABCE1,-+,0.039045480223841765,0.06259749078829172,0.7717741944708691,1,0.12519498157658343
ABCF1,+-,0.577621184647435,0.46135732358108544,0.6685526363378909,1,0.9227146471621709
