gene_symbol,AnCg_DLPFC_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
A1BG,--,0.07589951276646215,0.87203419076953,0.08501620147944487,-1,0.17003240295888974
A1CF,--,0.09231247280072072,0.9752533411504574,0.04722802081707926,-1,0.09445604163415852
A3GALT2,-+,0.16045679596626053,0.23431975981469727,0.536646325654089,1,0.46863951962939454
A4GALT,+-,0.27281219921072913,0.3424327328429035,0.5164334850607285,1,0.684865465685807
A4GNT,--,0.019539888534523916,0.8794433572624506,0.027910970309212912,-1,0.055821940618425825
AAAS,--,0.37623054294740177,0.8251280819010763,0.2798643665678839,-1,0.5597287331357678
AACS,+-,0.37547654084300186,0.35285776264749624,0.7027037937015991,1,0.7057155252949925
AADAC,++,0.43761540330182125,0.25749797524164925,0.8661436846893833,1,0.5149959504832985
AADACL2,++,0.32861224871654204,0.12685074352009776,0.9478988638343224,1,0.2537014870401955
AADACL3,-+,0.30631503506685254,0.426601408150648,0.3886248630091007,-1,0.7772497260182014
AADACL4,+-,0.3885723725392003,0.41655745969725344,0.556696617728605,1,0.8331149193945069
AADAT,++,0.18936398148616346,0.094919857569547,0.9572281400268414,1,0.189839715139094
AAED1,--,0.7489469756512483,0.6901037753418164,0.48866984651750883,-1,0.9773396930350177
AAGAB,+-,0.29222196563325015,0.30560696372740326,0.6965294190068855,1,0.6112139274548065
AAK1,++,0.19018643176517053,0.1195170983112022,0.9346824121249222,1,0.2390341966224044
AAMDC,--,0.23154706948899834,0.8421341309968631,0.20318435554030337,-1,0.40636871108060674
AAMP,+-,0.11981663855618191,0.1731394181229744,0.6501181362336723,1,0.3462788362459488
AANAT,++,0.4086245842320485,0.2367677225389663,0.8793501725228329,1,0.4735354450779326
AAR2,+-,0.04574919268733729,0.7965860332257028,0.06817456369724162,-1,0.13634912739448324
AARD,++,0.4315996721033799,0.2526240757046058,0.8694011409590938,1,0.5052481514092116
