gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
A1BG,----,0.25552159751105186,0.8405115994312667,0.21680515352681579,-1,0.43361030705363157,0.17418582102321337,0.18851243440565824,0.34837164204642673
A1CF,+---,0.17059428196563248,0.9735363041197596,0.06797478492854835,-1,0.1359495698570967,0.044430502481035763,0.06325576089436459,0.08886100496207153
A3GALT2,---+,0.2709887430798956,0.5177344173777045,0.34063579340007544,-1,0.6812715868001509,0.2951577026179205,0.3016769336071184,0.590315405235841
A4GALT,+++-,0.033458339322426436,0.02679922907081267,0.9629836029616362,1,0.05359845814162534,0.014145562400182523,0.0269776991958022,0.028291124800365046
A4GNT,-+--,0.021427990144197818,0.5316906237433228,0.0489366314616188,-1,0.0978732629232376,0.030285746877317058,0.04705681040383299,0.060571493754634116
AAAS,+---,0.4729676734820921,0.7622288989539475,0.36162681171476346,-1,0.7232536234295269,0.31500598870700963,0.32124115902349987,0.6300119774140193
AACS,+-+-,0.44849651907378585,0.41846139861309417,0.6437373024454998,1,0.8369227972261883,0.371720282911248,0.3736382820966178,0.743440565822496
AADAC,+-++,0.544362351139189,0.3114177911496141,0.8337038849259788,1,0.6228355822992282,0.2661989504905316,0.2761079107967832,0.5323979009810632
AADACL2,+-++,0.34555151187277344,0.19423329093786584,0.9047759358422565,1,0.3884665818757317,0.15195071868583163,0.16996520846403923,0.30390143737166325
AADACL3,++-+,0.26945363293141167,0.2563586729099959,0.780154178758997,1,0.5127173458199918,0.21144193474788958,0.22363543033137512,0.42288386949577916
AADACL4,+++-,0.42372588409320444,0.41029247742068164,0.6321850742601105,1,0.8205849548413633,0.3635067305498517,0.3655963041122455,0.7270134610997034
AADAT,-+++,0.13251938240182,0.15779399469227043,0.782092063143897,1,0.31558798938454086,0.1199520876112252,0.13688473164889067,0.2399041752224504
AAED1,++--,0.661527628888068,0.4366531982423771,0.7313656058864993,1,0.8733063964847542,0.3890029660050194,0.39069183824787546,0.7780059320100388
AAGAB,+++-,0.5214013597307356,0.2706067801560273,0.8633825633883363,1,0.5412135603120546,0.22541638147387635,0.2373239034962642,0.4508327629477527
