gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
A1BG,----,0.07589951276646215,0.3807321265510164,0.18304292309449147,-1,0.36608584618898293,0.1833685051046598,0.18280857859913302,0.36561715719826604
A1CF,+---,0.09231247280072072,0.15553723928896143,0.8555331317027395,1,0.31107447857792286,0.15588637919233403,0.15872925340785946,0.31177275838466806
A3GALT2,---+,0.009518561035702875,0.9063956934573706,0.008893115240318602,-1,0.017786230480637204,0.008327154508640848,0.011236595938854666,0.016654309017281696
A4GALT,+++-,0.14082819689625597,0.09761725259791146,0.7756377757577713,1,0.19523450519582292,0.09342915811088295,0.10237837221239948,0.1868583162217659
A4GNT,-+--,0.019539888534523916,0.027528747721709795,0.9394786839741193,1,0.05505749544341959,0.0270362765229295,0.030742029316146696,0.054072553045859
AAAS,+---,0.37623054294740177,0.48965836504494115,0.7741602439796079,1,0.9793167300898823,0.4494638375541866,0.43671932926481494,0.8734386585296299
AACS,+-+-,0.25453260781734727,0.5405030194820106,0.5129560082444682,-1,1.0259120164889364,0.4621000399247134,0.4491216062057951,0.8982432124115902
AADAC,+-++,0.3775988056831214,0.8841248471502647,0.2975120956374212,-1,0.5950241912748424,0.29966349170136314,0.290041067761807,0.580082135523614
AADACL2,+-++,0.05557492857680782,0.9681076182156422,0.04914429429718159,-1,0.09828858859436318,0.04585638510237837,0.053445128907141225,0.09171277020475674
AADACL3,++-+,0.13625424780508288,0.12690524535778852,0.8120759819067832,1,0.25381049071557704,0.1256559434177504,0.13061084811498316,0.2513118868355008
AADACL4,+++-,0.22434338404388462,0.35415042587119017,0.7076292726625045,1,0.7083008517423803,0.3489618982432124,0.3402726287572007,0.6805452575144014
AADAT,-+++,0.18936398148616346,0.9239617921830731,0.16125184628680017,-1,0.32250369257360034,0.16146694804083728,0.16381473876340405,0.32293389608167455
AAED1,++--,0.7489469756512483,0.5812130475120356,0.7900994297645569,1,1.1624260950240712,0.4887063655030801,0.4777847487594821,0.9555694975189643
AAGAB,+++-,0.11520422112791052,0.12348714721410556,0.7425542461787268,1,0.24697429442821112,0.12217659137577003,0.1270746592140535,0.24435318275154005
AAK1,++++,0.11953219981995265,0.20070637784250367,0.46654946010889464,1,0.40141275568500734,0.2018594569929272,0.2013346261335767,0.4026692522671534
AAMDC,----,0.23154706948899834,0.5629343024211924,0.41255873980804114,-1,0.8251174796160823,0.3962242628186848,0.38689253935660506,0.7737850787132101
AAMP,+-+-,0.11981663855618191,0.37294082594536737,0.337383749776942,-1,0.674767499553884,0.33553869845434325,0.32426420260095823,0.6485284052019165
AANAT,--++,0.2018433821694146,0.9863299364777863,0.09513216854521463,-1,0.19026433709042925,0.091085381851366,0.0999315537303217,0.182170763702732
AAR2,-++-,0.04574919268733729,0.0678309025995956,0.8637615131037037,1,0.1356618051991912,0.06262833675564682,0.07209262533508241,0.12525667351129363
AARD,+-++,0.059532245735365516,0.947189055436152,0.09019744256083964,-1,0.18039488512167928,0.08566702789026408,0.09496919917864477,0.17133405578052815
AARS,+++-,0.05732496500215642,0.3154331935378153,0.3653022284984687,1,0.6308663870756306,0.3155943417750399,0.3066788341983688,0.6133576683967376
AARS2,+---,0.1845167649119522,0.20593214919192768,0.8610891646590998,1,0.41186429838385535,0.2071070043349304,0.20572634460731193,0.41145268921462386
AARSD1,+-+-,0.027161014079523527,0.136233808532695,0.18623327300507814,1,0.27246761706539,0.13552361396303902,0.1397935321964296,0.27104722792607805
AASDH,++-+,0.06170669934830647,0.027918234879814086,0.9770279759497519,1,0.05583646975962817,0.02726443075519051,0.031426452974391145,0.05452886151038102
AASDHPPT,++++,0.036645754937477223,0.16764320740930558,0.5053687853180953,1,0.33528641481861116,0.16780743782797172,0.17036445559801516,0.33561487565594345
AASS,-+-+,0.019583963525883784,0.010082398399256195,0.8842545471238621,1,0.02016479679851239,0.009582477754962354,0.012661837677522386,0.019164955509924708
AATF,+++-,0.01972559729582704,0.06524667605923225,0.893766436584236,1,0.1304933521184645,0.06023271731690623,0.06889864826327496,0.12046543463381246
AATK,----,0.0043628304862595325,0.6962652069762278,0.025435522102852482,-1,0.050871044205704964,0.02503849883077625,0.02806297056810404,0.0500769976615525
ABAT,++++,0.3297345676392768,0.6820914838331787,0.5311155515113272,-1,1.0622311030226543,0.4709405121770376,0.45722108145106094,0.9144421629021219
ABCA1,-+-+,0.17793463795522796,0.28353225327527143,0.5158393819564125,1,0.5670645065505429,0.28616244581336986,0.2768493697598814,0.5536987395197628
ABCA10,+---,0.14047505261125862,0.6432524462482013,0.413186100731835,-1,0.82637220146367,0.3969657217817829,0.38723477070499657,0.7744695414099931
ABCA12,+---,0.4151961543725329,0.47098680075129723,0.7977586377846043,1,0.9419736015025945,0.43811316449920146,0.4251981976843666,0.8503963953687332
ABCA13,+--+,0.2783521450342804,0.49725663106023427,0.6060593634515062,1,0.9945132621204685,0.4534565366187543,0.44093994182398905,0.8818798836479781
ABCA3,+++-,0.2413897022829105,0.44036948295936507,0.6391763864500128,1,0.8807389659187301,0.41609628108601415,0.4046084526321793,0.8092169052643586
ABCA4,-+--,0.6263251446508589,0.5615888448376205,0.7884625993841217,1,1.123177689675241,0.4822610084417066,0.47037015912850055,0.9407403182570011
ABCA5,-+-+,0.2841076506852828,0.7017526520714191,0.4243452281641031,-1,0.8486904563282062,0.4043232761079108,0.3943075519050878,0.7886151038101756
ABCA6,---+,0.06560212714968731,0.7657008840214672,0.06872861445915916,-1,0.13745722891831832,0.06399361204585638,0.0728952772073922,0.12798722409171276
ABCA7,+---,0.06943758117568734,0.4458282120339649,0.3642592966725594,-1,0.7285185933451188,0.35755432612787313,0.34759297284964635,0.6951859456992927
ABCA8,-+--,0.0022769000998255537,0.10121694863288339,0.06166496040243404,-1,0.12332992080486808,0.05663605771972851,0.06616472735569245,0.11327211543945702
ABCA9,---+,0.15594463332149075,0.9434847668014475,0.09569352805154151,-1,0.19138705610308301,0.09165573489990304,0.10033082363677846,0.1833114697998061
ABCB1,--++,0.07720941656881042,0.9886433417479169,0.028533371580159356,-1,0.05706674316031871,0.02783322876860777,0.03199863107460643,0.05566645753721554
ABCB10,++-+,0.7573944302435923,0.6384146386625911,0.7251474464072958,1,1.2768292773251821,0.5016541181838923,0.4917583984486397,0.9835167968972794
ABCB11,+--+,0.19306562156617918,0.716037724159069,0.3439179815806353,-1,0.6878359631612706,0.34067187589117665,0.3304814054300707,0.6609628108601414
ABCB4,-+++,0.08266176620245705,0.755632351096924,0.07461086288032161,-1,0.14922172576064321,0.06981121314093423,0.07882728724617842,0.13962242628186847
ABCB5,+--+,0.3089198920432058,0.5397445203646198,0.5922023072919557,1,1.0794890407292397,0.4739333789641798,0.46152968687617635,0.9230593737523527
ABCB6,+++-,0.04539715335841739,0.05124256912292481,0.9471469585763808,1,0.10248513824584962,0.04796942733287703,0.05578052814692294,0.09593885466575405
ABCB8,+---,0.33391145501700015,0.2972137527640453,0.7648484532016786,1,0.5944275055280906,0.2993383527264431,0.28928306621798894,0.5785661324359779
ABCB9,--+-,0.06104945717305788,0.6060763719125124,0.2306252043300082,-1,0.4612504086600164,0.23321736154679748,0.22906684919005246,0.4581336983801049
ABCC1,+++-,0.7173003695470812,0.6609472672879593,0.700189733459269,1,1.3218945345759185,0.5042778918548939,0.49364056350881197,0.9872811270176239
