gene_symbol,AnCg_nAcc_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
A1BG,---,0.10066483369015872,0.9791518335514917,0.0541924189897147,-1,0.1083848379794294,0.9420488250057039,0.10244125028519278,0.20488250057038557
A1CF,+--,0.6486635305463038,0.7402570986984756,0.5349995957858825,-1,1.069999191571765,0.7147501711156742,0.493440565822496,0.986881131644992
A3GALT2,---,0.009518561035702875,0.9981149517048001,0.003310112955532019,-1,0.006620225911064038,0.9869381702030573,0.01676933607118412,0.03353867214236824
A4GALT,+++,0.14082819689625597,0.05053569616568278,0.9834212565310918,1,0.10107139233136556,0.09012092174309834,0.940508783937942,0.18024184348619668
A4GNT,--+,0.1519587486399753,0.3476523474005145,0.49135077202701055,1,0.695304694801029,0.4198608259183208,0.46303901437371664,0.8397216518366416
AAAS,+--,0.2096055760924194,0.8581087743276798,0.24957732882995062,-1,0.49915465765990125,0.810403832991102,0.28650467716176137,0.5730093543235227
AACS,+--,0.25453260781734727,0.43743153939223905,0.6038039069810963,1,0.8748630787844781,0.4873944786675793,0.5403832991101984,0.9747889573351586
AADAC,+--,0.156215636684144,0.8595463081144039,0.1547189431350806,-1,0.3094378862701612,0.8119438740588638,0.20442619210586357,0.40885238421172715
AADACL2,+--,0.05557492857680782,0.9179902801372548,0.06553744975258283,-1,0.13107489950516565,0.8652178872918093,0.11704312114989733,0.23408624229979466
AADACL3,+++,0.13625424780508288,0.10836056059577998,0.9549621992492403,1,0.21672112119155995,0.1743668720054757,0.8770819073693817,0.3487337440109514
AADACL4,+++,0.22434338404388462,0.17438134157129753,0.9192822723399394,1,0.34876268314259506,0.2550764316678074,0.8208989276751084,0.5101528633356148
AADAT,--+,0.1744066325521629,0.8465299766084771,0.18815787145902907,-1,0.37631574291805814,0.7990531599361168,0.23477070499657768,0.46954140999315536
AAED1,+-+,0.6599143572782964,0.6816361479664921,0.588212940057002,-1,1.176425880114004,0.6728838694957792,0.5298882044261921,1
AAGAB,+++,0.11520422112791052,0.03756468759752985,0.990760738767176,1,0.0751293751950597,0.0689596167008898,0.9636664385124344,0.1379192334017796
