gene_symbol,AnCg.F_nAcc.F_DLPFC.F_AnCg.M_nAcc.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
A1BG,----+-,0.25552159751105186,0.5051408122365474,0.4140957934136717,-1,0.8281915868273434,0.3711287286830548,0.3593429158110883,0.7186858316221766
A1CF,+---+-,0.17059428196563248,0.712165312248183,0.16369251695531722,-1,0.32738503391063445,0.13169451890720357,0.13843258042436687,0.26338903781440715
A3GALT2,----++,0.2709887430798956,0.4386941811704593,0.5252692937625227,1,0.8773883623409185,0.39236824093086925,0.37939884788684197,0.75879769577368394
A4GALT,+++++-,2.2121928894690718e-4,5.5801772351172476e-5,0.996384790752643,1,1.1160354470234495e-4,2.2815423226100844e-4,1.7110591456111332e-4,3.4221182912222664e-4
A4GNT,--+---,0.021427990144197818,0.5857688819054874,0.09471493965633464,-1,0.18942987931266927,0.07277704899332688,0.08310517910107232,0.14555409798665375
AAAS,+---+-,0.3890889682725833,0.5272317187528415,0.5729454813547668,1,1.054463437505683,0.46298197581565137,0.44784121371128727,0.8956824274225745
AACS,+--++-,0.44849651907378585,0.36624746688971876,0.7920234037378889,1,0.7324949337794375,0.32489162673967603,0.3169451890720356,0.6338903781440712
AADAC,+--+-+,0.544362351139189,0.32347330546337916,0.893260696730475,1,0.6469466109267583,0.28302532511978096,0.27696344036958875,0.5539268807391775
AADACL2,+--+++,0.14453599692242533,0.07893970710079166,0.977722543731188,1,0.15787941420158333,0.058749714807209676,0.07026749557976388,0.11749942961441935
AADACL3,+++-++,0.26945363293141167,0.2397505557907922,0.8825208817826979,1,0.4795011115815844,0.2034565366187543,0.20304568527918782,0.40609137055837563
AADACL4,++++--,0.42372588409320444,0.5411090872316613,0.6285188863339499,1,1.0822181744633226,0.4729637234770705,0.45628243882963554,0.9125648776592711
AADAT,--++++,0.13251938240182,0.30886731971129344,0.582542765562664,1,0.6177346394225869,0.27007757243896874,0.2641304967775053,0.5282609935550105
AAED1,+-+-+-,0.10095678378698485,0.1354905163268987,0.9076087985308842,1,0.2709810326537974,0.1066050650239562,0.11629498659670336,0.2132101300479124
AAGAB,++++--,0.4519624437158769,0.46007727480809163,0.6411654164575836,1,0.9201545496161833,0.4113620807665982,0.3967946158672218,0.7935892317344436
AAK1,+-++-+,0.3561065403353423,0.2905808291209591,0.8449656237970293,1,0.5811616582419182,0.25410677618069816,0.24833171733302914,0.4966634346660583
AAMDC,----+-,0.13175968548849984,0.3415256829380849,0.46017423148395187,1,0.6830513658761698,0.29985169974903036,0.29304739633833343,0.5860947926766669
AAMP,++-++-,0.12226370895947108,0.1614861727536272,0.8904728902501341,1,0.3229723455072544,0.12959160392425279,0.13642844921006103,0.25918320784850557
AANAT,---+++,0.11681229728682119,0.13348072398024993,0.9294761030433315,1,0.26696144796049986,0.10489390828199863,0.11464096275594593,0.20978781656399725
AAR2,-+++--,0.18171484752556122,0.7514929956227328,0.30588969211992073,-1,0.6117793842398415,0.2681229681172646,0.2615217887291809,0.5230435774583618
AARD,+--+++,0.3549083970831538,0.29516171886457615,0.794080192800261,1,0.5903234377291523,0.2583276294775268,0.2512975531854218,0.5025951063708436
AARS,++++--,0.1273891211162611,0.3599492663224691,0.42804698133402996,1,0.7198985326449382,0.3188455395847593,0.3112986938915189,0.6225973877830377
AARS2,+-----,0.06490856886685158,0.9294681914404306,0.0821882802856396,-1,0.1643765605712792,0.061427023327439684,0.07272416153319644,0.12285404665487937
AARSD1,++-++-,0.030348810453067938,0.03782577300630157,0.871866179024592,1,0.07565154601260314,0.028234086242299793,0.03638852449666344,0.05646817248459959
AASDH,+-+-++,0.2069339998983682,0.3284205066908258,0.49418798721379714,1,0.6568410133816516,0.2877595254391969,0.28146922945303143,0.5629384589060629
AASDHPPT,++++-+,0.2630819518900013,0.2892236633700723,0.5661202600249229,1,0.5784473267401447,0.25308008213552363,0.24701990532139395,0.4940398106427879
AASS,--+--+,0.07656784253350642,0.732078182291702,0.0950368639640121,-1,0.1900737279280242,0.07283408429818057,0.08339037189139858,0.14566816859636114
