gene_symbol,AnCg.F_nAcc.F_DLPFC.F_AnCg.M_nAcc.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
PERM1,+-----,0.030223756841731265,0.021350101659393952,0.7548491135315387,1,0.042700203318787905,0.02726443075519051,0.040209889921861634,0.05452886151038102
HES4,----+-,0.033500690521058994,0.9710562744968291,0.0091277147099367,-1,0.0182554294198734,0.011578166885302003,0.022302076203513575,0.023156333770604005
ISG15,---++-,0.00197878300514643,0.9887523886181542,2.170608739291715e-4,-1,4.34121747858343e-4,5.703530485370444e-4,0.001996349532283824,0.0011407060970740888
AGRN,----+-,0.03571653392393626,0.8024037120055981,0.03273688115989071,-1,0.06547376231978141,0.04260537272571722,0.05487109285877253,0.08521074545143444
RNF223,+---+-,0.06917389183551903,0.672302576056963,0.1681343180297297,-1,0.3362686360594594,0.20447156790053042,0.1931895961670089,0.3863791923340178
C1orf159,----+-,0.0514230145469979,0.9505689756361435,0.05497003183624599,-1,0.10994006367249198,0.07243483716420464,0.08196440793976728,0.14486967432840928
TTLL10,----+-,0.06676441641307622,0.3790956421546234,0.37780717345416126,-1,0.7556143469083225,0.3906348029430217,0.3503878621948437,0.7007757243896874
TNFRSF18,++----,0.007754561014578013,0.22256386270985876,0.2352818257339036,1,0.4451277254197175,0.2612365959388547,0.23949124508070496,0.4789824901614099
TNFRSF4,---++-,0.030673896629046536,0.9463315551258085,0.05158671326811279,-1,0.10317342653622558,0.06889864826327496,0.07791467031713438,0.13779729652654993
SDF4,+---+-,0.07304963817721019,0.8738000076472455,0.19845606222336698,-1,0.39691212444673396,0.23584098557006788,0.21840063883185032,0.43680127766370064
B3GALT6,++-++-,0.05927043446228122,0.467859020303867,0.3789267048834455,-1,0.757853409766891,0.3913762619061199,0.35118640200775725,0.7023728040155145
FAM132A,+++-+-,0.02702189941331958,0.06534190528243843,0.8407519352569178,1,0.13068381056487685,0.08481633584302989,0.09262533508241602,0.16963267168605978
UBE2J2,+---+-,0.330227682125299,0.7161824082302682,0.5166471068778172,-1,1.0332942137556345,0.47595961900416356,0.42910107232489164,0.8582021446497833
SCNN1D,----+-,0.058042654657449434,0.7708237731285463,0.14470855255947981,-1,0.28941710511895963,0.18068784577653568,0.17237052247319187,0.34474104494638375
ACAP3,----+-,0.05903731559903336,0.9171120947967737,0.1629927843698706,-1,0.3259855687397412,0.19962356698796554,0.1882842801733972,0.3765685603467944
PUSL1,---++-,0.02123611191063063,0.923718339179473,0.03977105477665731,-1,0.07954210955331462,0.05167398619745622,0.06382614647501711,0.10334797239491245
CPSF3L,+---+-,0.13594108563208662,0.7261067969314263,0.41310163521645105,-1,0.8262032704329021,0.41704214909028686,0.37308920830481407,0.7461784166096281
CPTP,++-++-,0.15621228343215013,0.4112741335726002,0.28970675379495986,-1,0.5794135075899197,0.322078366508869,0.2890714122746977,0.5781428245493954
TAS1R3,+-++++,0.2756715726186231,0.8844688206020022,0.45144611804397383,-1,0.9028922360879477,0.4405406946900131,0.3964179785535022,0.7928359571070044
DVL1,++-++-,0.05623706619201616,0.7983816496775986,0.2728243441389784,-1,0.5456486882779568,0.3073632578566132,0.2759525439196897,0.5519050878393794
