gene_symbol,AnCg_nAcc_DLPFC_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
A1BG,-+-,0.07589951276646215,0.27856778129069587,0.218604041091254,-1,0.437208082182508,0.2002509553413563,0.19130732375085557,0.38261464750171115
A1CF,-+-,0.09231247280072072,0.7817121412938147,0.11588107758072659,-1,0.23176215516145318,0.09313865282609936,0.08863791923340178,0.17727583846680356
A3GALT2,-++,0.16045679596626053,0.11971126472847375,0.7645875366932187,1,0.2394225294569475,0.09765001140771161,0.09262533508241602,0.18525067016483204
A4GALT,++-,0.0016713028811693239,0.004748124659834853,0.776287012418563,1,0.009496249319669706,0.004220853296828656,0.0017110591456111332,0.0034221182912222664
A4GNT,---,0.019539888534523916,0.8712119438506987,0.054056504507256485,-1,0.10811300901451297,0.039183254434494955,0.03274013232945471,0.06548026465890942
AAAS,-+-,0.12892951915045392,0.3216052085088443,0.5176117824451251,1,0.6432104170176886,0.3051562856490988,0.2914504078024297,0.5829008156048594
AACS,++-,0.37547654084300186,0.3648540096126362,0.8058016846543237,1,0.7297080192252724,0.34405658224960073,0.3318884389437062,0.6637768778874124
AADAC,+-+,0.43761540330182125,0.3679175223584138,0.8275548066075388,1,0.7358350447168276,0.34690851015286334,0.33405578052814694,0.6681115610562939
AADACL2,+++,0.22973514395461367,0.07398259455903494,0.9866695062504827,1,0.14796518911806988,0.05646817248459959,0.04939257400330805,0.0987851480066161
AADACL3,-++,0.30631503506685254,0.2871712859501879,0.6084980444496856,1,0.5743425719003759,0.270362765229295,0.25768550732903667,0.5153710146580733
AADACL4,+--,0.3885723725392003,0.588845857965889,0.49695955452359863,-1,0.9939191090471973,0.45012262590543545,0.43566050650239563,0.8713210130047913
AADAT,+++,0.18936398148616346,0.1264863355934803,0.9566665124787851,1,0.2529726711869606,0.10375313712069359,0.09861404209205499,0.19722808418410998
AAED1,-+-,0.09848738151107539,0.21893040630701713,0.7399005306995591,1,0.43786081261403426,0.20083276294775268,0.19169565961330062,0.38339131922660125
