gene_symbol,sex,nAcc_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
A1BG,female,-,0.6444891603181916,0.6777554198409041,0.3222445801590958,-1,0.6444891603181916
A1CF,female,-,0.9292178446030769,0.5353910776984616,0.46460892230153844,-1,0.9292178446030769
A2M,female,-,0.08334668886085217,0.958326655569574,0.041673344430426085,-1,0.08334668886085217
A2ML1,female,-,0.49788623370426666,0.7510568831478667,0.24894311685213333,-1,0.49788623370426666
A2MP1,female,-,0.5450586886475224,0.7274706556762388,0.2725293443237612,-1,0.5450586886475224
A3GALT2,female,-,0.1891646240464805,0.9054176879767597,0.09458231202324024,-1,0.1891646240464805
A4GALT,female,+,0.6095119594324896,0.3047559797162448,0.6952440202837552,1,0.6095119594324896
A4GNT,female,-,0.3154575517814391,0.8422712241092805,0.15772877589071954,-1,0.3154575517814391
AAAS,female,-,0.2096055760924194,0.8951972119537903,0.1048027880462097,-1,0.2096055760924194
AACS,female,-,0.8402830827776882,0.5798584586111559,0.4201415413888441,-1,0.8402830827776882
AACSP1,female,-,0.8100290019472269,0.5949854990263865,0.40501450097361347,-1,0.8100290019472269
AADAC,female,-,0.156215636684144,0.921892181657928,0.078107818342072,-1,0.156215636684144
AADACL2,female,-,0.35428947681750617,0.8228552615912469,0.17714473840875308,-1,0.35428947681750617
AADACL3,female,+,0.75217207620694,0.37608603810347,0.6239139618965299,1,0.75217207620694
AADACL4,female,+,0.4178803738622758,0.2089401869311379,0.7910598130688621,1,0.4178803738622758
AADACP1,female,-,0.4444615122400485,0.7777692438799757,0.22223075612002424,-1,0.4444615122400485
AADAT,female,-,0.1744066325521629,0.9127966837239185,0.08720331627608145,-1,0.1744066325521629
AAED1,female,-,0.6599143572782964,0.6700428213608518,0.3299571786391482,-1,0.6599143572782964
AAGAB,female,+,0.4680996917555875,0.23404984587779376,0.7659501541222062,1,0.4680996917555875
AAK1,female,-,0.8913447277880504,0.5543276361059748,0.4456723638940252,-1,0.8913447277880504
AAMDC,female,-,0.46886208605315516,0.7655689569734224,0.23443104302657758,-1,0.46886208605315516
AAMP,female,+,0.8206793781018925,0.41033968905094625,0.5896603109490537,1,0.8206793781018925
AANAT,female,-,0.8013247403172469,0.5993376298413766,0.40066237015862344,-1,0.8013247403172469
AAR2,female,+,0.9016221991549723,0.45081109957748616,0.5491889004225139,1,0.9016221991549723
AARD,female,-,0.5642102593704439,0.717894870314778,0.28210512968522194,-1,0.5642102593704439
