gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
A1BG,-+,0.08808110153808775,0.1346658897115245,0.6707800111902538,1,0.269331779423049
A1CF,-+,0.5105102545630877,0.40865144337975967,0.7132315493892535,1,0.8173028867595193
A2M,-+,0.08334668886085217,0.593439615617565,0.1383390947495868,-1,0.2766781894991736
A2ML1,-+,0.49788623370426666,0.5124443467258669,0.49645788948260944,-1,0.9929157789652189
A2MP1,-+,0.5450586886475224,0.6710404673846485,0.44776458899494365,-1,0.8955291779898873
A3GALT2,-+,0.1891646240464805,0.3132610477547239,0.2942747207419758,-1,0.5885494414839516
A4GALT,++,0.0016713028811693239,0.0023622003985262576,0.9477485033396092,1,0.004724400797052515
A4GNT,--,0.3154575517814391,0.8039543391859765,0.2685125003923752,-1,0.5370250007847504
AAAS,-+,0.12892951915045392,0.22231387986676984,0.3257416710069137,1,0.4446277597335397
AACS,-+,0.6887125162170096,0.5213689053675873,0.630618208167239,1,1.0427378107351746
AACSP1,-+,0.4310848573111131,0.39163543870578915,0.6820091254376572,1,0.7832708774115783
AADAC,--,0.156215636684144,0.84857405562511,0.1540052244568962,-1,0.3080104489137924
AADACL2,-+,0.22973514395461367,0.31748592207379855,0.4473101703620571,1,0.6349718441475971
AADACL3,++,0.3425619788427099,0.2410710682783156,0.8581038749453183,1,0.4821421365566312
AADACL4,+-,0.4178803738622758,0.4248665328570908,0.5858349747210643,1,0.8497330657141816
AADACP1,-+,0.4444615122400485,0.5214185695401893,0.462601785899398,-1,0.925203571798796
AADAT,-+,0.1744066325521629,0.6937403124994814,0.2170082628896036,-1,0.4340165257792072
AAED1,-+,0.09848738151107539,0.14555541946650233,0.6773883902778113,1,0.29111083893300466
AAGAB,+-,0.17455499894775073,0.5433585011646962,0.24770015016162486,-1,0.4954003003232497
AAK1,--,0.684926235240389,0.7323546524352537,0.43952763414486745,-1,0.8790552682897349
