gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
PERM1,--,0.056392936003358894,0.978777377051562,0.031229376398347438,-1,0.062458752796694876,0.017795015114355786,0.01243440565822496,0.02486881131644992
HES4,-+,0.04917541664255589,0.402715471055808,0.10296736359648001,-1,0.20593472719296002,0.08418410996406776,0.07403604836869723,0.14807209673739447
ISG15,-+,0.042780505228368945,0.0998110756413102,0.18513600882481596,1,0.1996221512826204,0.08127994524298426,0.07129413106713055,0.1425882621342611
AGRN,-+,0.09193999217675239,0.6743265162444,0.1386198263340297,-1,0.2772396526680594,0.12097188159470712,0.11293634496919917,0.22587268993839835
RNF223,-+,0.10670876202780903,0.14169709143442358,0.7488294000304383,1,0.28339418286884716,0.12417294090805385,0.11612388068214224,0.2322477613642845
C1orf159,-+,0.19546877620930955,0.29980920444650344,0.3249456510229738,1,0.5996184088930069,0.297969427332877,0.2706895568356813,0.5413791136713626
TTLL10,-+,0.38591092694188867,0.3583152363457298,0.7029584277048518,1,0.7166304726914596,0.3606548026465891,0.3209946957166486,0.6419893914332973
TNFRSF18,+-,0.9056757653531319,0.6078180722069589,0.5812825485114093,-1,1.1625650970228185,0.5285461700792791,0.46611909650924027,0.9322381930184805
TNFRSF4,-+,0.16824929227977803,0.7166297655432914,0.20587810640622498,-1,0.41175621281244995,0.19346375406376548,0.17989961213780514,0.3597992242756103
SDF4,-+,0.4284848704993896,0.48594078066587526,0.4633713974911852,-1,0.9267427949823704,0.457537215536417,0.39944102213096055,0.7988820442619211
B3GALT6,++,0.5085438596322843,0.255879394964119,0.8731889926868792,1,0.511758789928238,0.24954369153547798,0.22893971368276964,0.45787942736553927
FAM132A,++,0.1265446558697314,0.04834395670514359,0.9813106291422136,1,0.09668791341028718,0.03177047684234543,0.02583699309872811,0.05167398619745622
UBE2J2,-+,0.5019121489185332,0.4675931653564366,0.5934362165876119,1,0.9351863307128732,0.4605863563769108,0.40272628757200707,0.8054525751440141
SCNN1D,-+,0.19679811726406285,0.5378280838635594,0.2704953188602305,-1,0.540990637720461,0.26624080305709236,0.24212867898699522,0.48425735797399044
ACAP3,-+,0.32120379695024703,0.6257737446902216,0.3497293130367377,-1,0.6994586260734754,0.3518507956425027,0.31462468628793067,0.6292493725758613
PUSL1,-+,0.22659106766803905,0.30452491625967026,0.5045842194878116,1,0.6090498325193405,0.3034451289071412,0.27513831061427024,0.5502766212285405
CPSF3L,-+,0.6324951873493387,0.5575871467952972,0.5425812434789918,-1,1.0851624869579837,0.5126903553299492,0.4508327629477527,0.9016655258955054
CPTP,++,0.15621228343215013,0.12059008484924791,0.914450659473009,1,0.24118016969849582,0.10124344056582249,0.0936519705697827,0.1873039411395654
TAS1R3,-+,0.2756715726186231,0.6789426479813202,0.3005818257446484,-1,0.6011636514892968,0.29875092682370386,0.2715605749486653,0.5431211498973306
DVL1,++,0.4900349790917419,0.28084194478492347,0.8533770080399663,1,0.5616838895698469,0.276694045174538,0.2528945417213255,0.505789083442651
MXRA8,++,0.2817200346556022,0.24325250496473128,0.818277394098839,1,0.48650500992946255,0.23722336299338354,0.2166771231392232,0.4333542462784464
AURKAIP1,++,0.1071737002824693,0.061228487940524955,0.9656773288896382,1,0.12245697588104991,0.043463381245722105,0.03553299492385787,0.07106598984771574
CCNL2,-+,0.2582465919006861,0.3715082674609498,0.35617772532792885,-1,0.7123554506558577,0.35880910283465467,0.3189025781428245,0.637805156285649
MRPL20,-+,0.03397494536624483,0.050880740568717386,0.8237385185757771,1,0.10176148113743477,0.034223134839151265,0.02720584041521702,0.05441168083043404
ANKRD65,-+,0.06149581796606111,0.5800572915566137,0.11047286019915858,-1,0.22094572039831717,0.09137055837563451,0.08259183207848506,0.1651836641569701
TMEM88B,-+,0.032254073389402116,0.3808771794107564,0.07423065325845622,-1,0.14846130651691244,0.056179775280898875,0.04620123203285421,0.09240246406570841
VWA1,-+,0.06246875056861426,0.5059953934728495,0.11758935035314386,-1,0.2351787007062877,0.09827183026293275,0.0902920374172941,0.1805840748345882
ATAD3C,-+,0.09096637248859533,0.25920931985089596,0.1754371456130804,-1,0.3508742912261608,0.16095363029715393,0.14887063655030802,0.29774127310061604
ATAD3B,-+,0.06625182573510838,0.12728255206614886,0.4465847828851712,1,0.2545651041322977,0.10865845311430528,0.09986881879883648,0.19973763759767296
ATAD3A,-+,0.47014795118159036,0.4055650459991713,0.6905745717221488,1,0.8111300919983426,0.4073123431439653,0.3578965379569954,0.7157930759139908
TMEM240,++,0.3155469443472899,0.12978330842693012,0.946130734663984,1,0.25956661685386023,0.1123089208304814,0.10334797239491245,0.2066959447898249
SSU72,++,0.21514005055928265,0.1590394956080705,0.8988184726054637,1,0.318078991216141,0.14310974218571754,0.13289226030913134,0.2657845206182627
CDK11A,-+,0.007131600333936872,0.1715613888867337,0.022836467952812547,-1,0.045672935905625094,0.012205555238692751,0.007357973990417523,0.014715947980835045
SLC35E2,-+,0.4348031525369243,0.7112199309598474,0.37824658793580795,-1,0.7564931758716159,0.38093880111789197,0.33783937942048825,0.6756787588409765
NADK,-+,0.7082312204126284,0.5509104831946046,0.5927599057563259,1,1.1018209663892091,0.5164841432808579,0.4551417327325615,0.910283465465123
GNB1,+-,0.465738173502685,0.45839512885678163,0.5690372563061553,1,0.9167902577135633,0.4535706137348848,0.3965094393429533,0.7930188786859066
CALML6,-+,0.1779884455528401,0.37648608439397263,0.27487734672859193,-1,0.5497546934571839,0.27011920378714427,0.24743326488706366,0.4948665297741273
TMEM52,-+,0.24850980997975639,0.28467002070149744,0.6666958784794706,1,0.5693400414029949,0.2816563997262149,0.25608851879313294,0.5121770375862659
CFAP74,-+,0.3426627193112677,0.6060512493032293,0.3706336251910241,-1,0.7412672503820482,0.3735812467917641,0.3321925621720283,0.6643851243440566
PRKCZ,++,0.3134604936020251,0.19624693274775687,0.8962587953577961,1,0.39249386549551374,0.1829226557152635,0.1707637027319911,0.3415274054639822
FAAP20,-+,0.05794129406233107,0.11617047159846543,0.4203950807442817,1,0.23234094319693085,0.09662331736253707,0.08914618148634004,0.17829236297268009
SKI,+-,0.1816193803335591,0.23552115796433554,0.6419929485337648,1,0.4710423159286711,0.2267853068674424,0.2090914275936805,0.418182855187361
MORN1,++,0.4425628515428746,0.29598446070471196,0.8304774786701343,1,0.5919689214094239,0.2935774583618526,0.2668111561056294,0.5336223122112588
RER1,++,0.5558762222424107,0.4044759613420464,0.740306762525292,1,0.8089519226840928,0.40605749486652976,0.3570980436890435,0.714196087378087
PEX10,++,0.46998673001613234,0.2689531986217872,0.8608555617922327,1,0.5379063972435744,0.2637462924937258,0.2413734101408772,0.4827468202817544
PLCH2,-+,0.30183669671596397,0.7485206850185375,0.2901315045556049,-1,0.5802630091112098,0.2875149717675241,0.2615217887291809,0.5230435774583618
PANK4,+-,0.3591007899485841,0.6771930376497717,0.35485785940156944,-1,0.7097157188031389,0.35755432612787313,0.31798996121378054,0.6359799224275611
HES5,--,0.5297669042928408,0.779471651248252,0.3649267068775167,-1,0.7298534137550334,0.3681058575258085,0.3262035135751768,0.6524070271503536
TNFRSF14,-+,0.009081094359067392,0.027254240392330265,0.2611619311042373,1,0.05450848078466053,0.014830025096965549,0.00975303712998346,0.01950607425996692
FAM213B,+-,0.13388990903583783,0.15055242879990885,0.8114197614067326,1,0.3011048575998177,0.13307095596623317,0.12399475275195346,0.24798950550390692
MMEL1,++,0.018312841529765672,0.016323065947134816,0.9631321067347539,1,0.03264613189426963,0.007757243896874287,0.004391718473735242,0.008783436947470484
TTC34,++,0.6122176127494241,0.32985347736076703,0.8230489254113165,1,0.6597069547215341,0.3337326032397901,0.2965835852392631,0.5931671704785262
ACTRT2,++,0.82134870380883,0.47526296340011726,0.7090500828995387,1,0.9505259268002345,0.4668035592060233,0.40757428848457194,0.8151485769691439
PRDM16,-+,0.9658251651809393,0.587375222171036,0.6054093364375354,1,1.174750444342072,0.5303445128907142,0.4674043232761079,0.9348086465522158
ARHGEF16,-+,0.2010870653816828,0.29735536471446844,0.39274236074620655,1,0.5947107294289369,0.2954026922199407,0.26869332116580164,0.5373866423316033
MEGF6,-+,0.02675501243750383,0.06358704911907966,0.3876555861678736,1,0.1271740982381593,0.04551676933607118,0.038099583642274566,0.07619916728454913
TPRG1L,+-,0.42280769836671817,0.49762625401682,0.45638694880531494,-1,0.9127738976106299,0.4518336850510466,0.39516313027606664,0.7903262605521333
WRAP73,-+,0.3579876431935306,0.3527576143753236,0.6806674189933948,1,0.7055152287506472,0.3549509468400639,0.3169451890720356,0.6338903781440712
TP73,-+,0.749888294478666,0.6365333979449344,0.5329311618799003,-1,1.0658623237598006,0.5071008954542862,0.44598448551220626,0.8919689710244125
CCDC27,-+,0.2195607093883221,0.262996434283912,0.6630602813287229,1,0.525992868567824,0.25747205110654803,0.23555580904579934,0.4711116180915987
SMIM1,++,0.760467879460379,0.440460675910658,0.7380537441728938,1,0.880921351821316,0.4392539356605065,0.3836194604460161,0.7672389208920322
LRRC47,+-,0.6271491549342789,0.5447052911690955,0.5483707151081563,1,1.089410582338191,0.5134040611453342,0.45149147322192434,0.9029829464438487
CEP104,-+,0.5531754266379838,0.4848338363131876,0.6081392498876668,1,0.9696676726263752,0.4741615331964408,0.41419038384760165,0.8283807676952033
DFFB,-+,0.47470221045816685,0.3970896789627266,0.7089483086439087,1,0.7941793579254532,0.39921286789869953,0.3521359721667712,0.7042719443335425
C1orf174,-+,0.24487755120247123,0.5772345758363543,0.3054285573079926,-1,0.6108571146159852,0.30473963383334285,0.2757243896874287,0.5514487793748574
AJAP1,+-,0.1160056334611412,0.4215851932249097,0.19733247426357567,-1,0.39466494852715134,0.18399589345805054,0.17168605977640886,0.3433721195528177
NPHP4,+-,0.3352466704958347,0.5962404253749456,0.36873399215900177,-1,0.7374679843180035,0.3714139052073233,0.33070955966233173,0.6614191193246635
KCNAB2,+-,0.1499981892628739,0.20665222282402704,0.6362318565353985,1,0.4133044456480541,0.19415925165411818,0.18085895169109678,0.36171790338219356
CHD5,-+,0.26446122411778994,0.24858684672427497,0.790287213599125,1,0.49717369344854995,0.24195756331279944,0.22283693606342325,0.4456738721268465
RPL22,++,0.42106493272296075,0.19226265227160141,0.9121686069310828,1,0.38452530454320283,0.1785306867442391,0.16597273712427993,0.33194547424855986
RNF207,-+,0.45589726783673473,0.709701408052748,0.3885882939701912,-1,0.7771765879403824,0.39194661495465694,0.34508327629477525,0.6901665525895505
ICMT,+-,0.15182055123589927,0.1979826400937854,0.6877216949149155,1,0.3959652801875708,0.18446269678302532,0.17241772657274854,0.3448354531454971
HES3,+-,0.25721293064865974,0.5443129681501019,0.3232753828676602,-1,0.6465507657353204,0.326127873153482,0.29135295459730776,0.5827059091946155
GPR153,-+,0.33496045134767544,0.7508085219903082,0.30763336228893795,-1,0.6152667245778759,0.30747732846632064,0.2774925849874515,0.554985169974903
ACOT7,++,0.2312114844232476,0.19222247937587467,0.8607229069799958,1,0.38444495875174933,0.17835957107004335,0.1658016312097188,0.3316032624194376
HES2,-+,0.13417386508112752,0.19567176994072596,0.6056704338687354,1,0.39134353988145193,0.1824663472507415,0.16979410254947813,0.33958820509895626
ESPN,++,0.23247994001739788,0.13662505667062103,0.9311110966972973,1,0.27325011334124205,0.1188683550079854,0.11076256202589403,0.22152512405178806
TNFRSF25,-+,0.4830816019649069,0.7021390641356269,0.4045935161493747,-1,0.8091870322987494,0.40649061769235156,0.35728952772073924,0.7145790554414785
PLEKHG5,+-,0.10080322975688805,0.1534628891623873,0.641272368024493,1,0.3069257783247746,0.1370636550308008,0.1269605886043461,0.2539211772086922
NOL9,+-,0.3098558432780568,0.784593704021633,0.276668828445139,-1,0.553337656890278,0.2718872982376091,0.24920146018708647,0.49840292037417294
TAS1R1,-+,0.5885959574908962,0.6914643378961676,0.4501301833394789,-1,0.9002603666789578,0.4468145782239206,0.3907711613050422,0.7815423226100844
ZBTB48,--,0.8934169493574299,0.6396290493182077,0.5509994345553582,-1,1.1019988691107163,0.5165117207551474,0.45516769336071183,0.9103353867214237
KLHL21,+-,0.12025393674927196,0.3899437001503601,0.20566564058461273,-1,0.41133128116922546,0.19317857753949694,0.1796144193474789,0.3592288386949578
PHF13,+-,0.15030903461071846,0.5760907225843057,0.21745705653661995,-1,0.4349141130732399,0.2065248388752638,0.1917636322153776,0.3835272644307552
THAP3,-+,0.04116841849916972,0.08614296702930546,0.4747482765418055,1,0.17228593405861092,0.06867442391056354,0.0590315405235841,0.1180630810471682
DNAJC11,+-,0.06530840020235719,0.4121508495615409,0.12804908196092168,-1,0.25609816392184337,0.10990703245308846,0.10118640200775725,0.2023728040155145
CAMTA1,+-,0.7674761669322038,0.6335571116529221,0.5389625959923852,-1,1.0779251919847703,0.5105230137455085,0.4492356833219256,0.8984713666438512
VAMP3,-+,0.47173576100229697,0.612290196290016,0.4442350535032513,-1,0.8884701070065026,0.44225175383562426,0.3864932694501483,0.7729865389002966
PER3,+-,0.4150103002420926,0.7197069401447719,0.3643607323583864,-1,0.7287214647167728,0.36753550447727146,0.3258042436687201,0.6516084873374401
UTS2,-+,0.4730031913869104,0.5245639602736758,0.47833161671642105,-1,0.9566632334328421,0.46900131181201166,0.40919461556011866,0.8183892311202373
TNFRSF9,-+,0.25309466299970057,0.3157772054450006,0.5621923979984746,1,0.6315544108900012,0.31656399726214923,0.28414988878115555,0.5682997775623111
PARK7,++,0.277648736413679,0.17334145848938937,0.9086030235965235,1,0.34668291697877873,0.15799680584074835,0.1473792277419723,0.2947584554839446
ERRFI1,--,0.010008088670738158,0.8459077424323536,0.01744428430761424,-1,0.03488856861522848,0.008555295728055667,0.004791238877481177,0.009582477754962354
SLC45A1,+-,0.29149842641907925,0.31952531835167136,0.6553573335038113,1,0.6390506367033427,0.3214122746976956,0.28774311298693894,0.5754862259738779
RERE,+-,0.4235432763994505,0.3745593131587111,0.7082555190794758,1,0.7491186263174222,0.37759525439196895,0.3351394513203673,0.6702789026407346
ENO1,+-,0.7194100808928199,0.5233740666340698,0.639775348020187,1,1.0467481332681396,0.5008555783709788,0.4400844122511835,0.880168824502367
CA6,-+,0.22189105349194022,0.2601581074374737,0.6800151003418415,1,0.5203162148749474,0.2538215833903719,0.23316032624194377,0.46632065248388754
SLC2A7,-+,0.13210820430098713,0.17254346293924178,0.7191815102611284,1,0.34508692587848355,0.15719826602783482,0.14669480408372781,0.29338960816745563
SLC2A5,++,0.2556305218655726,0.18677089988646453,0.8848216846960166,1,0.37354179977292906,0.17237052247319187,0.1604973478583243,0.3209946957166486
GPR157,-+,0.17855428522073283,0.19291961111986183,0.7876928610090184,1,0.38583922223972367,0.17955738078941363,0.16665716078252438,0.33331432156504875
H6PD,++,0.5817174334459735,0.33064259196317874,0.8210013111416472,1,0.6612851839263575,0.3344741044946384,0.29726800889750754,0.5945360177950151
SPSB1,+-,0.5011393149493526,0.42955364782808125,0.6714982015957417,1,0.8591072956561625,0.4289869952087611,0.37557748246164374,0.7511549649232875
