gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
A1BG,-+,0.08808110153808775,0.9291037623346668,0.0745793222017566,-1,0.1491586444035132,0.903376682637463,0.08407483458818162,0.16814966917636323
A1CF,-+,0.5105102545630877,0.7653503645989145,0.3714418586901574,-1,0.7428837173803148,0.7215377595254392,0.3687542778918549,0.7375085557837098
A3GALT2,-+,0.1891646240464805,0.9812447784735239,0.05460719436740726,-1,0.10921438873481452,0.9750171115674195,0.06228610540725531,0.12457221081451061
A4GALT,++,0.0016713028811693239,0.6665776940423206,0.0049097548501822325,-1,0.009819509700364465,0.6307323750855578,0.004791238877481177,0.009582477754962354
A4GNT,--,0.3154575517814391,0.7655429357529178,0.2896322095630265,-1,0.579264419126053,0.7218229523157654,0.297969427332877,0.595938854665754
AAAS,-+,0.12892951915045392,0.9860152052804025,0.04051835527489356,-1,0.08103671054978712,0.9819187770933151,0.044718229523157654,0.08943645904631531
AACS,-+,0.6887125162170096,0.7478566033172126,0.424376689570116,-1,0.848753379140232,0.703399498060689,0.4115902349988592,0.8231804699977184
AADAC,--,0.156215636684144,0.7834763496551926,0.17706764241107795,-1,0.3541352848221559,0.7395619438740588,0.1931895961670089,0.3863791923340178
AADACL2,-+,0.22973514395461367,0.9592132276740146,0.09959955830957136,-1,0.19919911661914272,0.9439881359799225,0.11088295687885011,0.22176591375770022
AADACL3,++,0.3425619788427099,0.675017700929503,0.3458344363999075,-1,0.691668872799815,0.6378621948437143,0.3469655487109286,0.6939310974218572
AADACL4,+-,0.4178803738622758,0.23995070128507384,0.8780439533530559,1,0.4799014025701477,0.2764088523842117,0.8028747433264887,0.5528177047684234
AADAT,-+,0.1744066325521629,0.8984842967194866,0.13988066979351868,-1,0.27976133958703736,0.864932694501483,0.1550878393794205,0.310175678758841
AAED1,-+,0.09848738151107539,0.9242992350462857,0.08318754818073708,-1,0.16637509636147416,0.8969883641341547,0.09308692676249145,0.1861738535249829
AAGAB,+-,0.17455499894775073,0.09990747787724934,0.9493508529919978,1,0.19981495575449867,0.1366073465662788,0.9103353867214237,0.2732146931325576
AAK1,--,0.684926235240389,0.5052677787428155,0.6527382080116043,1,1.010535557485631,0.49503764544832307,0.5922313483915127,0.9900752908966461
AAMDC,-+,0.05496477815190643,0.964167728907229,0.03894500855049745,-1,0.0778900171009949,0.9504905315993611,0.04300707278120009,0.08601414556240018
AAMP,++,0.6835405300066466,0.6236480115646739,0.5243415593000083,-1,1.0486831186000165,0.5944558521560575,0.4898471366643851,0.9796942733287702
AANAT,-+,0.03308854863736313,0.9009980754086888,0.03988039680959713,-1,0.07976079361919426,0.8684690851015286,0.04403376682637463,0.08806753365274926
AAR2,+-,0.7091154288553696,0.45291708813140413,0.7221017544865298,1,0.9058341762628083,0.45043349304129593,0.6516655258955054,0.9008669860825919
AARD,-+,0.1311215150054933,0.9386515082862336,0.09229486725606581,-1,0.18458973451213162,0.9152977412731006,0.10295459730778006,0.20590919461556012
