gene_symbol,Previous_Symbol,Updated_Symbol,Labonte_genes,Ding_genes,Ramaker_genes
PERM1,C1orf170,PERM1,NA,NA,PERM1
HES4,BHLHB42,HES4,HES4,HES4,HES4
ISG15,G1P2,ISG15,ISG15,ISG15,ISG15
ISG15,IFI15,ISG15,ISG15,ISG15,ISG15
ISG15,IMD38,ISG15,ISG15,ISG15,ISG15
ISG15,IP17,ISG15,ISG15,ISG15,ISG15
ISG15,UCRP,ISG15,ISG15,ISG15,ISG15
ISG15,HUCRP,ISG15,ISG15,ISG15,ISG15
AGRN,AGRIN,AGRN,AGRN,AGRN,AGRN
AGRN,CMS8,AGRN,AGRN,AGRN,AGRN
AGRN,CMSPPD,AGRN,AGRN,AGRN,AGRN
RNF223,-,RNF223,NA,NA,RNF223
C1orf159,-,C1orf159,C1orf159,C1orf159,C1orf159
TTLL10,TTLL5,TTLL10,TTLL5,TTLL5,TTLL10
TNFRSF18,AITR,TNFRSF18,NA,NA,TNFRSF18
TNFRSF18,CD357,TNFRSF18,NA,NA,TNFRSF18
TNFRSF18,ENERGEN,TNFRSF18,NA,NA,TNFRSF18
TNFRSF18,GITR,TNFRSF18,NA,NA,TNFRSF18
TNFRSF18,GITR-D,TNFRSF18,NA,NA,TNFRSF18
TNFRSF4,ACT35,TNFRSF4,NA,NA,TNFRSF4
TNFRSF4,CD134,TNFRSF4,NA,NA,TNFRSF4
TNFRSF4,IMD16,TNFRSF4,NA,NA,TNFRSF4
TNFRSF4,OX40,TNFRSF4,NA,NA,TNFRSF4
TNFRSF4,TXGP1L,TNFRSF4,NA,NA,TNFRSF4
SDF4,CAB45,SDF4,SDF4,SDF4,SDF4
SDF4,SDF-4,SDF4,SDF4,SDF4,SDF4
B3GALT6,EDSP2,B3GALT6,B3GALT6,B3GALT6,B3GALT6
B3GALT6,EDSSPD2,B3GALT6,B3GALT6,B3GALT6,B3GALT6
B3GALT6,SEMDJL1,B3GALT6,B3GALT6,B3GALT6,B3GALT6
B3GALT6,BETA3GALT6,B3GALT6,B3GALT6,B3GALT6,B3GALT6
FAM132A,NA,C1QTNF12,NA,NA,FAM132A
UBE2J2,NCUBE-2,UBE2J2,UBE2J2,UBE2J2,UBE2J2
UBE2J2,NCUBE2,UBE2J2,UBE2J2,UBE2J2,UBE2J2
UBE2J2,PRO2121,UBE2J2,UBE2J2,UBE2J2,UBE2J2
SCNN1D,ENACD,SCNN1D,SCNN1D,SCNN1D,SCNN1D
SCNN1D,ENACDELTA,SCNN1D,SCNN1D,SCNN1D,SCNN1D
SCNN1D,SCNED,SCNN1D,SCNN1D,SCNN1D,SCNN1D
SCNN1D,DNACH,SCNN1D,SCNN1D,SCNN1D,SCNN1D
ACAP3,CENTB5,ACAP3,ACAP3,NA,ACAP3
PUSL1,-,PUSL1,PUSL1,PUSL1,PUSL1
CPSF3L,NA,INTS11,INTS11,CPSF3L,CPSF3L
CPTP,GLTPD1,CPTP,CPTP,GLTPD1,CPTP
TAS1R3,T1R3,TAS1R3,NA,NA,TAS1R3
DVL1,DRS2,DVL1,DVL1,DVL1,DVL1
DVL1,DVL,DVL1,DVL1,DVL1,DVL1
DVL1,DVL1L1,DVL1,DVL1,DVL1,DVL1
DVL1,DVL1P1,DVL1,DVL1,DVL1,DVL1
MXRA8,ASP3,MXRA8,MXRA8,NA,MXRA8
AURKAIP1,AIP,AURKAIP1,AURKAIP1,AURKAIP1,AURKAIP1
AURKAIP1,AKIP,AURKAIP1,AURKAIP1,AURKAIP1,AURKAIP1
AURKAIP1,MRP-S38,AURKAIP1,AURKAIP1,AURKAIP1,AURKAIP1
CCNL2,ANIA-6B,CCNL2,CCNL2,CCNL2,CCNL2
