gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
GALNT15,-+--,-+++++-+,++-+-+,1.9970639898730247e-7,3.00096261346311e-6,+,3.99e-7,0.004911423,1.07e-4,0.00703
GALNT15,-+--,-+++++-+,++-+++,1.9970639898730247e-7,3.00096261346311e-6,+,3.99e-7,0.004911423,1.07e-4,0.00703
GALNT15,-+--,-+++++-+,--++++,1.9970639898730247e-7,3.00096261346311e-6,+,3.99e-7,0.004911423,1.07e-4,0.00703
NR4A3,----,--------,NA,4.343241542799243e-6,2.3498395395647536e-5,+,8.69e-6,0.001118376,0.00234,0.153
AGA,----,++++++-+,------,5.955693119839328e-6,1.0664759465156269e-5,+,1.19e-5,2.84925e-4,0.0032,0.21
TRIB1,----,--------,++++-+,1.072640555499681e-5,4.69986052217628e-5,+,2.15e-5,0.001304623,0.00577,0.378
EGR2,----,--------,+-----,3.1566179629184745e-5,1.3141624069653115e-4,+,6.31e-5,0.001319323,0.017,1
FAM101B,-+++,------++,+++-+-,4.847954483006187e-5,3.46555578668234e-5,-,6.93e-5,0.0014725456488414162,0.0186,1
EGR1,----,--------,++----,5.439898725403032e-5,2.0205668692240106e-4,+,1.09e-4,0.002214409,0.0293,1
SLC6A2,-+-+,+-+++---,-+++++,5.931577757476754e-5,5.5811019084426766e-5,-,1.12e-4,0.0018157151465647186,0.03,1
SLC6A2,-+-+,++++++++,-+++++,5.931577757476754e-5,5.5811019084426766e-5,-,1.12e-4,0.0018157151465647186,0.03,1
NARS2,++++,++++++++,++-+-+,9.049418460429239e-5,6.246123472906534e-5,-,1.25e-4,2.1685687228460747e-4,0.0336,1
ETV3,-+--,--------,NA,6.90184999697628e-5,1.630169018268415e-4,+,1.38e-4,1.62732e-4,0.0371,1
EGR4,+---,--------,++----,7.266924032403546e-5,1.8579605514192565e-4,+,1.45e-4,0.002035188,0.0391,1
