gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
GALNT15,-+-,++-++-,+-++,2.108655598872116e-9,4.984901803158224e-9,+,4.22e-9,0.005797004,1.13e-6,7.43e-5
GALNT15,-+-,++-++-,++++,2.108655598872116e-9,4.984901803158224e-9,+,4.22e-9,0.005797004,1.13e-6,7.43e-5
GALNT15,-+-,++-++-,++-+,2.108655598872116e-9,4.984901803158224e-9,+,4.22e-9,0.005797004,1.13e-6,7.43e-5
SLC6A2,-++,+---++,++-+,5.618582239798413e-5,3.5030496606213227e-6,-,7.01e-6,7.644242388104408e-4,0.00188,0.123
SLC6A2,-++,++++++,++-+,5.618582239798413e-5,3.5030496606213227e-6,-,7.01e-6,7.644242388104408e-4,0.00188,0.123
P4HA1,---,------,---+,1.1241523930317245e-5,7.309643597887998e-6,-,1.46e-5,7.94288e-4,0.00393,0.257
TIE1,+++,++++++,NA,9.169443683027548e-5,1.103380462252082e-5,-,2.21e-5,0.002398653419051088,0.00594,0.389
NRG4,+++,++++++,NA,7.454929382749583e-5,1.1033804622520839e-5,-,2.21e-5,0.003636789,0.00594,0.389
ELOF1,++-,++++++,+-+-,3.8914678561278083e-05,1.2198417956458503e-5,-,2.44e-5,9.19193e-5,0.00656,0.43
RWDD2B,---,++++++,---+,6.928719393657028e-5,1.5965802699294475e-5,-,3.19e-5,0.003980618,0.00859,0.562
ST6GALNAC1,+++,++++++,NA,1.7220195359481683e-4,2.3716233712499655e-5,-,4.74e-5,0.015975231,0.0128,0.835
VEGFA,---,------,---+,4.0399375955342186e-5,2.6711551212130138e-5,-,5.34e-5,0.001792509,0.0144,0.941
USHBP1,+++,++++++,NA,1.3897593568965028e-4,2.9399853152742518e-5,-,5.88e-5,5.07620858896974e-4,0.0158,1
COLEC11,+++,------,++--,1.1090615084594324e-4,3.025929971910509e-5,-,6.05e-5,0.009992837782626733,0.0163,1
ALS2CL,++-,++++++,NA,1.9537335265316976e-4,3.193796575785172e-5,-,6.39e-5,7.092032401843758e-4,0.0172,1
RPS26,+++,++++++,----,2.816109156909188e-4,4.100868584742947e-5,-,8.2e-5,0.0022078621270659442,0.0221,1
TAS2R13,--+,----++,NA,1.7190386982274792e-4,5.349474619730975e-5,-,1.07e-4,0.0012403682132721846,0.0288,1
NR1D1,+++,++++++,NA,2.7082817074669974e-4,5.621271755278949e-5,-,1.12e-4,0.007710126,0.0302,1
SNRNP25,+++,++++++,NA,3.2043840406343775e-4,5.6622934376110556e-5,-,1.13e-4,0.005229586,0.0305,1
MARCH2,+++,++++-+,NA,3.6681501008458675e-4,5.8772362200157805e-5,-,1.18e-4,1.74212e-4,0.0316,1
RPH3AL,+++,++++++,NA,4.787876653840698e-4,6.644512266841203e-5,-,1.33e-4,6.508400741202351e-4,0.0357,1
RPS28,++-,++++++,--+-,1.2400540277343882e-4,9.577206711612314e-5,-,1.92e-4,4.3403e-4,0.0515,1
CALN1,+-+,----+-,++++,1.0567996365836708e-4,9.685264225305444e-5,-,1.94e-4,0.006168633,0.0521,1
ASUN,---,------,NA,7.178069146837282e-4,1.1038525446657134e-4,-,2.21e-4,0.008160615,0.0594,1
ART5,+++,NA,NA,5.13347022587269e-4,1.1407060970740888e-4,-,2.28e-4,7.425945297457628e-4,0.0614,1
SEL1L,+-+,------,----,3.507742381352372e-4,1.2981864503877695e-4,-,2.6e-4,6.01311e-4,0.0698,1
ATP9B,-++,++++++,----,2.6089094632178976e-4,1.3846004455333072e-4,-,2.77e-4,0.001202809,0.0745,1
ZNF17,---,+---+-,----,5.868002406833537e-4,1.4108425131410015e-4,-,2.82e-4,0.0012584407809455805,0.0759,1
KIF13B,-+-,---+++,++++,1.4750620239712653e-4,2.3461330501815808e-4,+,2.95e-4,5.17884e-4,0.0794,1
ADAMTSL2,++-,++++++,+---,3.1194700166266325e-4,1.5866740844215215e-4,-,3.17e-4,3.1339e-4,0.0854,1
NET1,+++,++++++,++-+,6.743055849405961e-4,1.6497159449378962e-4,-,3.3e-4,0.00744961549949834,0.0888,1
TPSB2,+++,NA,NA,8.555783709787816e-4,1.7110591456111332e-4,-,3.42e-4,0.006228541983341123,0.0921,1
CD79B,+++,NA,NA,6.844626967830253e-4,1.7110591456111332e-4,-,3.42e-4,4.7147967022066376e-4,0.0921,1
MYO1A,---,NA,NA,9.696001825129756e-4,1.7111567419575633e-4,-,3.42e-4,0.006336057791227615,0.0921,1
PCDH17,---,-----+,----,3.7991301649469196e-4,1.7292260156293415e-4,-,3.46e-4,0.001403492,0.093,1
CYP7B1,---,------,NA,0.0012232746399158127,1.9583026387081498e-4,-,3.92e-4,0.012500121340474499,0.105,1
GATC,+++,------,---+,5.834406152024066e-4,1.9854870411148987e-4,-,3.97e-4,0.025597097,0.107,1
PCDHA12,+++,----++,NA,2.9966223974056254e-4,0.00020029198275737741,-,4.01e-4,0.008800711906672622,0.108,1
MFNG,+++,++++++,NA,0.0014780553033587596,2.0905641999741778e-4,-,4.18e-4,0.0031188105429773246,0.112,1
PTGDR2,+++,++++++,NA,9.312876848437873e-4,2.100092783902873e-4,-,4.2e-4,0.012136759,0.113,1
RAMP2,++-,++++++,++--,8.522669006312737e-4,2.1888954763196552e-4,-,4.38e-4,0.001559395,0.118,1
CLCC1,---,----+-,++-+,2.2174115554538762e-4,2.2122360186803845e-4,-,4.42e-4,0.002747566,0.119,1
SLURP1,+--,------,NA,9.735837537885716e-4,2.26305596233017e-4,-,4.53e-4,0.0012349109060917098,0.122,1
ANKRD37,+-+,------,---+,2.2706438159192613e-4,2.8899675964975057e-4,+,4.54e-4,6.06648e-4,0.122,1
NCAPH2,++-,++++++,----,2.9493478360312207e-4,2.5960031627511316e-4,-,5.19e-4,7.81e-5,0.14,1
ARHGEF15,+++,++++++,NA,0.0014497626839831068,2.65485106242924e-4,-,5.31e-4,0.002213345420813612,0.143,1
ENHO,+++,++++-+,NA,0.0013408618343269648,2.686729700778709e-4,-,5.37e-4,0.0032484891364441023,0.145,1
RPS2,+++,++++++,-+++,7.263441269142262e-4,2.726888927303553e-4,-,5.45e-4,6.73894e-4,0.147,1
