gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
GALNT15,-+--,-+++++-+,++-+-+,0.987432083304021,4.377387147529847e-12,-,8.75e-12,0.004911423,2.36e-9,1.54e-7
GALNT15,-+--,-+++++-+,++-+++,0.987432083304021,4.377387147529847e-12,-,8.75e-12,0.004911423,2.36e-9,1.54e-7
GALNT15,-+--,-+++++-+,--++++,0.987432083304021,4.377387147529847e-12,-,8.75e-12,0.004911423,2.36e-9,1.54e-7
RPS26,--++,--+-++++,------,0.9944774289644578,3.565147505947052e-8,-,7.13e-8,0.003046322,1.92e-5,0.00126
TMED5,-+++,++++----,-+----,8.880966326715645e-8,0.7874631810850787,+,1.78e-7,8.06631e-4,4.78e-5,0.00313
IP6K3,-+--,++++----,NA,1.1238437746674886e-7,0.9088141157030429,+,2.25e-7,0.004055764,6.05e-5,0.00396
KLK1,-++-,++++---+,---+++,1.4854802963836523e-7,7.824391697584477e-5,+,2.97e-7,0.009705337,7.99e-5,0.00523
KLK1,-++-,++++---+,+++---,1.4854802963836523e-7,7.824391697584477e-5,+,2.97e-7,0.009705337,7.99e-5,0.00523
KLK1,-++-,+--+++++,---+++,1.4854802963836523e-7,7.824391697584477e-5,+,2.97e-7,0.009705337,7.99e-5,0.00523
KLK1,-++-,+--+++++,+++---,1.4854802963836523e-7,7.824391697584477e-5,+,2.97e-7,0.009705337,7.99e-5,0.00523
PILRB,---+,----++++,+-+-++,0.9289319406557274,1.8056165915940152e-7,-,3.61e-7,0.002967031,9.71e-5,0.00636
RPS28,--+-,+++-++++,++----,0.3404203702861528,3.2226932157091155e-7,-,6.45e-7,4.3403e-4,1.73e-4,0.0114
SEL1L,-+++,++++----,+-----,3.907731693565803e-7,0.44205706204179007,+,7.82e-7,6.01311e-4,2.1e-4,0.0138
FAM101B,-+++,------++,+++-+-,0.25859176635396064,3.953387170827351e-7,-,7.91e-7,1.3169669318966625e-4,2.13e-4,0.0139
VSTM2L,+-+-,---+-+++,+++---,4.6494803404816124e-7,0.4924998248667519,+,9.3e-7,1.43539e-4,2.5e-4,0.0164
