gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,-+,--++,++,1.5155508332915526e-4,0.7774963262833787,+,3.03e-4,0.002809492,0.0815,0.0815,-0.0363,0.554
MGAT4C,1.2237e-6,MGAT4 family member C,++,----,--,0.6576611240521153,3.799179527033431e-4,-,7.6e-4,0.002131326,0.204,0.204,-0.0363,0.554
CKB,1.7557e-8,creatine kinase B,--,--++,++,0.0010895544183638622,0.760322398398024,+,0.00218,1.82118e-5,0.586,0.586,-0.0363,0.554
KDM3A,1.7641e-9,lysine demethylase 3A,+-,+---,NA,0.9552479384003654,0.0013492930382075505,-,0.0027,0.005746965,0.726,0.726,-0.0363,0.554
USP3,2.4852e-6,ubiquitin specific peptidase 3,+-,+---,--,0.8652647433561181,0.001388845710607328,-,0.00278,0.012310163,0.747,0.747,-0.0363,0.554
PAX6,1.6677e-9,paired box 6,++,+---,--,0.9335664283821317,0.002034642900990361,-,0.00407,0.002175936,1.09,1,-0.0363,0.554
PSORS1C1,1.7445e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,0.00563886258224023,1.52,1,-0.0363,0.554
HIST1H2BO,9.6505e-8,NA,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,0.00607244484267725,1.63,1,-0.0363,0.554
SCYL1,6.1112e-8,SCY1 like pseudokinase 1,+-,++++,+-,0.0033055325324163796,0.7948093747568938,+,0.00661,0.001734011,1.78,1,-0.0363,0.554
TMEM106B,1.2176e-12,transmembrane protein 106B,++,++--,--,0.3796718196399536,0.0035868145267261456,-,0.00717,2.16239e-4,1.93,1,-0.0363,0.554
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,--,--++,-+,0.0037586052451685377,0.7501824098972139,+,0.00752,4.9052e-5,2.02,1,-0.0363,0.554
MANEA,1.8836e-6,mannosidase endo-alpha,++,++--,--,0.02554380357377217,0.005028651986097425,-,0.0101,7.71466e-4,2.71,1,-0.0363,0.554
ZNF638,1.8282e-7,zinc finger protein 638,+-,+---,NA,0.9571879976948937,0.00562518548559669,-,0.0113,0.001959458,3.03,1,-0.0363,0.554
INPP4B,3.7112e-7,inositol polyphosphate-4-phosphatase type II B,++,----,+-,0.9233188992533297,0.005953520845687091,-,0.0119,0.030551685,3.2,1,-0.0363,0.554
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,--,----,+-,0.9760360599941221,0.005969947454876878,-,0.0119,0.012800616,3.21,1,-0.0363,0.554
NRD1,2.6643e-8,NA,NA,NA,NA,0.9922888122866595,0.007037866414905284,-,0.0141,0.015242509,3.79,1,-0.0363,0.554
BAZ2B,1.3215e-7,bromodomain adjacent to zinc finger domain 2B,--,+---,--,0.9907747217747539,0.007931756714111721,-,0.0159,0.013601592,4.27,1,-0.0363,0.554
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,--++,Filtered_Out,0.008651665642718322,0.6047224993280206,+,0.0173,0.001833984,4.65,1,-0.0363,0.554
C16orf45,1.8617e-9,NA,--,-+++,--,0.008993838703491588,0.1940923471972792,+,0.018,9.58753e-4,4.84,1,-0.0363,0.554
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,-++-,+-,0.009072561738701197,0.8013559284008108,+,0.0181,0.001631929,4.88,1,-0.0363,0.554
TRAF3,3.1737e-7,TNF receptor associated factor 3,-+,--+-,--,0.995376552990894,0.009986970235477927,-,0.02,0.011555865,5.37,1,-0.0363,0.554
TCF4,4.5521e-16,transcription factor 4,++,--+-,--,0.6768461842402322,0.01064066938109907,-,0.0213,0.002236053,5.72,1,-0.0363,0.554
LST1,5.4242e-9,leukocyte specific transcript 1,--,++++,-+,0.01065366325220021,0.037185805433866376,+,0.0213,0.003058614,5.73,1,-0.0363,0.554
HIST1H2BF,3.5839e-8,NA,-+,++++,Filtered_Out,0.011792870383988371,0.9570215885542704,+,0.0236,0.01036763,6.34,1,-0.0363,0.554
VPS41,1.9375e-6,VPS41 subunit of HOPS complex,++,-++-,++,0.013424351192122213,0.9647318102962466,+,0.0268,0.009832116,7.22,1,-0.0363,0.554
CELF2,7.5152e-8,CUGBP Elav-like family member 2,++,----,--,0.5768585628820347,0.013436565385346872,-,0.0269,0.016642978,7.23,1,-0.0363,0.554
CRB1,2.4995e-7,crumbs cell polarity complex component 1,++,+---,+-,0.8106942164068472,0.013839050943288184,-,0.0277,9.89607e-4,7.45,1,-0.0363,0.554
C11orf31,5.1084e-7,NA,NA,NA,NA,0.8602291464288229,0.01578266499095689,-,0.0316,0.023441292,8.49,1,-0.0363,0.554
SEMA6D,4.0971e-9,semaphorin 6D,+-,+---,-+,0.16958387854604168,0.015836486931785645,-,0.0317,0.00427009,8.52,1,-0.0363,0.554
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,-+,--++,NA,0.01702378173546197,0.6914680139456623,+,0.034,0.00242952,9.16,1,-0.0363,0.554
MARK3,2.6768e-7,microtubule affinity regulating kinase 3,+-,+---,--,0.9827972456764027,0.01813458065081387,-,0.0363,0.050827598,9.76,1,-0.0363,0.554
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9940331696088281,0.01846089555504754,-,0.0369,0.00918046,9.93,1,-0.0363,0.554
C1QTNF7,2.6076e-6,C1q and TNF related 7,--,--+-,Filtered_Out,0.9469217698090434,0.02301606163226296,-,0.046,0.035265047,12.4,1,-0.0363,0.554
BTN2A1,6.6923e-12,butyrophilin subfamily 2 member A1,--,+---,+-,0.979894697077965,0.023144852247036357,-,0.0463,0.008905346,12.5,1,-0.0363,0.554
METTL9,1.7424e-10,methyltransferase like 9,++,+++-,++,0.023675915133169294,0.9925816142177639,+,0.0474,0.023636704,12.7,1,-0.0363,0.554
BAD,1.3523e-6,BCL2 associated agonist of cell death,--,++++,--,0.025508964646927382,0.2363854559644509,+,0.051,0.001132037,13.7,1,-0.0363,0.554
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,+---,NA,0.9865840144356733,0.0262430685467006,-,0.0525,0.06263463126664132,14.1,1,-0.0363,0.554
MYRF,1.6847e-8,myelin regulatory factor,+-,++-+,--,0.2208692340522535,0.02817492859838903,-,0.0563,0.015939285,15.2,1,-0.0363,0.554
TOP1,1.6562e-6,DNA topoisomerase I,--,----,--,0.9059661134634907,0.02859450595262651,-,0.0572,0.057832491,15.4,1,-0.0363,0.554
VRK2,9.9697e-9,VRK serine/threonine kinase 2,--,++-+,-+,0.3002103655669466,0.028789968724912202,-,0.0576,0.026045818596663467,15.5,1,-0.0363,0.554
HIST1H1B,9.9717e-14,NA,+-,NA,Filtered_Out,0.9692760398083585,0.030723960191641534,-,0.0614,0.06144792038328307,16.5,1,-0.0363,0.554
SOX5,3.7918e-9,SRY-box transcription factor 5,++,----,Filtered_Out,0.86912961565127,0.03158398941024512,-,0.0632,0.040092956,17,1,-0.0363,0.554
